,参議院議員選挙/調査数,参議院議員選挙/自営業（計）,参議院議員選挙/農林漁業,参議院議員選挙/商工・サービス業,参議院議員選挙/その他自由業,参議院議員選挙/お勤め（計）,参議院議員選挙/経営・管理職,参議院議員選挙/専門職・技術職,参議院議員選挙/事務職,参議院議員選挙/労務職・技能職,参議院議員選挙/販売・サービス職,参議院議員選挙/その他（計）,参議院議員選挙/生徒・学生,参議院議員選挙/専業主婦（夫）,参議院議員選挙/その他,参議院議員選挙/無職（年金受給者含む）,東京都知事選挙/調査数,東京都知事選挙/自営業（計）,東京都知事選挙/農林漁業,東京都知事選挙/商工・サービス業,東京都知事選挙/その他自由業,東京都知事選挙/お勤め（計）,東京都知事選挙/経営・管理職,東京都知事選挙/専門職・技術職,東京都知事選挙/事務職,東京都知事選挙/労務職・技能職,東京都知事選挙/販売・サービス職,東京都知事選挙/その他（計）,東京都知事選挙/生徒・学生,東京都知事選挙/専業主婦（夫）,東京都知事選挙/その他,東京都知事選挙/無職（年金受給者含む）
地域別多摩西部エリア,39,-,-,-,-,15,1,3,6,1,4,24,3,12,-,9,39,-,-,-,-,15,1,3,6,1,4,24,3,12,-,9
地域別多摩西部エリア,100.0,-,-,-,-,38.5,2.6,7.7,15.4,2.6,10.3,61.5,7.7,30.8,-,23.1,100.0,-,-,-,-,38.5,2.6,7.7,15.4,2.6,10.3,61.5,7.7,30.8,-,23.1
選挙への関心度別関心があった（計）,1283,107,1,34,72,551,61,146,150,45,149,625,20,282,19,304,1424,118,1,37,80,612,67,156,170,45,174,694,22,329,20,323
選挙への関心度別関心があった（計）,100.0,8.3,0.1,2.7,5.6,42.9,4.8,11.4,11.7,3.5,11.6,48.7,1.6,22.0,1.5,23.7,100.0,8.3,0.1,2.6,5.6,43.0,4.7,11.0,11.9,3.2,12.2,48.7,1.5,23.1,1.4,22.7
選挙への関心度別関心があった,633,63,1,20,42,236,37,66,56,23,54,334,15,119,10,190,769,73,1,27,45,297,44,84,78,25,66,399,17,156,13,213
選挙への関心度別関心があった,100.0,10.0,0.2,3.2,6.6,37.3,5.8,10.4,8.8,3.6,8.5,52.8,2.4,18.8,1.6,30.0,100.0,9.5,0.1,3.5,5.9,38.6,5.7,10.9,10.1,3.3,8.6,51.9,2.2,20.3,1.7,27.7
選挙への関心度別やや関心があった,650,44,-,14,30,315,24,80,94,22,95,291,5,163,9,114,655,45,-,10,35,315,23,72,92,20,108,295,5,173,7,110
選挙への関心度別やや関心があった,100.0,6.8,-,2.2,4.6,48.5,3.7,12.3,14.5,3.4,14.6,44.8,0.8,25.1,1.4,17.5,100.0,6.9,-,1.5,5.3,48.1,3.5,11.0,14.0,3.1,16.5,45.0,0.8,26.4,1.1,16.8
選挙への関心度別関心がなかった（計）,227,10,-,4,6,120,5,18,29,10,58,97,19,33,4,41,175,6,-,3,3,97,3,14,23,9,48,72,17,20,2,33
選挙への関心度別関心がなかった（計）,100.0,4.4,-,1.8,2.6,52.9,2.2,7.9,12.8,4.4,25.6,42.7,8.4,14.5,1.8,18.1,100.0,3.4,-,1.7,1.7,55.4,1.7,8.0,13.1,5.1,27.4,41.1,9.7,11.4,1.1,18.9
選挙への関心度別あまり関心がなかった,125,5,-,1,4,66,2,11,21,5,27,54,8,25,2,19,89,1,-,-,1,50,-,7,19,6,18,38,9,13,1,15
選挙への関心度別あまり関心がなかった,100.0,4.0,-,0.8,3.2,52.8,1.6,8.8,16.8,4.0,21.6,43.2,6.4,20.0,1.6,15.2,100.0,1.1,-,-,1.1,56.2,-,7.9,21.3,6.7,20.2,42.7,10.1,14.6,1.1,16.9
選挙への関心度別関心がなかった,102,5,-,3,2,54,3,7,8,5,31,43,11,8,2,22,86,5,-,3,2,47,3,7,4,3,30,34,8,7,1,18
選挙への関心度別関心がなかった,100.0,4.9,-,2.9,2.0,52.9,2.9,6.9,7.8,4.9,30.4,42.2,10.8,7.8,2.0,21.6,100.0,5.8,-,3.5,2.3,54.7,3.5,8.1,4.7,3.5,34.9,39.5,9.3,8.1,1.2,20.9
選挙への関心度別どちらともいえない,298,16,-,4,12,149,8,31,42,6,62,133,6,79,2,46,209,9,-,2,7,111,4,25,28,7,47,89,6,45,3,35
選挙への関心度別どちらともいえない,100.0,5.4,-,1.3,4.0,50.0,2.7,10.4,14.1,2.0,20.8,44.6,2.0,26.5,0.7,15.4,100.0,4.3,-,1.0,3.3,53.1,1.9,12.0,13.4,3.3,22.5,42.6,2.9,21.5,1.4,16.7
選挙への関心度別わからない,15,-,-,-,-,1,-,1,-,-,-,14,2,1,-,11,15,-,-,-,-,1,-,1,-,-,-,14,2,1,-,11
選挙への関心度別わからない,100.0,-,-,-,-,6.7,-,6.7,-,-,-,93.3,13.3,6.7,-,73.3,100.0,-,-,-,-,6.7,-,6.7,-,-,-,93.3,13.3,6.7,-,73.3
投票への意識別投票するべき（計）,1434,116,-,36,80,619,68,161,169,47,174,699,19,337,17,326,1443,117,1,36,80,623,68,162,170,47,176,703,19,339,17,328
投票への意識別投票するべき（計）,100.0,8.1,-,2.5,5.6,43.2,4.7,11.2,11.8,3.3,12.1,48.7,1.3,23.5,1.2,22.7,100.0,8.1,0.1,2.5,5.5,43.2,4.7,11.2,11.8,3.3,12.2,48.7,1.3,23.5,1.2,22.7
投票への意識別必ず投票するべき,596,61,-,24,37,215,37,62,58,19,39,320,5,126,8,181,615,62,1,23,38,226,38,65,62,20,41,327,5,131,8,183
投票への意識別必ず投票するべき,100.0,10.2,-,4.0,6.2,36.1,6.2,10.4,9.7,3.2,6.5,53.7,0.8,21.1,1.3,30.4,100.0,10.1,0.2,3.7,6.2,36.7,6.2,10.6,10.1,3.3,6.7,53.2,0.8,21.3,1.3,29.8
投票への意識別可能な限り投票するべき,838,55,-,12,43,404,31,99,111,28,135,379,14,211,9,145,828,55,-,13,42,397,30,97,108,27,135,376,14,208,9,145
投票への意識別可能な限り投票するべき,100.0,6.6,-,1.4,5.1,48.2,3.7,11.8,13.2,3.3,16.1,45.2,1.7,25.2,1.1,17.3,100.0,6.6,-,1.6,5.1,47.9,3.6,11.7,13.0,3.3,16.3,45.4,1.7,25.1,1.1,17.5
投票への意識別投票するのもしないのも自由,344,16,1,6,9,184,5,32,48,11,88,144,23,54,7,60,335,15,-,6,9,181,5,31,47,11,87,139,23,51,7,58
投票への意識別投票するのもしないのも自由,100.0,4.7,0.3,1.7,2.6,53.5,1.5,9.3,14.0,3.2,25.6,41.9,6.7,15.7,2.0,17.4,100.0,4.5,-,1.8,2.7,54.0,1.5,9.3,14.0,3.3,26.0,41.5,6.9,15.2,2.1,17.3
投票への意識別その他,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1
投票への意識別その他,100.0,-,-,-,-,-,-,-,-,-,-,100.0,-,-,-,100.0,100.0,-,-,-,-,-,-,-,-,-,-,100.0,-,-,-,100.0
投票への意識別わからない,44,1,-,-,1,18,1,3,4,3,7,25,5,4,1,15,44,1,-,-,1,17,1,3,4,3,6,26,5,5,1,15
投票への意識別わからない,100.0,2.3,-,-,2.3,40.9,2.3,6.8,9.1,6.8,15.9,56.8,11.4,9.1,2.3,34.1,100.0,2.3,-,-,2.3,38.6,2.3,6.8,9.1,6.8,13.6,59.1,11.4,11.4,2.3,34.1
投票への参加状況別投票した（計）,1435,120,1,36,83,621,62,157,165,50,187,694,27,340,19,308,1491,125,1,38,86,646,64,158,181,51,192,720,28,354,19,319
投票への参加状況別投票した（計）,100.0,8.4,0.1,2.5,5.8,43.3,4.3,10.9,11.5,3.5,13.0,48.4,1.9,23.7,1.3,21.5,100.0,8.4,0.1,2.5,5.8,43.3,4.3,10.6,12.1,3.4,12.9,48.3,1.9,23.7,1.3,21.4
投票への参加状況別投票日に投票した,1226,92,1,27,64,522,52,130,136,47,157,612,23,298,15,276,1254,95,1,29,65,533,54,126,150,46,157,626,24,302,15,285
投票への参加状況別投票日に投票した,100.0,7.5,0.1,2.2,5.2,42.6,4.2,10.6,11.1,3.8,12.8,49.9,1.9,24.3,1.2,22.5,100.0,7.6,0.1,2.3,5.2,42.5,4.3,10.0,12.0,3.7,12.5,49.9,1.9,24.1,1.2,22.7
投票への参加状況別期日前投票（又は不在者投票等）をした,209,28,-,9,19,99,10,27,29,3,30,82,4,42,4,32,237,30,-,9,21,113,10,32,31,5,35,94,4,52,4,34
投票への参加状況別期日前投票（又は不在者投票等）をした,100.0,13.4,-,4.3,9.1,47.4,4.8,12.9,13.9,1.4,14.4,39.2,1.9,20.1,1.9,15.3,100.0,12.7,-,3.8,8.9,47.7,4.2,13.5,13.1,2.1,14.8,39.7,1.7,21.9,1.7,14.3
投票への参加状況別投票しなかった,377,12,-,5,7,193,12,37,54,11,79,172,20,54,6,92,321,7,-,3,4,168,10,37,38,10,73,146,19,40,6,81
投票への参加状況別投票しなかった,100.0,3.2,-,1.3,1.9,51.2,3.2,9.8,14.3,2.9,21.0,45.6,5.3,14.3,1.6,24.4,100.0,2.2,-,0.9,1.2,52.3,3.1,11.5,11.8,3.1,22.7,45.5,5.9,12.5,1.9,25.2
投票への参加状況別答えたくない,11,1,-,1,-,7,-,2,2,-,3,3,-,1,-,2,11,1,-,1,-,7,-,1,2,-,4,3,-,1,-,2
投票への参加状況別答えたくない,100.0,9.1,-,9.1,-,63.6,-,18.2,18.2,-,27.3,27.3,-,9.1,-,18.2,100.0,9.1,-,9.1,-,63.6,-,9.1,18.2,-,36.4,27.3,-,9.1,-,18.2
新聞の定期購読別定期購読している,1240,101,1,27,73,484,61,123,125,46,129,655,12,310,14,319,1240,101,1,27,73,484,61,123,125,46,129,655,12,310,14,319
新聞の定期購読別定期購読している,100.0,8.1,0.1,2.2,5.9,39.0,4.9,9.9,10.1,3.7,10.4,52.8,1.0,25.0,1.1,25.7,100.0,8.1,0.1,2.2,5.9,39.0,4.9,9.9,10.1,3.7,10.4,52.8,1.0,25.0,1.1,25.7
新聞の定期購読別定期購読していない,583,32,-,15,17,337,13,73,96,15,140,214,35,85,11,83,583,32,-,15,17,337,13,73,96,15,140,214,35,85,11,83
新聞の定期購読別定期購読していない,100.0,5.5,-,2.6,2.9,57.8,2.2,12.5,16.5,2.6,24.0,36.7,6.0,14.6,1.9,14.2,100.0,5.5,-,2.6,2.9,57.8,2.2,12.5,16.5,2.6,24.0,36.7,6.0,14.6,1.9,14.2
インターネットの利用有無別インターネットを利用している,1055,80,-,24,56,658,55,151,192,45,215,317,46,199,15,57,1055,80,-,24,56,658,55,151,192,45,215,317,46,199,15,57
インターネットの利用有無別インターネットを利用している,100.0,7.6,-,2.3,5.3,62.4,5.2,14.3,18.2,4.3,20.4,30.0,4.4,18.9,1.4,5.4,100.0,7.6,-,2.3,5.3,62.4,5.2,14.3,18.2,4.3,20.4,30.0,4.4,18.9,1.4,5.4
インターネットの利用有無別インターネットを利用していない,768,53,1,18,34,163,19,45,29,16,54,552,1,196,10,345,768,53,1,18,34,163,19,45,29,16,54,552,1,196,10,345
インターネットの利用有無別インターネットを利用していない,100.0,6.9,0.1,2.3,4.4,21.2,2.5,5.9,3.8,2.1,7.0,71.9,0.1,25.5,1.3,44.9,100.0,6.9,0.1,2.3,4.4,21.2,2.5,5.9,3.8,2.1,7.0,71.9,0.1,25.5,1.3,44.9
