80,問⑧_観光地点4,1:谷中銀座商店街,2:朝倉彫塑間,3:谷中霊園,4:絵処アラン・ウェスト,5:大名時計博物館,6:SCAI THE BATHHOUSE,7:旧吉田屋酒店,8:ねぎし三平堂,9:台東区立書道博物館,10:子規庵,11:硯の資料室,12:台東区立一葉記念館,13:その他谷中エリア,14:東京芸術大学大学美術館,15:東京芸術大学奏楽堂,16:国立国会図書館・国際子ども図書館,17:東京国立博物館,18:黒田記念館,19:台東区立旧東京音楽学校奏楽堂,20:東京都美術館,21:東京都恩賜上野動物園,22:国立科学博物館（上野本館）,23:国立西洋美術館,24:東京文化会館,25:日本芸術院,26:上野の森美術館,27:清水観音堂,28:横山大観記念館,29:台東区立下町風俗資料館,30:都立旧岩崎邸庭園,31:鈴本演芸場,32:お江戸上野広小路亭,33:アメ横,34:世界の銀器館,35:その他上野エリア,36:皮革産業資料館,37:池波正太郎記念文庫,38:象牙工芸館,39:台東区立江戸下町伝統工芸館,40:浅草花やしき,41:浅草寺（雷門）,42:アミューズミュージアム,43:かわとはきものギャラリー,44:木馬館/木馬亭,45:浅草演芸ホール,46:東洋館,47:浅草ROXまつり湯,48:太鼓館,49:かっぱ橋道具街,50:浅草公会堂,51:仲見世商店街,52:台東区立浅草文化観光センター,53:あみ清（屋形船）,54:俥屋店舗・人力車資料室（時代屋）,55:エース世界のカバン館,56:その他浅草エリア,57:袋物参考館,58:日本文具資料館,59:その他浅草橋エリア
81,問⑧_4-時間,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,問⑧_調査地点,101:谷中,102:上野,103:浅草,104:浅草橋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,問⑧_調査地点-時間,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,問⑧_観光地点5,1:谷中銀座商店街,2:朝倉彫塑間,3:谷中霊園,4:絵処アラン・ウェスト,5:大名時計博物館,6:SCAI THE BATHHOUSE,7:旧吉田屋酒店,8:ねぎし三平堂,9:台東区立書道博物館,10:子規庵,11:硯の資料室,12:台東区立一葉記念館,13:その他谷中エリア,14:東京芸術大学大学美術館,15:東京芸術大学奏楽堂,16:国立国会図書館・国際子ども図書館,17:東京国立博物館,18:黒田記念館,19:台東区立旧東京音楽学校奏楽堂,20:東京都美術館,21:東京都恩賜上野動物園,22:国立科学博物館（上野本館）,23:国立西洋美術館,24:東京文化会館,25:日本芸術院,26:上野の森美術館,27:清水観音堂,28:横山大観記念館,29:台東区立下町風俗資料館,30:都立旧岩崎邸庭園,31:鈴本演芸場,32:お江戸上野広小路亭,33:アメ横,34:世界の銀器館,35:その他上野エリア,36:皮革産業資料館,37:池波正太郎記念文庫,38:象牙工芸館,39:台東区立江戸下町伝統工芸館,40:浅草花やしき,41:浅草寺（雷門）,42:アミューズミュージアム,43:かわとはきものギャラリー,44:木馬館/木馬亭,45:浅草演芸ホール,46:東洋館,47:浅草ROXまつり湯,48:太鼓館,49:かっぱ橋道具街,50:浅草公会堂,51:仲見世商店街,52:台東区立浅草文化観光センター,53:あみ清（屋形船）,54:俥屋店舗・人力車資料室（時代屋）,55:エース世界のカバン館,56:その他浅草エリア,57:袋物参考館,58:日本文具資料館,59:その他浅草橋エリア
85,問⑧_5-時間,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,問⑧_観光地点6,1:谷中銀座商店街,2:朝倉彫塑間,3:谷中霊園,4:絵処アラン・ウェスト,5:大名時計博物館,6:SCAI THE BATHHOUSE,7:旧吉田屋酒店,8:ねぎし三平堂,9:台東区立書道博物館,10:子規庵,11:硯の資料室,12:台東区立一葉記念館,13:その他谷中エリア,14:東京芸術大学大学美術館,15:東京芸術大学奏楽堂,16:国立国会図書館・国際子ども図書館,17:東京国立博物館,18:黒田記念館,19:台東区立旧東京音楽学校奏楽堂,20:東京都美術館,21:東京都恩賜上野動物園,22:国立科学博物館（上野本館）,23:国立西洋美術館,24:東京文化会館,25:日本芸術院,26:上野の森美術館,27:清水観音堂,28:横山大観記念館,29:台東区立下町風俗資料館,30:都立旧岩崎邸庭園,31:鈴本演芸場,32:お江戸上野広小路亭,33:アメ横,34:世界の銀器館,35:その他上野エリア,36:皮革産業資料館,37:池波正太郎記念文庫,38:象牙工芸館,39:台東区立江戸下町伝統工芸館,40:浅草花やしき,41:浅草寺（雷門）,42:アミューズミュージアム,43:かわとはきものギャラリー,44:木馬館/木馬亭,45:浅草演芸ホール,46:東洋館,47:浅草ROXまつり湯,48:太鼓館,49:かっぱ橋道具街,50:浅草公会堂,51:仲見世商店街,52:台東区立浅草文化観光センター,53:あみ清（屋形船）,54:俥屋店舗・人力車資料室（時代屋）,55:エース世界のカバン館,56:その他浅草エリア,57:袋物参考館,58:日本文具資料館,59:その他浅草橋エリア
87,問⑧_6-時間,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,問⑧_観光地点7,1:谷中銀座商店街,2:朝倉彫塑間,3:谷中霊園,4:絵処アラン・ウェスト,5:大名時計博物館,6:SCAI THE BATHHOUSE,7:旧吉田屋酒店,8:ねぎし三平堂,9:台東区立書道博物館,10:子規庵,11:硯の資料室,12:台東区立一葉記念館,13:その他谷中エリア,14:東京芸術大学大学美術館,15:東京芸術大学奏楽堂,16:国立国会図書館・国際子ども図書館,17:東京国立博物館,18:黒田記念館,19:台東区立旧東京音楽学校奏楽堂,20:東京都美術館,21:東京都恩賜上野動物園,22:国立科学博物館（上野本館）,23:国立西洋美術館,24:東京文化会館,25:日本芸術院,26:上野の森美術館,27:清水観音堂,28:横山大観記念館,29:台東区立下町風俗資料館,30:都立旧岩崎邸庭園,31:鈴本演芸場,32:お江戸上野広小路亭,33:アメ横,34:世界の銀器館,35:その他上野エリア,36:皮革産業資料館,37:池波正太郎記念文庫,38:象牙工芸館,39:台東区立江戸下町伝統工芸館,40:浅草花やしき,41:浅草寺（雷門）,42:アミューズミュージアム,43:かわとはきものギャラリー,44:木馬館/木馬亭,45:浅草演芸ホール,46:東洋館,47:浅草ROXまつり湯,48:太鼓館,49:かっぱ橋道具街,50:浅草公会堂,51:仲見世商店街,52:台東区立浅草文化観光センター,53:あみ清（屋形船）,54:俥屋店舗・人力車資料室（時代屋）,55:エース世界のカバン館,56:その他浅草エリア,57:袋物参考館,58:日本文具資料館,59:その他浅草橋エリア
89,問⑧_7-時間,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,問⑧_観光地点8,1:谷中銀座商店街,2:朝倉彫塑間,3:谷中霊園,4:絵処アラン・ウェスト,5:大名時計博物館,6:SCAI THE BATHHOUSE,7:旧吉田屋酒店,8:ねぎし三平堂,9:台東区立書道博物館,10:子規庵,11:硯の資料室,12:台東区立一葉記念館,13:その他谷中エリア,14:東京芸術大学大学美術館,15:東京芸術大学奏楽堂,16:国立国会図書館・国際子ども図書館,17:東京国立博物館,18:黒田記念館,19:台東区立旧東京音楽学校奏楽堂,20:東京都美術館,21:東京都恩賜上野動物園,22:国立科学博物館（上野本館）,23:国立西洋美術館,24:東京文化会館,25:日本芸術院,26:上野の森美術館,27:清水観音堂,28:横山大観記念館,29:台東区立下町風俗資料館,30:都立旧岩崎邸庭園,31:鈴本演芸場,32:お江戸上野広小路亭,33:アメ横,34:世界の銀器館,35:その他上野エリア,36:皮革産業資料館,37:池波正太郎記念文庫,38:象牙工芸館,39:台東区立江戸下町伝統工芸館,40:浅草花やしき,41:浅草寺（雷門）,42:アミューズミュージアム,43:かわとはきものギャラリー,44:木馬館/木馬亭,45:浅草演芸ホール,46:東洋館,47:浅草ROXまつり湯,48:太鼓館,49:かっぱ橋道具街,50:浅草公会堂,51:仲見世商店街,52:台東区立浅草文化観光センター,53:あみ清（屋形船）,54:俥屋店舗・人力車資料室（時代屋）,55:エース世界のカバン館,56:その他浅草エリア,57:袋物参考館,58:日本文具資料館,59:その他浅草橋エリア
91,問⑧_8-時間,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,問⑨_利用交通機関,1:JR新幹線,2:JR在来線,3:私鉄・地下鉄,4:路線バス,5:循環バス,6:貸切バス・観光バス,7:高速バス,8:無料シャトルバス,9:水上バス,10:船,11:タクシー・ハイヤー,12:レンタカー,13:自家用車、社用・公用車,14:バイク,15:自転車,16:徒歩,17:その他,999:不明,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,問⑩_費用総額,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,問⑩_①交通費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,問⑩_②宿泊費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,問⑩_③土産代,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,問⑩_③土産代-品名,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,問⑩_④飲食費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,問⑩_④飲食費-品名,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,問⑩_⑤入場料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,問⑩_⑥体験プログラム費用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,問⑩_⑥体験プログラム-内容,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,問⑩_⑦その他費用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,問⑩_⑦その他-具体的項目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,問⑩_⑧パック料金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,問⑩_⑧パック料金内訳,1:区内分のみ,2:区外分含む,999:不明,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,問⑪_①現在の観光地,1:不満,2:やや不満,3:やや満足,4:満足,5:大変満足,999:不明,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,問⑪_②観光地内の案内サイン類,1:不満,2:やや不満,3:やや満足,4:満足,5:大変満足,999:不明,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,問⑪_③観光地への交通アクセス・駐車場,1:不満,2:やや不満,3:やや満足,4:満足,5:大変満足,999:不明,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,問⑪_④食事,1:不満,2:やや不満,3:やや満足,4:満足,5:大変満足,999:不明,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,問⑪_⑤土産品,1:不満,2:やや不満,3:やや満足,4:満足,5:大変満足,999:不明,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,問⑪_⑥宿泊施設,0:対象外,1:不満,2:やや不満,3:やや満足,4:満足,5:大変満足,999:不明,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,問⑪_⑦観光情報,1:不満,2:やや不満,3:やや満足,4:満足,5:大変満足,999:不明,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,問⑪_⑧総合満足度,1:不満,2:やや不満,3:やや満足,4:満足,5:大変満足,999:不明,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,問⑪_総合満足度理由,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,問⑫_再来訪意向-観光地,1:思わない,2:あまり思わない,3:ややそう思う,4:そう思う,5:大変そう思う,999:不明,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,問⑫_再来訪意向-台東区,0:対象外,1:思わない,2:あまり思わない,3:ややそう思う,4:そう思う,5:大変そう思う,999:不明,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,問⑬_紹介意向-観光地,1:思わない,2:あまり思わない,3:ややそう思う,4:そう思う,5:大変そう思う,999:不明,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,問⑬_紹介意向-台東区,1:思わない,2:あまり思わない,3:ややそう思う,4:そう思う,5:大変そう思う,999:不明,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,問⑭_良かったこと-1,1:名所・旧跡、博物館・美術館,2:電車・バスなどの公共交通機関,3:宿泊施設,4:食事・買い物,5:にぎわい（活気）,6:人の多さ（混雑）,7:おもてなし,8:Wi-Fi環境,9:トイレ,10:交通マナー,11:バリアフリー,12:街の景観・美観・ごみ,13:案内標示,14:その他,999:不明,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,問⑭_1-理由,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,問⑭_良かったこと-2,1:名所・旧跡、博物館・美術館,2:電車・バスなどの公共交通機関,3:宿泊施設,4:食事・買い物,5:にぎわい（活気）,6:人の多さ（混雑）,7:おもてなし,8:Wi-Fi環境,9:トイレ,10:交通マナー,11:バリアフリー,12:街の景観・美観・ごみ,13:案内標示,14:その他,999:不明,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,問⑭_2-理由,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,問⑭_残念-1,1:名所・旧跡、博物館・美術館,2:電車・バスなどの公共交通機関,3:宿泊施設,4:食事・買い物,5:にぎわい（活気）,6:人の多さ（混雑）,7:おもてなし,8:Wi-Fi環境,9:トイレ,10:交通マナー,11:バリアフリー,12:街の景観・美観・ごみ,13:案内標示,14:その他,999:不明,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,問⑭_1-理由,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,問⑭_残念-2,1:名所・旧跡、博物館・美術館,2:電車・バスなどの公共交通機関,3:宿泊施設,4:食事・買い物,5:にぎわい（活気）,6:人の多さ（混雑）,7:おもてなし,8:Wi-Fi環境,9:トイレ,10:交通マナー,11:バリアフリー,12:街の景観・美観・ごみ,13:案内標示,14:その他,999:不明,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,問⑭_2-理由,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,問⑮_大きな荷物の有無,1:持っている,2:持っていない,999:不明,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,問⑮_大きな荷物理由,1:移動中のため,2:預かり所・ロッカー見つからない,3:ロッカーいっぱい,4:その他,999:不明,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,問⑮_4.その他/理由,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,問⑮_預かり所等の活用,1:はい,2:いいえ,999:不明,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,問⑮_料金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,問⑯_意見,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
