施術所（令和6年7月31日現在）,,,,,,,
No,施設名称,施設所在地,施設方書,施設電話番号,開設者氏名,開設届出日,業務の種類
186,白山指圧『和み』,文京区向丘一丁目７番１５号,ＪＬＢグランエクリュ白山１０１,3818-5519,合同会社ＭＯＴＥＧＩ,令和2年4月17日,あん摩
187,ｋｉｋｉ整骨院,文京区向丘二丁目３番８号,マンションニュー本郷１０１,070-8466-6480,小松　洋輝,平成29年2月23日,柔道整復
188,東大前はりｋｉｋｉ,文京区向丘二丁目３番８号,マンションニュー本郷１０１,070-8466-6480,小松　洋輝,平成31年4月4日,はり、きゅう
189,中原鍼灸院,文京区向丘二丁目３番１１号,,3814-6059,中原　光,平成8年12月13日,あん摩、はり、きゅう
190,医大通り東洋鍼灸院,文京区向丘二丁目１３番１８号,101,5815-7621,有限会社グロース,平成29年4月12日,あん摩、はり、きゅう
191,丸十長尾接骨院,文京区向丘二丁目２９番５号,アトラスヒルズ文京白山１０１,3818-5780,長尾　昭彦,平成28年9月5日,柔道整復
192,龍眼堂接骨院,文京区向丘二丁目３５番６号,,3828-7558,宇佐美　亮,平成19年3月1日,柔道整復
193,龍眼堂鍼灸治療院,文京区向丘二丁目３５番６号,,3828-7558,宇佐美　亮,平成19年3月1日,あん摩、はり、きゅう
194,白山指圧院,文京区向丘二丁目３７番３号,石橋ビル５階,3822-7326,指田　太志,平成12年3月22日,あん摩
195,葵ここな整骨院,文京区根津一丁目１番１８号,パライソワダ１階,5834-8440,飯塚　浩嘉,令和5年2月16日,柔道整復
196,文鍼閣鍼灸院,文京区根津一丁目１番２０号,キャッスルマンション２０１,5685-9068,朴　文日,平成30年5月22日,はり、きゅう
197,恭生整骨院,文京区根津一丁目１６番１０号,イトーピア根津１０２,5842-1175,関川　恭生,平成26年9月10日,柔道整復
198,鍼灸マッサージ指圧伊藤治療院,文京区根津一丁目１８番６号,,3821-4114,伊藤　常男,平成19年10月30日,あん摩、はり、きゅう
199,芦野鍼灸院,文京区根津一丁目２３番９号,プレジデントハイツ根津１０７,3822-1200,芦野　広樹,平成18年6月7日,はり、きゅう
200,はり灸和,文京区根津二丁目１０番２号,ボンヴォワール１０３,6914-6063,安川　三郎,令和1年10月1日,はり、きゅう
201,鍼灸庵みがき,文京区根津二丁目１０番２号,ボン・ヴォワール１０２,3823-9344,小林　由磨,令和1年10月7日,はり、きゅう
202,悠鍼灸院,文京区根津二丁目１１番１１号,２階,090-5197-7708,古島　悠也,令和3年1月12日,はり、きゅう
203,根津銀座接骨院,文京区根津二丁目１４番１０号,,5834-1886,有限会社メディカルケアサポート,平成17年6月1日,柔道整復
204,根津銀座鍼灸マッサージ治療院,文京区根津二丁目１４番１０号,,5834-1886,有限会社メディカルケアサポート,平成17年6月1日,あん摩、はり、きゅう
205,芦野接骨院,文京区根津一丁目２３番９号,プレジデントハイツ根津１０７,3822-1200,芦野　広樹,平成18年6月7日,柔道整復
206,経和堂接骨院,文京区根津二丁目２９番２号,メゾンＮＥＺＵ１,5809-0741,有限会社不動薬品,平成24年9月11日,柔道整復
207,経和堂鍼灸院,文京区根津二丁目２９番２号,メゾンＮＥＺＵ１,5809-0741,有限会社不動薬品,平成24年9月11日,はり、きゅう
208,快誠堂・小椋鍼灸院,文京区根津二丁目３４番４号,,3821-5454,株式会社快誠堂,平成18年6月7日,はり、きゅう
209,谷根千接骨院,文京区根津二丁目３７番４号,,3824-0816,岩田　尚也,平成18年5月25日,柔道整復
210,千駄木接骨院,文京区千駄木一丁目２２番２８号,ネオハイツ千駄木１階,3827-6588,宮下　隆,平成25年2月1日,柔道整復
211,千駄木はり・灸治療院,文京区千駄木一丁目２２番２８号,ネオハイツ千駄木１階,3827-6588,宮下　隆,平成25年2月1日,はり、きゅう
212,リハリーサポート鍼灸マッサージ,文京区千駄木二丁目７番５号,常北マンション６０１,080-6873-4397,井上　千香子,令和1年5月29日,あん摩、はり、きゅう
213,整骨院　松井堂,文京区千駄木二丁目１１番１７号,モンテベルデ千駄木３０４,090-8100-0454,松井　香苗,令和4年9月2日,柔道整復
214,不忍通り鍼灸院,文京区千駄木二丁目１１番１７‐１０２号,モンテベルデ千駄木,3827-1523,長妻　直之,令和5年7月3日,はり、きゅう
215,不忍通り整骨院,文京区千駄木二丁目１１番１７‐１０２号,モンテベルデ千駄木,3827-1523,長妻　直之,令和5年7月3日,柔道整復
216,はりきゅう治療室はじめの一歩,文京区千駄木二丁目１３番１号,ルネ千駄木プラザ２２６号室,3828-8653,株式会社ビーアンドエス・ケア,平成25年6月7日,はり、きゅう
217,はり灸治療室　丹,文京区千駄木二丁目２５番１‐１０１号,メゾンＫ,090-9397-7988,西村　理恵子,令和5年4月21日,はり、きゅう
218,千駄木団子坂元氣計画治療院マッサージはりきゅう,文京区千駄木二丁目２６番３号,茂木ビル１階,5834-8915,株式会社元氣計画,平成29年8月9日,あん摩、はり、きゅう
219,あいだ接骨院,文京区千駄木二丁目２９番２号,,3827-1883,相田　團,平成19年9月19日,柔道整復
220,山本接骨院,文京区千駄木二丁目３２番６号,,3821-3663,山本　諭,昭和63年4月20日,柔道整復
221,ＧＢＳ千駄木整骨院,文京区千駄木二丁目３３番５号,ラヴィエベル１階１０１号室,5834-8988,神田　大輔,平成29年3月1日,柔道整復
222,ＧＢＳ千駄木はりきゅう院,文京区千駄木二丁目３３番５号,ラヴィエベル１階１０１号室,5834-8988,神田　大輔,平成29年3月1日,はり、きゅう
223,グラウベ整骨院千駄木,文京区千駄木二丁目３９番２号,,5834-8777,株式会社グラウベ,平成22年4月26日,柔道整復
224,グラウベ鍼灸院千駄木,文京区千駄木二丁目３９番２号,,5834-8777,株式会社グラウベ,平成22年4月26日,はり、きゅう
225,高木はり療院,文京区千駄木三丁目１３番５号,,3828-0311,高木　直幸,昭和27年5月15日,はり
226,もみの手鍼灸治療院,文京区千駄木三丁目２８番７号,千駄木ハイツ１０２,3824-1010,齋藤　隆裕,平成26年7月18日,はり、きゅう
227,もみの手整骨院,文京区千駄木三丁目２８番７号,千駄木ハイツ１０２,3824-1010,齋藤　隆裕,平成26年7月18日,柔道整復
228,千駄木豆の木はり灸院,文京区千駄木三丁目３１番９号,グローリア初穂千駄木１０４号室,5809-0154,新村　優貴,令和4年8月1日,はり、きゅう
229,千駄木豆の木整骨院,文京区千駄木三丁目３１番９号,グローリア初穂千駄木１０４号室,5809-0154,新村　優貴,令和4年8月1日,柔道整復
230,健生堂鍼灸院,文京区千駄木三丁目３１番１４号,ライオンズマンション１００２,3821-7871,井関　陽子,昭和57年5月12日,はり、きゅう
231,ゆらうみ鍼灸院,文京区千駄木三丁目３９番１号,,5685-6877,株式会社トゥイントゥエンティーズ,平成22年5月21日,はり、きゅう
232,ゆらうみ接骨院,文京区千駄木三丁目３９番１号,,5685-6877,株式会社トゥイントゥエンティーズ,平成22年5月21日,柔道整復
233,すずらん通り接骨院,文京区千駄木三丁目４４番１０号,,3823-3909,老川　基博,平成19年7月9日,柔道整復
234,鍼灸サロン　Ｊｕｍｉｌｉａ,文京区千駄木四丁目１番１６号,グランドメゾン千駄木一番館１０４,070-5466-0834,小林　絵梨奈,令和6年7月31日,はり、きゅう
235,はり東洋治療院　虹音堂,文京区千駄木四丁目２番４号,,3822-7268,長谷部　隆嗣,平成29年4月18日,はり、きゅう
236,動坂指圧「和み」,文京区千駄木四丁目１４番２号,ワイエム文京１階,3824-1250,株式会社プロサポートジャパン,平成20年5月2日,あん摩
237,指圧治療院れんげ,文京区千駄木五丁目４番１号,３階,090-5398-4644,?山　敬恵子,令和4年4月18日,あん摩
238,汐見接骨院,文京区千駄木五丁目５番１６‐１０１号,,5685-5907,有限会社汐見鍼灸接骨院,平成29年9月12日,柔道整復
239,汐見鍼灸マッサージ院,文京区千駄木五丁目５番１６‐１０１号,,5685-5907,有限会社汐見鍼灸接骨院,平成29年9月12日,あん摩、はり、きゅう
240,文京接骨院,文京区千駄木五丁目３１番１０号,１階,3827-7365,阿部　真之,平成30年4月16日,柔道整復
241,さくら接骨院,文京区千駄木五丁目４９番２号,,5814-6633,本多　由喜,平成28年9月16日,柔道整復
242,本駒込接骨院,文京区本駒込一丁目６番１３号,,3828-3666,（有）とらざわメディカルサービス,平成21年5月1日,柔道整復
243,本駒込鍼灸マッサージ院,文京区本駒込一丁目６番１３号,,3828-3666,（有）とらざわメディカルサービス,平成21年5月1日,あん摩、はり、きゅう
244,瀧澤整骨院,文京区本駒込一丁目１０番５号,牧野ビル２階,,瀧澤　一裕,平成15年4月23日,柔道整復
245,駒込曙町針灸治療院,文京区本駒込一丁目１５番１０号,,3941-8804,池本　英子,平成10年6月12日,あん摩、はり、きゅう
246,久芳堂,文京区本駒込一丁目１７番２０号,,3947-3499,佐久間　みち,昭和60年7月16日,あん摩、はり、きゅう
247,鍼灸専門一齊堂鍼灸療院,文京区本駒込一丁目２４番１４号,１階,03-3527-9587,東　豪,令和3年7月21日,はり、きゅう
248,鍼灸あん摩院やじろべえ,文京区本駒込一丁目２７番９号,小林ビル４０１号室,090-1863-2712,宮澤　勇人,令和4年1月26日,あん摩、はり、きゅう
249,千石整骨院,文京区本駒込二丁目１番３号,イカハタビル４０１号室,5981-8485,清水　裕已,令和5年3月3日,柔道整復
250,千石鍼灸院,文京区本駒込二丁目１番３号,イカハタビル４０１号室,5981-8485,清水　裕已,令和5年3月3日,あん摩、はり、きゅう
251,ふよう,文京区本駒込二丁目２番５号,,3943-1199,尾?　芙蓉,平成10年1月5日,あん摩、はり、きゅう
252,みやび整骨院,文京区本駒込二丁目８番３号,白山コーポビアネーズ１０５Ｂ,090-8748-6367,渡壁　雅和,平成19年7月9日,柔道整復
253,指圧一休,文京区本駒込二丁目８番６号,スカイコート文京白山５０１号,5940-9251,関原　泰光,平成24年6月13日,あん摩
254,かがやき鍼灸院,文京区本駒込二丁目９番１号,マインラウム本駒込１階・地下１階,6626-0499,小野　大輝,令和6年3月29日,はり、きゅう
255,かがやき整骨院,文京区本駒込二丁目９番１号,マインラウム本駒込１階,6626-0499,小野　大輝,令和6年3月29日,柔道整復
256,マッサージハリ治療院ヘルスケアーかるーん,文京区本駒込二丁目１２番３５号,,3944-1466,三浦　明子,平成19年11月28日,あん摩、はり、きゅう
257,岡田指圧治療院,文京区本駒込二丁目２６番１号,,3944-3063,岡田　統久子,平成5年6月22日,あん摩
258,富士鍼灸院,文京区本駒込二丁目２８番２９号,201,3941-2088,小林　楠雄,昭和60年7月12日,はり、きゅう
259,泉鍼灸院,文京区本駒込三丁目１番２１号,鈴木ビル１ーＢ,3827-1633,佐久本　政尚,平成24年3月6日,はり、きゅう
260,さかなし接骨院,文京区本駒込三丁目３１番５‐１０１号,,6902-1772,坂梨　辰幸,平成27年5月14日,柔道整復
261,淑子鍼灸室,文京区本駒込三丁目３４番３号,,3821-7075,藤田　淑子,昭和59年5月8日,はり、きゅう
262,中央鍼灸治療室,文京区本駒込四丁目８番４号,,3828-4841,創造社医療器㈱,平成10年6月12日,はり、きゅう
263,文京富士接骨院,文京区本駒込四丁目３７番７号,103,5685-5550,松本　敏彦,平成22年12月6日,柔道整復
264,動坂らく～だ鍼灸マッサージ院,文京区本駒込四丁目４２番１１号,サクラ文京４階,6426-0301,株式会社ＦＯＲＺＡ,平成24年10月1日,あん摩、はり、きゅう
265,動坂らく～だ接骨院,文京区本駒込四丁目４２番１１号,サクラ文京４階,6426-0301,株式会社ＦＯＲＺＡ,令和5年1月6日,柔道整復
266,やまだ整骨院,文京区本駒込五丁目１番４号,帝金ビル１０１,3942-4660,株式会社サイモン,平成28年2月9日,柔道整復
267,菊川治療院,文京区本駒込五丁目２２番６号,デフレール本駒込４０１,3822-7977,菊川　博之,昭和63年3月28日,あん摩
268,本駒けいようマッサージ室,文京区本駒込五丁目３５番３号,駒込ハイツ１階,6887-0973,木林　愛,平成25年9月30日,あん摩、はり、きゅう
269,さわやか整骨院,文京区本駒込五丁目４０番５号,102,3824-5013,中里　勝,平成21年2月2日,柔道整復
270,さわやか鍼灸院,文京区本駒込五丁目４０番５号,102,3824-5013,中里　勝,平成21年2月2日,はり、きゅう
271,岩本東洋はり灸院,文京区本駒込五丁目４５番６号,,3821-3379,岩本克明,昭和53年9月7日,あん摩、はり、きゅう
272,からだ本舗千石店,文京区本駒込六丁目２番２号,,3946-3717,株式会社キュアトゥ,平成17年5月12日,あん摩、はり、きゅう
273,きりう鍼灸院,文京区本駒込六丁目３番３号,壱番館ビル１０１,6912-1393,桐生　和広,令和6年4月5日,はり、きゅう
274,きりう整骨院,文京区本駒込六丁目３番３号,壱番館ビル１０１,6912-1393,桐生　和広,令和6年4月5日,柔道整復
275,?島指圧治療院,文京区本駒込六丁目４番３号,ルートビル２階,3944-5121,?島　加代子,平成25年4月25日,あん摩
276,香り鍼灸院ＮＯＮＯ,文京区本駒込六丁目１５番８号,エルピスビル４０２,5940-5088,片寄　貴子,平成22年10月13日,はり、きゅう
277,六義園まどろみ整骨院,文京区本駒込六丁目１５番１１号,六義園第５コーポ６０２,6875-3581,森下　麻子,令和2年4月24日,柔道整復
278,及川鍼灸院,文京区本駒込六丁目２２番２９号,東條ビル３階３０１,5976-8055,及川　俊吾,平成4年5月12日,あん摩、はり、きゅう
279,駒込駅前整骨院,文京区本駒込六丁目２４番４号,鈴木ビル２階,6902-2588,株式会社ｇｉｖｅｒｓ,令和4年9月15日,柔道整復
