診療所（令和6年7月31日現在）,,,,,,,
No,施設名称,施設所在地,施設方書,施設電話番号,開設者氏名,開設届出日,診療科目
165,本郷鐙坂医院,文京区本郷四丁目１１番２号,,6906-9901,岡田　伯未,令和5年11月24日,内科、漢方内科、精神科、心療内科
166,本郷内科クリニック,文京区本郷四丁目１７番６号,ＴＲＭ本郷真砂１０１,5684-1009,山?　瑞樹,令和5年6月1日,内科、消化器内科
167,本郷真砂ハートクリニック,文京区本郷四丁目２０番１２号,地下１階,3814-1155,医療法人社団闡医会,令和6年5月1日,内科、循環器内科、漢方内科
168,こやまクリニック,文京区本郷四丁目２４番５号,春日ビル３階,5840-7717,小山　郁,平成28年7月6日,整形外科、リハビリテーション科、内科
169,医療法人社団七星会　カスガメディカルクリニック,文京区本郷四丁目２４番８号,春日タワービル３階,5689-8211,医療法人社団七星会,平成17年10月3日,内科、消化器科、循環器科、精神科
170,医療法人社団友徳会　つつじクリニック,文京区本郷四丁目２７番８号,パレステュディオ本郷東大前１０１号,5804-0011,医療法人社団友徳会,平成24年9月3日,皮膚科、形成外科、アレルギー科、小児皮膚科、美容皮膚科
171,うすだクリニック,文京区本郷四丁目３６番５号,ネオパリエ１階,5840-8250,薄田　康広,平成15年4月23日,内科
172,ゆめのきクリニック,文京区本郷四丁目３７番１５号,吉田ビル４階,3830-2030,長谷川　雅江,令和4年4月1日,内科
173,一般財団法人慈愛会　本郷慈愛クリニック,文京区本郷五丁目２６番２号,東大赤門前ビル３階,5840-8660,一般財団法人　慈愛会,令和5年2月1日,内科、消化器内科、内視鏡内科、外科、肛門外科
174,本郷台皮膚科,文京区本郷五丁目１番１５号,安野ビル３階,3812-4112,上田　純嗣,平成18年8月24日,皮膚科
175,タツノ内科・循環器科,文京区本郷五丁目１番１６号,ＮＰーⅡビル地下１階,5800-0203,龍野　勝彦,平成20年7月29日,内科、小児科、循環器内科
176,熊谷眼科,文京区本郷五丁目２４番６号,本郷大原ビル１階,3811-1504,熊谷　みどり,令和5年4月3日,眼科
177,医療法人社団ＬＳＭ　寺本内科歯科クリニック,文京区本郷五丁目２５番１３号,スカイビジョンビル１階２階,5689-5454（歯科）,医療法人社団ＬＳＭ,平成25年6月3日,内科、歯科、歯科口腔外科、矯正歯科、小児歯科
178,医療法人社団?鈴会　本郷メディカルクリニック,文京区本郷五丁目２６番４号,東京クリスタルビル４階,5842-7415,医療法人社団?鈴会,平成14年9月2日,胃腸内科
179,本郷赤門前クリニック,文京区本郷五丁目２６番４号,東京クリスタルビル７階,6658-5295,吉田　隆義,平成19年10月22日,内科
180,本郷麻酔科クリニック,文京区本郷五丁目２８番２号,ライオンズマンション東大赤門前１００４,3813-7224,繁田　正毅,平成19年8月30日,麻酔科
181,医療法人社団優舜会　石川クリニック,文京区本郷五丁目２９番１２号,103,3814-3456,医療法人社団優舜会,平成5年4月1日,内科、消化器科
182,野村芳子小児神経学クリニック,文京区湯島一丁目２番１３号,御茶ノ水明神ビル３階,3258-5563,野村　芳子,平成27年6月22日,神経内科、精神科、小児神経内科
183,東京在宅ケアクリニック,文京区湯島一丁目５番３４号,お茶の水医学会館５階,6240-0001,医療法人徳島往診クリニック,平成26年10月1日,緩和ケア内科、緩和ケア外科、皮膚科
184,医療法人社団湖歩会　ゆしまクリニック,文京区湯島一丁目５番３４号,お茶の水医学会館６階,3830-0099,医療法人社団湖歩会　,平成26年12月1日,内科、呼吸器内科、循環器内科、消化器内科、腎臓内科、糖尿病内科、血液内科、リウマチ科、脳神経外科
185,医療法人社団創知会　メモリークリニックお茶の水,文京区湯島一丁目５番３４号,お茶の水医学会館２階、３階、４階,6801-8718,医療法人社団創知会,平成27年4月6日,神経内科、精神科
186,御茶ノ水ファミリークリニック,文京区湯島一丁目９番１４号,プチモンドお茶の水８階,5844-1401,野々村　芳映,平成21年3月2日,小児科、内科
187,医療法人社団聖桐会　御茶ノ水聖橋クリニック,文京区湯島一丁目９番１５号,茶洲ビル２階,5689-6811,医療法人社団聖桐会,平成14年12月2日,内科、呼吸器科、消化器科、循環器科、小児科、心療内科、アレルギー科、皮膚科
188,医療法人社団やよい会　湯島天神透析クリニック,文京区湯島二丁目３１番１号,湯島三友ビル４階・５階,5804-5800,医療法人社団やよい会,令和6年5月1日,人工透析内科
189,奥田医院,文京区湯島三丁目８番２号,,3831-8371,奥田　晃三,昭和61年12月6日,内科、小児科、胃腸科
190,医療法人社団天神会　天神下皮フ科形成外科,文京区湯島三丁目３１番３号,湯島東宝ビル２階,5807-8241,医療法人社団天神会,平成25年6月3日,外科、形成外科、皮膚科、美容皮膚科、美容外科
191,医療法人社団　大塚診療所,文京区湯島三丁目３１番６号,１階,3831-2294,医療法人社団　大塚診療所,令和2年7月2日,小児科、内科、アレルギー科
192,アゴラ内科クリニック,文京区湯島三丁目３４番８号,第一天神ビル２階２０１号,03-6803-0976,一般社団法人鹿鳴会,令和3年2月5日,内科、循環器内科、精神科、心療内科
193,野口皮膚科医院,文京区湯島三丁目３８番１２号,,3831-2321,野口　律子,平成6年4月20日,皮膚科
194,医療法人社団よつ葉の会　清家クリニック,文京区湯島三丁目３８番１３号,坂東ビル２階,3831-2438,医療法人社団よつ葉の会,平成25年4月2日,内科、消化器内科(内視鏡)、循環器内科、小児科
195,パーソナルヘルスクリニック,文京区湯島三丁目３９番３号,上野不二ビル６階、７階,5817-4415,医療法人社団マキマ会,令和3年10月1日,感染症内科
196,医療法人社団龍岡会　大森内科医院,文京区湯島四丁目９番８号,,3811-0888,医療法人社団龍岡会,平成8年4月1日,内科、歯科
197,医療法人社団のぞみ　いいもり　こころの診療所,文京区西片一丁目３番１８号,,050-3734-5281,医療法人社団のぞみ,令和2年12月1日,精神科、心療内科
198,麻酔クリニック東大前,文京区西片二丁目３番１７号,アヴィニヨン１階１０２号,6801-8558,小嶋　高志,平成27年2月2日,麻酔科
199,大橋内科クリニック,文京区西片二丁目１５番１１号,,5842 8670,大橋　誠,平成19年5月2日,内科、消化器科、アレルギー科
200,西片クリニック,文京区西片二丁目２５番８号,モンテベルデ本郷西片,5803-7080,谷部　正浩,平成10年12月15日,内科、呼吸器科、消化器科、放射線科
201,東大前こどもクリニック,文京区向丘一丁目１番１６号,朝日堂ビル１階,3830-0161,佐々木　元,令和6年6月3日,小児科
202,エガワ眼科,文京区向丘一丁目１番１７号,タカサキヤビル２階,5689-5207,江川　知子,平成15年6月24日,眼科
203,いながき乳腺クリニック,文京区向丘一丁目２番５号,東京セントラル本郷１、２階,3830-0407,稲垣　麻美,平成31年4月1日,乳腺外科
204,西岡クリニック,文京区向丘一丁目１０番２号,ザ・プラザ・オーベル白山１階,3812-1421,西岡　隆文,平成4年5月1日,内科、消化器科、循環器科
205,医療法人社団同済会　えみクリニック東大前,文京区向丘二丁目２番６号,エスト本郷１階,3868-3528,医療法人社団同済会,平成29年12月8日,内科、漢方内科、皮膚科、精神科、心療内科
206,医療法人社団真寿会　田代医院,文京区向丘二丁目２０番３号,１階,3823-0871,医療法人社団真寿会,平成15年4月1日,内科、外科
207,森田医院,文京区向丘二丁目３５番２号,,3823-4919,森田　欣司,平成26年6月3日,内科、整形外科
208,やよい在宅クリニック,文京区弥生一丁目５番１１号,弥生クリニックビル１階・２階,6240-0737,医療法人社団ＹＡＹＯＩ,令和2年10月1日,内科、外科、消化器内科、緩和ケア内科、精神科、心療内科
209,細部医院,文京区根津一丁目１番１５号,,3822-6858,細部　高英,令和2年5月1日,泌尿器科、内科、外科
210,金沢耳鼻咽喉科クリニック,文京区根津一丁目４番４号,根津フェニックスビル２Ｆ,3823-8733,金澤　博俊,平成9年3月17日,耳鼻咽喉科
211,根津駅前たかやま皮膚科,文京区根津一丁目４番４号,根津フェニックスビル６階,3822-1241,医療法人社団たかやま会,令和4年11月1日,皮膚科、美容皮膚科、小児皮膚科、アレルギー科
212,猪狩医院,文京区根津一丁目１６番８号,中村ビル２階,3822-4735,山道　博,平成21年4月1日,内科、呼吸器内科、胃腸内科、外科
213,医療法人社団静晴会　山田胃腸科外科医院,文京区根津一丁目１６番１０号,イトーピア根津１０１・２０１,3821-3381,医療法人社団静晴会,平成2年2月1日,内科、糖尿病・内分泌内科、循環器内科、脳神経内科、消化器内科、乳腺外科
214,似鳥クリニック,文京区根津一丁目１９番１１号,,3827-1181,似鳥　純一,令和1年9月3日,内科、呼吸器内科、循環器内科、小児科、脳神経外科、糖尿病内科
215,東京保健生活協同組合　根津診療所,文京区根津一丁目２７番３号,,3823-0096,東京保健生活協同組合,平成1年11月1日,内科、皮膚科、小児科、外科
216,根津宮永町診療所,文京区根津二丁目１３番６‐１０１号,,3824-2588,梶田　慶子,平成29年6月2日,内科、循環器内科、消化器内科
217,ダイナメディカル根津クリニック,文京区根津二丁目１４番９号,ダイナメディカル根津１Ｆ,5815-8687,定形　綾香,平成16年11月1日,内科、呼吸器科、循環器科、リウマチ科、皮膚科
218,下司婦人科クリニック,文京区根津二丁目１４番１１号,Ｔツウィンズビル４Ｆ,5832-4122,下司　有美,平成15年4月23日,内科、産婦人科
219,細部小児科クリニック,文京区根津二丁目１４番１１号,Ｔツウィンズビル２階,6303-3162,細部　千晴,平成20年5月1日,小児科
220,根津えんぜる眼科,文京区根津二丁目１５番１２号,メゾンドール山喜１階,5815-1122,笹井　章子,平成18年11月24日,眼科
221,根津整形外科クリニック,文京区根津二丁目２９番１号,ＴＦＸ根津ビル２階,5834-8551,矢数　俊明,平成25年4月2日,整形外科、リハビリテーション科
222,医療法人社団郁栄会　谷根千クリニック,文京区根津二丁目３３番１４号,ヴィラージュ藍染１階,3827-2731,医療法人社団郁栄会　,令和2年10月6日,内科、消化器内科、外科
223,千駄木みしま眼科,文京区根津二丁目３７番４号,グランドメゾン根津１０１号,5834-7559,三嶋　明香,平成31年3月5日,眼科
224,日本医科大学健診医療センター,文京区千駄木一丁目１２番１５号,,5814-6685,学校法人日本医科大学,平成18年2月1日,内科、放射線科
225,文京クリニック,文京区千駄木一丁目２３番３号,カーサリーナ千駄木２０１,3823-6614,倉根　修二,平成15年10月28日,内科、呼吸器内科、腫瘍内科、アレルギー科
226,団子坂ひろせ小児科,文京区千駄木一丁目２３番６号,コスモリード文京千駄木２０２号室,3823-4970,廣?　誠,平成23年11月9日,小児科
227,こころとからだ相談クリニック,文京区千駄木二丁目３番１８号,浅野ビル１０１,6323-9408,藤井　さやか,平成31年4月1日,心療内科、精神科、内科
228,日原内科クリニック,文京区千駄木二丁目１３番１号,ルネ千駄木プラザ２階,3822-6262,日原　義文,平成15年8月22日,内科、循環器科、アレルギー科
229,まぶたとヒフのクリニック　千駄木プラザ形成外科,文京区千駄木二丁目１３番１号,ルネ千駄木プラザ２階２２１号室,5809-0244,村上　正洋,令和5年5月8日,形成外科、眼科、皮膚科
230,文京区医師会付属診療所,文京区千駄木二丁目２６番８号,３階,3823-2216,一般社団法人文京区医師会,平成19年1月19日,内科、小児科、外科
231,齊藤皮フ科,文京区千駄木二丁目３３番９号,パレドール千駄木２０１,3821-1236,齋藤　裕,昭和59年12月12日,皮膚科
232,吉行医院,文京区千駄木二丁目３４番１０号,,3821-7994,吉行　俊郎,平成17年4月25日,内科
233,医療法人社団一声会　千駄木整形外科,文京区千駄木二丁目４３番１号,１階から４階まで,3822-9180,医療法人社団一声会,平成16年1月5日,内科、神経内科、リウマチ科、整形外科、リハビリテーション科
234,?内科医院,文京区千駄木二丁目４６番２号,,3827-5710,?　明順,平成13年8月27日,内科
235,藤原クリニック,文京区千駄木三丁目２番７号,リエス千駄木１階地下１階,3821-3767,藤原　直之,平成24年7月4日,内科、呼吸器内科、循環器内科、心療内科、精神科
236,大木小児内分泌代謝クリニック,文京区千駄木三丁目３６番１１号,プラネットアイ２Ｆ,5834-7022,大木　由加志,平成24年2月14日,小児科、内分泌・代謝内科
237,クマモトクリニック,文京区千駄木三丁目３７番１７号,コスモ千駄木１０２号,5685-0811,熊本　友香,平成26年9月1日,内科、皮膚科、外科、泌尿器科、リハビリテーション科
238,よしこ心療内科,文京区千駄木三丁目３７番２０号,団子坂カンカンビル６階,3823-8265,古山　佳子,平成23年3月8日,心療内科、精神科
239,あいそめクリニック,文京区千駄木三丁目４０番１７号,ＣＡＳＡ　ＶＥＲＤＥ２階,6314-5944,中西　幸子,令和2年3月27日,漢方内科、内科、心療内科
240,エミング千駄木クリニック,文京区千駄木三丁目４２番１６号,２階Ａ,5834-2652,池川　和哉,平成24年6月1日,内科、消化器内科、循環器内科、アレルギー科
241,むらい内科・循環器クリニック,文京区千駄木三丁目４３番３号,ＡＴＫ千駄木ビル１階,3822-8010,医療法人社団慶悠会,平成30年10月1日,内科、循環器内科、糖尿病内科
242,どうかん山皮ふ科,文京区千駄木三丁目４８番５号,203,3827-1241,医療法人社団たかやま会,令和6年1月4日,皮膚科、小児皮膚科、美容皮膚科、アレルギー科
243,アトラス整形外科千駄木リウマチ・スポーツクリニック,文京区千駄木三丁目４８番５号,301,3827-1717,滝田　泰人,令和6年1月4日,整形外科、リハビリテーション科、リウマチ科
244,文京メディカルクリニック,文京区千駄木三丁目４８番５号,グランドテラス千駄木２０１，２０２,3827-7755,足立　雅之,令和5年12月26日,内科、消化器内科
245,千駄木こどもクリニック,文京区千駄木三丁目４８番５号,グランドテラス千駄木３０２,5834-7012,原　周平,令和6年4月3日,小児科、アレルギー科
246,いいの耳鼻咽喉科,文京区千駄木三丁目４８番６号,１階Ａ,3828-3387,飯野　孝,平成28年9月1日,アレルギー科、耳鼻咽喉科
247,わたなべ整形外科,文京区千駄木四丁目１番１６号,グランドメゾン千駄木一番館１０６,5815-5185,渡邉　泰,平成11年4月26日,内科、整形外科、形成外科、リハビリテーション科
248,医療法人社団愛明会　内科小児科にわ医院,文京区千駄木四丁目８番１２号,,3824-0482,医療法人社団愛明会,平成5年3月1日,内科、小児科、眼科
249,動坂下泌尿器科クリニック,文京区千駄木四丁目１３番６号,アドリーム文京動坂１０８号室,5834-7735,?橋　亮,平成29年4月6日,泌尿器科、女性泌尿器科
250,内藤クリニック,文京区千駄木四丁目１４番１０号,２階,5685-2455,内藤　志朗,平成9年4月14日,内科、精神科、神経科、心療内科
251,文京動坂診療所,文京区千駄木四丁目１５番３号,ＣＡＳＡ文京動坂１階・２階,3822-9680,医療法人社団佑光会,令和6年1月4日,内科、消化器内科、内視鏡内科、循環器内科、呼吸器内科
252,サン・ヒルレディースクリニック,文京区千駄木五丁目３番１０号,２階,3823-8828,久保田　浩一,平成27年10月1日,産婦人科
253,医療法人社団?慈会　団子坂くつろぎクリニック,文京区千駄木五丁目２１番１２号,１階,5834-7702,医療法人社団?慈会,平成29年9月1日,歯科、矯正歯科、小児歯科、歯科口腔外科、内科、呼吸器内科、アレルギー科、整形外科
254,医療法人社団森谷会　森谷医院,文京区千駄木五丁目４３番１１号,,3821-0128,医療法人社団森谷会,平成8年3月1日,内科、小児科
255,白山形成外科・皮膚科,文京区本駒込一丁目１番２号,,5802-0011,苅部　大輔,令和5年12月1日,形成外科、皮膚科、美容外科、美容皮膚科
256,とくなが耳鼻咽喉科,文京区本駒込一丁目６番１９号,ＳＵＮＹＵＢＩＬＬ２階,5815-5887,徳永　雅一,平成16年3月25日,アレルギー科、耳鼻咽喉科、気管食道科
257,日本医科大学腎クリニック,文京区本駒込一丁目７番１５号,,3821-1601,学校法人日本医科大学,平成8年12月18日,内科
258,白山・泌尿器科クリニック,文京区本駒込一丁目１１番１号,トラビ文京白山２階ーＢ,6304-1804,渡辺　栄子,令和4年8月1日,泌尿器科、女性泌尿器科、小児泌尿器科
259,白山かわはら整形外科,文京区本駒込一丁目１１番１号,トラビ文京白山１階,5976-3737,川原　昭久,令和5年8月3日,整形外科、リハビリテーション科
260,谷口医院,文京区本駒込二丁目８番１１号,,5395-7760,谷口　善郎,平成13年10月30日,内科、胃腸内科、肛門外科、外科、形成外科
261,折戸皮フ科クリニック,文京区本駒込二丁目１０番３号,ウエストワンビル２階,6902-2781,折戸　秀光,平成24年2月23日,皮膚科、小児皮膚科、アレルギー科
262,文京内科・循環器クリニック,文京区本駒込二丁目１０番３号,ウエストワンビル４階,6304-1567,藤原　聡,平成31年3月1日,内科、循環器内科、糖尿病内科
263,加藤診療所,文京区本駒込二丁目１８番２号,,3941-7522,加藤　一富,昭和58年8月8日,内科、外科
264,グリーンコート内科クリニック,文京区本駒込二丁目２８番１０号,,5977-3820,松田　春甫,平成12年4月3日,内科、消化器科、循環器科、小児科
265,鈴木医院,文京区本駒込二丁目２８番３５号,,3941-6615,鈴木　弘之,平成21年1月5日,内科、呼吸器内科、胃腸内科、循環器内科
266,ヒロ皮フ科クリニック,文京区本駒込二丁目２８番３７号,吉岡ビル１階,5395-1249,小林　裕明,平成14年3月4日,皮膚科
267,本駒込内科・糖尿病内科クリニック,文京区本駒込三丁目１番４号,シュトラーレ本駒込２階,5834-7125,菊野　庄太,令和5年10月31日,内科、糖尿病内科
268,齋藤医院,文京区本駒込三丁目５番１０号,,3824-1137,齋藤　靖,平成9年7月1日,内科、消化器科、皮膚科
269,本駒込耳鼻咽喉科,文京区本駒込三丁目１７番２号,木村ビル２階,3827-1187,吉越　彬,令和2年2月3日,耳鼻咽喉科、小児耳鼻咽喉科
270,駒込富士クリニック,文京区本駒込三丁目３４番１０号,,5815-3405,秋庭　保夫,平成26年4月2日,内科、外科、整形外科、リハビリテーション科
271,医療法人社団靜美会　駒込かせだクリニック,文京区本駒込四丁目１９番１６号,タウンハイム本駒込１階,5832-5665,医療法人社団靜美会,平成18年3月1日,内科、脳神経内科、リハビリテーション科、呼吸器内科、アレルギー科、漢方内科
272,福地医院,文京区本駒込四丁目３０番２号,,3821-1431,福地　孝,昭和34年5月1日,内科、小児科
273,源一クリニック,文京区本駒込四丁目３８番３号,パストラル動坂２０１,5685-3161,田中　源一,平成6年2月22日,皮膚科、アレルギー科
274,動坂クリニック,文京区本駒込四丁目４２番４号,ますやビル１階,3822-5605,趙　庸勲（原本富雄）,平成8年12月19日,内科、消化器科、小児科
275,本駒込こどもクリニック,文京区本駒込五丁目１５番１０号,,5842-1127,宮?　菜穂,令和6年3月1日,小児科、内科、循環器内科
276,こまごめ緑陰診療所,文京区本駒込五丁目１９番２号,小林ビルデンス２階,3943-5525,福田　博文,平成15年4月23日,精神科、心療内科
277,文京駒込訪問クリニック,文京区本駒込五丁目２０番４号,メゾンブロンシュ本駒込１階１０２－Ｂ号室,5834-0335,医療法人社団廣和会,平成18年5月1日,内科、精神科
278,医療法人社団奥山会　奥山整形外科,文京区本駒込六丁目２４番５号,東京冷機ビル１階,3942-1611,医療法人社団奥山会,平成3年4月1日,内科、外科、整形外科、皮膚科、リハビリテーション科、放射線科
279,おぎの眼科クリニック,文京区本駒込五丁目４１番６号,メゾン本駒込１階,5809-0701,荻野　智之,平成20年12月26日,眼科
280,松本医院,文京区本駒込五丁目４１番１１号,青木ビル１階,5832-9518,松本　正隆,平成27年1月6日,内科、小児科、皮膚科、アレルギー科
281,近藤医院,文京区本駒込五丁目６０番６号,,3821-1804,近藤　秀弥,昭和59年5月16日,内科、小児科、産科、婦人科
282,医療法人社団藤翔会　加藤内科胃腸科クリニック,文京区本駒込六丁目１番２１号,コロナ社第３ビル１階,5319-1470,医療法人社団藤翔会,平成17年9月1日,内科、消化器内科、胃腸内科、小児科
283,医療法人社団立命会　千石クリニック,文京区本駒込六丁目２番１号,栄泉堂ビル２０１,5976-9960,医療法人社団立命会,平成12年4月3日,内科、麻酔科
284,りくぎえん皮膚科,文京区本駒込六丁目２番１号,栄泉堂ビル３０１号室・３０２号室,6912-0812,医療法人社団路是,令和4年6月2日,皮膚科、小児皮膚科、美容皮膚科
285,橋本こどもクリニック,文京区本駒込六丁目４番２号,平和ビル１階,3943-6333,橋本　伸子,平成17年12月20日,小児科、アレルギー科
286,井口医院,文京区本駒込六丁目６番７号,,3945-3188,井口　傑,平成24年1月19日,整形外科
287,きむらメンタルクリニック,文京区本駒込六丁目２４番１号,後藤ビル２階,5981-8847,木村　武登,平成25年1月21日,精神科、心療内科
288,駒込みつい眼科,文京区本駒込六丁目２４番５号,ゾンネンハイム六義園４階,3943-8765,三井　義久,平成19年8月22日,眼科
289,中居皮フ科クリニック,文京区本駒込六丁目２５番４号,,5319-2200,中居　賢司,平成20年3月17日,皮膚科
290,医療法人社団東仁会　駒込じんクリニック,文京区本駒込六丁目２５番４号,中居ビル２階・３階,3941-9988,医療法人社団東仁会,令和3年11月2日,人工透析内科
