歯科診療所（令和6年7月31日現在）,,,,,,,
No,施設名称,施設所在地,施設方書,施設電話番号,開設者氏名,開設届出日,診療科目
166,いたがき歯科クリニック,文京区本郷五丁目１番１５号,安野ビル２階,3818-8214,板垣　正弘,平成18年8月21日,歯科
167,長谷川歯科診療所,文京区本郷五丁目３番２号,長谷川ビル地下１階,3811-8114,長谷川　晃嗣,平成24年11月28日,歯科
168,デンタルオフィスＫＥＮ,文京区本郷五丁目２３番１１号,林華ビル２階,3817-6609,笠嶋　建吾,平成29年7月3日,歯科、矯正歯科、小児歯科、歯科口腔外科
169,銀座コア歯科矯正クリニック東大赤門前,文京区本郷五丁目２４番６号,本郷大原ビル２階,3830-0086,医療法人　メディア,令和5年10月6日,歯科、矯正歯科、小児歯科
170,松岡歯科医院,文京区本郷五丁目２８番５号,,3811-7682,松岡　隆司,昭和58年4月11日,歯科、小児歯科
171,本郷三浦歯科医院,文京区本郷五丁目３０番２０号,サンライズ本郷１階,6801-8281,三浦　誠子,令和4年7月4日,歯科、小児歯科、歯科口腔外科
172,浜島歯科医院,文京区本郷六丁目２５番５号,２階,3812-5959,濱島　秀徳,平成4年3月25日,歯科
173,依田歯科医院,文京区湯島一丁目２番１２号,104,3253-8841,依田　泰,平成8年3月26日,歯科、矯正歯科、小児歯科
174,アイ歯科医院,文京区湯島一丁目３番４号,Ｋ・Ｔお茶の水聖橋ビル２階,3814-7015,太田　順子,平成25年2月1日,歯科、小児歯科、歯科口腔外科
175,北村歯科医院,文京区湯島一丁目７番９号,内山ビル２０１,3813-8194,北村　正,昭和61年10月15日,歯科、小児歯科
176,湯島佐藤歯科,文京区湯島二丁目１６番９号,ちどりビル１階１０２号室,3813-0648,佐藤　正孝,平成13年8月13日,歯科、矯正歯科、小児歯科、歯科口腔外科
177,田中充歯科クリニック,文京区湯島二丁目１７番９号,ビネスト湯島１階,5800-4050,田中　充,平成29年8月1日,歯科、矯正歯科、小児歯科、歯科口腔外科
178,湯島歯科医院,文京区湯島二丁目３３番１号,ＮＸビル３Ｆ,3836-2031,中島　肇子,平成2年2月22日,歯科、小児歯科、歯科口腔外科
179,中島矯正歯科クリニック,文京区湯島二丁目３３番１号,ＮＸビル１ＦＢ１,3831-3672,中島　栄一郎,平成2年4月11日,矯正歯科
180,ゆかりデンタルクリニック,文京区湯島三丁目１４番８号,加田ビル２Ｆ,3837-8784,山本　ゆかり,平成10年3月26日,歯科
181,石神歯科医院,文京区湯島三丁目１６番１０号,徳和ビル２階,3835-0648,石神　栄隆,昭和50年10月13日,歯科
182,飯島歯科医院,文京区湯島三丁目２１番４号,,3831-2828,飯島　淳,平成6年7月25日,歯科
183,山?健幸歯科クリニック,文京区湯島三丁目２６番１１号,ＹＭビル,3834-4618,山?　健幸,平成12年2月15日,歯科、小児歯科
184,重見歯科医院,文京区湯島三丁目３５番９号,渡辺ビル２Ｆ,3835-7212,重見　正弘,昭和59年9月11日,歯科
185,湯島なかがみ歯科,文京区湯島三丁目４６番５号,湯島平松ビル１階１０１号室,5834-3572,中上　孝仁,令和4年9月5日,歯科、歯科口腔外科、矯正歯科、小児歯科
186,湯島天神みか歯科クリニック,文京区湯島四丁目５番３号,松本ビル１階,6801-5501,鈴木　美華,令和5年6月1日,歯科、歯科口腔外科、小児歯科、矯正歯科
187,小平歯科医院,文京区西片一丁目２番４号,,3811-2303,小平　真希,平成29年3月3日,歯科、矯正歯科、小児歯科、歯科口腔外科
188,グリーン歯科医院,文京区西片一丁目１１番１３号,西片グリーンハウス１０７号室,5800-3585,伊禮　祐子,平成14年5月22日,歯科
189,春日駅前デンタルクリニック,文京区西片一丁目１５番１５号,ＫＤＸ春日ビル１階,6240-0108,田中　義浩,令和4年3月7日,歯科、小児歯科、矯正歯科、歯科口腔外科
190,東大前ひろた歯科クリニック,文京区西片二丁目１番４号,１階,3817-7077,廣田　実可子,平成29年8月3日,歯科、矯正歯科、小児歯科、歯科口腔外科
191,土居歯科医院,文京区西片二丁目９番４号,,3811-2319,土居　裕子,平成25年10月7日,歯科、矯正歯科、小児歯科
192,ナミキ歯科医院,文京区西片二丁目１５番１３号,デルクナーベＷＡＴＡＮＡＢＥ１Ｆ,5842-5877,並木　忠晴,平成12年12月18日,歯科、小児歯科
193,東大前ファミール歯科,文京区向丘一丁目１番１５号,ファミールヒルズ本郷東大前１０２,3816-6480,梅津　薫,令和6年4月2日,歯科、矯正歯科、小児歯科、歯科口腔外科
194,東大前歯科クリニック,文京区向丘一丁目１番１６号,朝日堂ビル２０１,3814-1082,森　麻美,平成14年2月27日,歯科
195,かなデンタルクリニック,文京区向丘一丁目１０番６号,コスモ文京向丘１階１０２号室,5800-6480,石川　加奈子,平成19年3月1日,歯科、矯正歯科、小児歯科、歯科口腔外科
196,吉野歯科クリニック,文京区向丘一丁目１３番５号,シーアイマンション本郷向丘店舗ー１,3813-7747,吉野　徹,平成10年4月23日,歯科、小児歯科
197,向丘歯科医院,文京区向丘二丁目３番８号,204,3812-0029,松田　由紀子,平成6年6月28日,歯科、矯正歯科、小児歯科、歯科口腔外科
198,田中歯科医院,文京区向丘二丁目１７番１８号,,3821-3351,田中　武久,平成10年5月21日,歯科
199,ヴィズデンタルオフィス,文京区向丘二丁目３０番１０号,,6356-7546,青山　由加子,平成27年4月3日,歯科、矯正歯科、小児歯科
200,ヒルズデンタルクリニック,文京区向丘二丁目３５番４号,１階,5815-4818,山岸　篤弘,平成18年3月1日,歯科、矯正歯科、小児歯科、歯科口腔外科
201,チャイルズデンタル,文京区弥生一丁目４番１６号,,5800-0909,菊池　元宏,平成21年7月1日,歯科、矯正歯科、小児歯科
202,こいずみ矯正歯科,文京区根津一丁目４番４号,河内ビル３階３０１号室,3824-4182,小泉　和浩,平成10年8月12日,矯正歯科
203,ミルキー歯科クリニック,文京区根津一丁目１６番８号,ヴィルヌーブ文京・根津１０１,5832-9522,野崎　志保,平成27年12月8日,歯科、矯正歯科、小児歯科、歯科口腔外科
204,辻村歯科医院,文京区根津一丁目２２番１０号,メセナビル２階,5814-8148,辻村　利美,平成3年12月2日,歯科、小児歯科
205,ニコライ歯科,文京区根津一丁目２３番９号,202,3827-9823,前島　伸一郎,平成9年4月1日,歯科、矯正歯科、小児歯科
206,医療法人社団聡真会　マミ歯科クリニック,文京区根津一丁目２７番４号,,3828-3888,医療法人社団聡真会,平成11年6月28日,歯科、矯正歯科、小児歯科
207,医療法人社団晨光会　佐々木デンタルクリニック,文京区根津二丁目１５番１１号,ルミエール２階,3281-8049,医療法人社団晨光会,令和6年2月8日,歯科、矯正歯科、小児歯科、歯科口腔外科
208,瓜生歯科医院,文京区根津二丁目１６番８号,トミタビル２Ｆ,3823-0530,瓜生　正樹,昭和62年8月22日,歯科、小児歯科
209,根津の街歯科,文京区根津二丁目１６番８号,ＷＡＬＬ１階,3821-1230,生駒　和之,平成28年3月1日,歯科、矯正歯科、小児歯科、歯科口腔外科
210,根津歯科クリニック,文京区根津二丁目２０番１号,フタミビル２０１,5814-2341,布施　英徳,平成9年2月25日,歯科、矯正歯科、小児歯科、歯科口腔外科
211,根津すずらん歯科,文京区根津二丁目２８番５号,ディアハイム根津１０１・１０２,5834-8882,菅野　多真,平成27年10月1日,歯科、矯正歯科、小児歯科、歯科口腔外科
212,千駄木あおば歯科,文京区千駄木一丁目２３番１号,エストレージュ文京千駄木１階,3823-8112,谷田部　優,平成14年5月20日,歯科、小児歯科
213,おはぎ在宅デンタルクリニック,文京区千駄木二丁目８番５号,グリーンべル１階,5834-8385,萩野　礼子,平成31年2月1日,歯科、歯科口腔外科
214,とよだ歯科医院,文京区千駄木二丁目１３番１号,ルネ千駄木プラザ２２８,5814-6487,豊田　博一,平成21年11月27日,歯科、矯正歯科、小児歯科、歯科口腔外科
215,団子坂歯科医院,文京区千駄木二丁目２８番４号,,3823-8148,正畠　世紀,昭和54年12月12日,歯科、小児歯科、歯科口腔外科
216,千駄木　のざき歯科クリニック,文京区千駄木二丁目３３番４号,ウイン千駄木１０５号,5809-0908,野崎　和秀,平成31年2月1日,歯科、小児歯科、歯科口腔外科
217,中島歯科医院,文京区千駄木二丁目４３番３号,山中ビル２０１,3823-2663,中島　宏治,昭和47年11月7日,歯科、小児歯科、歯科口腔外科
218,医療法人社団貴結会　千駄木プラザ歯科,文京区千駄木二丁目４７番１１号,ナイスアーバン千駄木１０１号室,3828-8839,医療法人社団貴結会,平成18年8月1日,歯科、矯正歯科、小児歯科、歯科口腔外科
219,石田歯科医院,文京区千駄木二丁目４８番１８号,102,3828-1414,石田　正明,平成10年3月20日,歯科
220,守谷歯科医院,文京区千駄木二丁目４９番８号,,3821-7362,守谷　久夫,平成29年4月18日,歯科
221,千駄木歯科,文京区千駄木三丁目１９番１８号,,3824-5703,町村　晴代,昭和61年5月30日,歯科、矯正歯科
222,なかね歯科道灌山,文京区千駄木三丁目２２番１２号,ストークエイコー１階,3821-9917,中根　和彦,平成21年4月28日,歯科、矯正歯科、小児歯科、歯科口腔外科
223,アイデンタルオフィス,文京区千駄木三丁目２６番１０号,グランプラス千駄木１階,5842-1483,飯久保　正純,平成27年1月5日,歯科、矯正歯科、小児歯科、歯科口腔外科
224,医療法人社団ＹＤＣ　ゆりの木歯科医院,文京区千駄木三丁目２８番１号,,3823-6000,医療法人社団ＹＤＣ,平成30年4月2日,歯科、小児歯科
225,ひのまる歯科,文京区千駄木三丁目３１番１２号,ワコーレ千駄木ビル９階,5809-0707,渡邊　学,平成26年6月6日,歯科、矯正歯科、小児歯科、歯科口腔外科
226,医療法人社団和英会　しまだ歯科医院,文京区千駄木三丁目３６番１２号,文京ビル１階,5685-1500,医療法人社団和英会,平成24年12月5日,歯科、小児歯科、歯科口腔外科
227,千葉歯科クリニック,文京区千駄木三丁目４１番１２号,アネックス千駄木１０２,3822-3361,千葉　桂介,平成7年3月27日,歯科、小児歯科
228,しまざき歯科,文京区千駄木三丁目４２番１６号,,5815-2339,島崎　直美,平成12年7月19日,歯科、小児歯科
229,小滝歯科,文京区千駄木三丁目４４番７号,,3821-2659,小滝　昇,平成19年2月15日,歯科
230,谷根千歯科,文京区千駄木三丁目４６番１０号,１階,5834-8280,野村　豪彦,平成21年2月27日,歯科、小児歯科、歯科口腔外科
231,森歯科医院,文京区千駄木四丁目１３番６号,アドリーム文京動坂２０２,3821-2676,森　俊一,平成9年4月1日,歯科、小児歯科、歯科口腔外科
232,岩波歯科医院,文京区千駄木四丁目２２番２号,,3821-2625,岩波　行紀,平成15年8月19日,歯科、矯正歯科
233,さくら千駄木デンタルクリニック,文京区千駄木四丁目８番６号,,3824-6482,内藤　裕義,令和5年1月5日,歯科、小児歯科、歯科口腔外科、矯正歯科
234,デンタルクリニックアイ,文京区千駄木五丁目３９番２号,,3828-8502,田中　妙,平成9年8月20日,歯科
235,本駒込やまもと歯科,文京区本駒込一丁目１番１５号,五十嵐ビル１階,5809-0418,山本　信太,令和1年12月27日,歯科、歯科口腔外科、小児歯科
236,医療法人社団佑秀会　本駒込の文京シティ歯科,文京区本駒込一丁目１番２７号,アトラス白山１階,3868-2013,医療法人社団佑秀会,平成28年12月2日,歯科、矯正歯科、小児歯科、歯科口腔外科
237,たかはし歯科医院,文京区本駒込一丁目４番４号,,3947-8148,高橋　健二,平成2年9月29日,歯科、矯正歯科、小児歯科
238,しのだ歯科医院,文京区本駒込一丁目２６番１３号,,3941-8469,篠田　圭生,平成2年1月16日,歯科、小児歯科
239,フジタ歯科医院,文京区本駒込二丁目８番８号,藤田ビル内,3942-0361,藤田　良治,昭和58年1月10日,歯科
240,医療法人社団清明会　市田歯科医院,文京区本駒込二丁目１０番３号,ウエストワンビル３階,3947-8041,医療法人社団清明会,平成13年5月30日,歯科、矯正歯科、歯科口腔外科
241,千石駅前エイチデンタルクリニック,文京区本駒込二丁目１０番７号,濱田ビル１階１０１号室,6902-1131,柴田　紘行,令和5年12月22日,歯科、小児歯科、矯正歯科、歯科口腔外科
242,醍醐歯科医院,文京区本駒込二丁目２７番１５号,ＪＥＳビル２階,3946-6060,醍醐　宏和,昭和60年5月2日,歯科
243,医療法人社団英清会　アクアグリーンコート歯科,文京区本駒込二丁目２８番１０号,文京グリーンコートイーストウイング３階,3944-6063,医療法人社団英清会,平成10年3月2日,歯科、矯正歯科
244,れいデンタルクリニック,文京区本駒込二丁目２８番３０号,鈴木ビル１階,6304-1481,森　玲子,平成27年4月27日,歯科、矯正歯科、小児歯科、歯科口腔外科
245,医療法人社団ＦＤＳ　フジサキ歯科・矯正歯科,文京区本駒込二丁目２９番１７号,オリンポスコマキ１０１,5319-7030,医療法人社団ＦＤＳ,平成23年5月2日,歯科、矯正歯科、小児歯科、歯科口腔外科
246,松原歯科医院,文京区本駒込三丁目１番９号,,3821-2366,松原　真,平成3年3月6日,歯科、歯科口腔外科、小児歯科、矯正歯科
247,本駒込デンタルクリニック,文京区本駒込三丁目２番１０号,本郷台マンション１０２,5809-0931,?木　徹,令和6年2月1日,歯科、矯正歯科、歯科口腔外科
248,安東歯科医院,文京区本駒込三丁目１７番５号,安東ビル１階,3823-0542,安東　治家,平成13年3月1日,歯科
249,横田歯科医院,文京区本駒込三丁目２２番２号,グレース駒込１Ｆ,5832-4388,横田　広行,平成12年11月20日,歯科、矯正歯科、小児歯科、歯科口腔外科
250,あきやま歯科眼科,文京区本駒込三丁目３４番１２号,,3823-6500,秋山　正則,平成4年10月30日,歯科、眼科
251,やまだ歯科医院,文京区本駒込四丁目１６番１３号,ラフィーネ本駒込１０２号室,3821-0224,山田　敏弘,平成12年2月25日,歯科、矯正歯科、小児歯科
252,川俣歯科医院,文京区本駒込四丁目４０番１１号,,3828-0629,川俣　良知,昭和62年7月2日,歯科
253,本駒込歯科室,文京区本駒込四丁目４８番３号,１階,5815-8806,岡田　力,平成19年8月29日,歯科、矯正歯科、小児歯科、歯科口腔外科
254,ふかほり歯科,文京区本駒込五丁目２３番２号,,3822-1182,深堀　真敬,平成14年5月29日,歯科、矯正歯科、小児歯科、歯科口腔外科
255,医療法人社団樹正会　丸山歯科医院,文京区本駒込五丁目４４番２号,１階,3821-2294,医療法人社団樹正会　,平成26年2月5日,歯科、矯正歯科、小児歯科、歯科口腔外科
256,医療法人社団幸歯会　福徳歯科医院,文京区本駒込五丁目４５番４号,テリービル２０２,5814-8211,医療法人社団幸歯会,平成8年9月3日,歯科、小児歯科
257,たけやま歯科医院,文京区本駒込五丁目７２番１３号,アゼリアコート１０１,3946-5711,竹山　泰寿,平成16年5月27日,歯科、小児歯科、歯科口腔外科
258,医療法人社団雄窓会　やまとむらデンタルクリニック,文京区本駒込六丁目２番１号,栄泉堂ビル２０２号室,6902-1180,医療法人社団雄窓会　,平成27年4月1日,歯科、矯正歯科、小児歯科、歯科口腔外科
259,おおひら歯科,文京区本駒込六丁目１２番１５号,,3946-4188,大平　喜久子,平成31年3月1日,歯科、小児歯科、矯正歯科、歯科口腔外科
