経営,事業所名,郵便番号,所在地,経度,緯度,座標系,電話番号
社福法人,中野区立弥生福祉作業所,164-0013,中野区弥生町４－３６－１５,139.67055,35.68969,JGD2011,03-3384-2939
社福法人,杉の子丸山,165-0021,中野区丸山１－４－５,139.65608,35.72334,JGD2011,03-3385-8565
社福法人,コロニー中野,165-0023,中野区江原町２－６－７,139.66768,35.72882,JGD2011,03-3953-3541
他の法人,すばるカンパニー,165-0033,中野区若宮１－５４－１５,139.65016,35.71997,JGD2011,03-3339-6541
社福法人,杉の子　大和,165-0034,中野区大和町３－１８－２,139.64749,35.71111,JGD2011,03-3336-6294
他の法人,koen the TAO,166-0002,杉並区高円寺北３－６－２　１階,139.6452,35.7055,JGD2011,03-6383-0445
社福法人,杉並・あしたの会福祉作業所,166-0004,杉並区阿佐谷南３－１２－１　第三栄ビル,139.62878,35.70282,JGD2011,03-5397-3636
他の法人,魔法陣,166-0004,杉並区阿佐谷南３－９－２　新光ハイツ１－Ｄ,139.6313,35.70155,JGD2011,03-3393-5522
社福法人,ワークショップ・かたつむり,166-0012,杉並区和田１－５－１８　アテナビル２階,139.66295,35.68917,JGD2011,03-3381-4278
社福法人,済美職業実習所,166-0013,杉並区堀ノ内１－２６－６,139.64935,35.6862,JGD2011,03-3312-0566
他の法人,けやき亭,166-0015,杉並区成田東３－１－３,139.64076,35.69464,JGD2011,03-3311-6101
他の法人,ゆい企画,166-0015,杉並区成田東５－１５－２１　成宗マンション１階,139.6286,35.70196,JGD2011,03-3220-7880
社福法人,あけぼの作業所,167-0023,杉並区上井草４－３－１１,139.59697,35.7181,JGD2011,03-3395-1441
他の法人,障害者就労支援センター どんまい福祉工房,167-0031,杉並区本天沼１－２４－９,139.63199,35.7137,JGD2011,03-3396-2881
社福法人,阿佐谷福祉工房,167-0032,杉並区天沼１－１５－１８,139.62997,35.70752,JGD2011,03-3392-7347
他の法人,マカナ,167-0032,杉並区天沼２－３－９　伊藤ビル２階・３階,139.62389,35.70508,JGD2011,03-6279-9579
他の法人,ワークみらい,167-0032,杉並区天沼３－６－６　吉田ビル２０１,139.61916,35.7069,JGD2011,03-6383-5746
他の法人,作業所にしおぎ館,167-0042,杉並区西荻北４－３１－１２　西荻マンション１階,139.59299,35.70861,JGD2011,03-3397-3154
他の法人,リブレ,167-0043,杉並区上荻１－５－８,139.62183,35.70494,JGD2011,03-3392-7946
他の法人,パルテ,167-0043,杉並区上荻１－１３－１０　共栄ビル３０３号室、３０２号室,139.61803,35.70503,JGD2011,03-3392-7939
他の法人,工房ラルゴ,167-0043,杉並区上荻４－２６－１１,139.60294,35.71151,JGD2011,03-3399-1338
社福法人,チャレンジ,167-0043,杉並区桃井４－４－３　スカイコート西荻窪２,139.60147,35.71265,JGD2011,03-5310-5052
他の法人,パソコン工房ゆずりは,167-0051,杉並区荻窪１－２０－１５,139.6192,35.69279,JGD2011,03-6383-5364
社福法人,ひまわり作業所,167-0054,杉並区松庵２－２２－２２,139.59227,35.69815,JGD2011,03-3333-9724
社福法人,あすなろ作業所,168-0062,杉並区方南１－３ー４,139.66023,35.67418,JGD2011,03-3322-1020
他の法人,杉並いずみ　第二,168-0062,杉並区方南１－５２－２０,139.65829,35.67954,JGD2011,03-3321-4485
他の法人,杉並いずみ　第一,168-0063,杉並区和泉４－４４－４,139.65378,35.68136,JGD2011,03-5377-2121
他の法人,アゲイン,168-0064,杉並区永福１－２７－３１,139.64473,35.67241,JGD2011,03-5300-2834
他の法人,地球儀,168-0064,杉並区永福４－１－５　三永永福ビル２階,139.64357,35.67656,JGD2011,03-5300-0310
他の法人,かいとー,168-0065,杉並区浜田山３－１－９,139.6335,35.67962,JGD2011,03-5374-3033
他の法人,Ｓ．Ｕストリート,168-0074,杉並区上高井戸１－１－９,139.6156,35.66995,JGD2011,03-5374-2505
社福法人,希望の家,168-0082,杉並区久我山５－３６－１７,139.60188,35.68991,JGD2011,03-3335-3774
区市町村,豊島区立駒込福祉作業所,170-0003,豊島区駒込４－７－１,139.74182,35.73521,JGD2011,03-3910-2301
社福法人,豊芯会ジョブトレーニング事業所,170-0004,豊島区北大塚３－３４－７,139.72672,35.73506,JGD2011,03-3915-9002
他の法人,共同作業所オーク,171-0014,豊島区池袋２－５３－１３　ルート池袋第２ビル４階・５階・６階,139.70908,35.73404,JGD2011,03-5992-8287
社福法人,いけぶくろ茜の里,171-0014,豊島区池袋４－１５－１０,139.70775,35.73983,JGD2011,03-5960-5231
他の法人,自立支援センターまめの樹,171-0021,豊島区西池袋５－２６－１６　ＣＨＩＢＡビル５階,139.69955,35.73221,JGD2011,03-3973-8711
営利法人,は～と豊島,171-0022,豊島区南池袋４－２４－５　ロゼ南池袋２０１,139.72252,35.72312,JGD2011,03-5927-9795
他の法人,こみっとプレイス,171-0022,豊島区南池袋４－１０－５　１階,139.71758,35.72342,JGD2011,03-6903-1355
区市町村,豊島区立目白福祉作業所,171-0031,豊島区目白５－２４－１２,139.69717,35.72531,JGD2011,03-3953-4195
他の法人,就労継続支援Ｂ型　ＢａｓｅＣａｍｐ,171-0043,豊島区要町３－２２－１０　星野館ビル４０１,139.68831,35.73887,JGD2011,03-5926-7418
他の法人,ル・ピュル,171-0051,豊島区長崎１－１８－９　阿部ビル,139.69382,35.7286,JGD2011,03-6905-8005
他の法人,あおぞら作業所,171-0052,豊島区南長崎５－９－１０　レジェンド南長崎１０１,139.68251,35.72729,JGD2011,03-3565-6242
社福法人,就労継続支援Ｂ型　みつばちブンブン,171-0052,豊島区南長崎６－３４－１３　風の樹ビル２号館,139.67929,35.7317,JGD2011,03-3954-0839
他の法人,ワークスペース　のぞみ,171-0052,豊島区南長崎５－１８－２　南和ビル１・３Ｆ,139.68172,35.72848,JGD2011,03-6908-1919
他の法人,このはの家,171-0052,豊島区南長崎５－１８－７　コーポ藤１階１０２,139.68172,35.72848,JGD2011,03-6850-3019
社福法人,あゆみ福祉センター,114-0001,北区東十条６－５－１９,139.72549,35.7705,JGD2011,03-6454-4405
社福法人,第二あゆみ福祉センター,114-0001,北区東十条３－１４－２５,139.7292,35.76587,JGD2011,03-5959-3505
区市町村,東京都北区立王子福祉作業所,114-0002,北区王子２－１９－２０,139.73642,35.75888,JGD2011,03-3919-9575
他の法人,たいよう,114-0003,北区豊島５－３－３５,139.75035,35.76525,JGD2011,03-3927-0348
他の法人,あいアイ工房,114-0012,北区田端新町３－３６－６　四季ビル１階,139.7646,35.74185,JGD2011,03-6807-6622
他の法人,フリッカ・ビーウーマン,114-0014,北区田端６－３－１８　ビラカミムラ３０２,139.75844,35.73846,JGD2011,03-3822-7658
区市町村,東京都北区立たばた福祉作業所,114-0024,北区西ヶ原１－１９－１２,139.74791,35.74276,JGD2011,03-5907-5215
社福法人,就労・生活支援センター飛鳥晴山苑,114-0024,北区西ケ原４－５１－１,139.73605,35.74216,JGD2011,03-3940-9181
他の法人,つばさ工房,114-0024,北区西ケ原２－４０－１２　パーソナルハイツ１階,139.74144,35.74646,JGD2011,03-3910-4617
他の法人,ワーク・イン・あすか,114-0024,北区西ケ原１－１－１３　ヴェルテＮ１０１,139.74757,35.73968,JGD2011,03-3910-7550
他の法人,第二ワーク・イン・あすか,114-0024,北区西ケ原２－３５－８,139.7402,35.74669,JGD2011,03-3949-0009
社福法人,ワーク・スペース・ポピー,114-0031,北区十条仲原３－９－１,139.72026,35.76677,JGD2011,03-5993-5199
社福法人,ふれあいファクトリー,114-0033,北区十条台１－２－２,139.72386,35.75396,JGD2011,070-1463-5020
社福法人,工房ヴイ,114-0034,北区上十条２－１－１２,139.72194,35.75734,JGD2011,03-3906-7767
社福法人,ワークハウスペガサス,115-0043,北区神谷２－１７－２,139.72813,35.77039,JGD2011,03-3903-3942
社福法人,来夢,115-0044,北区赤羽南２－６－６　スカイブリッジ２１,139.72285,35.77238,JGD2011,03-3598-9100
社福法人,第二ワークハウスペガサス,115-0052,北区赤羽北１－２０－２,139.714,35.78719,JGD2011,03-5963-6090
社福法人,ヴイ長屋,115-0054,北区桐ケ丘１－９－４－Ｅ２８Ａ－１０７,139.7083,35.77633,JGD2011,03-5948-4300
区市町村,東京都北区立赤羽西福祉作業所,115-0055,北区赤羽西５－７－５,139.71019,35.77599,JGD2011,03-3907-5801
社福法人,りんりんりん,115-0055,北区赤羽西２－３－２０,139.72144,35.7726,JGD2011,03-5948-9181
他の法人,町屋あさがお　,116-0001,荒川区町屋３－２８－２,139.78148,35.74881,JGD2011,03-3810-3900
区市町村,荒川区立荒川福祉作業所,116-0002,荒川区荒川１－５３ー９,139.78503,35.73304,JGD2011,03-3807-3442
社福法人,荒川ひまわり,116-0002,荒川区荒川１－１７－３－１０３,139.78717,35.73546,JGD2011,03-3891-0507
他の法人,小台橋あさがお,116-0002,荒川区荒川４－２７－２,139.7811,35.73779,JGD2011,03-6806-6872
社福法人,ワークハウス荒川,116-0011,荒川区西尾久７－５０－６,139.75186,35.75,JGD2011,03-3894-4100
他の法人,オフィスサプライ東京,116-0011,荒川区西尾久５－２０－１８,139.75829,35.74789,JGD2011,03-6240-8944
社福法人,ワークハウス荒川第２,116-0011,荒川区西尾久７－５１－７,139.75188,35.75027,JGD2011,03-3894-4100
社福法人,荒川ひまわり第２,116-0012,荒川区東尾久３－２０－１０　ベルメゾンエス２階,139.77034,35.74743,JGD2011,03-3895-6149
社福法人,作業所ボンエルフ,116-0013,荒川区東日暮里３－８－１６　３階,139.78276,35.72975,JGD2011,03-3806-9424
他の法人,ワン・ステップ,116-0014,荒川区東日暮里１－１０－４,139.78842,35.73151,JGD2011,03-6458-3232
医療法人,studio 753,116-0014,荒川区東日暮里６－２２－１３　１階,139.77702,35.73139,JGD2011,03-6806-7534
区市町村,東京都板橋区立加賀福祉園,173-0003,板橋区加賀１－７－２,139.71945,35.75374,JGD2011,03-3579-2366
社福法人,ＪＨＣ大山,173-0024,板橋区大山金井町３８－１２－１０４,139.70352,35.74743,JGD2011,03-3974-9981
社福法人,おおやま福祉作業所,173-0024,板橋区大山金井町２１－１,139.70703,35.74611,JGD2011,03-5995-6186
他の法人,こもね作業所,173-0025,板橋区熊野町１４－８,139.7072,35.74233,JGD2011,03-3958-6368
区市町村,東京都板橋区立小茂根福祉園,173-0037,板橋区小茂根３－１２－２１,139.67847,35.7504,JGD2011,03-3958-8831
他の法人,ひあしんす城北,173-0037,板橋区小茂根４－１８－１４,139.67442,35.74944,JGD2011,03-3956-9521
営利法人,愛輪の里　雅　小茂根,173-0037,板橋区小茂根１－２６－６,139.67778,35.74668,JGD2011,03-5926-5672
他の法人,りそうとひかり,174-0041,板橋区舟渡３－２８－１４,139.68323,35.79552,JGD2011,03-5939-8530
区市町村,東京都板橋区立蓮根福祉園,174-0043,板橋区坂下２－８－１－１０１,139.68304,35.7816,JGD2011,03-5392-0761
他の法人,Ｙ’ｓコート　ゆい,174-0043,板橋区坂下１－３４－２５　公益財団法人東京ＹＷＣＡ板橋センター,139.68442,35.78096,JGD2011,03-5939-8623
社福法人,ＪＨＣ志村,174-0046,板橋区蓮根３－２－１５　植草ビル３階,139.67906,35.78632,JGD2011,03-3967-3489
社福法人,とくまる福祉作業所,174-0046,板橋区蓮根３－９－２６,139.67503,35.78741,JGD2011,03-3558-1910
他の法人,Ｂｅｅｃｈ,174-0053,板橋区清水町８１－１１,139.70448,35.76678,JGD2011,03-6909-6411
社福法人,東京聴覚障害者支援センター,174-0056,板橋区志村２－１９－５,139.68797,35.77572,JGD2011,03-3967-0051
区市町村,東京都板橋区立前野福祉園,174-0063,板橋区前野町四丁目１６番１号,139.68993,35.77156,JGD2011,03-5392-8731
社福法人,まえの福祉作業所,174-0063,板橋区前野町３－１７－１２,139.69115,35.76801,JGD2011,03-3965-1031
営利法人,愛輪の里　雅　前野町,174-0063,板橋区前野町２－３９－４　１０１,139.69087,35.76661,JGD2011,03-5918-9138
他の法人,ときわの杜,174-0071,板橋区常盤台３－２７－１２,139.68245,35.76124,JGD2011,03-5939-8994
営利法人,愛輪の里　雅,174-0074,板橋区東新町２－２０－１,139.68059,35.7545,JGD2011,03-5917-1473
区市町村,東京都板橋区立高島平福祉園,175-0082,板橋区高島平９－２５－１２,139.6682,35.79048,JGD2011,03-3550-3403
他の法人,リトルハウス,175-0082,板橋区高島平９－２４－４,139.66814,35.79011,JGD2011,03-6361-0596
社福法人,東京都板橋福祉工場　就労継続支援Ｂ型事業所,175-0082,板橋区高島平９－４２－７,139.66948,35.7915,JGD2011,03-3935-2601
区市町村,東京都板橋区立徳丸福祉園,175-0083,板橋区徳丸３－４１－１６,139.65637,35.77544,JGD2011,03-3935-7213
区市町村,東京都板橋区立赤塚福祉園,175-0092,板橋区赤塚６－１９－１４,139.64537,35.77711,JGD2011,03-5383-5741
社福法人,ＪＨＣ秋桜,175-0092,板橋区赤塚２－１５－２０,139.64397,35.7729,JGD2011,03-5997-2832
社福法人,ＪＨＣ赤塚,175-0092,板橋区赤塚１－８－１５,139.64648,35.77079,JGD2011,03-3975-3299
他の法人,コア・デイケア・センター,175-0092,板橋区赤塚４－３３－１１,139.64125,35.7867,JGD2011,090-6885-3492
営利法人,ｆｔｌ　ビー・ワーク,175-0094,板橋区成増２－２３－１　太郎第二ビル,139.63026,35.77892,JGD2011,03-6904-1095
社福法人,たんぽぽ,176-0001,練馬区練馬２－１４－９,139.65344,35.74202,JGD2011,03-5946-3588
社福法人,かすたねっと桜台,176-0001,練馬区練馬２－１－９,139.65605,35.74122,JGD2011,03-3948-1640
他の法人,銀杏,176-0001,練馬区練馬１－２６－６,139.65532,35.73898,JGD2011,03-5999-8314
他の法人,共同作業所ホサナショップ,176-0002,練馬区桜台１－１２－５－２０３,139.66286,35.7396,JGD2011,03-3991-7931
他の法人,あんずの家,176-0002,練馬区桜台１－８－２　ニュー桜台ビル,139.66238,35.7392,JGD2011,03-6914-8393
社福法人,すのうべる,176-0005,練馬区旭丘１－３３－４　森田方１階,139.67615,35.7337,JGD2011,03-3952-3194
社福法人,えごのみ,176-0006,練馬区栄町３６－１　グレースコートＢ１－Ｃ,139.67021,35.73919,JGD2011,03-3948-1213
他の法人,ユニバースショップ,176-0012,練馬区豊玉北５－６－２,139.6559,35.73558,JGD2011,03-3994-1885
社福法人,ねりま事業所,176-0013,練馬区豊玉中４－１０－６,139.64908,35.7311,JGD2011,03-3948-0275
社福法人,すまいる・フォレスト,177-0032,練馬区谷原５－２２－２　ＭＫＬビル３Ｆ,139.61063,35.75204,JGD2011,03-5372-3666
社福法人,山彦作業所,177-0034,練馬区富士見台２－１９－９,139.62428,35.73594,JGD2011,03-3998-5023
他の法人,共同作業所ほっとすぺーす練馬,177-0034,練馬区富士見台１－２６－１９－１０２,139.61914,35.73488,JGD2011,03-5848-7730
社福法人,ワークショップ石神井,177-0041,練馬区石神井町７－１７－４,139.59567,35.74326,JGD2011,03-5923-9811
区市町村,練馬区立白百合福祉作業所,177-0041,練馬区石神井町５－１３－１０,139.60054,35.73711,JGD2011,03-3995-7796
他の法人,ほっとすぺーす関町,177-0045,練馬区石神井台７－１３－１４,139.57787,35.73021,JGD2011,03-3929-3917
社福法人,やすらぎラウンジ,177-0045,練馬区石神井台８－２２－６,139.58006,35.73755,JGD2011,03-5947-4503
社福法人,やすらぎの杜,177-0051,練馬区関町北５－７－１０,139.57187,35.73219,JGD2011,03-3928-3315
他の法人,Ｈｏｔ　Ｊｏｂ,177-0052,練馬区関町東１－１－８－２階,139.58536,35.72335,JGD2011,03-3929-7178
社福法人,つくりっこの家クラブハウス,178-0061,練馬区大泉学園町１－２３－５,139.5909,35.76209,JGD2011,03-5387-2477
他の法人,大泉学園実習ホーム,178-0061,練馬区大泉学園町８－３０－３０,139.59396,35.77502,JGD2011,03-3923-6618
社福法人,大泉障害者支援ホーム,178-0061,練馬区大泉学園町９－４－２,139.59853,35.77479,JGD2011,03-3978-5581
他の法人,ウイズタイム,178-0061,練馬区大泉学園町４－３０－２０,139.59378,35.7682,JGD2011,03-5947-4052
区市町村,練馬区立かたくり福祉作業所,178-0062,練馬区大泉町３－２７－１０,139.59825,35.76699,JGD2011,03-5387-4610
区市町村,練馬区立大泉福祉作業所,178-0063,練馬区東大泉２－１１－２２,139.59486,35.75139,JGD2011,03-3922-6193
社福法人,べるはうす,178-0063,練馬区東大泉３－６６－１６　大泉ガーデン内,139.58832,35.75675,JGD2011,03-3867-7740
社福法人,ねりま第二事業所,178-0063,練馬区東大泉２－１－１５,139.59535,35.74907,JGD2011,03-3921-6382
社福法人,あかねの会　就労支援室,179-0074,練馬区春日町１－１８－３６,139.64752,35.74971,JGD2011,03-3577-7421
社福法人,ねりま高松事業所,179-0075,練馬区高松４－３１－１０,139.62346,35.75154,JGD2011,03-5848-8311
社福法人,やすらぎ夢工房,179-0076,練馬区土支田３－２９－２５,139.60909,35.76225,JGD2011,03-5933-2023
区市町村,練馬区立北町福祉作業所,179-0081,練馬区北町８－２－１２,139.65102,35.76413,JGD2011,03-3559-0361
社福法人,やまびこ第二作業所,179-0081,練馬区北町７－２０－３６,139.64905,35.76307,JGD2011,03-3933-8935
他の法人,ウェルネス　アンド　ワークス,179-0081,練馬区北町６－３５－１５　八鍬ビル１階,139.64937,35.7577,JGD2011,03-5945-8381
営利法人,愛輪の里　雅　錦,179-0082,練馬区錦１－１６－１０,139.67062,35.75773,JGD2011,03-6906-6992
区市町村,足立区大谷田就労支援センター,120-0001,足立区大谷田１－４４ー３,139.84526,35.78016,JGD2011,03-3605-6762
営利法人,アトリエ･ミック,120-0001,足立区大谷田１－４１－８,139.84554,35.77917,JGD2011,03-5856-0369
社福法人,綾瀬スマイル工房,120-0002,足立区中川４－７－３,139.84477,35.77223,JGD2011,03-5697-5383
他の法人,綾瀬共同作業所,120-0004,足立区東綾瀬１－２３－５　雅マンション１０１,139.82967,35.76485,JGD2011,03-5682-9988
社福法人,綾瀬ひまわり園,120-0005,足立区綾瀬７－２－７,139.82486,35.77447,JGD2011,03-3629-3231
社福法人,綾瀬なないろ園,120-0005,足立区綾瀬７－１４－１２,139.82666,35.7729,JGD2011,03-5682-0730
営利法人,すたっかぁと,120-0005,足立区綾瀬２－３７－１,139.82938,35.75968,JGD2011,03-6662-9001
他の法人,コレカラ堂,120-0006,足立区谷中３－７－２１,139.83522,35.77903,JGD2011,03-5849-5759
他の法人,アリス,120-0011,足立区中央本町１－１８－１７,139.8051,35.77602,JGD2011,03-3849-6300
他の法人,ラトリエＡＯＩ,120-0012,足立区青井１－１７－７,139.81436,35.77465,JGD2011,03-6807-2427
他の法人,ワーカーズコープ青井,120-0012,足立区青井５－１０－２,139.81866,35.77707,JGD2011,03-6807-2982
社福法人,はなさく第二共同作業所　,120-0022,足立区柳原１－１－１５　柳原共同会館,139.81081,35.74627,JGD2011,03-5813-3625
他の法人,メロディー竹の塚,120-0023,足立区保木間１－１－１３,139.80353,35.78912,JGD2011,03-5851-9802
社福法人,ボンサンス・千寿,120-0034,足立区千住４－３－９,139.80159,35.75337,JGD2011,03-3888-1470
他の法人,Ｓ．Ｇ．Ｓ．さんらいず,120-0041,足立区千住元町１０－７,139.79297,35.75459,JGD2011,03-3881-6554
社福法人,神明福祉作業所,121-0057,足立区神明南２－６－１８,139.83304,35.78719,JGD2011,03-5682-5370
医療法人,一粒の麦,121-0061,足立区花畑４－３４－１６,139.80484,35.8054,JGD2011,03-3884-8351
営利法人,のんの,121-0064,足立区保木間１－１－３　東潤ビル２階,139.80353,35.78912,JGD2011,03-5831-1015
他の法人,渕江作業所,121-0064,足立区保木間３－４－１３　シオガマビル１階,139.80266,35.79638,JGD2011,03-5856-5806
社福法人,花畑共同作業所,121-0071,足立区東六月町５－２０,139.80316,35.78767,JGD2011,03-6684-3990
他の法人,保木間作業所,121-0072,足立区保塚町９－１４,139.81377,35.78661,JGD2011,03-3860-9513
社福法人,葦の会作業所,121-0801,足立区東伊興１－１４－７,139.78297,35.80471,JGD2011,03-3857-8839
社福法人,希望の苑,121-0813,足立区竹の塚７－１９－９,139.7959,35.80096,JGD2011,03-5831-1801
社福法人,竹の塚ひまわり園,121-0813,足立区竹の塚７－１９－７,139.7959,35.80096,JGD2011,03-5831-1721
区市町村,足立区精神障がい者自立支援センター,121-0813,足立区竹の塚６－１８－１２,139.79236,35.79663,JGD2011,03-3883-7177
社福法人,協立作業所,121-0816,足立区梅島３－７－２１,139.79645,35.77581,JGD2011,03-3840-4339
他の法人,ＷＥＬ’Ｓ　ＦＬＡＴ,121-0831,足立区舎人６－６－２２,139.76564,35.81496,JGD2011,03-5837-4495
他の法人,諏訪木作業所,123-0841,足立区西新井３－１０－１７,139.7834,35.78797,JGD2011,03-3899-9513
営利法人,けい　SHARE,123-0841,足立区西新井２－３２－１４　サンセール西新井１階,139.77971,35.7859,JGD2011,03-5647-6616
社福法人,就労支援施設　ウィズユー,123-0844,足立区興野２－１８－１２,139.7782,35.76917,JGD2011,03-5837-4830
他の法人,ベルの会共同作業所,123-0845,足立区西新井本町２－１５－７,139.77238,35.77702,JGD2011,03-3856-9420
社福法人,萌作業所,123-0851,足立区梅田２－１９－１,139.8009,35.76495,JGD2011,03-3840-1003
他の法人,コスモス会,123-0856,足立区本木西町１７－１８,139.77798,35.7616,JGD2011,03-3854-3175
社福法人,谷在家福祉作業所,123-0863,足立区谷在家３－１３－１,139.76564,35.78833,JGD2011,03-3853-0632
社福法人,アトリエほっと・しかはま,123-0864,足立区鹿浜７－２３－１３,139.76169,35.7853,JGD2011,03-3855-6135
営利法人,かがやき夢工場,124-0001,葛飾区小菅４－８－６　エバー綾瀬２階～４階,139.82478,35.76113,JGD2011,03-3604-8501
社福法人,Craft,124-0004,葛飾区東堀切１－１６－２２,139.83524,35.74961,JGD2011,03-3603-0598
その他,第２あすなろの家,124-0005,葛飾区宝町２－２－２７,139.83409,35.74509,JGD2011,03-5698-8293
営利法人,レッツ・エンジョイ,124-0006,葛飾区堀切２－６－４　ぷれじお華３階,139.82475,35.74353,JGD2011,03-6662-8701
社福法人,きね川福祉作業所,124-0014,葛飾区東四つ木３－８－１０,139.83823,35.7294,JGD2011,03-3694-1577
他の法人,就労支援センターファンタジア,124-0021,葛飾区細田５－１６－１１,139.87563,35.73785,JGD2011,03-6458-0127
社福法人,奥戸福祉館,124-0022,葛飾区奥戸３－１７ー４－１０１,139.86102,35.73015,JGD2011,03-5670-8111
社福法人,しょうぶエバンズ,124-0022,葛飾区奥戸１－１－１,139.85098,35.72871,JGD2011,03-5654-3353
社福法人,シャイン,124-0022,葛飾区奥戸２－１－８,139.85591,35.73336,JGD2011,03-5671-2145
その他,あすなろの家,124-0024,葛飾区新小岩３－２０－６,139.86609,35.71532,JGD2011,03-3674-2560
社福法人,やすらぎリバーシティ,124-0024,葛飾区新小岩１－５－２,139.85321,35.7146,JGD2011,03-5678-6170
他の法人,グリーンカフェ,124-0024,葛飾区新小岩１－４９－２　古屋ビル３階,139.85989,35.71587,JGD2011,03-5879-4435
社福法人,西水元福祉館,125-0031,葛飾区西水元３－１１－１,139.84726,35.78862,JGD2011,03-5660-2101
社福法人,水元そよかぜ園,125-0032,葛飾区水元５－１６－１１,139.86275,35.78919,JGD2011,03-3607-5656
営利法人,叶夢,125-0035,葛飾区南水元２－２３－２０,139.85799,35.77811,JGD2011,070-5575-2851
社福法人,社会福祉法人東京コロニー　東京都葛飾福祉工場,125-0042,葛飾区金町２－８－２０,139.86884,35.76479,JGD2011,03-3600-4001
営利法人,あさひ,125-0042,葛飾区金町６－５－８,139.87109,35.76865,JGD2011,03-3826-6075
社福法人,かがやけ第２共同作業所,125-0051,葛飾区新宿１－１－１５,139.86005,35.75601,JGD2011,03-3607-3180
社福法人,就労支援施設ビオラ,125-0051,葛飾区新宿３－９－１１,139.86243,35.75983,JGD2011,03-6410-6147
社福法人,さくらハウス,125-0051,葛飾区新宿２－１１－１１　コイズミハイツ１０１,139.85745,35.76268,JGD2011,03-3627-3473
社福法人,葛飾しょうぶ園,125-0054,葛飾区高砂二丁目８番１号,139.86418,35.74871,JGD2011,03-3672-7161
社福法人,高砂福祉館,125-0054,葛飾区高砂５－１０－１,139.86404,35.75185,JGD2011,03-5699-6221
他の法人,就労移行支援施設すずかぜ,125-0061,葛飾区亀有３－１６－１０　たちばなやビル２階,139.84843,35.76387,JGD2011,03-6231-2055
社福法人,青戸しょうぶ,125-0062,葛飾区青戸五丁目２０番６号,139.85451,35.75014,JGD2011,03-3603-9729
社福法人,パランしょうぶ,125-0062,葛飾区青戸８－２４－２７,139.85507,35.75811,JGD2011,03-6231-2161
社福法人,白鳥福祉館,125-0063,葛飾区白鳥４－８－１,139.84688,35.7524,JGD2011,03-3604-0034
社福法人,もぐらの家,132-0003,江戸川区春江町３－２１－６,139.88876,35.69329,JGD2011,03-3679-0110
他の法人,トリコローレ,132-0013,江戸川区江戸川２－８－９３　セントラルハウス１階,139.90356,35.68685,JGD2011,03-6638-9308
他の法人,ＹＳＧ　土の夢,132-0023,江戸川区西一之江４－１６－１１　前波ビル１階,139.87401,35.6944,JGD2011,03-3655-7224
社福法人,エスプリドゥ,132-0033,江戸川区東小松川１－１３－１－１Ｆ・３Ｆ,139.86754,35.69881,JGD2011,03-5879-4792
他の法人,ＰＣ工房,132-0034,江戸川区小松川１－５－２　トニワンビル３０５号室,139.85065,35.68911,JGD2011,03-5875-5592
他の法人,イーストフライト,132-0034,江戸川区小松川３－２－１　テクノタウン３０６,139.84749,35.69683,JGD2011,03-5875-5941
他の法人,第二悠遊舎えどがわ,132-0035,江戸川区平井１－６－１０　チェルシー泉１階,139.84792,35.70116,JGD2011,03-5628-2706
社福法人,すみれ福祉作業所,133-0041,江戸川区上一色３－２７－３　福島ビル１階・２階,139.87294,35.72994,JGD2011,03-3674-0346
社福法人,東京光の村授産学園,133-0051,江戸川区北小岩２－３３－３,139.88757,35.73748,JGD2011,03-5612-2502
社福法人,第二オハナ,133-0054,江戸川区上篠崎４－１０－７,139.89717,35.70916,JGD2011,03-5666-3310
社福法人,さざんくろす篠崎,133-0054,江戸川区上篠崎２－４－２１,139.90154,35.71158,JGD2011,03-5666-3301
他の法人,エルムワークメイト,133-0056,江戸川区南小岩６－５－９,139.87747,35.73024,JGD2011,03-6458-9511
他の法人,小岩作業所,133-0056,江戸川区南小岩３－９－６　テクノプラザビル１Ｆ,139.88591,35.72571,JGD2011,03-3671-8828
区市町村,江戸川区立福祉作業所,133-0057,江戸川区西小岩３－２５－１５,139.87703,35.738,JGD2011,03-3657-1971
社福法人,第三オハナ,133-0061,江戸川区篠崎町２－２－１８,139.90544,35.70484,JGD2011,03-6658-4308
他の法人,味噌工房わくわく,133-0061,江戸川区篠崎町１－６－２２,139.90434,35.70947,JGD2011,03-6638-9748
他の法人,元明館,133-0065,江戸川区南篠崎町２－３４－６　第６ストークマンション１０２,139.90254,35.69219,JGD2011,03-3678-1814
他の法人,ジョブアンティ,133-0073,江戸川区鹿骨１－６１－８　１階,139.89011,35.7107,JGD2011,03-6231-8035
社福法人,るーぷ,134-0003,江戸川区春江町４－１８－１５　インスコート１０１,139.87669,35.68302,JGD2011,03-5879-9288
区市町村,江戸川区立希望の家,134-0013,江戸川区江戸川５－３２－６,139.88287,35.67295,JGD2011,03-3680-1531
社福法人,菜の花作業所,134-0083,江戸川区中葛西２－８－２　,139.87244,35.67318,JGD2011,03-3680-4735
社福法人,江戸川かもめ第一事業所,134-0083,江戸川区中葛西２－８－１,139.87244,35.67318,JGD2011,03-3804-1728
社福法人,江戸川かもめ第二事業所,134-0083,江戸川区中葛西２－８－２１,139.87244,35.67318,JGD2011,03-5658-4865
他の法人,就労継続支援事業所　ワーク花きりん,134-0083,江戸川区中葛西６－１０－７　江戸川ビル１階,139.86635,35.66099,JGD2011,03-6808-1670
