施設の名称,施設所在地,施設所在地ビル名,営業者氏名,営業者住所,営業の種類,施設電話番号,届出日,営業者電話番号,代表者氏名
スーパーマーケットオーケー武蔵小金井店,東京都小金井市本町１丁目１３番３３号,,オーケー  株式会社,神奈川県横浜市西区みなとみらい六丁目3番6号,百貨店、総合スーパー,042-382-6610,2021/10/21,045-263-6062,二宮　涼太郎
,東京都小金井市本町１丁目１８番１０号,小金井本町ビル5F,株式会社JR中央線コミュニティデザイン,東京都小金井市本町１丁目１８番１０号小金井本町ビル５F,その他の食料・飲料販売業(電子申請（未区分）),042-316-4401,2021/6/2,,
目利きの銀次,東京都小金井市本町１丁目１８番８号,桜並Ｓ，Ｈビル４階,株式会社モンテローザ,東京都新宿区歌舞伎町１丁目２１番１号,その他の食料・飲料販売業(店舗),042-385-9288,2022/2/25,0422-36-8288,大神　輝博
モスバーガー武蔵小金井南口店,東京都小金井市本町１丁目１９番１０号,,,,その他の食料・飲料販売業(包装),042-384-1234,2021/10/26,,
グローバルキッズ武蔵小金井園,東京都小金井市本町１丁目１９番８号,,株式会社グローバルキッズ,東京都千代田区富士見２丁目14番36号,集団給食施設(児童福祉施設Ⅱ),042-387-8022,2021/7/13,,
コーヒーガーデン　フロンティア,東京都小金井市本町１丁目９番８号,,株式会社善インターナショナル,東京都世田谷区松原２丁目４５番１２号２階,コーヒー製造・加工業（飲料の製造を除く。）,042-384-9659,2022/6/6,,
小金井市立本町高齢者在宅サービスセンター,東京都小金井市本町２丁目１０番１３号,,社会福祉法人聖ヨハネ会,,集団給食施設(電子申請（未区分）),042-388-8011,2021/11/26,,
ジェニュインコーヒー,東京都小金井市本町２丁目１８番４号,りなハイツ101,,,コーヒー製造・加工業（飲料の製造を除く。）,0424012608,2021/11/25,,
マエボク小金井店,東京都小金井市本町２丁目１９番３６号,,,,米穀類販売業,,2021/6/16,,
にじいろ保育園武蔵小金井,東京都小金井市本町２丁目１番１５号,,ライクキッズ株式会社,東京都渋谷区道玄坂一丁目12番1号渋谷マークシティウェスト,集団給食施設(電子申請（未区分）),0423165632,2023/3/31,,
セブン－イレブン　武蔵小金井駅東店,東京都小金井市本町２丁目２番４号,,,,コンビニエンスストア,042-381-0437,2021/6/1,,
セブン-イレブン　武蔵小金井本町２丁目店,東京都小金井市本町２丁目６番１２号,,,,コンビニエンスストア,042-381-0051,2021/8/2,,
㈱クラウン ベーカリー,東京都小金井市本町２丁目６番１号,,株式会社クラウンベーカリー,東京都新宿区四谷四丁目１９番地,その他の食料・飲料販売業(店舗),042-384-7165,2024/6/11,03-3351-7739,鈴木 高知
Arkゆめの保育園,東京都小金井市本町２丁目７番３３号,,株式会社Ark,東京都小金井市本町２丁目７番３３号,集団給食施設(給食(届出以外)),0423163160,2021/11/22,,
喫茶雨水,東京都小金井市本町２丁目８番１０号,２階,,,コーヒー製造・加工業（飲料の製造を除く。）,,2024/1/16,,
グローバルキッズ小金井第二保育園,東京都小金井市本町２丁目８番１７号,,株式会社グローバルキッズ,東京都千代田区富士見２丁目14番36号,集団給食施設(電子申請（未区分）),042-316-3177,2021/6/16,,
わくわく都民農園小金井,東京都小金井市本町２丁目８番６号,,一般社団法人小金井市観光まちおこし協会,東京都小金井市本町６丁目５番３号,野菜果物販売業(自動車以外),042-208-3413,2022/2/15,042-316-3980,土屋　晴彦
ダーニラ,東京都小金井市本町３丁目１３番２４号,１０８,,,食肉販売業（包装済みの食肉のみの販売）(一般),,2022/7/19,,
いなげや小金井本町店,東京都小金井市本町３丁目１番１号,,株式会社いなげや,東京都立川市栄町６丁目１番地の１,百貨店、総合スーパー,042-385-7677,2022/6/30,,
社会福祉法人信愛会しんあいのぞみ保育園,東京都小金井市本町３丁目５番３号,,,,集団給食施設(電子申請（未区分）),0424011721,2021/11/25,,
社会福祉法人信愛会しんあい保育園,東京都小金井市本町３丁目５番９号,,社会福祉法人信愛会,東京都小金井市本町３丁目５番９号,集団給食施設(電子申請（未区分）),0423812263,2021/11/11,,
セブンイレブン　ムサシ小金井北口店,東京都小金井市本町３丁目８番６号,,有限会社守屋ふとん店,東京都小金井市本町３丁目８番６号,コンビニエンスストア,042-384-5060,2022/8/30,042-383-1341,木下　隆一
木崎商店,東京都小金井市本町４丁目１２番４０号,,,,米穀類販売業,042-381-2743,2021/10/14,,
有限会社　八百圭,東京都小金井市本町４丁目１３番１８号,,,,野菜果物販売業(自動車以外),0423810570,2024/7/10,,
武蔵小金井えほん保育園,東京都小金井市本町４丁目１９番２３号,,株式会社アンジェリカ,東京都豊島区西池袋２丁目４１番８号,集団給食施設(児童福祉施設Ⅱ),042-316-7644,2021/10/15,03-6420-0544,新井　実
ダイソー　ＭＥＧＡドン・キホーテ武蔵小金井駅前店,東京都小金井市本町５丁目１１番２号,ＭＥＧＡドン・キホーテ武蔵小金井駅前店４階,株式会社大創産業,広島県東広島市西条吉行東一丁目４番１４号,その他の食料・飲料販売業(電子申請（未区分）),,2021/11/2,,
MEGAドン・キホーテ武蔵小金井駅前店,東京都小金井市本町５丁目１１番２号,,株式会社長崎屋,東京都目黒区青葉台2-19-10,百貨店、総合スーパー,042-385-3810,2021/9/1,,
天平フーズ　MEGAドン・キホーテ武蔵小金井駅前店,東京都小金井市本町５丁目１１番２号,1階　催事スペース,有限会社天平フーズ,滋賀県高島市新旭町太田775番地,その他の食料・飲料販売業(電子申請（未区分）),,2023/11/15,,
KFC武蔵小金井店,東京都小金井市本町５丁目１３番６号,ソナーレ武蔵小金井１階,日本ケンタッキー・フライド・チキン株式会社,神奈川県横浜市西区みなとみらい四丁目4番5号,その他の食料・飲料販売業(電子申請（未区分）),042-380-4213,2021/11/26,,
ちよだ鮨　武蔵小金井店,東京都小金井市本町５丁目１４番１４号,藤和シティホームズ武蔵小金井駅前,株式会社ちよだ鮨,東京都中央区明石町8番１号,その他の食料・飲料販売業(店舗),042-318-0588,2021/11/18,03-3543-6681,中島　正人
ちよだ鮨　武蔵小金井店,東京都小金井市本町５丁目１４番１４号,藤和シティホームズ武蔵小金井駅前,株式会社ちよだ鮨,東京都中央区明石町8番1号,その他の食料・飲料販売業(電子申請（未区分）),042-318-0588,2022/3/11,,
ファミリーマート　中川小金井北店,東京都小金井市本町５丁目１５番９,－１０１号,有限会社中川米穀店,東京都小金井市本町五丁目１５番９－１０１号,コンビニエンスストア,042-383-3080,2021/11/25,042-383-3080,中川　洋
てのひらストア・ｏｔｅｔｅ,東京都小金井市本町５丁目１５番９号,栄ハイツエクシード１０７,,,野菜果物販売業(自動車以外),042-202-8002,2023/2/6,,
すき家　武蔵小金井北口店,東京都小金井市本町５丁目１８番５号,第55東京ﾋﾞﾙ1F,株式会社すき家,東京都港区港南２丁目１８番１号,その他の食料・飲料販売業(電子申請（未区分）),,2021/11/30,,
日高屋　武蔵小金井北口店,東京都小金井市本町５丁目１８番６号,１F,株式会社ハイデイ日高,埼玉県さいたま市大宮区大門町２丁目１１８番地,その他の食料・飲料販売業(店舗),042-382-7278,2024/7/11,048-644-8447,青野　敬成
やきとり柳田屋　武蔵小金井店,東京都小金井市本町５丁目１９番５号,東新五丁目店　1階・2階,株式会社いちえもん,東京都小金井市本町１丁目１９番８号,その他の食料・飲料販売業(店舗),042-316-3920,2022/3/16,042-316-3278,小柳　淳嗣
まいばすけっと武蔵小金井駅北店,東京都小金井市本町５丁目１９番７号,マノワール武蔵野,まいばすけっと株式会社,千葉県千葉市美浜区中瀬１丁目5番地１,その他の食料・飲料販売業(電子申請（未区分）),042-401-1078,2023/5/10,,
地産マルシェ,東京都小金井市本町５丁目１番１８号,,ファームドゥ株式会社,群馬県高崎市箕郷町下芝７６０番地,乳類販売業(ショーケース売り),042-316-7028,2001/6/1,027-219-3100,岩井　雅之
ファームドゥ 武蔵小金井店,東京都小金井市本町５丁目１番１８号,ムサコガーデン内,ファームドゥ株式会社,群馬県高崎市箕郷町下芝７６０番地,その他の食料品製造・加工業(食料品製造・加工),0423167028,2021/11/25,,
カルディコーヒーファーム　nonoｗa武蔵小金井店,東京都小金井市本町５丁目１番２０号,nonowa武蔵小金井,株式会社キャメル珈琲,東京都世田谷区代田2-31-8,その他の食料・飲料販売業(電子申請（未区分）),042-382-5040,2021/11/26,,
コーヒーロースト,東京都小金井市本町５丁目２０番２５号,ＴＫビル１階,,,コーヒー製造・加工業（飲料の製造を除く。）,042-382-8187,2023/4/27,,
セブン-イレブン小金井本町５丁目店,東京都小金井市本町５丁目２１番１５号,,,,コンビニエンスストア,042-382-7816,2021/6/15,,
小金井市立本町小学校,東京都小金井市本町５丁目２９番２１号,,小金井市役所　小金井市長,東京都小金井市本町６丁目６番３号,集団給食施設(学校・幼稚園Ⅲ),042-383-1147,2021/9/3,042-383-1111,白井　亨
なんでも酒やカクヤス　武蔵小金井店,東京都小金井市本町５丁目３３番１２号,パストラル　1階,,,その他の食料・飲料販売業(店舗),042-380-1520,2021/8/20,,
しゃぶ葉　小金井本町店,東京都小金井市本町５丁目３３番１７号,,株式会社すかいらーくレストランツ,東京都武蔵野市西久保１丁目２５番８号,その他の食料・飲料販売業(電子申請（未区分）),042-380-7026,2021/10/29,,
ダイエー　小金井店,東京都小金井市本町５丁目３４番１４号,,株式会社ダイエー,兵庫県神戸市中央区港島中町４丁目１番１,百貨店、総合スーパー,042-383-2251,2021/11/16,078-302-5001,西峠　泰男
ミクスチュアうてな,東京都小金井市本町５丁目３７番８号,,特定非営利活動法人エヌピーオー萼,東京都小金井市本町５丁目３７番８号,集団給食施設(電子申請（未区分）),0423809930,2021/11/17,,
小金井郵便局,東京都小金井市本町５丁目３８番２０号,,,,その他の食料・飲料販売業(店舗),042-383-4505,2023/9/26,,
デニーズ小金井本町店,東京都小金井市本町５丁目３８番３６号,,株式会社セブン＆アイ・フードシステムズ,東京都千代田区二番町８番地８,その他の食料・飲料販売業(電子申請（未区分）),,2021/10/27,,
PARITALY,東京都小金井市本町５丁目３９番２３号,Tコーポミナミ,,,野菜果物販売業(自動車以外),,2021/8/4,,
駄菓子屋こまち,東京都小金井市本町５丁目３９番２３号,,,,野菜果物販売業(自動車以外),042-385-2330,2021/8/17,,
ＭＡｇｎＥＴ,東京都小金井市本町５丁目３９番５号,ＭＡＹＡビル１Ｆ,有限会社ニュースセンターマヤ,東京都小金井市本町５丁目３９番５号,その他の食料・飲料販売業(電子申請（未区分）),0423855509,2023/1/26,,
株式会社 青木屋 小金井店,東京都小金井市本町５丁目４１番３号,,株式会社青木屋,東京都府中市南町６丁目１２番地の１,その他の食料・飲料販売業(店舗),0423-84-0332,2022/1/28,042-368-3009,多久島　治
すし銚子丸 武蔵小金井店,東京都小金井市本町５丁目５番４号,,株式会社銚子丸,千葉県千葉市美浜区浜田2丁目39番地,その他の食料・飲料販売業(電子申請（未区分）),042-387-1555,2021/11/10,,
セブン－イレブン　武蔵小金井駅前通り店,東京都小金井市本町５丁目５番４号,,,,魚介類販売業（包装済みの魚介類のみの販売）(一般),042-388-8815,2021/6/1,,
セブン－イレブン　武蔵小金井駅前通り店,東京都小金井市本町５丁目５番４号,,,,食肉販売業（包装済みの食肉のみの販売）(一般),042-388-8815,2021/6/1,,
セブン－イレブン　武蔵小金井駅前通り店,東京都小金井市本町５丁目５番４号,,,,乳類販売業(ショーケース売り),042-388-8815,2021/6/1,,
小金井市立小金井保育園,東京都小金井市本町５丁目６番１９号,,小金井市,東京都小金井市本町６丁目６番３号,集団給食施設(児童福祉施設Ⅱ),042-381-2237,2021/11/26,042-383-1111,白井　亨
KJ FOODS MARKET,東京都小金井市本町6-14,武蔵小金井駅構内,株式会社KJネクストグループ,埼玉県入間市東藤沢2-15-5,その他の食料・飲料販売業(店舗),05055270327,2024/1/4,,
nonowa武蔵小金井　イベントスペース　谷中福丸饅頭,東京都小金井市本町6-14-29,nonowa武蔵小金井　催事場,株式会社フード・ギャラリー,東京都台東区上野公園１６番１９号,その他の食料・飲料販売業(電子申請（未区分）),,2023/10/16,,
ファミリーマート武蔵小金井本町店,東京都小金井市本町６丁目１３番１４号,,株式会社アローズ,東京都小平市花小金井南町２丁目１番２１－４０３号,コンビニエンスストア,042-386-5037,2021/11/25,0424-61-2923,西海　一栄
ココカラファイン武蔵小金井店,東京都小金井市本町６丁目１３番１４号,スターハイツ1階,株式会社ココカラファインヘルスケア,神奈川県横浜市港北区新横浜３丁目１７番６号,その他の食料・飲料販売業(電子申請（未区分）),042-386-5388,2021/11/30,,
咲,東京都小金井市本町６丁目１３番１６号,,,,食肉販売業（包装済みの食肉のみの販売）(一般),042-315-4078,2021/6/15,,
カニの匠 クラクラ,東京都小金井市本町６丁目１４番,JR武蔵小金井駅nonowa(EAST)入口前,株式会社ＮＯＲＴＨ　ＷＩＮ,北海道札幌市豊平区美園三条７丁目２番３３号,弁当販売業(自動車以外),,2022/8/31,,
和泉家吉之助,東京都小金井市本町６丁目１４番,JR東小金井駅　改札前,株式会社イーモーション,東京都江東区有明１丁目４番１１－１３３２号,弁当販売業(自動車以外),0120-141-238,2021/11/17,,
芋屋蜜の月小平店,東京都小金井市本町６丁目１４番,,,,野菜果物販売業(自動車以外),,2023/5/11,,
小金井聖ヨハネ支援センター,東京都小金井市本町６丁目１４番,,,,その他の食料・飲料販売業(電子申請（未区分）),,2023/6/23,,
キィニョン　nonowa武蔵小金井　期間限定店舗,東京都小金井市本町６丁目１４番１９号,nonowa武蔵小金井　EAST　２４区画,株式会社キィニョン,東京都国分寺市南町２丁目１１番２３号,その他の食料・飲料販売業(店舗),042-316-4417,2023/7/7,042-312-0317,井村　穣
三浦屋　武蔵小金井店,東京都小金井市本町６丁目１４番２８号,アクウェルモール1Ｆ,株式会社三浦屋,東京都杉並区松庵２丁目２２番７号,百貨店、総合スーパー,042-386-5500,2021/11/25,,
スターバックスコーヒーnonowa武蔵小金井店,東京都小金井市本町６丁目１４番２９号,,スターバックスコーヒージャパン株式会社,東京都品川区上大崎2-25-2,その他の食料・飲料販売業(店舗),042-386-7333,2021/7/13,,
ニューデイズ武蔵小金井,東京都小金井市本町６丁目１４番２９号,ＪＲ武蔵小金井駅構内,株式会社ＪＲ東日本クロスステーション,東京都渋谷区千駄ヶ谷５丁目３３番８号,コンビニエンスストア,042-386-5070,2021/7/21,,
レイルマルシェ・モノコト,東京都小金井市本町６丁目１４番２９号,nonowa武蔵小金井EAST,株式会社Ｒｏｌｌｉｎｇ－Ｃ,山梨県甲府市宝二丁目７番１１号,その他の食料・飲料販売業(店舗),042-316-7755,2021/9/30,055-228-4125,小澤　球美
nonowa武蔵小金井EASTイベントスペース,東京都小金井市本町６丁目１４番２９号,nonowa武蔵小金井,株式会社アドトップ,東京都武蔵野市吉祥寺本町２丁目４番１４号,その他の食料・飲料販売業(店舗),,2021/9/27,,
パステルnonowa武蔵小金井店,東京都小金井市本町６丁目１４番２９号,nonowa武蔵小金井,株式会社オールハーツ・カンパニー,愛知県名古屋市中区栄2-4-18　岡谷鋼機ビルディング1階,その他の食料・飲料販売業(電子申請（未区分）),,2022/7/29,,
株式会社　成城石井　武蔵小金井店,東京都小金井市本町６丁目１４番２９号,JR武蔵小金井駅コンコース,株式会社成城石井,東京都世田谷区成城６丁目１１番４号,その他の食料・飲料販売業(店舗),042-380-6131,2021/10/22,,原　昭彦
成城石井武蔵小金井店（催事）,東京都小金井市本町６丁目１４番２９号,JR駅構内コンコース,株式会社成城石井,東京都世田谷区成城6丁目11番4号,その他の食料・飲料販売業(電子申請（未区分）),042-380-6131,2024/8/16,,
Cafe&Deli hug,東京都小金井市本町６丁目１４番２９号,,,,その他の食料・飲料販売業(電子申請（未区分）),042-316-4417,2023/5/2,,
九里四里,東京都小金井市本町６丁目１４番２９号,nonowaEAST南北通路改札前催事,有限会社ドゥパリ,京都府京都市中京区蛸薬師通麩屋町東入蛸屋町１５７番地,その他の食料・飲料販売業(電子申請（未区分）),,2024/3/11,,
青梅大学いも学部,東京都小金井市本町６丁目１４番２９号,nonowa武蔵小金井EAST入口前,,,その他の食料・飲料販売業(電子申請（未区分）),,2022/8/17,,
上島珈琲店　武蔵小金井南口店,東京都小金井市本町６丁目１４番４５号,JR武蔵小金井南口ビル201-1、201-2,ユーシーシーフードサービスシステムズ株式会社,兵庫県神戸市中央区多聞通５丁目３番８号,その他の食料・飲料販売業(店舗),042-380-5501,2022/4/13,03-5400-5581,川野　浩司
イクミママのどうぶつドーナツ,東京都小金井市本町６丁目１４番４５号,,株式会社イクミママ,神奈川県川崎市中原区木月３丁目６番１８号モトスミコアビル２Ｆ－Ｃ,その他の食料・飲料販売業(店舗),,2024/3/21,,
サイゼリヤ武蔵小金井南口店,東京都小金井市本町６丁目１４番４５号,JR武蔵小金井南口ﾋﾞﾙ3F,株式会社サイゼリヤ,埼玉県吉川市旭2番地5,その他の食料・飲料販売業(電子申請（未区分）),042-380-7261,2022/4/28,,
日高屋　武蔵小金井南口店,東京都小金井市本町６丁目１４番４５号,,株式会社ハイデイ日高,埼玉県さいたま市大宮区大門町二丁目１１８番地,その他の食料・飲料販売業(店舗),042-384-6911,2022/8/29,048-644-8447,青野　敬成
成城石井　武蔵小金井店,東京都小金井市本町６丁目１４番４５号,nonowa武蔵小金井SOUTH １階,株式会社成城石井,東京都世田谷区成城6丁目11番4号,百貨店、総合スーパー,042-380-6131,2024/7/10,,
特定非営利活動法人木馬の会　ライブワークス,東京都小金井市本町６丁目１４番４５号,小金井宮地楽器ホール,特定非営利活動法人木馬の会,東京都小金井市前原町２丁目１４番４号,その他の食料・飲料販売業(店舗),,2022/11/24,042-384-4231,太田　一貴
長崎ちゃんぽんリンガーハットイトーヨーカドー武蔵小金井店,東京都小金井市本町６丁目１４番９号,イトーヨーカドー武蔵小金井店　４Ｆ,リンガーハットジャパン株式会社,長崎県長崎市鍛冶屋町６番５０号,その他の食料・飲料販売業(電子申請（未区分）),042-420-1586,2021/8/10,,
イトーヨーカドー　武蔵小金井店,東京都小金井市本町６丁目１４番９号,,株式会社イトーヨーカ堂,東京都千代田区二番町８番地８,百貨店、総合スーパー,042-382-1211,2021/7/28,03-6238-2111,山本　哲也
ミスタードーナツイトーヨーカドー武蔵小金井店,東京都小金井市本町６丁目１４番９号,イトーヨーカドー武蔵小金井店4階,株式会社ヴィアン,東京都港区芝浦2-14-4,その他の食料・飲料販売業(電子申請（未区分）),0423821363,2021/12/1,,
サンマルクカフェ イトーヨーカドー武蔵小金井店,東京都小金井市本町６丁目１４番９号,,株式会社サンマルクカフェ,岡山県岡山市北区平田１７３番地１０４,その他の食料品製造・加工業(食料品製造・加工),042-386-5309,2021/11/30,,
ガスト イトーヨーカドー武蔵小金井店,東京都小金井市本町６丁目１４番９号,イトーヨーカドー武蔵小金井１Ｆ,株式会社すかいらーくホールディングス,東京都武蔵野市西久保１丁目２５番８号,その他の食料・飲料販売業(電子申請（未区分）),042-382-3525,2021/10/25,,
肉処　たかぎ　武蔵小金井店,東京都小金井市本町６丁目１４番９号,イトーヨーカドー武蔵小金井店B１,株式会社タカギフーズ,神奈川県藤沢市辻堂神台１丁目３番３９号,その他の食料・飲料販売業(包装),042-401-2983,2021/6/4,0466-76-8000,高木　實
ダイソー　イトーヨーカドー武蔵小金井店,東京都小金井市本町６丁目１４番９号,イトーヨーカドー武蔵小金井店３階,株式会社大創産業,広島県東広島市西条吉行東一丁目４番１４号,その他の食料・飲料販売業(電子申請（未区分）),,2024/8/21,,
無印良品イトーヨーカドー武蔵小金井店,東京都小金井市本町６丁目１４番９号,,株式会社良品計画,東京都豊島区東池袋4丁目26番3号,その他の食料・飲料販売業(電子申請（未区分）),042-380-4780,2021/10/22,,
ナチュラルローソン　SOCOLA武蔵小金井クロス店,東京都小金井市本町６丁目２番３０号,SOCOLA武蔵小金井クロス１階,クオール株式会社,東京都港区虎ノ門４丁目３番１号城山トラストタワー３７階,魚介類販売業（包装済みの魚介類のみの販売）(一般),042-401-1891,2001/6/1,03-6430-9011,柄澤　忍
ナチュラルローソン　SOCOLA武蔵小金井クロス店,東京都小金井市本町６丁目２番３０号,SOCOLA武蔵小金井クロス１階,クオール株式会社,東京都港区虎ノ門４丁目３番１号城山トラストタワー３７階,食肉販売業（包装済みの食肉のみの販売）(一般),042-401-1891,2001/6/1,03-6430-9011,柄澤　忍
ナチュラルローソン　SOCOLA武蔵小金井クロス店,東京都小金井市本町６丁目２番３０号,SOCOLA武蔵小金井クロス１階,クオール株式会社,東京都港区虎ノ門４丁目３番１号城山トラストタワー３７階,乳類販売業(ショーケース売り),042-401-1891,2001/6/1,03-6430-9011,柄澤　忍
フードウェイ武蔵小金井クロス店,東京都小金井市本町６丁目２番３０号,,株式会社フードウェイ,福岡市早良区高取一丁目２番２２号,乳類販売業(ショーケース売り),042-401-2985,2001/6/1,092-852-8170,後藤　圭介
ピカール　ソコラ武蔵小金井店,東京都小金井市本町６丁目２番３０号,,イオンサヴール株式会社,千葉市美浜区中瀬１丁目５番地１,百貨店、総合スーパー,042-401-1913,2021/11/19,03-5651-7720,小野　倫子
パネッテリア　フェリーチェ,東京都小金井市本町６丁目２番３０号,ソコラ武蔵小金井,ビルドアップパートナーズ株式会社,東京都北区王子本町１丁目１２番８号-401,その他の食料・飲料販売業(包装),,2024/8/8,03-6784-6815,伊藤　直介
フレッシュダイトー,東京都小金井市本町６丁目２番３０号,SoCoLA武蔵小金井クロス１Fフードウェイ店内,株式会社大東青果,東京都東大和市中央１丁目３番地の３,野菜果物販売業(自動車以外),042-316-6226,2021/8/4,,
SOCOLA武蔵小金井クロス　iroHa,東京都小金井市本町６丁目２番３０号,SOCOLA武蔵小金井クロス　1 階プロモーションスペース　iroHa,有限会社天平フーズ,滋賀県高島市新旭町太田775番地,その他の食料・飲料販売業(電子申請（未区分）),,2022/1/28,,
SOCOLA武蔵小金井クロス,東京都小金井市本町６丁目２番３０号,,,,その他の食料・飲料販売業(電子申請（未区分）),0423803021,2024/2/22,,
武蔵小金井クロス,東京都小金井市本町６丁目２番３０号,,,,その他の食料・飲料販売業(電子申請（未区分）),,2024/5/24,,
外販売所,東京都小金井市本町６丁目８番９号,東京都立多摩科学技術高等学校校舎棟２Ｆ,,,その他の食料・飲料販売業(包装),,2021/12/20,,
ｏｃｉｏ　Ｈｅａｌｉｎｇｓｐａｃｅ　＆　Ｃａｆｅ,東京都小金井市緑町１丁目１番２３号,,,,コーヒー製造・加工業（飲料の製造を除く。）,042-383-7148,2022/9/29,,
Gakkenほいくえん東小金井,東京都小金井市緑町１丁目２番３９号,,株式会社　学研ココファン・ナーサリー,東京都品川区西五反田2丁目11番8号,集団給食施設(電子申請（未区分）),042-386-5087,2021/11/17,,
スナフキッチン,東京都小金井市緑町１丁目５番３号,エミールハイツ１０２,,,調味料製造・加工業,,2023/9/7,,
セブンイレブン小金井緑町１丁目店,東京都小金井市緑町１丁目６番１６号,,,,コンビニエンスストア,042-385-0006,2021/6/1,,
小金井けやきの森認定こども園,東京都小金井市緑町１丁目６番１７号,,学校法人村田学園,広島県東広島市黒瀬町楢原,集団給食施設(児童福祉施設Ⅱ),042-401-1638,2021/6/9,082-362-6707,村田　克也
ファミリーマート　小金井法政大学前店,東京都小金井市緑町２丁目１６番３１号,,株式会社ＨＩＲＯ,東京都国分寺市東元町１丁目２８番２２号,コンビニエンスストア,042-382-3626,2021/11/11,,柚木　浩
ファミリーマート　小金井北大通り店,東京都小金井市緑町２丁目１番２８号,,合資会社グローバル・フォレスト,東京都小金井市東町５丁目２４番１０号,コンビニエンスストア,042-386-6035,2021/11/15,042-382-7515,大森　賢
とんから亭　東小金井店,東京都小金井市緑町２丁目１番３７号,,株式会社すかいらーくレストランツ,東京都武蔵野市西久保１丁目２５番８号,その他の食料・飲料販売業(電子申請（未区分）),042-380-7201,2021/11/2,,
じゅうじゅうカルビ　東小金井店,東京都小金井市緑町２丁目１番３８号,,株式会社トマトアンドアソシエイツ,兵庫県西宮市山口町阪神流通センター１丁目２番地,その他の食料・飲料販売業(包装),042-380-7198,2024/1/25,,
ファミリーマート東小金井店,東京都小金井市緑町２丁目２番１号,,有限会社山水商事,東京都小金井市緑町２丁目１番３３号,コンビニエンスストア,042-380-8272,2021/11/25,042-380-8272,清水　修
ローソン小金井緑町店,東京都小金井市緑町２丁目８番９号,,有限会社ティー・エム・ケー,東京都多摩市聖ヶ丘３丁目２５番地の９,コンビニエンスストア,042-384-7704,2021/11/30,042-366-0670,阿部　幸夫
マルエ食品有限会社,東京都小金井市緑町３丁目１０番３７号,,マルエ食品  有限会社,東京都小金井市緑町３丁目１０番３７号,野菜果物販売業(自動車以外),042-381-6514,2021/6/9,042-381-6514,土屋　到弘
小金井市障害者福祉センター,東京都小金井市緑町４丁目１７番１０号,,社会福祉法人まりも会,東京都小平市上水南町４丁目７番４５号,集団給食施設(電子申請（未区分）),0423818411,2021/11/10,,
ウェルパーク小金井緑町店,東京都小金井市緑町５丁目１６番２２号,,株式会社ウェルパーク,東京都立川市栄町６丁目１番地の１,その他の食料・飲料販売業(電子申請（未区分）),042-508-2962,2021/8/3,,
有限会社大黒屋米穀店,東京都小金井市緑町５丁目１８番２２号,,有限会社大黒屋米穀店,東京都小金井市緑町５丁目１８番２２号,米穀類販売業,042-381-3531,2021/10/7,042-381-3531,鴨下　末一
喜紫多屋,東京都小金井市緑町５丁目２０番２６号,,,,その他の食料・飲料販売業(店舗),042-304-9904,2024/2/6,,
ケーニッヒ,東京都小金井市緑町５丁目３番１８号,,慶徳ミート株式会社,東京都小金井市貫井北町２丁目１９番６号,その他の食料・飲料販売業(店舗),042-381-4186,2021/10/15,042-385-2981,島崎　智融
東京NEO-FARMERS！,東京都小金井市緑町５丁目３番４５号,,,,野菜果物販売業(自動車以外),,2024/1/18,,
ヤクルト小金井センター,東京都小金井市緑町５丁目５番５号,,東京ヤクルト販売株式会社,東京都台東区台東２丁目１９番９号,その他の食料・飲料販売業(電子申請（未区分）),0423821675,2021/8/23,,
ローソン小平たかの台店,東京都小平市たかの台１７番１５号,,有限会社ティー・エム・ケー,東京都多摩市聖ヶ丘３丁目２５番地９,コンビニエンスストア,042-342-4003,2021/11/30,042-366-0670,阿部　幸夫
創価学園　創価高等学校内,東京都小平市たかの台２番１号,,コンパスグループ・ジャパン株式会社,東京都中央区築地五丁目5番12号,その他の食料・飲料販売業(包装),,2023/9/15,03-3544-0351,石田　隆嗣
セブンイレブン　小平たかの台店,東京都小平市たかの台３１番１５号,,有限会社マルタカ,東京都国分寺市西元町３丁目８番７号,コンビニエンスストア,042-345-3199,2022/9/26,042-325-3581,?岡　昌弘
Ｐｌａｎｔｓ　Ｐｌａｎ　Ｃａｆｅ,東京都小平市たかの台３４番４号,,,,その他の食料・飲料販売業(店舗),,2023/12/22,,
たかの台保育所,東京都小平市たかの台36-9,,株式会社ブレイブリイ,東京都小平市たかの台36-9,集団給食施設(児童福祉施設Ⅰ),0423470020,2021/11/11,,
アドバルーン商会,東京都小平市たかの台３６番４号,,,,製茶業,,2021/6/9,,
皆川商店,東京都小平市たかの台４４番１３号,,有限会社皆川商店,東京都小平市たかの台４４番１３号,乳類販売業(ショーケース売り),0423-41-2316,2001/6/1,0423-41-2316,皆川　清
ファミリーマート鷹の台駅前店,東京都小平市たかの台４５番４号,,,,コンビニエンスストア,042-313-6617,2024/2/13,,
株式会社　銀座コージーコーナー　花小金井店,東京都小平市花小金井1-10-5,,,,その他の食料・飲料販売業(店舗),042-467-7905,2021/11/10,,
KJ FOODS MARKET,東京都小平市花小金井1-10-5,花小金井駅構内改札前,株式会社KJネクストグループ,埼玉県入間市東藤沢2-15-5,その他の食料・飲料販売業(電子申請（未区分）),05055270327,2024/4/1,,
和泉家吉之助,東京都小平市花小金井1-10-5,花小金井駅,株式会社イーモーション,東京都江東区有明１丁目４番１１－１３３２号,弁当販売業(自動車以外),0120-141-238,2021/10/4,,
