"施設名称","施設所在地","施設方書","施設電話番号","施設開設日","診療科目名称","緯度","経度"
"たかとく内科びようクリニック","東京都港区港南二丁目6番10号","三矢ビル4階","03-6712-3364","2021/9/7","内科","35.628782","139.74233"
"品川腎クリニック","東京都港区港南二丁目6番10号","三矢ビル5階","03-3458-9801","2016/11/1","内科","35.628782","139.74233"
"医療法人社団久信会　品川駅前皮膚科","東京都港区港南二丁目14番10号","品川駅前港南ビル7階","03-5715-1150","2012/3/1","皮膚科","35.628545","139.742095"
"品川心療内科","東京都港区港南二丁目14番10号","品川駅前港南ビル10階","03-6712-9474","2011/10/1","精神科、心療内科、神経内科、内科","35.628545","139.742095"
"株式会社大林組　健康管理センター","東京都港区港南二丁目15番2号","品川インターシティB棟24階","03-5769-1996","1999/1/5","内科、歯科","35.626123","139.742018"
"医療法人社団佳有会　品川イーストクリニック","東京都港区港南二丁目15番2号","品川インターシティB棟2階","03-5783-5521","2012/4/1","内科、眼科、感染症内科、循環器内科、呼吸器内科","35.626123","139.742018"
"にしたんＡＲＴクリニック品川院","東京都港区港南二丁目15番2号","品川インターシティS&R棟5階501区画","03-6712-3355","2022/10/16","生殖医療婦人科","35.626576","139.741363"
"蝶理株式会社東京診療所","東京都港区港南二丁目15番3号","品川インターシティC棟16階","03-5781-6222","2014/7/22","内科","35.625224","139.742189"
"ニコン本社健康支援室","東京都港区港南二丁目15番3号","品川インターシティC棟29階","03-6433-3736","2014/11/25","内科、精神科、循環器内科","35.625224","139.742189"
"医療法人社団豊穣会　品川ベイ・サイド眼科","東京都港区港南二丁目16番1号","品川イーストワンタワー3階","03-6716-1881","2020/5/1","眼科","35.627770","139.740900"
"医療法人邦寿会東京皮膚科・形成外科　品川院","東京都港区港南二丁目16番1号","品川イーストワンタワークリニックモール307-D","03-5479-3388","2015/3/23","皮膚科、形成外科、美容外科","35.627770","139.740900"
"医療法人社団ＡＯＴ　品川ストリングスクリニック","東京都港区港南二丁目16番1号","品川イーストワンタワー307A","03-3471-3014","2022/5/1","内科、脳神経外科、リウマチ科、婦人科、循環器内科、脳神経内科、内分泌内科、糖尿病内科、呼吸器内科","35.627770","139.740900"
"医療法人社団同友会　品川クリニック","東京都港区港南二丁目16番3号","品川グランドセントラルタワー1階","03-6718-2816","2007/4/1","内科","35.626615","139.740774"
"にしや耳鼻咽喉科クリニック","東京都港区港南二丁目16番7号","品川Vタワーメディカルゾーン2階","03-5715-0248","2007/12/1","耳鼻いんこう科、気管食道科、アレルギー科","35.625055","139.740528"
"皮膚科クリニックいとう","東京都港区港南二丁目16番7号","101-1","03-3474-5263","2003/5/26","皮膚科","35.624961","139.740378"
"品川Ｖタワー整形外科","東京都港区港南二丁目16番7号","品川Vタワー101B号室","03-5715-3383","2019/1/1","整形外科、リハビリテーション科","35.625103","139.740494"
"港区立特別養護老人ホーム　「港南の郷」","東京都港区港南三丁目3番23号",,"03-3450-5571","1996/7/29","内科","35.633217","139.749277"
"医療法人社団　千秋双葉会　品川港南耳鼻咽喉科・アレルギー科","東京都港区港南四丁目2番5号","シティタワー品川西棟2階","03-5715-3387","2024/3/3","耳鼻いんこう科、アレルギー科","35.631158","139.748079"
"若田クリニック　シティタワー品川","東京都港区港南四丁目2番6号","201","03-3471-2972","2007/11/1","内科、小児科、皮膚科、神経内科、整形外科","35.630966","139.748045"
"東京海洋大学保健管理センター品川地区","東京都港区港南四丁目5番7号",,"03-5463-0388","1970/4/17","内科","35.624655","139.747134"
"ワールドシティ益子クリニック","東京都港区港南四丁目6番7号","ワールドシティタワーズキャピタルタワー3階","03-5783-0331","2019/3/1","内科、小児科","35.627474","139.75059"
"東京出入国在留管理局診療所","東京都港区港南五丁目5番30号","東京出入国在留管理局7階","03-5796-7217","2005/3/1","内科、精神科、皮膚科","35.628245","139.756544"
"港区立障害保健福祉センター　専門医相談室","東京都港区芝一丁目8番23号",,"03-5439-2511","1998/5/15","内科、精神科、神経科、整形外科、眼科、耳鼻いんこう科","35.651544","139.755597"
"ぼだい樹クリニック","東京都港区芝一丁目15番13号","オフィスニューガイア浜松町No.17 6階","03-6809-6346","2018/7/1","内科（ペインクリニック）、循環器内科","35.649631","139.753569"
"医療法人社団　神徳会　芝公園かみやまクリニック","東京都港区芝二丁目9番10号","ダイユウビル1階","03-6414-5641","2008/10/1","産婦人科、内科、泌尿器科","35.651943","139.751592"
"みなと芝クリニック","東京都港区芝二丁目12番1号","桑山ビル2階","03-3457-0555","2022/9/29","内科、外科、消化器内科、大腸・肛門外科、整形外科、皮膚科、乳腺外科","35.651644","139.752497"
"株式会社大広　芝２丁目診療所","東京都港区芝二丁目14番5号","オリックス芝2丁目ビル1階","03-4346-7350","2019/9/30","内科","35.650801","139.753309"
"サンアンクリニック","東京都港区芝二丁目26番1号","iSmartビル401",,"2020/8/2","内科","35.651028","139.751812"
"長谷工クリニック","東京都港区芝二丁目32番1号","芝本社ビル12階","03-3456-4830","1991/3/6","内科","35.650372","139.749771"
"みなと風クリニック","東京都港区芝三丁目6番5号","昇岐商事邸2階","03-5730-1207","2022/2/22","内科、皮膚科、リハビリテーション科","35.652135","139.749007"
"赤塚医院","東京都港区芝三丁目6番9号","芝公園プラザビル2階","03-3451-3323","1998/5/21","内科、消化器科","35.652019","139.749277"
"東ソー株式会社　本社診療所","東京都港区芝三丁目8番2号","芝公園ファーストビル8階","03-5427-5188","2000/8/16","内科","35.652359","139.74744"
"芝公園クリニック","東京都港区芝三丁目15番5号","ジョイビレッジ芝公園3階","03-3455-5525","2020/5/1","内科、外科、精神科、心療内科","35.653607","139.745364"
"医療法人社団有朋会　こどもメンタルクリニック芝","東京都港区芝三丁目15番13号","YODAビル3階","03-5765-6980","2013/4/1","精神科、児童精神科","35.653274","139.745384"
"三井住友信託銀行株式会社　芝健康推進センター","東京都港区芝三丁目33番1号","18階","03-5232-8670","2020/8/20","内科","35.650325","139.748693"
"三田皮膚科","東京都港区芝四丁目5番8号","池藤ビル9階","03-5439-9745","2020/1/24","皮膚科","35.648842","139.751266"
"まつみレディースクリニック三田","東京都港区芝四丁目5番8号","池藤ビル3階","03-6453-8355","2018/10/29","産科、婦人科、産婦人科","35.648842","139.751266"
"東京シティクリニック三田","東京都港区芝四丁目5番8号","池藤ビル2階","03-5439-5566","2023/4/1","小児科、アレルギー科","35.648842","139.751266"
"しば胃腸こうもんクリニック","東京都港区芝四丁目11番5号","KTビル3階","03-6453-9307","2013/5/28","外科、消化器内科、肛門外科","35.648294","139.751282"
"医療法人社団永康会　田町腎クリニック","東京都港区芝四丁目12番1号","グランシャリオ1～4階","03-3455-3033","2016/11/1","人工透析内科","35.647942","139.750086"
"三田整形外科","東京都港区芝五丁目1番13号","MAビル三田2　1階","03-6722-6077","2021/9/22","整形外科、リハビリテーション科","35.650026","139.745063"
"三田医院","東京都港区芝五丁目3番10号",,"03-3451-7652","2013/11/30","内科、消化器内科","35.649886","139.745935"
"日本電気株式会社　ウェルネスプロモーションセンター（本社）","東京都港区芝五丁目7番1号",,"03-3798-6564","1990/4/2","内科、精神科","35.649428","139.74794"
"医療法人社団健人会　横倉クリニック","東京都港区芝五丁目13番13号","サダカタビル3階","03-3456-2705","1999/11/1","心療内科、内科、婦人科","35.649024","139.744985"
"医療法人社団佐伯耳鼻咽喉科","東京都港区芝五丁目13番14号","MAビル芝3　5F","03-3456-1187","2023/5/1","耳鼻いんこう科、小児科、アレルギー科","35.649132","139.744985"
"医療法人社団珠玉会　芝皮フ科クリニック","東京都港区芝五丁目16番1号","千代ビル2階","03-5232-6733","1999/4/15","皮膚科、形成外科","35.648719","139.745744"
"医療法人社団健勝会　港三田クリニック","東京都港区芝五丁目16番1号","千代ビル3階","03-3456-3391","2001/4/1","内科、婦人科、小児科、循環器内科、消化器内科、心療内科、リハビリテーション科、胃腸内科、内視鏡内科","35.648719","139.745744"
"菅沼三田診療所","東京都港区芝五丁目19番5号","ジェイパークステーション田町101","03-3452-1748","2010/9/1","内科、外科、皮膚科、泌尿器科、整形外科","35.647612","139.747905"
"医療法人社団寿勝会　篠原医院","東京都港区芝五丁目20番20号",,"03-3451-0528","2019/4/1","内科、皮膚科、外科、胃腸内科","35.647784","139.746901"
"おくむら整形外科内科クリニック","東京都港区芝五丁目26番30号","専売ビル1階","03-5439-5960","2007/11/1","整形外科、内科、リハビリテーション科、リウマチ科、皮膚科","35.647588","139.745205"
"医療法人社団重宣会　鈴木胃腸消化器クリニック","東京都港区芝五丁目27番1号","地下1階、1階、2階","03-3455-6121","2012/9/1","内科、消化器内科（胃腸内科）、循環器内科、外科、肛門外科、婦人科","35.647116","139.745702"
"レナトゥスクリニック","東京都港区芝五丁目27番13号","YA三田ビル2階、4階","03-6275-1879","2019/4/1","美容外科、皮膚科、婦人科、美容皮膚科","35.646934","139.746302"
"フィデスレディースクリニック田町","東京都港区芝五丁目27番13号","Y・A三田ビル3階","03-6722-6281","2020/10/1","産婦人科","35.646934","139.746302"
"田町眼科クリニック","東京都港区芝五丁目27番14号","小川ビル2階","03-5232-1366","2023/5/1","眼科","35.646941","139.746143"
"田町三田駅前内科・呼吸器内科・アレルギー科","東京都港区芝五丁目31番5号","MEFULL田町2F","03-5442-4159","2023/5/1","内科、呼吸器内科、アレルギー科","35.646742","139.746183"
"田町駅前こころの診療所","東京都港区芝五丁目31番5号","MEFULL田町7階","03-5443-0556","2024/2/29","精神科、心療内科","35.646742","139.746183"
"ゆりクリニック","東京都港区芝五丁目31番15号","センチュリー三田ビル6階、4階","03-3455-1107","2022/12/1","整形外科、リハビリテーション科、美容皮膚科、内科","35.646682","139.746302"
"きつかわクリニック","東京都港区芝五丁目31番16号","YCCビル4階～5階","03-3451-1731","2013/7/1","泌尿器科、内科","35.646614","139.746223"
"メンズプライドクリニックＭＩＴＡ　ＴＯＫＹＯ","東京都港区芝五丁目32番3号","林ビル7階","03-6381-7258","2022/4/25","内科","35.647283","139.74757"
"三田眼科","東京都港区芝五丁目32番9号",,"03-3798-5969","2006/3/28","眼科","35.647365","139.747801"
"ＭＹメディカルクリニック田町三田","東京都港区芝五丁目33番11号","田町タワー4階","03-6665-8236","2023/11/8","内科、消化器内科、内視鏡内科、乳腺外科、外科、婦人科、循環器内科、呼吸器内科、アレルギー科","35.646830","139.748731"
"田町メンタルクリニック","東京都港区芝五丁目34番6号","新田町ビル2階","03-6809-4132","2011/12/16","心療内科、精神科","35.645971","139.746722"
"新田町ビル診療所","東京都港区芝五丁目34番6号","新田町ビル2階","03-3451-2619","2016/6/1","内科、呼吸器内科、消化器内科、循環器内科、皮膚科、放射線科","35.645971","139.746722"
"労働衛生調査分析センター　健康管理室","東京都港区芝五丁目35番2号","安全衛生総合会館8階","03-3452-3062","2015/9/1","内科","35.645273","139.745963"
"中溝クリニック","東京都港区芝浦一丁目1番1号","東芝ビル4階","03-3452-4468","1995/5/1","内科、眼科、消化器科","35.652259","139.757302"
"東芝本社診療所","東京都港区芝浦一丁目1番1号","34階","03-3457-2210","2013/12/9","内科","35.651638","139.757975"
"ＵＢＥ株式会社東京本部医務室","東京都港区芝浦一丁目2番1号","シーバンスN館","03-5419-6124","2000/10/10","内科","35.649921","139.756897"
"シャープ健康保険組合　東京健康管理室","東京都港区芝浦一丁目2番3号","シーバンスS館20階","03-5446-8221","2016/10/25","内科","35.649311","139.756071"
"芝浦スリーワンクリニック","東京都港区芝浦一丁目3番10号","チサンホテル浜松町1階","03-6779-8181","2020/12/17","内科、外科、循環器内科、消化器内科（胃腸内科）、呼吸器内科","35.649863","139.755531"
"森永健康管理室","東京都港区芝浦一丁目13番16号","森永芝浦ビル7階","03-3452-5030","2024/3/18","内科","35.646541","139.752762"
"あすか製薬株式会社　本社　診療室","東京都港区芝浦二丁目5番1号","6階","03-5484-8321","2020/4/1","内科、精神科","35.64532","139.753947"
"三菱自動車工業株式会社　本社診療所","東京都港区芝浦三丁目1番21号","msb Tamachi 田町ステーションタワーS25階","03-6852-5058","2019/1/7","内科、精神科","35.645424","139.749466"
"クリニックフォア田町","東京都港区芝浦三丁目1番32号","なぎさテラス2階及び4階","03-4579-8189","2019/12/1","内科、皮膚科、アレルギー科、美容皮膚科、糖尿病内科","35.644924","139.748367"
"たまち恒清会眼科","東京都港区芝浦三丁目1番32号","なぎさテラス3階302区画-2","03-6271-9033","2018/10/1","アレルギー科、眼科、美容皮膚科","35.644924","139.748367"
"医療法人社団モルゲンロート　有明みんなクリニック田町芝浦院","東京都港区芝浦三丁目2番28号","HTアジール芝浦1、2階","03-6722-6300","2019/7/9","小児科、耳鼻いんこう科、内科、アレルギー科、皮膚科","35.644774","139.750661"
"グランパーク田町クリニック","東京都港区芝浦三丁目4番1号","地下1階 1-B","03-3455-2525","2022/11/1","精神科、心療内科、内科","35.643577","139.745802"
"医療法人社団　如水会　芝浦皮膚科","東京都港区芝浦三丁目6番1号","ふじやビル3階","03-5443-6677","2010/4/20","皮膚科","35.643578","139.748967"
"梶田眼科","東京都港区芝浦三丁目6番3号","協栄ビル4階","03-5730-1313","2003/4/22","眼科","35.643533","139.748877"
"とようら小児科","東京都港区芝浦三丁目11番5号","第三協栄ビル2階","03-5442-8872","2007/4/1","小児科","35.642825","139.750015"
"高櫻内科・脳神経クリニック","東京都港区芝浦三丁目11番5号","第三協栄ビル1階","03-6722-6322","2019/8/30","内科、脳神経内科","35.642825","139.750015"
"ありいずみ内科","東京都港区芝浦三丁目11番8号","ミナトヤビル3階","03-5419-7881","1998/10/20","内科、消化器科","35.642817","139.749816"
"田町三田こころみクリニック・心療内科・精神科","東京都港区芝浦三丁目13番1号","矢島ビル501号","03-6435-1553","2022/3/7","心療内科、精神科","35.643246","139.749097"
"東京横浜ＴＭＳクリニックみなと東京院","東京都港区芝浦三丁目13番1号","矢島ビル502号","03-6381-7515","2022/4/1","心療内科、精神科","35.643246","139.749097"
"医療法人社団港風会　みなと整形外科内科クリニック","東京都港区芝浦三丁目13番1号","矢島ビル3階","03-6435-4122","2022/8/19","整形外科、内科、皮膚科、リハビリテーション科","35.643246","139.749097"
"医療法人Ｈ＆Ｌ会　芝浦メディカル","東京都港区芝浦三丁目13番11号","メディカルスクウェア芝浦5階・6階","03-5443-3583","2022/10/1","循環器内科、内科、呼吸器内科、アレルギー科、糖尿病内科（代謝内科）、外科、肛門外科、消化器内科（胃腸内科）","35.642784","139.748431"
"かめさんキッズクリニック","東京都港区芝浦三丁目13番11号","MedicalSquare芝浦2階","03-6435-3810","2023/10/1","小児科","35.642784","139.748431"
"芝浦クリニック","東京都港区芝浦三丁目16番1号","中野興産ビル1階","03-5765-5264","2023/5/1","内科、消化器内科、整形外科、小児科","35.642165","139.749756"
"芝浦健診クリニック","東京都港区芝浦三丁目18番17号","東京港健保会館 3階","03-5765-7171","2005/11/1","内科、消化器科","35.641909","139.750549"
"芝浦ゲートウェイクリニック","東京都港区芝浦三丁目19番19号","オー・アイ・芝浦3階","03-3454-7789","2019/3/27","内科","35.641489","139.748737"
"医療法人社団ｎａｏ田町芝浦耳鼻咽喉科","東京都港区芝浦三丁目19番19号","オー・アイ・芝浦2階","03-5418-8733","2015/5/21","アレルギー科、耳鼻咽喉科","35.641489","139.748737"
"ＴＯＰＰＡＮグループ健康保険組合　芝浦診療所","東京都港区芝浦三丁目19番26号","5階","03-5418-3687","2015/7/1","内科","35.641625","139.749813"
"横河ブリッジホールディングス診療所","東京都港区芝浦四丁目4番44号",,"03-3453-4111","2007/2/19","内科、外科","35.641959","139.74526"
"トヨタモビリティ東京株式会社診療所","東京都港区芝浦四丁目8番3号","9階","03-5439-1610","2017/5/19","内科","35.638827","139.745863"
"株式会社関電工診療所","東京都港区芝浦四丁目8番33号",,"03-5476-3963","1988/12/12","内科","35.638286","139.745579"
"医療法人社団美加未会　芝浦ホームクリニック","東京都港区芝浦四丁目9番18号","グランドパレス田町613号室","03-5419-7746","2013/5/1","内科、外科、整形外科、神経内科、呼吸器内科、精神科","35.639745","139.747121"
"沖電気工業株式会社　芝浦診療所","東京都港区芝浦四丁目10番16号","OKI芝浦オフィス2階","03-5635-8313","2021/12/22","内科、外科","35.640616","139.747241"
"医療法人社団しらかば会　みなとウィメンズクリニック","東京都港区芝浦四丁目12番39号","ロジックビル三階","03-6435-1311","2023/10/1","産婦人科、内科、皮膚科","35.641097","139.748658"
"一般財団法人関東電気保安協会　健康相談室","東京都港区芝浦四丁目13番23号","MS芝浦ビル7階","03-6453-8888","2019/3/29","内科、精神科","35.640240","139.748062"
"医療法人社団小日向会　芝浦こどもクリニック","東京都港区芝浦四丁目20番4号","芝浦アイランドブルームホームズドクターズポート芝浦アイランド1階","03-5730-0108","2013/8/1","小児科、アレルギー科、内科、形成外科、皮膚科","35.638953","139.751855"
"医療法人社団広進会　芝浦アイランド皮フ科","東京都港区芝浦四丁目20番4号","芝浦アイランドブルームホームズ2階","03-5765-2622","2015/8/1","皮膚科、小児皮膚科、美容皮膚科、アレルギー科、形成外科","35.638835","139.751832"
"医療法人財団Ｃｈｉｒｏｎ　芝浦アイランド内科クリニック","東京都港区芝浦四丁目20番4号","芝浦アイランドブルームホームズ2階","03-5730-0221","2013/10/1","内科、リウマチ科","35.638835","139.751832"
"大野耳鼻咽喉科医院","東京都港区芝公園一丁目1番7号",,"03-3431-3387","1992/6/5","耳鼻いんこう科","35.660216","139.752161"
"医療法人社団ＮＡＯＳ　御成門内科クリニック","東京都港区芝公園一丁目3番10号","ハリファックス芝ビル2階","03-5425-2530","2014/4/1","内科","35.659487","139.751932"
"港区役所職員保健室","東京都港区芝公園一丁目5番25号",,"03-3578-2111","1988/7/1","内科","35.658044","139.751535"
"藏本内科クリニック","東京都港区芝公園一丁目7番15号","池田ビル1階","03-5733-3355","2003/12/18","内科、消化器内科","35.657398","139.752136"
"佐々木クリニック泌尿器科　芝大門","東京都港区芝公園一丁目7番15号","池田ビル3階","03-6435-7373","2022/9/28","泌尿器科、腫瘍泌尿器科、感染症泌尿器科","35.657398","139.752136"
"芝国際クリニック","東京都港区芝公園二丁目3番3号","寺田ビル1階","03-6402-3288","2020/9/1","内科、腫瘍内科、婦人科","35.656791","139.752093"
"医療法人社団潤康会　芝パーククリニック","東京都港区芝公園二丁目4番1号","芝パークビル2階208号室","03-3434-4485","1994/11/1","内科、婦人科、心療内科、歯科","35.655623","139.752271"
"医療法人社団ケイセイ会パークサイドクリニック","東京都港区芝公園二丁目6番8号","日本女子会館ビル2階","03-3434-7800","2005/8/30","内科、循環器科、消化器科、呼吸器科、婦人科、リハビリテーション科","35.655577","139.75064"
"ＡＭＴ東京芝クリニック","東京都港区芝公園二丁目10番4号","浜松町ウエストビル5階","03-5422-1178","2022/8/1","皮膚科、アレルギー科、内科","35.654673","139.752565"
"東京プリンスホテル　診療所","東京都港区芝公園三丁目3番1号","東京プリンスホテル地下3階","03-3432-1111","2022/4/1","内科","35.658962","139.748139"
"トウキョウ　メディカル　エンド　サージカル　クリニック","東京都港区芝公園三丁目4番30号","32芝公園ビル2階","03-3436-3028","2014/11/1","内科、消化器内科、外科、整形外科、産婦人科、循環器内科、皮膚科、眼科、耳鼻咽喉科、神経内科、精神科、泌尿器科、小児科","35.658906","139.746403"
"株式会社ＴＯＫＹＯ　ＴＯＷＥＲ医務室","東京都港区芝公園四丁目2番8号",,"03-3433-5563","1959/6/5","内科","35.658577","139.745451"
"ザ・プリンス　パークタワー東京　診療所","東京都港区芝公園四丁目8番1号","ザ・プリンス パークタワー東京地下1階","03-5400-1111","2022/4/1","内科","35.655223","139.747029"
"芝大門いまづクリニック","東京都港区芝大門一丁目1番14号","1階～5階","03-6432-4976","2013/6/1","内科、消化器内科、外科、肛門外科、放射線科、漢方腫瘍内科（がん漢方）、漢方内科、漢方産婦人科","35.659496","139.754003"
"あたご皮フ科","東京都港区芝大門一丁目1番35号","サンセルモ大門ビル1階","03-6402-3636","2018/4/1","皮膚科","35.660294","139.752838"
"山本クリニック　東京","東京都港区芝大門一丁目2番4号","6階","03-5843-7120","2023/4/5","男性泌尿器科","35.660018","139.754505"
"浜松町メンタルクリニック","東京都港区芝大門一丁目14番10号","宮川ビル地下1階","03-6279-7473","2006/3/1","心療内科、精神科、神経科","35.657517","139.75373"
"ひより内科クリニック　浜松町駅前院","東京都港区芝大門一丁目16番6号","新雅ビル4階","03-6459-0441","2022/2/21","内科、小児科、アレルギー科、泌尿器科","35.657124","139.754465"
"芝大門クリニック","東京都港区芝大門一丁目16番10号","土木田ビル2階","03-6435-6930","2011/10/1","内科","35.657167","139.754287"
"こころの健康クリニック芝大門","東京都港区芝大門二丁目1番13号","芝大友ビル6階","03-6435-8046","2019/6/1","心療内科、精神科","35.655898","139.75298"
"医療法人社団生栄会　浜松町メディカルクリニック","東京都港区芝大門二丁目3番11号","芝清水ビル1階","03-6809-2152","2013/3/4","内科、小児科","35.655781","139.753828"
"ひろ・やまクリニック","東京都港区芝大門二丁目5番1号","アルテビル3階","03-3437-6376","2004/11/27","耳鼻いんこう科、内科、気管食道科、外科、頭頸部外科","35.655528","139.754057"
"ＤＮ画像診断クリニック東京","東京都港区芝大門二丁目5番5号","住友芝大門ビル1階","03-6823-7670","2022/7/1","放射線科","35.655332","139.754088"
"さくらオンラインクリニック","東京都港区芝大門二丁目8番5号","MHKビル4階",,"2024/3/11","内科、産婦人科","35.655394","139.753020"
"あおきクリニック","東京都港区芝大門二丁目9番4号","VORT芝大門3　5階","03-6432-4340","2024/2/15","内科、精神科、救急科","35.654617","139.752852"
"医療法人社団グッドスリープ　グッドスリープ・クリニック","東京都港区芝大門二丁目10番1号","第一大門ビル 1階","03-5733-3251","2001/3/1","内科","35.654703","139.753109"
"医療法人社団たくみ会細川内科クリニック","東京都港区芝大門二丁目10番2号","黒田ビル2階","03-5777-5331","2007/5/1","内科、糖尿病内科","35.654718","139.753369"
"医療法人社団桜門会　山皇クリニック","東京都港区芝大門二丁目10番7号","桜門会ビル2　2階","03-3437-9901","2008/10/1","内科","35.654177","139.753299"
"医療法人社団みなとあおば　白金あおば皮フ科クリニック","東京都港区白金一丁目2番2号","白金ザ・スカイ西棟1階W111","03-6456-2033","2023/4/3","皮膚科、アレルギー科、小児皮膚科、美容皮膚科","35.646231","139.735073"
"もとやまクリニック","東京都港区白金一丁目8番9号","1階A","03-3473-2866","2002/9/20","内科、循環器科","35.645871","139.731543"
"しろかねたかなわクリニック","東京都港区白金一丁目13番11号",,"03-6721-7561","2018/8/1","心療内科、精神科、児童精神科、老年精神科","35.645137","139.734490"
"医療法人社団千和会白金タワークリニック","東京都港区白金一丁目17番1号","白金タワー106号","03-5789-3882","2012/12/1","内科、外科、小児科、肛門外科、肛門内科、胃腸内科","35.644583","139.733509"
"医療法人社団　健翠会　白金眼科クリニック","東京都港区白金一丁目17番2号","白金タワーテラス棟1階104号室","03-3447-2226","2016/12/1","眼科","35.644411","139.733478"
"敬和国際医院","東京都港区白金一丁目25番27号","布施ビル2階","03-6432-5070","2020/3/26","内科、外科","35.643988","139.731534"
"白金三光クリニック","東京都港区白金一丁目25番31号","レジデンス白金102","03-6456-4350","2018/5/1","内科、外科、皮膚科、麻酔科","35.644431","139.731574"
"医療法人社団　健翠会　カピバラあかちゃんこどもクリニック","東京都港区白金一丁目26番4号","アイム白金高輪1階","03-6277-3008","2013/3/1","小児科、アレルギー科","35.644059","139.733556"
"白金メンタルクリニック","東京都港区白金一丁目28番18号","Yビル3階","03-6721-9092","2014/5/28","精神科","35.643758","139.732976"
"やまうち循環器内科クリニック","東京都港区白金二丁目3番3号","カームコート白金高輪1階","03-6456-4115","2022/10/26","循環器内科、内科","35.643173","139.733170"
"エミネクロスメディカルクリニック","東京都港区白金三丁目7番18号","アポロホール&ルナハウス402","03-6804-2306","2021/11/15","内科","35.645778","139.729738"
"後藤内科診療所","東京都港区白金三丁目7番24号",,"03-3441-2408","1994/10/13","内科、小児科","35.645640","139.729072"
"白金ハートクリニック","東京都港区白金三丁目10番6号","コスモ白金シティフォルム102号","03-5447-0810","2022/9/1","内科、循環器内科、外科、心臓血管外科","35.645388","139.731314"
"白金耳鼻咽喉科望月医院","東京都港区白金三丁目10番16号","白金望月ビル1階","03-3442-3387","2023/8/1","耳鼻いんこう科、小児耳鼻いんこう科、アレルギー科","35.645187","139.731214"
"白金ビューティフルエイジングクリニック","東京都港区白金六丁目6番1号","3階","03-5791-4800","2006/8/4","美容外科、形成外科","35.644302","139.725567"
"仁クリニック","東京都港区白金六丁目7番3号","La Blancheur 101号室",,"2024/2/12","内科","35.643991","139.725839"
"白金スイートクリニック","東京都港区白金六丁目16番6号","ザ・レジデンス白金スイート2階","03-5793-5081","2013/10/1","内科、整形外科","35.643241","139.722654"
"医療法人社団白峰会　白金クリニック","東京都港区白金六丁目22番12号",,"03-3441-3408","1996/10/1","内科、外科、整形外科、リウマチ科、消化器内科、胃腸内科、乳腺外科、呼吸器内科、循環器内科、皮膚科","35.643536","139.721175"
"医療法人社団研友会　都ホテル東京メディカルクリニック","東京都港区白金台一丁目1番50号","シェラトン都ホテル東京B1階","03-3473-1651","2003/5/1","内科、小児科、外科、整形外科、皮膚科","35.639304","139.730649"
"明治学院大学健康支援センター","東京都港区白金台一丁目2番37号","明治学院大学本館内","03-5421-5183","1996/9/24","内科、婦人科、精神科","35.637427","139.730778"
"高輪台おおみち循環器内科クリニック","東京都港区白金台二丁目11番8号","永昌高輪台ビル3階","03-5422-9105","2021/8/1","内科、循環器内科","35.632516","139.730637"
"はな医院","東京都港区白金台二丁目23番2号","白金台フラッツB101","03-4405-2367","2020/10/9","内科、外科、小児科、緩和ケア内科","35.633288","139.728740"
"山根耳鼻咽喉科医院","東京都港区白金台二丁目23番13号",,"03-3444-5448","1997/2/18","耳鼻いんこう科、小児科","35.633140","139.728316"
"白金台おがわクリニック","東京都港区白金台三丁目8番3号",,"03-6447-7081","2017/10/3","内科、糖尿病内科、消化器内科、内分泌内科、小児科","35.635117","139.728022"
"白金台クリニック","東京都港区白金台三丁目14番2号","クレアシオン白金台602",,"2022/7/18","内科、アレルギー科、皮膚科、心療内科、女性内科","35.637082","139.724939"
"ＮＥＯクリニック東京","東京都港区白金台三丁目14番4号","LBビル6F","03-6450-4796","2020/6/30","内科、皮膚科、腫瘍内科","35.637209","139.725188"
"エムズクリニック白金","東京都港区白金台三丁目14番4号","LBビルディング 4F-A ","03-3280-3387","2017/2/7","耳鼻いんこう科、小児耳鼻いんこう科、消化器外科（胃腸外科）、脳神経外科","35.637209","139.725188"
"白金台耳鼻咽喉科","東京都港区白金台三丁目15番21号","谷島ビル2階","03-6408-5088","2019/1/1","耳鼻いんこう科","35.636258","139.724197"
"白金台皮膚科","東京都港区白金台三丁目16番8号","クレール白金台2階","03-3447-8080","2016/12/1","皮膚科、小児皮膚科","35.636183","139.723342"
"ＪＵＮ　ＣＬＩＮＩＣ　白金","東京都港区白金台三丁目16番13号","白金台ウスイビル8階","03-6456-4997","2020/9/1","形成外科、美容外科、美容皮膚科","35.636541","139.723791"
"クリニックばんびいに","東京都港区白金台三丁目16番13号",,"03-3441-4150","2015/3/1","小児科、アレルギー科、内科","35.636541","139.723791"
"医療法人社団白明会　古野眼科","東京都港区白金台三丁目16番16号",,"03-3449-0888","1991/9/30","眼科","35.636206","139.723929"
"白金台ファミリークリニック","東京都港区白金台三丁目18番1号","八百吉ビル2階","03-5795-2137","2015/10/1","内科","35.635128","139.720719"
"加藤プラチナクリニック","東京都港区白金台三丁目18番12号","白金台AKETA 501号室","03-5422-8565","2024/1/3","内科、小児科","35.635624","139.721597"
"医療法人社団潤生会　石原内科クリニック","東京都港区白金台四丁目2番11号","白金台クレスト3階","03-5423-5560","2006/6/1","内科、リハビリテーション科、小児科、整形外科","35.639155","139.727982"
