"ごみの品目","インデックス","種別","説明","GIS搭載用住所","経度","緯度","分類"
"キリ","きり","陶器・ガラス・金属ごみ","危険のないよう先端を紙などで包み、他のごみとは別の袋に入れ、中身が何か分かるように表記して出してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"キルティング製品","きるてぃんぐせいひん","燃やすごみ","一辺が30㎝を超える場合は粗大ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"金紙","きんがみ","燃やすごみ","古紙再生の妨げとなるため古紙（集団回収）には出せません。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"金庫","きんこ","粗大ごみ","一辺が30cm以下の場合は陶器・ガラス・金属ごみです。
耐火金庫は区で収集できません。販売店やメーカー、専門業者に依頼してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"キーホルダー（金属製）","きーほるだー（きんぞくせい）","陶器・ガラス・金属ごみ","プラスチック製のものは燃やすごみへ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"キーボード（楽器）","きーぼーど（がっき）","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"キーボード（パソコン用）","きーぼーど（ぱそこんよう）","粗大ごみ","一辺が30㎝以下の場合は陶器・ガラス・金属ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ギター
※楽器","ぎたー
※がっき","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ギターケース","ぎたーけーす","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"牛乳パック","ぎゅうにゅうぱっく","古紙（集団回収）","軽くすすいでから開き、乾かして出してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"銀紙","ぎんがみ","燃やすごみ","古紙再生の妨げとなるため古紙（集団回収）には出せません。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"空気入れ（金属製）","くうきいれ（きんぞくせい）","粗大ごみ","一辺が30cm以下の場合は陶器・ガラス・金属ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"空気入れ（プラスチック製）","くうきいれ（ぷらすちっくせい）","粗大ごみ","一辺が30㎝以下で、
プラスチックのみでできた物は資源プラスチックへ、
プラスチック以外の素材が含まれる物は燃やすごみへ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"空気清浄機","くうきせいじょうき","粗大ごみ","一辺が30㎝以下の場合は陶器・ガラス・金属ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"くぎ","くぎ","陶器・ガラス・金属ごみ","危険のないよう紙などで包み、他のごみとは別の袋に入れ、中身が何かわかるように表記して出してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"くし（髪用：金属製）","くし（かみよう：きんぞくせい）","陶器・ガラス・金属ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"くし（髪用：プラスチック製）","くし（かみよう：ぷらすちっくせい）","資源プラスチック","プラスチック以外の素材が含まれる物は燃やすごみへ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"くし（髪用：木製）","くし（かみよう：もくせい）","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"串（金属製）","くし（きんぞくせい）","陶器・ガラス・金属ごみ","危険のないよう紙などで包んで出してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"串（プラスチック製）","くし（ぷらすちっくせい）","資源プラスチック","プラスチック以外の素材が含まれる物は燃やすごみへ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"串（木製）","くし（もくせい）","燃やすごみ","危険のないよう紙などで包んで出してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"薬のシート","くすりのしーと","資源プラスチック","カプセル・錠剤等のシート。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"薬のびん","くすりのびん","陶器・ガラス・金属ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"薬（飲み薬）","くすり（のみぐすり）","燃やすごみ","工業薬品類については区では収集していません。販売店やメーカー、専門業者に相談してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"果物ネット","くだものねっと","資源プラスチック","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"口紅（ケース含む）","くちべに（けーすふくむ）","燃やすごみ","ケースが金属製の場合、ケースのみ陶器・ガラス・金属ごみへ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"クッション","くっしょん","燃やすごみ","一辺が30㎝を超える場合は粗大ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"くつ下","くつした","古着・古布（集団回収）","多くの地域で集団回収をしています。集団回収に出せない場合や汚れている場合は燃やすごみへ。
※「リサイクル展示室」でも回収しています。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"靴（布製・革製）","くつ（ぬのせい・かわせい）","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"首輪（犬用・猫用）","くびわ（いぬよう・ねこよう）","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"クリアファイル","くりあふぁいる","資源プラスチック","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"クリップ","くりっぷ","陶器・ガラス・金属ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"クレヨン","くれよん","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"クーラーボックス","くーらーぼっくす","粗大ごみ","一辺が30㎝以下の場合は燃やすごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"グラス（陶器製・ガラス製・金属製）","ぐらす（とうきせい・がらすせい・きんぞくせい）","陶器・ガラス・金属ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"グラス（プラスチック製）","ぐらす（ぷらすちっくせい）","資源プラスチック","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"グローブ（野球用など）","ぐろーぶ（やきゅうようなど）","燃やすごみ","手袋も燃やすごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"軍手（布製・ゴム製）","ぐんて（ぬのせい・ごむせい）","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"蛍光管","けいこうかん","使用済蛍光管（拠点回収）","区立施設に設置してある「蛍光管回収ボックス」へ入れてください。回収ボックスを利用できない場合は、陶器・ガラス・金属ごみへ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"蛍光管（割れているもの）","けいこうかん（われているもの）","陶器・ガラス・金属ごみ","危険のないよう紙などで包み、他のごみとは別の袋に入れ、中身が何か分かるように表記して出してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"珪藻土製品","けいそうどせいひん","陶器・ガラス・金属ごみ","一辺が30㎝を超える場合は粗大ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"携帯音楽プレーヤー","けいたいおんがくぷれーやー","使用済小型家電（拠点回収）","区立施設に設置してある「小型家電回収ボックス」へ入れてください。回収ボックスを利用できない場合は、陶器・ガラス・金属ごみへ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"携帯ゲーム機器","けいたいげーむきき","使用済小型家電（拠点回収）","区立施設に設置してある「小型家電回収ボックス」へ入れてください。回収ボックスを利用できない場合は、陶器・ガラス・金属ごみへ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"携帯電話","けいたいでんわ","使用済小型家電（拠点回収）","区立施設に設置してある「小型家電回収ボックス」へ入れてください。回収ボックスを利用できない場合は、陶器・ガラス・金属ごみへ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"毛糸","けいと","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"消しゴム","けしごむ","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"化粧品のびん","けしょうひんのびん","陶器・ガラス・金属ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"血圧計（水銀式）","けつあつけい（すいぎんしき）","陶器・ガラス・金属ごみ","他のごみとは別の袋に入れ、中身が何か分かるように表記して出してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"血圧計（デジタル式）","けつあつけい（でじたるしき）","陶器・ガラス・金属ごみ","電池は抜いてください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ケーブル","けーぶる","使用済小型家電（拠点回収）","区立施設に設置してある「小型家電回収ボックス」へ入れてください。回収ボックスを利用できない場合は、陶器・ガラス・金属ごみへ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"下駄","げた","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"下駄箱","げたばこ","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"玄関マット","げんかんまっと","燃やすごみ","一辺が30㎝を超える場合は粗大ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"現像液","げんぞうえき","区では収集しないもの","販売店やメーカー、専門業者に相談してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ゲーム機（家庭用・据置型）","げーむき（かていよう・すえおきがた）","陶器・ガラス・金属ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ゲームソフト（ケース含む）","げーむそふと（けーすふくむ）","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"工業薬品類（塩酸・硫酸・硝酸等）","こうぎょうやくひんるい（えんさん・りゅうさん・しょうさんとう）","区では収集しないもの","販売店やメーカー、専門業者に相談してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"広告紙（ちらし）","こうこくし（ちらし）","古紙（集団回収）","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"固形燃料","こけいねんりょう","燃やすごみ","少量ずつ出してください。一回に出せる量は両手のひら１杯分くらいが目安です。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"こたつ","こたつ","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"こたつ板","こたついた","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"こたつ布団
※布団","こたつふとん
※ふとん","粗大ごみ","掛け布団、敷布団共に粗大ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"コップ（紙製・木製）","こっぷ（かみせい・もくせい）","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"コップ（陶器製・ガラス製・金属製）","こっぷ（とうきせい・がらすせい・きんぞくせい）","陶器・ガラス・金属ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"コップ（プラスチック製）","こっぷ（ぷらすちっくせい）","資源プラスチック","プラスチック以外の素材が含まれる物は燃やすごみへ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"琴
※楽器","こと
※がっき","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"粉ミルクの缶","こなみるくのかん","びん・缶・ペットボトル","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"コピー機（家庭用）","こぴーき（かていよう）","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"コピー用紙","こぴーようし","古紙（集団回収）","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"コルク栓","こるくせん","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"コンクリート製品","こんくりーとせいひん","区では収集しないもの","販売店やメーカー、専門業者に相談してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"コンタクトレンズ","こんたくとれんず","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"コンパクト(鏡付き）","こんぱくと（かがみつき）","陶器・ガラス・金属ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"コンロ（カセットコンロ、卓上コンロ）","こんろ（かせっとこんろ、たくじょうこんろ）","陶器・ガラス・金属ごみ","一辺が30センチメートルを超える場合は粗大ごみです。カセットボンベは必ず外してください。外したボンベは、他のごみとは別の袋に入れ、中身が何か分かるように表記して出してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"コート","こーと","古着・古布（集団回収）","多くの地域で集団回収をしています。集団回収に出せない場合や汚れている場合は燃やすごみへ。
※「リサイクル展示室」でも回収しています。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"コード類","こーどるい","使用済小型家電（拠点回収）","区立施設に設置してある「小型家電回収ボックス」へ入れてください。回収ボックスを利用できない場合は、陶器・ガラス・金属ごみへ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"コーン油","こーんあぶら","食用油（拠点回収）","食用の植物油のみ拠点回収を行っています。拠点回収に出せない場合は、凝固剤で固めるか紙や布にしみこませて燃やすごみへ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ござ
※敷物","ござ
※しきもの","粗大ごみ","一辺が30㎝以下の場合は燃やすごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ごみ箱（金属製）","ごみばこ（きんぞくせい）","粗大ごみ","一辺が30㎝以下の場合は陶器・ガラス・金属ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ごみ箱（プラスチック製）","ごみばこ（ぷらすちっくせい）","粗大ごみ","一辺が30㎝以下で、
プラスチックのみでできた物は資源プラスチックへ、
プラスチック以外の素材が含まれる物は燃やすごみへ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ごみ箱（木製）","ごみばこ（もくせい）","粗大ごみ","一辺が30㎝以下の場合は燃やすごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ゴム手袋","ごむてぶくろ","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ゴルフクラブ","ごるふくらぶ","粗大ごみ","5本1セットで回収します。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ゴルフバッグ","ごるふばっぐ","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ゴルフボール","ごるふぼーる","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ゴーグル","ごーぐる","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"サイクリングマシーン（健康器具）","さいくりんぐましーん（けんこうきぐ）","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"サイドボード","さいどぼーど","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"財布（布製・皮製）","さいふ（ぬのせい・かわせい）","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"サインペン","さいんぺん","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"作業着","さぎょうぎ","古着・古布（集団回収）","多くの地域で集団回収をしています。集団回収に出せない場合や汚れている場合は燃やすごみへ。
※「リサイクル展示室」でも回収しています。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"酒パック","さけぱっく","燃やすごみ","内側がアルミの紙は古紙再生の妨げとなるため古紙（集団回収）には出せません。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"酒びん","さけびん","びん・缶・ペットボトル","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"殺菌剤","さっきんざい","区では収集しないもの","販売店やメーカー、専門業者に相談してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"殺虫剤","さっちゅうざい","区では収集しないもの","販売店やメーカー、専門業者に相談してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"殺虫剤の容器（スプレー缶）","さっちゅうざいのようき（すぷれーかん）","陶器・ガラス・金属ごみ","できるだけ中身を使い切り、他のごみとは別の袋に入れ、中身が何か分かるように表記して出してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"殺虫剤の容器（プラスチック製）","さっちゅうざいのようき（ぷらすちっくせい）","資源プラスチック","水で軽くすすいでから出してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"錆びた缶","さびたかん","陶器・ガラス・金属ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"サマーベッド
※ベッド","さまーべっど
※べっど","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"サラダ油","さらだあぶら","食用油（拠点回収）","食用の植物油のみ拠点回収を行っています。拠点回収に出せない場合は、凝固剤で固めるか紙や布にしみこませて燃やすごみへ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"皿（紙製・木製）","さら（かみせい・もくせい）","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"皿（陶器製・ガラス製・金属製）","さら（とうきせい・がらすせい・きんぞくせい）","陶器・ガラス・金属ごみ","割れたものは、危険のないよう紙などで包み、他のごみとは別の袋に入れ、中身が何か分かるように表記して出してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"皿（プラスチック製）","さら（ぷらすちっくせい）","資源プラスチック","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"酸素ボンベ","さんそぼんべ","区では収集しないもの","販売店やメーカー、専門業者に相談してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"サンダル","さんだる","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"三輪車
※子供用遊具","さんりんしゃ
※こどもようゆうぐ","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"サーフボード","さーふぼーど","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"座椅子
※いす","ざいす
※いす","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"材木","ざいもく","燃やすごみ","一辺が30㎝を超える場合は粗大ごみです。ただし長さ200cm以内、厚さ10cm以内に限ります。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"座卓
※テーブル･座卓","ざたく
※てーぶる・ざたく","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"雑誌","ざっし","古紙（集団回収）","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"座布団","ざぶとん","粗大ごみ","一辺が30㎝以下の場合は燃やすごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ざる（金属製）","ざる（きんぞくせい）","陶器・ガラス・金属ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ざる（プラスチック製）","ざる（ぷらすちっくせい）","資源プラスチック","プラスチック以外の素材が含まれる物は燃やすごみへ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ざる（木製）","ざる（もくせい）","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"下着類","したぎるい","古着・古布（集団回収）","多くの地域で集団回収をしています。集団回収に出せない場合や汚れている場合は燃やすごみへ。
※「リサイクル展示室」でも回収しています。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"湿布薬","しっぷぐすり","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"竹刀","しない","粗大ごみ","5本1セットで回収します。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"芝刈り機
※作業用具","しばかりき
※さぎょうようぐ","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"写真","しゃしん","燃やすごみ","古紙再生の妨げとなるため古紙（集団回収）には出せません。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"写真フィルム・ネガ","しゃしんふぃるむ・ねが","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"写真プリント用紙","しゃしんぷりんとようし","燃やすごみ","古紙再生の妨げとなるため古紙（集団回収）には出せません。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"シャベル","しゃべる","陶器・ガラス・金属ごみ","一辺が30㎝を超える場合は粗大ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"しゃもじ・へら（金属製）","しゃもじ・へら（きんぞくせい）","陶器・ガラス・金属ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"しゃもじ・へら（プラスチック製）","しゃもじ・へら（ぷらすちっくせい）","資源プラスチック","プラスチック以外の素材が含まれる物は燃やすごみへ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"しゃもじ・へら（木製）","しゃもじ・へら（もくせい）","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"シャンプーのボトル","しゃんぷーのぼとる","資源プラスチック","軽くすすいでから出してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"シャープペンシル","しゃーぷぺんしる","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"収納ケース（プラスチック製）
※引き出し類","しゅうのうけーす（ぷらすちっくせい）
※ひきだしるい","粗大ごみ","一辺が30㎝以下で、
プラスチックのみでできた物は資源プラスチックへ、
プラスチック以外の素材が含まれる物は燃やすごみへ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"収納ケース（木製）
※引き出し類","しゅうのうけーす（もくせい）
※ひきだしるい","粗大ごみ","一辺が30㎝以下の場合は燃やすごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"シュレッダー
※家庭用シュレッダー","しゅれっだー
※かていようしゅれっだー","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"シュレッダーくず","しゅれっだーくず","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"消火器","しょうかき","区では収集しないもの","販売店やメーカー、専門業者に相談してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"消臭剤","しょうしゅうざい","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"消毒剤","しょうどくざい","区では収集しないもの","販売店やメーカー、専門業者に相談してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"照明器具","しょうめいきぐ","粗大ごみ","一辺が30㎝以下の場合は陶器・ガラス・金属ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"食品トレイ","しょくひんとれい","資源プラスチック","水で軽くすすいで汚れを落としてからお出しください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"食用の植物油","しょくようのしょくぶつあぶら","食用油（拠点回収）","天ぷら油、サラダ油、菜種油、コーン油等、食用の植物油のみ拠点回収を行っています。拠点回収に出せない場合は、凝固剤で固めるか紙や布にしみこませて燃やすごみへ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"書籍","しょせき","古紙（集団回収）","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"食器洗い乾燥機
※乾燥機","しょっきあらいかんそうき
※かんそうき","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"食器棚","しょっきだな","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"食器（紙製・木製）","しょっき（かみせい・もくせい）","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"食器（陶器製・ガラス製・金属製）","しょっき（とうきせい・がらすせい・きんぞくせい）","陶器・ガラス・金属ごみ","割れたものは、危険のないよう紙などで包み、他のごみとは別の袋に入れ、中身が何か分かるように表記して出してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"食器（プラスチック製）","しょっき（ぷらすちっくせい）","資源プラスチック","プラスチック以外の素材が含まれる物は燃やすごみへ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"シンナー","しんなー","区では収集しないもの","販売店やメーカー、専門業者に相談してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"新聞紙","しんぶんし","古紙（集団回収）","折込チラシも新聞と一緒にお出しください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"シーツ","しーつ","古着・古布（集団回収）","多くの地域で集団回収をしています。集団回収に出せない場合や汚れている場合は粗大ごみへ。
※「リサイクル展示室」でも回収しています。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ＣＤ","しーでぃー","燃やすごみ","ケースは資源プラスチックにお出しください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ＣＤケース","しーでぃーけーす","資源プラスチック","紙は取り外して古紙（集団回収）へ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ＣＤプレイヤー
※オーディオ機器","しーでぃーぷれいやー
※おーでぃおきき","粗大ごみ","一辺が30㎝以下の場合は陶器・ガラス・金属ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ＣＤプレイヤー（ポータブル）","しーでぃーぷれいやー（ぽーたぶる）","使用済小型家電（拠点回収）","区立施設に設置してある「小型家電回収ボックス」へ入れてください。回収ボックスを利用できない場合は、陶器・ガラス・金属ごみへ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ＣＤラジカセ
※オーディオ機器","しーでぃーらじかせ
※おーでぃおきき","粗大ごみ","一辺が30㎝以下の場合は陶器・ガラス・金属ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ＣＤラック（金属製）
※オーディオラック","しーでぃーらっく（きんぞくせい）
※おーでぃおらっく","粗大ごみ","一辺が30㎝以下の場合は陶器・ガラス・金属ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ＣＤラック（プラスチック製）
※オーディオラック","しーでぃーらっく（ぷらすちっくせい）
※おーでぃおらっく","粗大ごみ","一辺が30㎝以下で、
プラスチックのみでできた物は資源プラスチックへ、
プラスチック以外の素材が含まれる物は燃やすごみへ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"シール","しーる","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
