№,施設名,種別    ,住所,電話,備考 
111,特定非営利活動法人つぼみ地域活動支援センターえどがわ,地活　指特相,江戸川区松島3-46-10かとりコーポ101,03-5879-0708,個別に生活相談へのご対応や、交流室にてレクリエーションやプログラムなどを行っております。
112,学校法人滋慶学園地域活動・相談支援センターかさい,地活　その他※,江戸川区中葛西2-8-3 ２階,03-5679-6445,高次脳機能障害の方、そのご家族の相談・支援を行っております。生活上の相談から、転居・仕事などお気軽にご相談ください。必要に応じ関係機関へのご紹介、情報提供も行っております。※江戸川区委託事業　①就労支援事業　②居住支援事業
113,特定非営利活動法人東京ソテリア地域活動支援センターはるえ野,地活　指特相,江戸川区春江町2-41-8,03-5664-6070,区内在住の高次脳機能障害をお持ちの方やご家族が、地域で少しでも生活しやすくなるようにお手伝いします。専門医による高次脳機能障害専門相談会（月１予約制）、STによる集団訓練、家族相談会等を実施しています。登録者数174名
114,株式会社リボン リボン葛西駅前校,就移,江戸川区中葛西3-33-14サクマビル３階,03-5659-0988,作業療法士が常駐し、その方の障害特性を把握し、長く働けるよう支援していきます。高次脳機能障害の方は17人登録されています。
115,株式会社ヒューマングロー ヒューマングロー小岩事業所,就移,江戸川区西小岩1-21-20第20東ビル５階B室,03-5829-4532,障害種別による通所可否はありませんが、様々な方が通所されています。トイレに段差がありますのでまずは見学や体験をお願いいたします。
116,社会福祉法人ひらいルミナル地域活動支援センターこまつがわ,地活,江戸川区小松川2-9-2 １階,03-5858-6421,利用条件等は特にありません。スポーツ、音楽、アート活動を柱に、ピアサポーターの育成事業を行っています。ピアスタッフも常駐しています。
117,社会福祉法人蕗の会ふきのとう,生介　就継Ｂ,八王子市東浅川町625-5,042-667-4158,木工品の製作と販売を行っていますが、まずは利用者との関わりを大事にしています。
118,社会福祉法人蕗の会ひのき工房,生介　就継Ｂ　,八王子市元八王子町2-1839-2,042-667-2158,木工品製作、リサイクル事業、清掃事業、菓子制作、農園野菜作り、販売を行っています。またPTによるリハビリで明るくいきいき生活をめざしています。現在56名中10名の高次脳機能障害の方が働いています。
119,特定非営利活動法人木馬工房,生介　就継Ｂ,八王子市元本郷町3-17-13,042-624-3340,印刷・木工・ガラス（とんぼ玉・フュージング）・ハーブ栽培・店舗・ギャラリー運営などの作業と、アート活動を主に取り組んでいます。様々な障がいの方が通所しています。楽しんで作業するがモットーです。
120,社会福祉法人八王子いちょうの会いちょう工房そら,就継Ｂ,八王子市元本郷町2-19-1,042-627-0079,施設に入る階段が少し角度が急なので、下肢が不自由な方は上がるのが大変ですので、注意をお願いします。
121,特定非営利活動法人わかくさ福祉会地域生活支援センターあくせす,地活　指特相,八王子市子安町3-6-7サザンエイトビル３階,042-631-1022,障害福祉サービスのご利用や日常生活の困りごとに関する相談をお受けしています。また、必要な情報提供を行ったり、ともに支援する人・機関を増やしていきます。
122,特定非営利活動法人わかくさ福祉会クロスジョブ東京,就移,八王子市明神町4-5-3橋捷ビル４階,042-649-3637,駅徒歩２分のオフィスのような雰囲気で、ご利用者様一人ひとりの状況や特性に合わせた支援を行っています。就労定着率は、１年定着率96.8％。２年定着率91.6％。まずは見学にお越しください。
123,特定非営利活動法人藍の会藍作業所,生介　就継Ｂ,八王子市楢原町384-5プレミール鹿島１階,042-623-2534,作業種類が豊富です。
124,社会福祉法人もくば会グループＧ,生介　就継Ｂ　,八王子市西寺方町366グランドソレイユ１階,042-650-5515,和気あいあいとした雰囲気のもと、高次脳機能障害の利用者様も、ムードメーカーとして場を和ませてくださるなど、職場の明るい環境作りにも一役買われるなどご活躍されています。
125,社会福祉法人もくば会デイサービスTRY,生介　就継Ｂ,八王子市寺町60-5藤和八王子コープ101,042-634-9067,障害を抱えた利用者の方の充実した日中活動を支援するため、職員一同取り組んでいます。現在の高次脳機能障害の方のご利用は７名です。
126,社会福祉法人もくば会生活介護事業所ウイングス,生介,八王子市上壱分方町229-2,042-659-2966,様々な方が利用される中で仲間関係を築き上げ自己肯定感（自分は大切な存在と思えること）を育む支援をいたします。
127,特定非営利活動法人ここかまど生活介護事業かまどっちゃ,生介,八王子市上野町103-1レジデンス富士森１階,042-621-0541,障害のある人もない人も、共に働き地域社会の中で自立した生活をめざしています。送迎も行っておりますが、相談の上決めさせていただきます。
128,特定非営利活動法人Ｐｕｒｅ ぴゅあさぽーとせんたー,生介,八王子市小比企町1769-4,042-657-4854,障がい種別による通所可否はございませんが、いろいろなタイプの方が利用されているため、まずは体験利用等をお願いします。
129,特定非営利活動法人Ｐｕｒｅあらいと,就継Ｂ,八王子市並木町14-20,042-663-6966,障がい種別による通所可否はございませんが、いろいろなタイプの方が利用されているため、まずは体験利用等をお願いします。
130,生活介護事業所らいふ結,生介,八王子市元八王子町2-1211,042-667-0039,それぞれのメンバーの希望や思いを尊重することをめざし、紙すきやジャム・石けん作りをしています。
131,Cocorport八王子駅前Office,就移,八王子市東町9-10ECS第35ビル２階,042-649-9252,JR駅から徒歩４分で、アクセスも良く通いやすい事業所です。お一人おひとりの「働きたい」に合わせた個別支援を徹底しております。
132,一般社団法人おおぞらひまわり,就継Ｂ,八王子市片倉町720-1サンヒル藤谷戸１階１号室,042-683-3378,人との関わりを大切にしており、施設内は明るい雰囲気で活気があります。送迎は要相談。高次脳機能障害の方の在籍数１名
133,社会福祉法人月峰会Mitleben穂高,生介　就継Ｂ,八王子市元横山町2-22-10,042-686-0431,生活介護事業にて、現在１名の方が利用しています。
134,社会福祉法人草むら就労継続支援Ｂ型ぶるー夢,就継Ｂ,八王子市南大沢2-220-9,042-674-0475,主な対象者は精神障がい者です。現在高次脳機能障害の方は２名在籍しています。特に高次脳機能障害の方には細かくご本人の要望や特性を理解し手厚く支援を行っています（掲示物の充実など）
135,社会福祉法人草むらシャル夢,就移,八王子市南大沢2-220-9,042-689-6713,２年で就労に必要なことを学べます。実習はグループ法人内（飲食、農業、清掃業、加工業他）で安心して行え、適職を見つけられます。失語症会話パートナーの職員がいます。高次脳機能障害の方の卒業生は１名です。
136,特定非営利活動法人多摩草むらの会パソコンサロン夢像,就継Ｂ,八王子市別所1-11-8アルデバラン１階,042-674-0407,パソコン作業に特化した就継Ｂです。主に精神障害の方が利用されています。高次脳機能障害の方は現在２名利用されています。
137,きずな工房からまつ,就継Ｂ,八王子市川口町3824,042-654-5883,地域の障害者が地域で平等に暮らし、社会と関わりながら生活するという理念のもと、運営しています。利用者それぞれの特性や適正、意向に配慮しサービスの提供を行っています。高次脳機能障害の方の在籍は１名です。
138,株式会社LITALICOパートナーズLITALICOワークス八王子,就移,八王子市旭町12－4日本生命八王子ビル７階,042-660-0008,各年度において15名～20名程度就職されています。過去に高次脳機能障害の方が在籍しており、現在食品スーパーに就職されております。
139,特定非営利活動法人E-SMILENICOTT,生介,八王子市長沼町1306-4八王子長沼通所センター１階,042-642-5617,高次脳機能障害の方は１名在籍
140,ＨＡＣＨＩＯＪＩＦＡＲＭＥＲ’ＳＫＩＴＣＨＥＮふぁむ,就継Ｂ,八王子市川口町3721-2,042-659-1133,障害者の就労を通じて身近な地域社会への「貢献」「共存」「共栄」をめざし、農福連携に取り組んでいます。また畑で取れた野菜を調理しレストランにて提供しています。
141,株式会社あやめ会めだか販売店,就継Ｂ,八王子市子安町1-2-6南口駅前ビル５階,042-649-4410,「めだか×福祉」の元祖就労支援事業所です。生産活動として、めだかの飼育・繁殖・販売を行っています。生き物を扱うことで仕事への責任感が自然と醸成されます。利用条件は自立通所可能な方です。
142,特定非営利活動法人あるがホープスカイ,就継Ｂ,八王子市下恩方町1158-10,042-659-1383,屋外では農作業。屋内では受注内職など広々とした環境でご自分のペースで参加いただけます。利用条件などご相談ください。
143,特定非営利活動法人しあわせのたねファースト・ステップ,就継Ｂ,八王子市八日町7-18,042-649-7085,利用者に合わせて、カフェ、絵画教室、編み物、想造楽工（絵のデザイン化）など、様々な作業を用意しています。何よりも、利用者のやる気と楽しさを大切にしています。
144,ＮＰＯ法人みんなのひろば森のぱんやさん,就継Ｂ,八王子市千人町2-3-1,042-673-7827,個々の働き方の体力に合わせて仕事をしていただきます。
145,株式会社ハートエースアポイント,就移,八王子市横山町6-9八王子丸多屋ビル２階,042-649-5012,就労移行支援事業所アポイントでは身体的理由により通所が困難な方を対象に在宅訓練を提供しております。通所・在宅どちらの方にも軽作業のプログラムを行っていただいた際には工賃をお支払いしております。
146,社会福祉法人ＳＨＩＰＥＳＰＲＩＴ,就継Ｂ,八王子市戸吹町111-3１階,042-696-3381,「パンを通じてお客様へ笑顔を届けたい」という気持ちを胸に、おいしいパンを作っています。お客様が店に足を運びたくなるような魅力的な商品を作り続けるために、利用者様とスタッフは技能の獲得などで日々奮闘しています。高次脳機能障害の方の在籍１名
147,株式会社ピーライフアース事業所,就継Ａ,八王子市片倉町706-6ミカサ１階,042-683-1206,各利用者の障害特性に寄り添った支援を心がけております。
148,株式会社ピーライフリーフ事業所,就継Ａ,八王子市千人町2-3-16プラザ西八王子２階,042-629-6902,それぞれの利用者の方々の障害特性に寄り添った支援を心がけております。
149,多摩地域IPS就労支援センターリスタ八王子,生活訓　就移　その他※  ,八王子市横山町3-6八王子横山町JEビル６階,042-649-2649,訓練型の職業準備性ではなく、ご本人の強みや希望を活かしたIPSモデルの援用と、生活支援を組み合わせた独自の支援を実践しています。※就労定着支援
150,サーカス,就継Ｂ,八王子市西寺方町658-1リベーラ三光１階,042-659-1751,多彩なプログラムをご用意しています。絵画活動、軽作業や雑貨作り、飲食店業務、農作業等。健康維持活動としてスポーツジムを利用しています。
151,チャレンジドジャパン八王子センター,就移,八王子市東町3-11プレイム八王子ビル５階,042-646-0536,一人ひとりに合わせた個別プランに基づく支援に取り組んでいます。職業適性の確認、コミュニケーション、ストレスケアなど、豊富なプログラムの中から、伸ばしたい分野を中心にスキルアップができます。
152,松坂ティーエムコンサルタンツ株式会社いちょう企画,生介　就継Ｂ　その他※ ,八王子市本町4-7東屋ビル,042-686-1870,「共生社会を目指して、障がいのある人もない人も共に暮らす。障がい者にとって暮らしやすい社会は健常者にとっても暮らしやすい社会」という理念のもと、自己選択・自己決定を尊重した支援を行っております。※居宅介護（行動援護・移動支援）
153,立川リハビリワークステーション立川,生介　就継Ｂ,立川市富士見町7-33-3,042-521-1234,病院や高齢者施設で使用される寝具類のクリーニング作業を行っています。座位の軽作業もあり、安心して作業に取り組めます。現在96名中３名の高次脳機能障害の方が働いています。
154,一般社団法人栄福祉会就労継続支援Ｂ型キッチンさかえ,就継Ｂ,立川市栄町3-2,042-540-1033,脳卒中や事故により、半身麻痺や高次脳機能障害の後遺症に悩む働き盛り世代が多数集う場所となっています。就継Ｂと就労移行支援の多機能事業所のため、就職活動も無理なく行えます。
155,一般社団法人栄福祉会就労移行支援ソレイユ,就移,立川市栄町3-2,042-540-1033,脳卒中や事故により、半身麻痺や高次脳機能障害の後遺症に悩む働き盛り世代が多数集う場所となっています。就継Ｂと就労移行支援の多機能事業所のため、就職活動も無理なく行えます。
156,一般社団法人栄福祉会サポーターズさかえ,通介,立川市栄町3-2,042-540-1034,中途障害の方が多く在籍する就継Bと併設されている通所介護であるため、高次脳機能障害の方が約1/3と多くご利用されています。
157,株式会社友心就労継続支援Ｂ型わーくあっぷ立川,就継Ｂ,立川市曙町1-24-11橋本ビル２階,042-595-8540,毎月の楽しいイベントやサークル活動も行っております。また、送迎やお昼の提供もございます。まずはご相談ください。幅広いニーズの多種多様な作業などもご用意しております。
158,りは職人でい,通介,立川市柴崎町3-18-29エトワール南立川１階,042-548-5903,平成19年より理学療法士・作業療法士・言語聴覚士が立ち上げた短時間リハビリデイサービスです。高次脳機能障害の方の在籍10名
159,武蔵野市障害者福祉センター,身福セ,武蔵野市八幡町4-28-13,0422-55-3825,在宅の障害者の社会参加の場として施設貸出業務、各種講習会などを実施しています。
160,高次脳機能障害相談室ゆいっと,その他※　,武蔵野市八幡町4-28-13,0422-55-5018,市内在住の高次脳機能障害者の方の専門相談を行っています。月に２回当事者の方のサロンもあります。※専門相談(市の委託事業)
161,生活リハビリサポートすばる,機能訓　生介,武蔵野市八幡町4-28-13,0422-55-3612,市内在住の18歳から65歳未満の中途障害の方が対象です。
162,社会福祉法人武蔵野デイセンターふれあい,生活訓　就移　指特相　その他※  ,武蔵野市吉祥寺北町4-11-16,0422-54-5134,武蔵野市内の重度の身体障害のある方への支援をしています。
163,社会福祉法人武蔵野ワークセンターけやき,就継Ｂ,武蔵野市吉祥寺北町4-11-16,0422-54-5096,封入、封緘を中心とした軽作業を行っています。
164,社会福祉法人武蔵野ジョブアシストいんくる,就移,武蔵野市中町1-28-10ローラン武蔵野101,0422-50-1701,プログラムやトレーニングを通じて、様々な作業経験ができます。アセスメントとジョブマッチングを大切に、無理なく長く働くことをめざしています。年間平均10名ほどの方が就職しています。
165,株式会社浩仁堂カバーヌ,就継Ｂ,武蔵野市境1-17-6-106,0422-55-1533,ネット古書店が営む事業所なので手作業からデータ入力等作業の幅が広いです。発達障害や精神障害等様々な障害をお持ちの方も通われています。高次脳機能障害の方２名在籍
166,アビリティーズジャスコ武蔵境センター,就移　その他※  ,武蔵野市境南町2-3-16武蔵境第一?木ビル４階,0422-30-5682,開所から６名の高次脳機能障害の方が就労されています。医療機関と連携して支援しています。※就労定着支援
167,Cocorport三鷹駅前Office,就移,武蔵野市中町1-13-3ホーメスト武蔵野ビル６階,0422-38-9700,ココルポートでは、「一人ひとりの可能性を信じ、自分らしさと笑顔あふれる社会を共創します。」をゆるぎない企業理念として掲げ、障がいのある方々が生き生きと働き続けられることができるように支援しています。
168,一般社団法人ルンアルン,生活訓　就移　指特相　その他※  ,武蔵野市中町1-34-5武蔵野第2パークマンション303,0422-59-0081,主に精神疾患や発達障害を抱えている方々に、個別で就労・職業生活のサポートをしています。就労までの道のり、利用の仕方、職業生活のサポートについて、一緒に考えましょう。※就労定着支援
169,株式会社ＣＲＳサービスディーキャリア武蔵境オフィス,就移,武蔵野市境2-2-19イニシャルハウス３階,0422-59-0851,2021年の就労者10名　事務職の他、土木、医療系などの専門職就労者あり
170,特定非営利活動法人ミューワークショップMEW,就継Ｂ,武蔵野市中町3-4-9ディアハイム武蔵野１階,0422-36-2089,精神障害のある方を主対象としています。週１日１時間から利用できます。作業別工賃制度を導入し、作業によって工賃が異なります。
171,ニューロワークス吉祥寺センター,就移,武蔵野市御殿山1-6-11K2ビル３階,0422-26-9503,脳の健康に良いとされる生活習慣を身に付けていただくため、専門家監修のもとブレインフィットネスプログラムを実施しています。記憶力、注意力、集中力、持続力などの向上が期待でき、安定した長期就労が可能となります。
172,就労移行支援事業所TODAY吉祥寺,就移　その他※  ,武蔵野市吉祥寺本町3-21-12光ビル１階,0422-38-7725,利用希望の場合は見学からお願いいたします。体験利用も可能です。※就労定着支援
173,社会福祉法人巣立ち会巣立ち工房,就継Ｂ,三鷹市下連雀4-17-6ミタカサンライズマンション102号,0422-24-7739,障害が重くても、地域で生活していくために仲間同士の支え合いを大切にしています。
174,社会福祉法人巣立ち会巣立ち風,生活訓　就継Ｂ,三鷹市野崎2-6-42,0422-34-2761,ピアが支え合い自分らしく暮らしていける支援と地域づくりを実践しています。高次脳機能障害の方は現在在籍していませんが、個別の目標や希望に応じて、サービスを提供することが可能です。
175,社会福祉法人三鷹ひまわり会三鷹ひまわり第一共同作業所,就継Ａ　就継Ｂ　指特相,三鷹市下連雀4-8-20,0422-76-0388,施設床は全てフラットであり、バリアフリーになっています。また、昇降機もあり、１階から３階までの昇降が可能
176,社会福祉法人三鷹ひまわり会三鷹ひまわり第二共同作業所,就継Ｂ,三鷹市上連雀4-1-8福祉コアかみれん地下,0422-48-5240,箱折りなどの軽作業や、清掃を中心とした作業を行っています。週２～３日、半日単位でご利用される方も多いです。見学は随時受付けておりますので、ご連絡をお待ち申し上げます。
177,社会福祉法人三鷹ひまわり会三鷹ひまわり第三共同作業所,就継Ｂ,三鷹市下連雀3-11-8,0422-72-0231,下請け作業・清掃作業・菓子製造販売を行っています。高次脳機能障害の方はいませんがご興味がある方はご連絡ください。
178,ＡＨＣグループ株式会社就労移行支援事業所TODAY三鷹,就移,三鷹市下連雀4-15-38ビバリーホームズ三鷹１階,0422-24-6288,一般就労をめざす方へ、自己理解・セルフマネジメントのスキルを身に付けるコミュニケーション型のプログラムをしています。個別対応もしています。無料相談随時受付中です。
179,ウェルビー株式会社ウェルビー三鷹センター,就移,三鷹市下連雀3-32-3名取屋興産ビル305号室,0422-40-4800,JR三鷹駅から徒歩５分、駅からまっすぐ進んだ場所にあります。近隣にハローワークや様々なお店があり利便性抜群の立地です。お気軽にお問い合わせください。
180,社会福祉法人にじの会ワークショップハーモニー,就継Ａ　就移　その他※  ,三鷹市大沢1-1-43,0422-26-8620,「住み慣れた地域の中に障害者が生活する場、働く場を」という考えのもと、地域に根差した支援をしています。様々な障害の方が利用しています。見学・実習、随時可能です。※就労定着支援
181,社会福祉法人むうぷむうぷ舎中原,就継Ｂ,三鷹市牟礼7-5-14 １階,0422-49-3583,72名の方が在籍し、ダイレクトメール事業・製菓事業を中心に活動しています。誰もが安心して地域で暮らせることを願い、多くの方の受け入れを行っています。
182,株式会社東京リハビリテーションサービス生活機能型デイサービスりぶうぇる,通介,三鷹市牟礼6-13-15 １階,0422-26-6405,全てのプログラムに療法士が関わり、ご自宅での生活を多方面からサポートいたします。訪問看護、訪問リハビリの事務所と併設されているのでより多職種の関わりがあります。
183,青梅市自立センター,生介　就継Ｂ　就移,青梅市今井5-2434-2,0428-32-1631,受給者証を受けた18歳以上の方。高次脳機能障害者生活支援員を２名配置
184,社会福祉法人友愛学園青梅福祉作業所,就継Ｂ　就移,青梅市千ヶ瀬町3-393-4,0428-23-3612,作業が主でそれ以外の活動がほとんどありません。原則自力通所ですが、送迎については応相談。様々な作業の種類があるので参加しやすく、午前中のみ、週２～３日などの利用も可です。相談・見学・実習随時受付
185,府中市立心身障害者福祉センター,身福セ　地支援,府中市南町5-38,042-360-1313,府中市民で15歳以上65歳までの方が対象。見学、ご相談は随時承ります。
186,社会福祉法人足立邦栄会障害者支援施設みずき,生介,府中市朝日町3-17-5,042-352-0081　,３市（府中･調布･三鷹)の方対象。医療の必要な方、最重度の方にも対応しています。　
187,社会福祉法人ひばり福祉会集いの家,生介　就継Ｂ,府中市南町1-45-1,042-360-0044,中途障害の方を中心に立ち上げた施設ですが、現在は知的障害の方も多く通所しています。
188,社会福祉法人ひばり福祉会作業所スクラム,生介　就継Ｂ,府中市分梅町5-25-1,042-304-6000,生活介護、就継Ｂともに作業を中心にしながら、絵画・音楽・書道・旅行等の活動をしています。どのような障害でも受け入れを行い、その人にあった支援をすることを目標としています。
189,社会福祉法人ひばり福祉会作業所スクラム分室,就継Ｂ,府中市分梅町3-34-17コーポ多摩ゼネラル１階,042-335-7333,下請け作業（精密シール貼り作業・菓子箱組立作業）、府中市委託の公園清掃などを通じ、社会参加（社会復帰）をめざしています。
190,社会福祉法人あけぼの福祉会府中共同作業所,生介,府中市寿町3-3-6,042-367-0640　,身体障害者を主とする通所施設　高次脳機能障害の方の在籍数２名
191,特定非営利活動法人プロジェクツけやきのもり,就継Ｂ　,府中市住吉町1-60-10,042-368-7989,通院・服薬ができ、主治医から承諾を得ている精神障害の方が通所。見学、ご相談ください。
192,介護老人保健施設ファミリート府中,通リハ,府中市若松町2-4-4,042-369-6100,PT、OT、ST常勤の介護保険・通所リハビリ事業所です。
193,医療法人社団療心会綜合在宅支援センターいぶき,通リハ,府中市日新町5-53-1,042-369-8900,高次脳機能障害に対するリハビリに経験のあるPT、OT、STを配置しています。生活リハビリの視点から自立を支援します。府中市全域（一部対応不可）の方を対象とします。
194,医療法人社団清新会介護老人保健施設ピースプラザ,通リハ,府中市片町2-16-1,042-336-5775,PT、OT、STと連携したリハビリテーションを行っています。
195,地域生活支援センターふらっと,地活　指特相,府中市清水が丘3-23-17 １階,042-370-1781,障がいをお持ちの方・ご家族・支援者のための相談支援機関です。利用対象者は、府中市民の方、府中市内の福祉施設をご利用されている方です。
196,LITALICOワークス府中,就移,府中市宮町1-40ＫＤＸ府中ビル５階-E,042-314-2371,仕事を長く続けていくために、パソコン訓練や軽作業訓練、プログラムを通じて必要なスキルを身につけ、自分に適した働き方の確認を一緒に行っていきます。
197,ぷーやんあしながくらぶ２号館,就継Ｂ　就移,昭島市美堀町4-9-8,042-545-6640,現在高次脳機能障害の方２名在籍。手作り品作業、清掃、調理、パソコン学習および編集印刷など、様々な作業機会を提供させていただいております。
198,社会福祉法人ゆいのもり福祉協会ゆいのもり田中町,就継Ｂ,昭島市田中町1-19-4,042-542-6776　,市役所内喫茶を運営しているほか、軽作業・公園清掃などに取り組んでいます。自力での通所が可能な方が対象となります。
199,社会福祉法人ゆいのもり福祉協会ゆいのもりつつじが丘,就継Ｂ,昭島市つつじが丘3-5-6-108,042-545-5451,「軽作業（洗濯物たたみ）・ポスティング・花壇作業・清掃・除草」など様々な作業があります。主に精神障がいの方と知的障がいの方が一緒に作業に取り組んでいます。
200,社会福祉法人ゆいのもり福祉協会食工房ゆいのもり,就継Ｂ　就移,昭島市上川原町1-9-15,042-542-5160,自力通所が可能な方。主にパン製造・カフェ営業を行っているため、手洗い・爪切り・細菌検査などの衛生面に関する留意事項があります。パン業務以外に、軽作業などもあります。
201,社会福祉法人あすはの会みしょう,生介　就継Ｂ　指特相,昭島市昭和町4-7-1昭島市保健福祉センター内,042-544-5033,昭島市にお住いの障害のある方を対象に、昭島市保健福祉センター内で事業を行っています。生活介護では音楽療法や創作等を中心に活動を実施し、就継Ｂでは喫茶店でパンの販売を行っています。
202,社会福祉法人きょうされんリサイクル洗びんセンター,生介　就継Ｂ     ,昭島市武蔵野3-2-19,042-542-5800,知的障害・精神障害など様々な障害のある方が一緒に作業をしています。高い工賃をめざして、リユース事業や封入作業、食品加工作業に取り組んでいます。高次脳機能障害の方が２名働いています。
203,一般社団法人未来ネットワークＨＩＫＡＲＩ,生介,昭島市緑町5-1-6,042-519-1905,HIKARIでは就継Ｂと生活介護の間にいる方が中心に通われています。高次脳機能障害の方は２名在籍されています。利用者の生活リズムやペースに合わせてHIKARIの全体的なプログラムに参加しています。
204,一般社団法人未来ネットワークＭＩＲＡＩ,就継Ｂ,昭島市朝日町1-9-7KKビル101,042-519-2942,「お一人おひとりの希望を可能な限り叶える支援」を基本理念としております。高次脳機能障害の方は６名在籍されており、職員は各々の障害特性に配慮した個別支援を行っています。
205,ＮＰＯ法人羽ばたく会めじろ作業所,生介　就継Ｂ,調布市国領町1-3-1調布セントラルアパート１階,042-443-1633　,パソコン入力訓練を中心に印刷・喫茶・軽作業・ポスティング・手作り品作製など、幅広く作業を提供しています。高次脳機能障害（見込みも含む。）の方は20名ほど在籍しています。
206,特定非営利活動法人エクセルシアリサイクルショップ不思議屋,就継Ｂ,調布市下石原1-5-5,042-489-3754,利用者の希望を尊重し、時間日時を個々に相談したうえで通所ができます。無理なく、ゆっくりとした支援を心がけております。高次脳機能障害の方は２名通所
207,障害者地域活動支援センター「ドルチェ」,地活　指特相,調布市小島町2-47-1,042-490-6675,市内在住の若年の高次脳機能障害の方のサロン（第４月曜日）、作業体験デイ（月曜日、水曜日、金曜日）実施
208,調布市総合福祉センター「アイビー」,通介,調布市小島町2-47-1,042-481-7660,第２号被保険者を積極的に受け入れています。月・水・金はSTとPT、火はPT、木はOTを配置して機能訓練を実施しています。創作、運動、音楽などの活動やボランティアによる昼食を提供します。
209,特定非営利活動法人高次脳機能障がい者活動センター調布ドリーム,生活訓　就継Ｂ,調布市飛田給1-50-1,042-444-3068,生活訓練25人、就継Ｂ23人の高次脳機能障がいの方に特化した通所施設です。仲間で助け合いながら、できることを伸ばしていくトレーニングをめざしています。
210,特定非営利活動法人だいちだいち調布事業所,就継Ｂ,調布市東つつじケ丘1-2-7-101,03-6279-6482,土日、祝祭日、お盆、年末年始がお休みです。開所日は台風、大雪、豪雨があっても必ずスタッフが事業所に待機し、お待ちしています。
211,特定非営利活動法人だいちだいち調布第２事業所,就継Ｂ,調布市西つつじケ丘4-27-9-105,042-426-9555,土日、祝祭日、お盆、年末年始がお休みです。開所日は台風、大雪、豪雨があっても必ずスタッフが事業所に待機し、お待ちしています。
212,特定非営利活動法人だいちだいち調布第３事業所,就継Ｂ　就移,調布市東つつじケ丘2-27-4新井ビル201,03-5315-5981,アットホームな環境で、一人ひとりに合わせたプログラムを提供しています。事業所は２階ですがエレベーターがないため、自立歩行のできる方が通所可能となります。
213,社会福祉法人くすのき会調布くすの木作業所,就継Ｂ　就移,調布市小島町3-72-26,042-486-9129,昭和63年に開設以来、「働く作業所」として活動してきました。週１日から、１時間でも、働きたい方を受け入れています。
214,特定非営利活動法人リフレッシュ工房,生活訓　就継Ｂ,調布市小島町1-4-18,042-486-4531,現在、高次脳機能障害の方の在籍なしですが、応相談
215,Cocorport調布Office,就移,調布市小島町3-69-14第2荒井麗峰ビル１階,042-444-4169,週１回の通所の方からご利用いただけます。それぞれに合わせた個別支援と、皆様ご参加いただけるプログラムが500種類以上あることが特徴です。
216,社会福祉法人檸檬会ＬＩＩＭＯ調布,就移,調布市布田1-40-3佐藤ビル２階,042-426-8988,お一人おひとりのご希望に合わせた個別プログラムによる「個別支援」が最大の特長。就職に有利な多くの資格教材と資格取得プログラムをご用意。ご自分のペースでの日数のご利用が可能。高次脳機能障害の方の在籍３名
217,社会福祉法人まちだ育成会ひかり療育園,生介,町田市忠生3-6-2,042-794-0733,町田市内在住の身体障がい及び知的障がい者の方で、受給者証の交付を受けている方（障害支援区分３以上の方、50歳以上の方は区分２以上）
218,医療法人社団公朋会デイケアだんけ,通リハ,町田市成瀬台3-8-18 ２階,042-726-6179　　,「いつまでも自宅での入浴を楽しみに続けることができる」を基本的な考えとしています。各利用者様の状態とニーズを踏まえた上でリハビリテーションを提供しています。
219,社会福祉法人つぼみの家町田ゆめ工房,生介　就継Ｂ,町田市相原町2983-157,042-782-1491,定員各10名。高次脳機能障がいの方は現在２名利用されています。知的障がいの方が多い施設です。車イスの方も利用可能です。受給者証必要、送迎実施（要相談）
220,社会福祉法人ウィズ町田なないろ,生介　就継Ｂ,町田市木曽西2-17-16,042-794-3252,農作業、配食サービス、とうふ製造、下請作業、縫製作業等様々な作業に取り組んでいる。町田市内であれば送迎無料。７名の高次脳機能障害の方が在籍
221,社会福祉法人まちのひＡＴＯＭ,生介,町田市原町田4-18-14Ｌ.Ｉビル201,042-729-7997,2021年度より生活介護事業に特化し、個別訓練を提供しております。軽作業(エコバッグ・刺し子ふきん作製)を基本プログラムに家事を学ぶプログラム等、医療や関係機関と連携して個別支援を行っております。
222,社会福祉法人まちのひ富士清掃サービス,就継Ｂ,町田市忠生3-18-1コーポラス坂の上102,042-792-0757,公園や施設へ出向き、トイレ清掃等の清掃作業をチームで行います。主に精神障がいをお持ちの方が多く通所されていますが、高次脳機能障害の方も通所され、現場で活躍しています。（医師の意見書が必要です。）
223,地域活動支援センターまちプラ,地活,町田市原町田4-24-6せりがや会館４階,042-722-0713,市内在住で継続的に精神科、心療内科に通院している方が対象です。フリースペースやウクレレ教室、テーマトークなどのプログラムがあります。他の福祉サービスとの併用利用も可能です。お気軽にお問い合わせください。
224,小金井市障害者福祉センター小金井市障害者地域自立生活支援センター,身福セ　機能訓　生介　指特相　,小金井市緑町4-17-10,042-381-8411,原則として、小金井市内在住の障害者手帳所持者が対象です。PT、OT、STを配置し、個別訓練、グループ訓練を行いながら、地域社会の中でその人らしい人生が送れるように支援します。
225,合同会社セルフクリエイトデイステーション涼風,通介,小金井市中町1-7-34,042-316-4543,65歳以上（脳血管障害などの特定疾病の方は40歳以上）の介護保険で認定された方が利用可。その方に必要な訓練や活動を提供し、ご家族へのアドバイスや相談にのっています。
