名称,名称(英語),カテゴリ,カテゴリ補足,ジャンル,ジャンル,ジャンル,ジャンル,季節,場所,郵便番号,都道府県名,市区町村名,行政区名,住所,住所(かな),緯度,経度,説明(日本語),説明(英語),電話番号,FAX番号,営業時間,開所時刻,閉所時刻,定休日,利用料金,画像URL,画像URL,画像URL,サムネイル画像URL,ホームページアドレス,創設日,創設者,所在地（基本、名称と同じもの）,名称(中国語簡体字),説明(中国語簡体字),名称(中国語繁体字),説明(中国語繁体字),名称(韓国語),説明(韓国語),名称(ポルトガル語),説明(ポルトガル語),標準地域コード
大仏の千灯供養,"",百景,歴史の足跡,観る,"","","","","",1400015,東京都,品川区,"",西大井5-22-25,"",35.5968439,139.7174766,「大井の大仏」養玉院で8月13日迎え盆に行われる「千燈供養会法要」。五智如来坐像前の灯から採火した千灯の提灯は、境内を幽玄の世界へと誘う。,"","","","","","","","","","","","","","","",大仏の千灯供養,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
伊藤博文公墓所,"",百景,歴史の足跡、鎮守の森と祭り,観る,"","","","","",1400015,東京都,品川区,"",西大井6-10-18,"",35.6003213,139.7200678,初代内閣総理大臣として明治時代に活躍した伊藤博文。別邸が近くにあったことから、国葬ののちここに葬られた。区指定史跡。,"","","","","","","","","","","","","","","",伊藤博文公墓所,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
JR東日本東京総合車両センター,"",百景,古い顔・新しい顔,観る,"","","","","",1400005,東京都,品川区,"",広町2,"",35.6089845,139.7310639,大正4年創立の鉄道省大井工場以来の歴史を持つ。平成16年、車両基地の山手電車区と車両工場の大井工場が統合されて東京総合車両センターとなった。,"","","","","","","","","","","","","","","",JR東日本東京総合車両センター,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
林試の森,"",百景,花と緑,観る,"","","","","",1420061,東京都,品川区,"",小山台2-6,"",35.6251816,139.7011825,林業試験場跡地を活用した品川・目黒両区にまたがる広さ12haの都立公園で、自然の宝庫となっている。うっそうとした樹林に覆われ、森林浴に最適。,"","","","","","","","","","","","","","","",林試の森,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
武蔵小山商店街のにぎわい,"",百景,古い顔・新しい顔,観る,"","","","","",1420062,東京都,品川区,"",小山3,"",35.6198463,139.7053184,延長800ｍのアーケードが特徴的な商店街は250の店舗があり、パルムという愛称で親しまれている。昭和31年、最初のアーケードが完成した当時は東洋一と称えられた。,"","","","","","","","","","","","","","","",武蔵小山商店街のにぎわい,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
小山両社祭の神輿連合渡御<9月>,"",百景,鎮守の森と祭り,観る,"","","","","",1420062,東京都,品川区,"",小山6-7,"",35.6146523,139.6997218,毎年9月6、7日に近い土・日曜日に開催される小山・三谷両八幡神社の例大祭。氏子町会神輿7基が、日没を待って隊列を組み、各町内を練り歩く。,"","","","","","","","","","","","","","","",小山両社祭の神輿連合渡御<9月>,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
星薬科大学,"",百景,花と緑、文化といこい,観る,"","","","","",1420063,東京都,品川区,"",荏原2-2-9,"",35.6176718,139.7131122,明治・大正時代、製薬業で活躍した星一（ほしはじめ）が設立した星薬学専門学校を前身、昭和25年に開校。正門から正面の大講堂へ続くイチョウ並木は、新緑・黄葉時が一際美しい。,"","","","","","","","","","","","","","","",星薬科大学,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
西小山桜並木通り,"",百景,花と緑,観る,"","","","","",1420062,東京都,品川区,"",小山5-7-1,"",35.614258,139.700451,中原街道から西小山駅まで約１km続く立会道路は「西小山桜並木通り」と呼ばれ、桜の名所となっている。総本数は約160本。開花時期にはピンクのトンネルのようになる。,"","","","","","","","","","","","","","","",西小山桜並木通り,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
小山八幡神社,"",百景,鎮守の森と祭り,観る,"","","","","",1420063,東京都,品川区,"",荏原7-5-14,"",35.6116888,139.6996331,旧小山村の鎮守。社殿は小高い丘の上にあり、「小山」の地名はこの台地から名付けられたという。境内からの眺望が良く、付近には江戸見坂もある。,"","","","","","","","","","","","","","","",小山八幡神社,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
戸越銀座商店街のにぎわい,"",百景,古い顔・新しい顔,観る,"","","","","",1420051,東京都,品川区,"",平塚1,"",35.6141361,139.7149288,東西約1.3kmで、関東でも有数の長さを誇り、約400軒の商店が軒を連ねる。関東大震災後、銀座の煉瓦を譲り受け再利用したことから「○○銀座」と名付けられた日本で最初の商店街。,"","","","","","","","","","","","","","","",戸越銀座商店街のにぎわい,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
旗岡八幡神社と鎌倉道,"",百景,歴史の足跡、鎮守の森と祭り,観る,"","","","","",1420064,東京都,品川区,"",旗の台3-6-12,"",35.6046398,139.7078298,鎌倉時代に源氏の血を引く武士が創建したとされている。江戸時代には多くの武家から尊崇された。神社周辺には「鎌倉道」「源氏前」等、源氏にちなむ地名が残っている。,"","","","","","","","",http://www.city.shinagawa.tokyo.jp/ct/image000001400/04_03_hyakkei.jpg,"","","","","","",旗岡八幡神社と鎌倉道,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
法蓮寺,"",百景,鎮守の森と祭り,観る,"","","","","",1420064,東京都,品川区,"",旗の台3-6-18,"",35.6042732,139.7081603,鎌倉時代中期の創建と伝えられている。旗岡八幡神社とともに源氏ゆかりの寺として崇められ、毎年10月16日に行われるお会式では、万灯が境内を埋め、たいへんにぎわう。 ,"","","","","","","","","","","","","","","",法蓮寺,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
旗の台伏見稲荷神社,"",百景,鎮守の森と祭り,観る,"","","","","",1420064,東京都,品川区,"",旗の台5-15-2,"",35.6046674,139.6994805,伏見稲荷を信仰する町内有志によって、大正5年創建。朱塗りの鳥居とイチョウやシイの古木などが印象的。今も地域の守護神として慕われている。,"","","","","","","","","","","","","","","",旗の台伏見稲荷神社,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
カナリヤ坂,"",百景,古い顔・新しい顔,観る,"","","","","",1420064,東京都,品川区,"",旗の台5-11-9,"",35.6036287,139.7022192,旗の台商店街から荏原第五中学校方面に伸びるちょっと急な坂。昭和30年頃、坂の途中に小鳥屋があり、カナリヤの鳴き声がしていたことから、呼ばれた名が定着した。,"","","","","","","","","","","","","","","",カナリヤ坂,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
中延小学校の大楠と中延の森,"",百景,古い顔・新しい顔,観る,"","","","","",1420053,東京都,品川区,"",中延1-11-15,"",35.6125667,139.7095016,大楠は昭和15年に植樹したもの。昭和59年に創立50周年記念行事の一環で周囲にシイを植樹し中延の森となった。,"","","","","","","","","","","","","","","",中延小学校の大楠と中延の森,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
中延商店街のにぎわい,"",百景,歴史の足跡、花と緑,観る,"","","","","",1420052,東京都,品川区,"",東中延2,"",35.6081396,139.7130264,荏原中延駅から中延駅まで続く、約330ｍ、120店舗のアーケード商店街。生鮮三品や総菜店が多く軒を連ねる。,"","","","","","","","","","","","","","","",中延商店街のにぎわい,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
戸越八幡神社,"",百景,歴史の足跡、花と緑、鎮守の森と祭り,観る,"","","","","",1420041,東京都,品川区,"",戸越2-6-33,"",35.6138141,139.7199339,境内には大きな樹木が繁る、戦国時代の創建と伝えられる戸越の鎮守。社殿には江戸時代から大正時代に奉納された絵馬25面が掛けられている。,"","","","","","","","","","","","","","","",戸越八幡神社,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
戸越公園,"",百景,花と緑、文化といこい,観る,"","","","","",1420042,東京都,品川区,"",豊町2-1-30,"",35.6111673,139.7223922,江戸時代の肥後国熊本藩細川家の下屋敷の庭園跡を利用して造られた。池を中心に渓谷や滝、築山などの配置の中を一周する回遊式庭園で大名庭園の面影をとどめている。,"","","","","","","","","","","","","","","",戸越公園,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
上神明天祖神社,"",百景,鎮守の森と祭り,観る,"","","","","",1420043,東京都,品川区,"",二葉4-4-12,"",35.602482,139.7151958,鎌倉時代創建といわれるかつての上蛇窪村の鎮守。この地が蛇窪といわれたように、神社には白蛇伝説が伝えられており、社殿奥の弁天池には、弁天、龍神、白蛇が祀られている。,"","","","","","","","","","","","","","","",上神明天祖神社,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
東京タワー、モノレールと海の風景,"",百景,古い顔・新しい顔,観る,"","","","","",1400003,東京都,品川区,"",八潮5-5-3,"",35.5998861,139.749952,かもめ橋、勝島橋に立ち京浜運河を望む。運河上を走るモノレール、そして、遠く東京タワーやレインボーブリッジ、スカイツリーも見られ、都心の水辺の景観が広がる。,"","","","","","","","","","","","","","","",東京タワー、モノレールと海の風景,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
かもめ橋と京浜運河,"",百景,古い顔・新しい顔,観る,"","","","","",1400003,東京都,品川区,"",八潮5-5-3,"",35.5998861,139.749952,京浜運河を跨ぎ八潮団地に至る3本の橋の内、唯一の人道専門橋。昭和61年竣工の斜張橋は、優れた技術と景観への配慮が評価され全日本建設技術協会の都建賞に輝いた。,"","","","","","","","","","","","","","","",かもめ橋と京浜運河,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
みなとが丘ふ頭公園,"",百景,文化といこい,観る,"","","","","",1400003,東京都,品川区,"",八潮3-1,"",35.5991366,139.7620567,緑が多い面積5haを超える都立公園。広々とした階段状の広場や自然を生かした小高い丘、池等があり、展望台からはコンテナふ頭が見える。園内には品川区キャンプ場もある。,"","","","","","","","","","","","","","","",みなとが丘ふ頭公園,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
八潮橋,"",百景,古い顔・新しい顔,観る,"","","","","",1400003,東京都,品川区,"",八潮1-4,"",35.6057827,139.753407,八潮団地と東品川をむすぶパープルブルーの美しい橋。全長414m、逆S字の美しい曲線が京浜運河の上に描かれる。,"","","","","","","","","","","","","","","",八潮橋,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
八潮団地から見える夕焼け,"",百景,古い顔・新しい顔,観る,"","","","","",1400012,東京都,品川区,"",勝島1-4-19,"",35.6004554,139.7462522,晴れた日にはビルの間からシルエットとなった富士山も現れる。モノレールが走り、京浜運河を行き交う船が日没の水辺の景観を醸し出す。,"","","","","","","","","","","","","","","",八潮団地から見える夕焼け,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
東京モノレールと八潮団地,"",百景,古い顔・新しい顔,観る,"","","","","",1400012,東京都,品川区,"",勝島1-4-19,"",35.6004554,139.7462522,昭和58年に「都心型の定住性ある街」をコンセプトに入居の始まった八潮パークタウン。モノレールと運河と団地、今も昔も変わらぬ人の温もりを感じる風景が見られる。,"","","","","","","","","","","","","","","",東京モノレールと八潮団地,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
八潮団地と緑道公園,"",百景,文化といこい、古い顔・新しい顔,観る,"","","","","",1400012,東京都,品川区,"",勝島1-4-19,"",35.6004554,139.7462522,八潮団地の足元、京浜運河に沿って約2.5km続く都立の緑道公園は、潮風を感じる水辺の遊歩道。大きく育った樹木や四季の草花が憩いの場を提供している。,"","","","","","","","","","","","","","","",八潮団地と緑道公園,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
スポーツの森（大井ふ頭中央海浜公園）,"",百景,文化といこい,観る,"","","","","",1400003,東京都,品川区,"",八潮4-1,"",35.5912345,139.7526691,陸上競技場、球技場、野球場、テニスコートを整備した都立の総合スポーツ施設。2020年東京オリンピックでは、ホッケー会場となる。,"","","","","","","","","","","","","","","",スポーツの森（大井ふ頭中央海浜公園）,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
なぎさの森（大井ふ頭中央海浜公園）,"",百景,文化といこい,観る,"","","","","",1400003,東京都,品川区,"",八潮4-2,"",35.5927536,139.7497858,京浜運河に沿って水辺を楽しめる都立の海上公園。干潟には多くの野鳥が集まり、観察小屋から観察でき、人工なぎさでは釣りが楽しめる。,"","","","","","","","","","","","","","","",なぎさの森（大井ふ頭中央海浜公園）,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
船の科学館がある風景,"",百景,文化といこい、古い顔・新しい顔,観る,"","","","","",1350092,東京都,品川区,"",東八潮3-1,"",35.6196731,139.7730742,昭和49年に「海と船の文化」をテーマにして開館した海洋博物館。大型客船を意匠した本館は東京港のランドマークとなっている。現在、本館展示は公開休止中。,"","","","","","","","","","","","","","","",船の科学館がある風景,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
しながわ宿場まつり,"",百景,鎮守の森と祭り,観る,"","","","","",140-0001,東京都,品川区,"",北品川〜南品川,"",35.61736717,139.7454267,東海道第一の宿場として栄えた品川宿周辺で、平成2年から続くまつり。豪華な衣装をまとった「おいらん道中」や「江戸風俗行列」などのパレードは、江戸情緒を感じさせる。,"","","","","","","","","","","","","","","",しながわ宿場まつり,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
天王洲エリアの水辺の風景,"",百景,花と緑,観る,"","","","","",140-0002,東京都,品川区,"",東品川2,"",35.622461,139.748193,天王洲運河に沿って造られた「ボードウオーク」、ドラマロケなどでおなじみの「天王洲ふれあい橋」、対岸からの夜景も美しい。,"","","","","","","","","","","","","","","",天王洲エリアの水辺の風景,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
目黒川の桜,"",百景,花と緑,観る,"","","","","",141-0031,東京都,品川区,"",西五反田、東五反田、大崎、北品川,"",35.61729,139.749734,目黒川の両岸に続く桜の名所。春には美しい桜並木、冬の夜にはLED電球でピンク色に染まった「冬の桜?」を眺めることができる。,"","","","","","","","","","","","","","","",目黒川の桜,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
ねむの木の庭,"",百景,花と緑、文化といこい,観る,"","","","","",141-0022,東京都,品川区,"",東五反田5−19−5,"",35.626568,139.725858,旧正田邸跡地に開園した区立公園。バラの花「プリンセス・ミチコ」をはじめ、様々な花や草木が四季を通して楽しめる。,"","","","","","","","","","","","","","","",ねむの木の庭,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
五反田ふれあい水辺広場,"",百景,花と緑、文化といこい,観る,"","","","","",141-0022,東京都,品川区,"",東五反田2−9−11,"",35.624344,139.726103,目黒川沿いの親水公園。川に臨む広場やカフェスペースもあり、憩いの場となっている。,"","","","","","","","","","","","","","","",五反田ふれあい水辺広場,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
しながわ水族館,"",百景,古い顔・新しい顔,観る,"","","","","",140-0012,東京都,品川区,"",勝島3−2−1,"",35.588476,139.737501,しながわ区民公園内にある水族館。ロマンチックなトンネル水槽や間近で見られるイルカショー、アシカショーが大人気。,"","","","","","","","","","","","","","","",しながわ水族館,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
桜新道の桜並木,"",百景,花と緑,観る,"","","","","",140-0013,東京都,品川区,"",南大井,"",35.596131,139.735612,薄いピンク色と濃いピンク色の2種類の八重桜が大きく育ち、美しいアーチを架ける。X状の桜新道歩道橋からの眺めもすばらしい。,"","","","","","","","","","","","","","","",桜新道の桜並木,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
立会川の坂本龍馬像,"",百景,歴史の足跡,観る,"","","","","",140-0011,東京都,品川区,"",東大井2−25,"",35.598592,139.739922,黒船警固のため土佐藩下屋敷に通っていたという若き日の龍馬のブロンズ像。新浜川公園には、復元された浜川砲台もある。,"","","","","","","","","","","","","","","",立会川の坂本龍馬像,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
文庫の森,"",百景,花と緑、文化といこい,観る,"","","","","",142-0042,東京都,品川区,"",豊町1−16−23,"",35.612275,139.720556,国文学研究資料館の跡地に平成25年に全面開園した、防災機能を備えた公園。既存の池や樹木を生かし、四季の花々が植えられている。旧三井文庫があったことから命名された。,"","","","","","","","","","","","","","","",文庫の森,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
旗岡連合神輿渡御<9月>,"",百景,鎮守の森と祭り,観る,"","","","","",140-0000,東京都,品川区,"","","",35.609226,139.730186,8町会の神輿7基が旗の台、中延エリアを3時間以上かけて勇壮に練り歩く姿は圧巻。威勢の良い掛け声のもと、辺りは熱気に包まれる。,"","","","","","","","","","","","","","","",旗岡連合神輿渡御<9月>,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
神明児童遊園,"",百景,文化といこい,遊ぶ,"","","","","",142-0043,東京都,品川区,"",二葉1−1,"",35.608279,139.725514,下神明駅に近く、地元の人たちに親しまれている通称「タコ公園」。子ダコと、すべり台になっている親ダコは、いつも子どもたちでにぎわっている。,"","","","","","","","","","","","","","","",神明児童遊園,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
新幹線車両基地,"",百景,歴史の足跡,観る,"","","","","",140-0003,東京都,品川区,"",八潮3,"",35.585933,139.758827,新幹線の車両が集まる「大井車両基地」。平成15年には、東海道新幹線品川駅が開業。大井中央陸橋からは、新型の新幹線や時には検査車両「ドクターイエロー」も見ることができる。,"","","","","","","","","","","","","","","",新幹線車両基地,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
