単独・本所・支所の別階層,単独・本所・支所の別コード,単独・本所・支所の別,産業分類階層,大分類,中分類,産業分類名,従業者規模階層,従業者規模コード,従業者規模,民営事業所／総数／事業所数（事業所）,民営事業所／総数／別経営の事業所からの出向・派遣従業者規模0人／事業所数（事業所）,民営事業所／総数／別経営の事業所からの出向・派遣従業者規模1～4人／事業所数（事業所）,民営事業所／総数／別経営の事業所からの出向・派遣従業者規模5～9人／事業所数（事業所）,民営事業所／総数／別経営の事業所からの出向・派遣従業者規模10～29人／事業所数（事業所）,民営事業所／総数／別経営の事業所からの出向・派遣従業者規模30～49人／事業所数（事業所）,民営事業所／総数／別経営の事業所からの出向・派遣従業者規模50人以上／事業所数（事業所）,民営事業所／個人／事業所数（事業所）,民営事業所／個人／別経営の事業所からの出向・派遣従業者規模0人／事業所数（事業所）,民営事業所／個人／別経営の事業所からの出向・派遣従業者規模1～4人／事業所数（事業所）,民営事業所／個人／別経営の事業所からの出向・派遣従業者規模5～9人／事業所数（事業所）,民営事業所／個人／別経営の事業所からの出向・派遣従業者規模10～29人／事業所数（事業所）,民営事業所／個人／別経営の事業所からの出向・派遣従業者規模30～49人／事業所数（事業所）,民営事業所／個人／別経営の事業所からの出向・派遣従業者規模50人以上／事業所数（事業所）,民営事業所／法人／総数／事業所数（事業所）,民営事業所／法人／総数／別経営の事業所からの出向・派遣従業者規模0人／事業所数（事業所）,民営事業所／法人／総数／別経営の事業所からの出向・派遣従業者規模1～4人／事業所数（事業所）,民営事業所／法人／総数／別経営の事業所からの出向・派遣従業者規模5～9人／事業所数（事業所）,民営事業所／法人／総数／別経営の事業所からの出向・派遣従業者規模10～29人／事業所数（事業所）,民営事業所／法人／総数／別経営の事業所からの出向・派遣従業者規模30～49人／事業所数（事業所）,民営事業所／法人／総数／別経営の事業所からの出向・派遣従業者規模50人以上／事業所数（事業所）,民営事業所／法人／会社／総数／事業所数（事業所）,民営事業所／法人／会社／総数／別経営の事業所からの出向・派遣従業者規模0人／事業所数（事業所）,民営事業所／法人／会社／総数／別経営の事業所からの出向・派遣従業者規模1～4人／事業所数（事業所）,民営事業所／法人／会社／総数／別経営の事業所からの出向・派遣従業者規模5～9人／事業所数（事業所）,民営事業所／法人／会社／総数／別経営の事業所からの出向・派遣従業者規模10～29人／事業所数（事業所）,民営事業所／法人／会社／総数／別経営の事業所からの出向・派遣従業者規模30～49人／事業所数（事業所）,民営事業所／法人／会社／総数／別経営の事業所からの出向・派遣従業者規模50人以上／事業所数（事業所）,民営事業所／法人／会社／株式・有限・相互会社／事業所数（事業所）,民営事業所／法人／会社／株式・有限・相互会社／別経営の事業所からの出向・派遣従業者規模0人／事業所数（事業所）,民営事業所／法人／会社／株式・有限・相互会社／別経営の事業所からの出向・派遣従業者規模1～4人／事業所数（事業所）,民営事業所／法人／会社／株式・有限・相互会社／別経営の事業所からの出向・派遣従業者規模5～9人／事業所数（事業所）,民営事業所／法人／会社／株式・有限・相互会社／別経営の事業所からの出向・派遣従業者規模10～29人／事業所数（事業所）,民営事業所／法人／会社／株式・有限・相互会社／別経営の事業所からの出向・派遣従業者規模30～49人／事業所数（事業所）,民営事業所／法人／会社／株式・有限・相互会社／別経営の事業所からの出向・派遣従業者規模50人以上／事業所数（事業所）,民営事業所／法人／会社／合名・合資会社／事業所数（事業所）,民営事業所／法人／会社／合名・合資会社／別経営の事業所からの出向・派遣従業者規模0人／事業所数（事業所）,民営事業所／法人／会社／合名・合資会社／別経営の事業所からの出向・派遣従業者規模1～4人／事業所数（事業所）,民営事業所／法人／会社／合名・合資会社／別経営の事業所からの出向・派遣従業者規模5～9人／事業所数（事業所）,民営事業所／法人／会社／合名・合資会社／別経営の事業所からの出向・派遣従業者規模10～29人／事業所数（事業所）,民営事業所／法人／会社／合名・合資会社／別経営の事業所からの出向・派遣従業者規模30～49人／事業所数（事業所）,民営事業所／法人／会社／合名・合資会社／別経営の事業所からの出向・派遣従業者規模50人以上／事業所数（事業所）,民営事業所／法人／会社／合同会社／事業所数（事業所）,民営事業所／法人／会社／合同会社／別経営の事業所からの出向・派遣従業者規模0人／事業所数（事業所）,民営事業所／法人／会社／合同会社／別経営の事業所からの出向・派遣従業者規模1～4人／事業所数（事業所）,民営事業所／法人／会社／合同会社／別経営の事業所からの出向・派遣従業者規模5～9人／事業所数（事業所）,民営事業所／法人／会社／合同会社／別経営の事業所からの出向・派遣従業者規模10～29人／事業所数（事業所）,民営事業所／法人／会社／合同会社／別経営の事業所からの出向・派遣従業者規模30～49人／事業所数（事業所）,民営事業所／法人／会社／合同会社／別経営の事業所からの出向・派遣従業者規模50人以上／事業所数（事業所）,民営事業所／法人／会社／外国の会社／事業所数（事業所）,民営事業所／法人／会社／外国の会社／別経営の事業所からの出向・派遣従業者規模0人／事業所数（事業所）,民営事業所／法人／会社／外国の会社／別経営の事業所からの出向・派遣従業者規模1～4人／事業所数（事業所）,民営事業所／法人／会社／外国の会社／別経営の事業所からの出向・派遣従業者規模5～9人／事業所数（事業所）,民営事業所／法人／会社／外国の会社／別経営の事業所からの出向・派遣従業者規模10～29人／事業所数（事業所）,民営事業所／法人／会社／外国の会社／別経営の事業所からの出向・派遣従業者規模30～49人／事業所数（事業所）,民営事業所／法人／会社／外国の会社／別経営の事業所からの出向・派遣従業者規模50人以上／事業所数（事業所）,民営事業所／法人／会社以外の法人／事業所数（事業所）,民営事業所／法人／会社以外の法人／別経営の事業所からの出向・派遣従業者規模0人／事業所数（事業所）,民営事業所／法人／会社以外の法人／別経営の事業所からの出向・派遣従業者規模1～4人／事業所数（事業所）,民営事業所／法人／会社以外の法人／別経営の事業所からの出向・派遣従業者規模5～9人／事業所数（事業所）,民営事業所／法人／会社以外の法人／別経営の事業所からの出向・派遣従業者規模10～29人／事業所数（事業所）,民営事業所／法人／会社以外の法人／別経営の事業所からの出向・派遣従業者規模30～49人／事業所数（事業所）,民営事業所／法人／会社以外の法人／別経営の事業所からの出向・派遣従業者規模50人以上／事業所数（事業所）,民営事業所／法人でない団体／事業所数（事業所）,民営事業所／法人でない団体／別経営の事業所からの出向・派遣従業者規模0人／事業所数（事業所）,民営事業所／法人でない団体／別経営の事業所からの出向・派遣従業者規模1～4人／事業所数（事業所）,民営事業所／法人でない団体／別経営の事業所からの出向・派遣従業者規模5～9人／事業所数（事業所）,民営事業所／法人でない団体／別経営の事業所からの出向・派遣従業者規模10～29人／事業所数（事業所）,民営事業所／法人でない団体／別経営の事業所からの出向・派遣従業者規模30～49人／事業所数（事業所）,民営事業所／法人でない団体／別経営の事業所からの出向・派遣従業者規模50人以上／事業所数（事業所）
1,1,単独事業所,2,D,08,設備工事業,1,8,出向・派遣従業者のみ,2,-,1,-,1,-,-,-,-,-,-,-,-,-,2,-,1,-,1,-,-,2,-,1,-,1,-,-,2,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,1,単独事業所,1,E,00,製造業,0,0,総数,37122,36514,474,70,46,12,6,10190,10170,20,-,-,-,-,26932,26344,454,70,46,12,6,26879,26297,449,70,46,11,6,26713,26132,448,70,46,11,6,136,135,1,-,-,-,-,30,30,-,-,-,-,-,-,-,-,-,-,-,-,53,47,5,-,-,1,-,-,-,-,-,-,-,-
1,1,単独事業所,1,E,00,製造業,1,1,1～4人,24233,24102,114,12,4,1,-,9688,9671,17,-,-,-,-,14545,14431,97,12,4,1,-,14523,14410,96,12,4,1,-,14397,14285,95,12,4,1,-,101,100,1,-,-,-,-,25,25,-,-,-,-,-,-,-,-,-,-,-,-,22,21,1,-,-,-,-,-,-,-,-,-,-,-
1,1,単独事業所,1,E,00,製造業,1,2,5～9人,7600,7492,93,10,3,2,-,455,452,3,-,-,-,-,7145,7040,90,10,3,2,-,7134,7030,90,10,3,1,-,7103,6999,90,10,3,1,-,27,27,-,-,-,-,-,4,4,-,-,-,-,-,-,-,-,-,-,-,-,11,10,-,-,-,1,-,-,-,-,-,-,-,-
1,1,単独事業所,1,E,00,製造業,1,3,10～29人,4333,4161,148,15,9,-,-,47,47,-,-,-,-,-,4286,4114,148,15,9,-,-,4276,4104,148,15,9,-,-,4269,4097,148,15,9,-,-,7,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,10,-,-,-,-,-,-,-,-,-,-,-,-
1,1,単独事業所,1,E,00,製造業,1,4,30～49人,596,520,52,15,7,2,-,-,-,-,-,-,-,-,596,520,52,15,7,2,-,594,519,51,15,7,2,-,593,518,51,15,7,2,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,1,-,-,-,-,-,-,-,-,-,-,-
1,1,単独事業所,1,E,00,製造業,1,5,50～99人,260,202,35,12,9,2,-,-,-,-,-,-,-,-,260,202,35,12,9,2,-,257,199,35,12,9,2,-,256,198,35,12,9,2,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-
1,1,単独事業所,1,E,00,製造業,1,6,100～299人,56,35,6,2,10,2,1,-,-,-,-,-,-,-,56,35,6,2,10,2,1,54,33,6,2,10,2,1,54,33,6,2,10,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-
1,1,単独事業所,1,E,00,製造業,1,7,300人以上,8,2,-,-,1,1,4,-,-,-,-,-,-,-,8,2,-,-,1,1,4,8,2,-,-,1,1,4,8,2,-,-,1,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,1,単独事業所,1,E,00,製造業,1,8,出向・派遣従業者のみ,36,-,26,4,3,2,1,-,-,-,-,-,-,-,36,-,26,4,3,2,1,33,-,23,4,3,2,1,33,-,23,4,3,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,3,-,-,-,-,-,-,-,-,-,-,-
1,1,単独事業所,2,E,09,食料品製造業,0,0,総数,1488,1449,30,3,3,1,2,383,381,2,-,-,-,-,1105,1068,28,3,3,1,2,1089,1055,25,3,3,1,2,1074,1040,25,3,3,1,2,13,13,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,16,13,3,-,-,-,-,-,-,-,-,-,-,-
1,1,単独事業所,2,E,09,食料品製造業,1,1,1～4人,692,685,6,1,-,-,-,319,318,1,-,-,-,-,373,367,5,1,-,-,-,368,362,5,1,-,-,-,356,350,5,1,-,-,-,11,11,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,5,5,-,-,-,-,-,-,-,-,-,-,-,-
1,1,単独事業所,2,E,09,食料品製造業,1,2,5～9人,410,399,11,-,-,-,-,60,59,1,-,-,-,-,350,340,10,-,-,-,-,345,335,10,-,-,-,-,342,332,10,-,-,-,-,2,2,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,5,5,-,-,-,-,-,-,-,-,-,-,-,-
1,1,単独事業所,2,E,09,食料品製造業,1,3,10～29人,283,274,8,-,1,-,-,4,4,-,-,-,-,-,279,270,8,-,1,-,-,277,268,8,-,1,-,-,277,268,8,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-
1,1,単独事業所,2,E,09,食料品製造業,1,4,30～49人,61,58,1,1,1,-,-,-,-,-,-,-,-,-,61,58,1,1,1,-,-,60,58,-,1,1,-,-,60,58,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-
1,1,単独事業所,2,E,09,食料品製造業,1,5,50～99人,28,25,1,1,1,-,-,-,-,-,-,-,-,-,28,25,1,1,1,-,-,28,25,1,1,1,-,-,28,25,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,1,単独事業所,2,E,09,食料品製造業,1,6,100～299人,8,7,-,-,-,-,1,-,-,-,-,-,-,-,8,7,-,-,-,-,1,7,6,-,-,-,-,1,7,6,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-
1,1,単独事業所,2,E,09,食料品製造業,1,7,300人以上,2,1,-,-,-,-,1,-,-,-,-,-,-,-,2,1,-,-,-,-,1,2,1,-,-,-,-,1,2,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,1,単独事業所,2,E,09,食料品製造業,1,8,出向・派遣従業者のみ,4,-,3,-,-,1,-,-,-,-,-,-,-,-,4,-,3,-,-,1,-,2,-,1,-,-,1,-,2,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,-,-,-,-,-,-,-,-,-,-,-
1,1,単独事業所,2,E,10,飲料・たばこ・飼料製造業,0,0,総数,124,120,4,-,-,-,-,27,27,-,-,-,-,-,97,93,4,-,-,-,-,95,92,3,-,-,-,-,90,87,3,-,-,-,-,4,4,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,2,1,1,-,-,-,-,-,-,-,-,-,-,-
1,1,単独事業所,2,E,10,飲料・たばこ・飼料製造業,1,1,1～4人,66,65,1,-,-,-,-,22,22,-,-,-,-,-,44,43,1,-,-,-,-,43,42,1,-,-,-,-,42,41,1,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-
1,1,単独事業所,2,E,10,飲料・たばこ・飼料製造業,1,2,5～9人,35,34,1,-,-,-,-,2,2,-,-,-,-,-,33,32,1,-,-,-,-,33,32,1,-,-,-,-,31,30,1,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,1,単独事業所,2,E,10,飲料・たばこ・飼料製造業,1,3,10～29人,19,18,1,-,-,-,-,3,3,-,-,-,-,-,16,15,1,-,-,-,-,16,15,1,-,-,-,-,15,14,1,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,1,単独事業所,2,E,10,飲料・たばこ・飼料製造業,1,4,30～49人,2,2,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,2,2,-,-,-,-,-,1,1,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,1,単独事業所,2,E,10,飲料・たばこ・飼料製造業,1,5,50～99人,1,1,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,1,1,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,1,単独事業所,2,E,10,飲料・たばこ・飼料製造業,1,6,100～299人,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,1,単独事業所,2,E,10,飲料・たばこ・飼料製造業,1,7,300人以上,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,1,単独事業所,2,E,10,飲料・たばこ・飼料製造業,1,8,出向・派遣従業者のみ,1,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-
1,1,単独事業所,2,E,11,繊維工業,0,0,総数,3048,3029,17,2,-,-,-,1315,1314,1,-,-,-,-,1733,1715,16,2,-,-,-,1726,1708,16,2,-,-,-,1717,1700,15,2,-,-,-,6,5,1,-,-,-,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,7,7,-,-,-,-,-,-,-,-,-,-,-,-
1,1,単独事業所,2,E,11,繊維工業,1,1,1～4人,2290,2281,9,-,-,-,-,1258,1257,1,-,-,-,-,1032,1024,8,-,-,-,-,1028,1020,8,-,-,-,-,1019,1012,7,-,-,-,-,6,5,1,-,-,-,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,4,4,-,-,-,-,-,-,-,-,-,-,-,-
1,1,単独事業所,2,E,11,繊維工業,1,2,5～9人,513,509,2,2,-,-,-,48,48,-,-,-,-,-,465,461,2,2,-,-,-,464,460,2,2,-,-,-,464,460,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-
1,1,単独事業所,2,E,11,繊維工業,1,3,10～29人,214,211,3,-,-,-,-,9,9,-,-,-,-,-,205,202,3,-,-,-,-,203,200,3,-,-,-,-,203,200,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-
1,1,単独事業所,2,E,11,繊維工業,1,4,30～49人,18,18,-,-,-,-,-,-,-,-,-,-,-,-,18,18,-,-,-,-,-,18,18,-,-,-,-,-,18,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,1,単独事業所,2,E,11,繊維工業,1,5,50～99人,10,9,1,-,-,-,-,-,-,-,-,-,-,-,10,9,1,-,-,-,-,10,9,1,-,-,-,-,10,9,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,1,単独事業所,2,E,11,繊維工業,1,6,100～299人,1,1,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,1,1,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,1,単独事業所,2,E,11,繊維工業,1,7,300人以上,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,1,単独事業所,2,E,11,繊維工業,1,8,出向・派遣従業者のみ,2,-,2,-,-,-,-,-,-,-,-,-,-,-,2,-,2,-,-,-,-,2,-,2,-,-,-,-,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,1,単独事業所,2,E,12,木材・木製品製造業（家具を除く）,0,0,総数,345,344,-,-,1,-,-,150,150,-,-,-,-,-,195,194,-,-,1,-,-,194,193,-,-,1,-,-,193,192,-,-,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-
1,1,単独事業所,2,E,12,木材・木製品製造業（家具を除く）,1,1,1～4人,256,256,-,-,-,-,-,143,143,-,-,-,-,-,113,113,-,-,-,-,-,112,112,-,-,-,-,-,112,112,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-
1,1,単独事業所,2,E,12,木材・木製品製造業（家具を除く）,1,2,5～9人,52,52,-,-,-,-,-,6,6,-,-,-,-,-,46,46,-,-,-,-,-,46,46,-,-,-,-,-,46,46,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,1,単独事業所,2,E,12,木材・木製品製造業（家具を除く）,1,3,10～29人,32,32,-,-,-,-,-,1,1,-,-,-,-,-,31,31,-,-,-,-,-,31,31,-,-,-,-,-,30,30,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,1,単独事業所,2,E,12,木材・木製品製造業（家具を除く）,1,4,30～49人,3,3,-,-,-,-,-,-,-,-,-,-,-,-,3,3,-,-,-,-,-,3,3,-,-,-,-,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,1,単独事業所,2,E,12,木材・木製品製造業（家具を除く）,1,5,50～99人,1,1,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,1,1,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,1,単独事業所,2,E,12,木材・木製品製造業（家具を除く）,1,6,100～299人,1,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,1,-,-,-,1,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,1,単独事業所,2,E,12,木材・木製品製造業（家具を除く）,1,7,300人以上,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,1,単独事業所,2,E,12,木材・木製品製造業（家具を除く）,1,8,出向・派遣従業者のみ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,1,単独事業所,2,E,13,家具・装備品製造業,0,0,総数,1272,1265,6,-,1,-,-,519,519,-,-,-,-,-,753,746,6,-,1,-,-,752,745,6,-,1,-,-,744,737,6,-,1,-,-,6,6,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-
1,1,単独事業所,2,E,13,家具・装備品製造業,1,1,1～4人,968,965,3,-,-,-,-,497,497,-,-,-,-,-,471,468,3,-,-,-,-,471,468,3,-,-,-,-,464,461,3,-,-,-,-,6,6,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,1,単独事業所,2,E,13,家具・装備品製造業,1,2,5～9人,242,240,2,-,-,-,-,22,22,-,-,-,-,-,220,218,2,-,-,-,-,219,217,2,-,-,-,-,218,216,2,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-
1,1,単独事業所,2,E,13,家具・装備品製造業,1,3,10～29人,54,52,1,-,1,-,-,-,-,-,-,-,-,-,54,52,1,-,1,-,-,54,52,1,-,1,-,-,54,52,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,1,単独事業所,2,E,13,家具・装備品製造業,1,4,30～49人,6,6,-,-,-,-,-,-,-,-,-,-,-,-,6,6,-,-,-,-,-,6,6,-,-,-,-,-,6,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,1,単独事業所,2,E,13,家具・装備品製造業,1,5,50～99人,2,2,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,2,2,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,1,単独事業所,2,E,13,家具・装備品製造業,1,6,100～299人,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,1,単独事業所,2,E,13,家具・装備品製造業,1,7,300人以上,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,1,単独事業所,2,E,13,家具・装備品製造業,1,8,出向・派遣従業者のみ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,1,単独事業所,2,E,14,パルプ・紙・紙加工品製造業,0,0,総数,1208,1197,11,-,-,-,-,328,328,-,-,-,-,-,880,869,11,-,-,-,-,876,865,11,-,-,-,-,871,860,11,-,-,-,-,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,-,-,-,-,-,-,-,-,-,-,-,-
1,1,単独事業所,2,E,14,パルプ・紙・紙加工品製造業,1,1,1～4人,754,750,4,-,-,-,-,301,301,-,-,-,-,-,453,449,4,-,-,-,-,450,446,4,-,-,-,-,446,442,4,-,-,-,-,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-
1,1,単独事業所,2,E,14,パルプ・紙・紙加工品製造業,1,2,5～9人,294,291,3,-,-,-,-,24,24,-,-,-,-,-,270,267,3,-,-,-,-,269,266,3,-,-,-,-,268,265,3,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-
1,1,単独事業所,2,E,14,パルプ・紙・紙加工品製造業,1,3,10～29人,142,138,4,-,-,-,-,3,3,-,-,-,-,-,139,135,4,-,-,-,-,139,135,4,-,-,-,-,139,135,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,1,単独事業所,2,E,14,パルプ・紙・紙加工品製造業,1,4,30～49人,12,12,-,-,-,-,-,-,-,-,-,-,-,-,12,12,-,-,-,-,-,12,12,-,-,-,-,-,12,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
