産業分類階層,大分類,中分類,小分類,分類名,総数／事業所数（事業所）,総数／従業者数／総数（人）,総数／従業者数／男（人）,総数／従業者数／女（人）,総数／従業者数／うち常用雇用者／総数（人）,総数／従業者数／うち常用雇用者／男（人）,総数／従業者数／うち常用雇用者／女（人）,民営の合計／事業所数（事業所）,民営の合計／従業者数／民営の合計（人）,民営の合計／従業者数／男（人）,民営の合計／従業者数／女（人）,民営の合計／従業者数／うち常用雇用者／民営の合計（人）,民営の合計／従業者数／うち常用雇用者／男（人）,民営の合計／従業者数／うち常用雇用者／女（人）,民営／個人／事業所数（事業所）,民営／個人／従業者数／総数（人）,民営／個人／従業者数／男（人）,民営／個人／従業者数／女（人）,民営／個人／従業者数／うち常用雇用者数／総数（人）,民営／個人／従業者数／うち常用雇用者数／男（人）,民営／個人／従業者数／うち常用雇用者数／女（人）,民営／法人／事業所数（事業所）,民営／法人／従業者数／総数（人）,民営／法人／従業者数／男（人）,民営／法人／従業者数／女（人）,民営／法人／従業者数／うち常用雇用者数／総数（人）,民営／法人／従業者数／うち常用雇用者数／男（人）,民営／法人／従業者数／うち常用雇用者数／女（人）,民営／法人／会社／事業所数（事業所）,民営／法人／会社／従業者数／総数（人）,民営／法人／会社／従業者数／男（人）,民営／法人／会社／従業者数／女（人）,民営／法人／会社／従業者数／うち常用雇用者数／総数（人）,民営／法人／会社／従業者数／うち常用雇用者数／男（人）,民営／法人／会社／従業者数／うち常用雇用者数／女（人）,民営／法人／会社／株式・有限・相互会社／事業所数（事業所）,民営／法人／会社／株式・有限・相互会社／従業者数／総数（人）,民営／法人／会社／株式・有限・相互会社／従業者数／男（人）,民営／法人／会社／株式・有限・相互会社／従業者数／女（人）,民営／法人／会社／株式・有限・相互会社／従業者数／うち常用雇用者数／総数（人）,民営／法人／会社／株式・有限・相互会社／従業者数／うち常用雇用者数／男（人）,民営／法人／会社／株式・有限・相互会社／従業者数／うち常用雇用者数／女（人）,民営／法人／会社／合名・合資会社／事業所数（事業所）,民営／法人／会社／合名・合資会社／従業者数／総数（人）,民営／法人／会社／合名・合資会社／従業者数／男（人）,民営／法人／会社／合名・合資会社／従業者数／女（人）,民営／法人／会社／合名・合資会社／従業者数／うち常用雇用者数／総数（人）,民営／法人／会社／合名・合資会社／従業者数／うち常用雇用者数／男（人）,民営／法人／会社／合名・合資会社／従業者数／うち常用雇用者数／女（人）,民営／法人／会社／合同会社／事業所数（事業所）,民営／法人／会社／合同会社／従業者数／総数（人）,民営／法人／会社／合同会社／従業者数／男（人）,民営／法人／会社／合同会社／従業者数／女（人）,民営／法人／会社／合同会社／従業者数／うち常用雇用者数／総数（人）,民営／法人／会社／合同会社／従業者数／うち常用雇用者数／男（人）,民営／法人／会社／合同会社／従業者数／うち常用雇用者数／女（人）,民営／法人／会社／外国の会社／事業所数（事業所）,民営／法人／会社／外国の会社／従業者数／総数（人）,民営／法人／会社／外国の会社／従業者数／男（人）,民営／法人／会社／外国の会社／従業者数／女（人）,民営／法人／会社／外国の会社／従業者数／うち常用雇用者数／総数（人）,民営／法人／会社／外国の会社／従業者数／うち常用雇用者数／男（人）,民営／法人／会社／外国の会社／従業者数／うち常用雇用者数／女（人）,民営／法人／会社以外の法人／事業所数（事業所）,民営／法人／会社以外の法人／従業者数／総数（人）,民営／法人／会社以外の法人／従業者数／男（人）,民営／法人／会社以外の法人／従業者数／女（人）,民営／法人／会社以外の法人／従業者数／うち常用雇用者数／総数（人）,民営／法人／会社以外の法人／従業者数／うち常用雇用者数／男（人）,民営／法人／会社以外の法人／従業者数／うち常用雇用者数／女（人）,民営／法人でない団体／事業所数（事業所）,民営／法人でない団体／従業者数／総数（人）,民営／法人でない団体／従業者数／男（人）,民営／法人でない団体／従業者数／女（人）,民営／法人でない団体／従業者数／うち常用雇用者数／総数（人）,民営／法人でない団体／従業者数／うち常用雇用者数／男（人）,民営／法人でない団体／従業者数／うち常用雇用者数／女（人）,国・地方公共団体の合計／事業所数（事業所）,国・地方公共団体の合計／従業者数（人）,国・地方公共団体の合計／従業者数／男（人）,国・地方公共団体の合計／従業者数／女（人）,国・地方公共団体の合計／従業者数／うち常用雇用者（人）,国・地方公共団体の合計／従業者数／うち常用雇用者／男（人）,国・地方公共団体の合計／従業者数／うち常用雇用者／女（人）,国・地方公共団体／国／事業所数（事業所）,国・地方公共団体／国／従業者数（人）,国・地方公共団体／国／従業者数／男（人）,国・地方公共団体／国／従業者数／女（人）,国・地方公共団体／国／従業者数／うち常用雇用者（人）,国・地方公共団体／国／従業者数／うち常用雇用者／男（人）,国・地方公共団体／国／従業者数／うち常用雇用者／女（人）,国・地方公共団体／地方公共団体の合計／事業所数（事業所）,国・地方公共団体／地方公共団体の合計／業者数（人）,国・地方公共団体／地方公共団体の合計／従業者数／男（人）,国・地方公共団体／地方公共団体の合計／従業者数／女（人）,国・地方公共団体／地方公共団体の合計／従業者数／うち常用雇用者（人）,国・地方公共団体／地方公共団体の合計／従業者数／うち常用雇用者／男（人）,国・地方公共団体／地方公共団体の合計／従業者数／うち常用雇用者／女（人）,国・地方公共団体／地方公共団体／都道府県／事業所数（事業所）,国・地方公共団体／地方公共団体／都道府県／業者数（人）,国・地方公共団体／地方公共団体／都道府県／従業者数／男（人）,国・地方公共団体／地方公共団体／都道府県／従業者数／女（人）,国・地方公共団体／地方公共団体／都道府県／従業者数／うち常用雇用者（人）,国・地方公共団体／地方公共団体／都道府県／従業者数／うち常用雇用者／男（人）,国・地方公共団体／地方公共団体／都道府県／従業者数／うち常用雇用者／女（人）,国・地方公共団体／地方公共団体／区市町村／事業所数（事業所）,国・地方公共団体／地方公共団体／区市町村／業者数（人）,国・地方公共団体／地方公共団体／区市町村／従業者数／男（人）,国・地方公共団体／地方公共団体／区市町村／従業者数／女（人）,国・地方公共団体／地方公共団体／区市町村／従業者数／うち常用雇用者（人）,国・地方公共団体／地方公共団体／区市町村／従業者数／うち常用雇用者／男（人）,国・地方公共団体／地方公共団体／区市町村／従業者数／うち常用雇用者／女（人）,国・地方公共団体／地方公共団体／一部事務組合等／事業所数（事業所）,国・地方公共団体／地方公共団体／一部事務組合等／業者数（人）,国・地方公共団体／地方公共団体／一部事務組合等／従業者数／男（人）,国・地方公共団体／地方公共団体／一部事務組合等／従業者数／女（人）,国・地方公共団体／地方公共団体／一部事務組合等／従業者数／うち常用雇用者（人）,国・地方公共団体／地方公共団体／一部事務組合等／従業者数／うち常用雇用者／男（人）,国・地方公共団体／地方公共団体／一部事務組合等／従業者数／うち常用雇用者／女（人）
2,E,12,000,木材・木製品製造業（家具を除く）,460,2865,2157,708,2136,1591,545,460,2865,2157,708,2136,1591,545,152,316,224,92,105,60,45,307,2541,1927,614,2024,1526,498,303,2528,1915,613,2015,1518,497,299,2509,1900,609,1997,1504,493,3,17,14,3,16,13,3,-,-,-,-,-,-,-,1,2,1,1,2,1,1,4,13,12,1,9,8,1,1,8,6,2,7,5,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,12,120,管理，補助的経済活動を行う事業所,17,141,106,35,112,79,33,17,141,106,35,112,79,33,-,-,-,-,-,-,-,17,141,106,35,112,79,33,17,141,106,35,112,79,33,17,141,106,35,112,79,33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,12,121,製材業，木製品製造業,99,553,422,131,391,296,95,99,553,422,131,391,296,95,27,55,44,11,23,17,6,71,490,372,118,361,274,87,71,490,372,118,361,274,87,69,484,367,117,356,270,86,1,4,4,-,3,3,-,-,-,-,-,-,-,-,1,2,1,1,2,1,1,-,-,-,-,-,-,-,1,8,6,2,7,5,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,12,122,造作材・合板・建築用組立材料製造業,103,1130,925,205,966,792,174,103,1130,925,205,966,792,174,19,37,26,11,14,7,7,84,1093,899,194,952,785,167,83,1089,895,194,952,785,167,83,1089,895,194,952,785,167,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,12,123,木製容器製造業（竹，とうを含む）,83,346,236,110,218,138,80,83,346,236,110,218,138,80,37,74,51,23,24,13,11,46,272,185,87,194,125,69,46,272,185,87,194,125,69,46,272,185,87,194,125,69,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,12,129,その他の木製品製造業（竹，とうを含む）,158,695,468,227,449,286,163,158,695,468,227,449,286,163,69,150,103,47,44,23,21,89,545,365,180,405,263,142,86,536,357,179,396,255,141,84,523,347,176,383,245,138,2,13,10,3,13,10,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,9,8,1,9,8,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,E,13,000,家具・装備品製造業,1483,8936,6590,2346,6487,4676,1811,1483,8936,6590,2346,6487,4676,1811,525,1039,755,284,376,196,180,958,7897,5835,2062,6111,4480,1631,956,7885,5825,2060,6100,4471,1629,948,7860,5805,2055,6083,4459,1624,6,17,13,4,11,7,4,2,8,7,1,6,5,1,-,-,-,-,-,-,-,2,12,10,2,11,9,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,13,130,管理，補助的経済活動を行う事業所,30,656,446,210,591,424,167,30,656,446,210,591,424,167,1,2,-,2,1,-,1,29,654,446,208,590,424,166,29,654,446,208,590,424,166,29,654,446,208,590,424,166,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,13,131,家具製造業,687,4891,3711,1180,3772,2817,955,687,4891,3711,1180,3772,2817,955,215,439,332,107,178,105,73,472,4452,3379,1073,3594,2712,882,472,4452,3379,1073,3594,2712,882,467,4432,3364,1068,3579,2702,877,4,15,11,4,11,7,4,1,5,4,1,4,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,13,132,宗教用具製造業,47,158,101,57,92,58,34,47,158,101,57,92,58,34,27,58,30,28,18,4,14,20,100,71,29,74,54,20,20,100,71,29,74,54,20,20,100,71,29,74,54,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,13,133,建具製造業,416,1277,956,321,625,419,206,416,1277,956,321,625,419,206,212,407,303,104,127,68,59,204,870,653,217,498,351,147,202,858,643,215,487,342,145,201,855,640,215,485,340,145,-,-,-,-,-,-,-,1,3,3,-,2,2,-,-,-,-,-,-,-,-,2,12,10,2,11,9,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,13,139,その他の家具・装備品製造業,303,1954,1376,578,1407,958,449,303,1954,1376,578,1407,958,449,70,133,90,43,52,19,33,233,1821,1286,535,1355,939,416,233,1821,1286,535,1355,939,416,231,1819,1284,535,1355,939,416,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,E,14,000,パルプ・紙・紙加工品製造業,1606,17068,11546,5260,14194,9461,4471,1606,17068,11546,5260,14194,9461,4471,333,825,474,351,393,146,247,1273,16243,11072,4909,13801,9315,4224,1267,16127,11007,4858,13689,9252,4175,1258,15888,10787,4839,13455,9036,4157,6,16,10,6,12,7,5,3,223,210,13,222,209,13,-,-,-,-,-,-,-,6,116,65,51,112,63,49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,14,140,管理，補助的経済活動を行う事業所,54,1337,813,262,1247,736,249,54,1337,813,262,1247,736,249,-,-,-,-,-,-,-,54,1337,813,262,1247,736,249,54,1337,813,262,1247,736,249,53,1336,812,262,1247,736,249,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,14,141,パルプ製造業,4,420,363,57,398,341,57,4,420,363,57,398,341,57,-,-,-,-,-,-,-,4,420,363,57,398,341,57,4,420,363,57,398,341,57,4,420,363,57,398,341,57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,14,142,紙製造業,35,2015,1652,363,1921,1571,350,35,2015,1652,363,1921,1571,350,3,9,5,4,4,3,1,32,2006,1647,359,1917,1568,349,32,2006,1647,359,1917,1568,349,32,2006,1647,359,1917,1568,349,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,14,143,加工紙製造業,47,641,489,152,575,436,139,47,641,489,152,575,436,139,6,17,10,7,10,5,5,41,624,479,145,565,431,134,41,624,479,145,565,431,134,40,622,477,145,563,429,134,1,2,2,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,14,144,紙製品製造業,387,3778,2301,1477,3052,1781,1271,387,3778,2301,1477,3052,1781,1271,63,160,83,77,80,24,56,324,3618,2218,1400,2972,1757,1215,321,3510,2157,1353,2865,1696,1169,320,3509,2156,1353,2865,1696,1169,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,108,61,47,107,61,46,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,14,145,紙製容器製造業,820,6787,4457,2330,5360,3464,1896,820,6787,4457,2330,5360,3464,1896,202,506,293,213,240,90,150,618,6281,4164,2117,5120,3374,1746,616,6274,4161,2113,5116,3373,1743,611,6040,3946,2094,4884,3159,1725,3,12,6,6,10,5,5,2,222,209,13,222,209,13,-,-,-,-,-,-,-,2,7,3,4,4,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,14,149,その他のパルプ・紙・紙加工品製造業,259,2090,1471,619,1641,1132,509,259,2090,1471,619,1641,1132,509,59,133,83,50,59,24,35,200,1957,1388,569,1582,1108,474,199,1956,1387,569,1581,1107,474,198,1955,1386,569,1581,1107,474,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,E,15,000,印刷・同関連業,7964,97783,71471,26312,83282,60940,22342,7964,97783,71471,26312,83282,60940,22342,1082,2286,1428,858,808,335,473,6882,95497,70043,25454,82474,60605,21869,6862,92830,67972,24858,79832,58555,21277,6839,92725,67908,24817,79753,58512,21241,20,65,49,16,41,29,12,3,40,15,25,38,14,24,-,-,-,-,-,-,-,20,2667,2071,596,2642,2050,592,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,15,150,管理，補助的経済活動を行う事業所,122,5694,4504,1190,5480,4349,1131,122,5694,4504,1190,5480,4349,1131,-,-,-,-,-,-,-,122,5694,4504,1190,5480,4349,1131,121,5191,4055,1136,4984,3907,1077,121,5191,4055,1136,4984,3907,1077,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,503,449,54,496,442,54,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,15,151,印刷業,5769,70988,51493,19495,60289,43686,16603,5769,70988,51493,19495,60289,43686,16603,731,1472,939,533,492,205,287,5038,69516,50554,18962,59797,43481,16316,5024,67554,49061,18493,57839,41989,15850,5008,67505,49027,18478,57809,41970,15839,14,43,33,10,26,19,7,2,6,1,5,4,-,4,-,-,-,-,-,-,-,14,1962,1493,469,1958,1492,466,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,15,152,製版業,601,9367,7289,2078,8417,6566,1851,601,9367,7289,2078,8417,6566,1851,59,111,75,36,39,18,21,542,9256,7214,2042,8378,6548,1830,541,9249,7209,2040,8371,6543,1828,538,9209,7191,2018,8334,6527,1807,2,6,4,2,3,2,1,1,34,14,20,34,14,20,-,-,-,-,-,-,-,1,7,5,2,7,5,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,15,153,製本業，印刷物加工業,1389,10839,7592,3247,8367,5858,2509,1389,10839,7592,3247,8367,5858,2509,284,687,405,282,272,110,162,1105,10152,7187,2965,8095,5748,2347,1101,9957,7063,2894,7914,5637,2277,1097,9941,7051,2890,7902,5629,2273,4,16,12,4,12,8,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,195,124,71,181,111,70,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,15,159,印刷関連サービス業,83,895,593,302,729,481,248,83,895,593,302,729,481,248,8,16,9,7,5,2,3,75,879,584,295,724,479,245,75,879,584,295,724,479,245,75,879,584,295,724,479,245,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,E,16,000,化学工業,1255,62820,41729,20613,59452,39098,19876,1255,62820,41729,20613,59452,39098,19876,24,52,29,23,18,8,10,1229,62764,41698,20588,59431,39089,19864,1221,62045,41217,20350,58738,38633,19627,1213,61888,41104,20321,58588,38524,19601,4,16,11,5,9,7,2,2,116,94,7,116,94,7,2,25,8,17,25,8,17,8,719,481,238,693,456,237,2,4,2,2,3,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,16,160,管理，補助的経済活動を行う事業所,190,16740,11427,5312,15877,10698,5178,190,16740,11427,5312,15877,10698,5178,-,-,-,-,-,-,-,190,16740,11427,5312,15877,10698,5178,188,16719,11407,5311,15856,10678,5177,186,16614,11310,5303,15754,10583,5170,1,4,3,1,1,1,-,1,101,94,7,101,94,7,-,-,-,-,-,-,-,2,21,20,1,21,20,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,16,161,化学肥料製造業,4,114,88,26,105,79,26,4,114,88,26,105,79,26,-,-,-,-,-,-,-,4,114,88,26,105,79,26,4,114,88,26,105,79,26,4,114,88,26,105,79,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,16,162,無機化学工業製品製造業,99,1546,1203,343,1364,1055,309,99,1546,1203,343,1364,1055,309,5,12,4,8,3,-,3,94,1534,1199,335,1361,1055,306,92,1514,1181,333,1351,1046,305,92,1514,1181,333,1351,1046,305,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,20,18,2,10,9,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,16,163,有機化学工業製品製造業,118,5844,4617,1226,5532,4324,1207,118,5844,4617,1226,5532,4324,1207,3,5,4,1,2,1,1,115,5839,4613,1225,5530,4323,1206,115,5839,4613,1225,5530,4323,1206,114,5837,4612,1224,5530,4323,1206,1,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,16,164,油脂加工製品・石けん・合成洗剤・界面活性剤・塗料製造業,183,3566,2507,1059,3201,2231,970,183,3566,2507,1059,3201,2231,970,6,14,8,6,4,4,-,177,3552,2499,1053,3197,2227,970,176,3550,2498,1052,3195,2226,969,176,3550,2498,1052,3195,2226,969,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,1,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,16,165,医薬品製造業,194,22119,14751,6892,21563,14295,6792,194,22119,14751,6892,21563,14295,6792,1,4,2,2,3,1,2,193,22115,14749,6890,21560,14294,6790,190,21439,14307,6656,20900,13868,6556,188,21421,14305,6655,20882,13866,6555,-,-,-,-,-,-,-,1,15,-,-,15,-,-,1,3,2,1,3,2,1,3,676,442,234,660,426,234,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,16,166,化粧品・歯磨・その他の化粧用調整品製造業,261,8800,4299,4501,8199,3962,4237,261,8800,4299,4501,8199,3962,4237,3,6,4,2,3,1,2,257,8792,4295,4497,8194,3961,4233,257,8792,4295,4497,8194,3961,4233,256,8784,4290,4494,8188,3957,4231,1,8,5,3,6,4,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,2,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,16,169,その他の化学工業,206,4091,2837,1254,3611,2454,1157,206,4091,2837,1254,3611,2454,1157,6,11,7,4,3,1,2,199,4078,2828,1250,3607,2452,1155,199,4078,2828,1250,3607,2452,1155,197,4054,2820,1234,3583,2444,1139,1,2,2,-,2,2,-,-,-,-,-,-,-,-,1,22,6,16,22,6,16,-,-,-,-,-,-,-,1,2,2,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,E,17,000,石油製品・石炭製品製造業,65,6598,5872,726,6462,5748,714,65,6598,5872,726,6462,5748,714,1,4,1,3,1,-,1,63,6577,5858,719,6444,5735,709,63,6577,5858,719,6444,5735,709,63,6577,5858,719,6444,5735,709,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,17,13,4,17,13,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,17,170,管理，補助的経済活動を行う事業所,10,5810,5220,590,5745,5155,590,10,5810,5220,590,5745,5155,590,-,-,-,-,-,-,-,10,5810,5220,590,5745,5155,590,10,5810,5220,590,5745,5155,590,10,5810,5220,590,5745,5155,590,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,17,171,石油精製業,5,123,104,19,120,101,19,5,123,104,19,120,101,19,-,-,-,-,-,-,-,5,123,104,19,120,101,19,5,123,104,19,120,101,19,5,123,104,19,120,101,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
