産業分類階層,大分類,中分類,小分類,分類名,東京都／総数（民営＋国、地方公共団体）／事業所数（事業所）,東京都／総数（民営＋国、地方公共団体）／従業者数（人）,区部／経営組織／民営／事業所数（事業所）,区部／経営組織／民営／従業者数（人）,千代田区／経営組織／民営／事業所数（事業所）,千代田区／経営組織／民営／従業者数（人）,中央区／経営組織／民営／事業所数（事業所）,中央区／経営組織／民営／従業者数（人）,港区／経営組織／民営／事業所数（事業所）,港区／経営組織／民営／従業者数（人）,新宿区／経営組織／民営／事業所数（事業所）,新宿区／経営組織／民営／従業者数（人）,文京区／経営組織／民営／事業所数（事業所）,文京区／経営組織／民営／従業者数（人）,台東区／経営組織／民営／事業所数（事業所）,台東区／経営組織／民営／従業者数（人）,墨田区／経営組織／民営／事業所数（事業所）,墨田区／経営組織／民営／従業者数（人）,江東区／経営組織／民営／事業所数（事業所）,江東区／経営組織／民営／従業者数（人）,品川区／経営組織／民営／事業所数（事業所）,品川区／経営組織／民営／従業者数（人）,目黒区／経営組織／民営／事業所数（事業所）,目黒区／経営組織／民営／従業者数（人）,大田区／経営組織／民営／事業所数（事業所）,大田区／経営組織／民営／従業者数（人）,世田谷区／経営組織／民営／事業所数（事業所）,世田谷区／経営組織／民営／従業者数（人）,渋谷区／経営組織／民営／事業所数（事業所）,渋谷区／経営組織／民営／従業者数（人）,中野区／経営組織／民営／事業所数（事業所）,中野区／経営組織／民営／従業者数（人）,杉並区／経営組織／民営／事業所数（事業所）,杉並区／経営組織／民営／従業者数（人）,豊島区／経営組織／民営／事業所数（事業所）,豊島区／経営組織／民営／従業者数（人）,北区／経営組織／民営／事業所数（事業所）,北区／経営組織／民営／従業者数（人）,荒川区／経営組織／民営／事業所数（事業所）,荒川区／経営組織／民営／従業者数（人）,板橋区／経営組織／民営／事業所数（事業所）,板橋区／経営組織／民営／従業者数（人）,練馬区／経営組織／民営／事業所数（事業所）,練馬区／経営組織／民営／従業者数（人）,足立区／経営組織／民営／事業所数（事業所）,足立区／経営組織／民営／従業者数（人）,葛飾区／経営組織／民営／事業所数（事業所）,葛飾区／経営組織／民営／従業者数（人）,江戸川区／経営組織／民営／事業所数（事業所）,江戸川区／経営組織／民営／従業者数（人）,境界未定地域／経営組織／民営／事業所数（事業所）,境界未定地域／経営組織／民営／従業者数（人）,市部／経営組織／民営／事業所数（事業所）,市部／経営組織／民営／従業者数（人）,八王子市／経営組織／民営／事業所数（事業所）,八王子市／経営組織／民営／従業者数（人）,立川市／経営組織／民営／事業所数（事業所）,立川市／経営組織／民営／従業者数（人）,武蔵野市／経営組織／民営／事業所数（事業所）,武蔵野市／経営組織／民営／従業者数（人）,三鷹市／経営組織／民営／事業所数（事業所）,三鷹市／経営組織／民営／従業者数（人）,青梅市／経営組織／民営／事業所数（事業所）,青梅市／経営組織／民営／従業者数（人）,府中市／経営組織／民営／事業所数（事業所）,府中市／経営組織／民営／従業者数（人）,昭島市／経営組織／民営／事業所数（事業所）,昭島市／経営組織／民営／従業者数（人）,調布市／経営組織／民営／事業所数（事業所）,調布市／経営組織／民営／従業者数（人）,町田市／経営組織／民営／事業所数（事業所）,町田市／経営組織／民営／従業者数（人）,小金井市／経営組織／民営／事業所数（事業所）,小金井市／経営組織／民営／従業者数（人）,小平市／経営組織／民営／事業所数（事業所）,小平市／経営組織／民営／従業者数（人）,日野市／経営組織／民営／事業所数（事業所）,日野市／経営組織／民営／従業者数（人）,東村山市／経営組織／民営／事業所数（事業所）,東村山市／経営組織／民営／従業者数（人）,国分寺市／経営組織／民営／事業所数（事業所）,国分寺市／経営組織／民営／従業者数（人）,国立市／経営組織／民営／事業所数（事業所）,国立市／経営組織／民営／従業者数（人）,福生市／経営組織／民営／事業所数（事業所）,福生市／経営組織／民営／従業者数（人）,狛江市／経営組織／民営／事業所数（事業所）,狛江市／経営組織／民営／従業者数（人）,東大和市／経営組織／民営／事業所数（事業所）,東大和市／経営組織／民営／従業者数（人）,清瀬市／経営組織／民営／事業所数（事業所）,清瀬市／経営組織／民営／従業者数（人）,東久留米市／経営組織／民営／事業所数（事業所）,東久留米市／経営組織／民営／従業者数（人）,武蔵村山市／経営組織／民営／事業所数（事業所）,武蔵村山市／経営組織／民営／従業者数（人）,多摩市／経営組織／民営／事業所数（事業所）,多摩市／経営組織／民営／従業者数（人）,稲城市／経営組織／民営／事業所数（事業所）,稲城市／経営組織／民営／従業者数（人）,羽村市／経営組織／民営／事業所数（事業所）,羽村市／経営組織／民営／従業者数（人）,あきる野市／経営組織／民営／事業所数（事業所）,あきる野市／経営組織／民営／従業者数（人）,西東京市／経営組織／民営／事業所数（事業所）,西東京市／経営組織／民営／従業者数（人）,町村部／経営組織／民営／事業所数（事業所）,町村部／経営組織／民営／従業者数（人）,西多摩郡／経営組織／民営／事業所数（事業所）,西多摩郡／経営組織／民営／従業者数（人）,瑞穂町／経営組織／民営／事業所数（事業所）,瑞穂町／経営組織／民営／従業者数（人）,日の出町／経営組織／民営／事業所数（事業所）,日の出町／経営組織／民営／従業者数（人）,檜原村／経営組織／民営／事業所数（事業所）,檜原村／経営組織／民営／従業者数（人）,奥多摩町／経営組織／民営／事業所数（事業所）,奥多摩町／経営組織／民営／従業者数（人）,島部／経営組織／民営／事業所数（事業所）,島部／経営組織／民営／従業者数（人）,大島支庁／経営組織／民営／事業所数（事業所）,大島支庁／経営組織／民営／従業者数（人）,大島町／経営組織／民営／事業所数（事業所）,大島町／経営組織／民営／従業者数（人）,利島村／経営組織／民営／事業所数（事業所）,利島村／経営組織／民営／従業者数（人）,新島村／経営組織／民営／事業所数（事業所）,新島村／経営組織／民営／従業者数（人）,神津島村／経営組織／民営／事業所数（事業所）,神津島村／経営組織／民営／従業者数（人）,三宅支庁／経営組織／民営／事業所数（事業所）,三宅支庁／経営組織／民営／従業者数（人）,三宅村／経営組織／民営／事業所数（事業所）,三宅村／経営組織／民営／従業者数（人）,御蔵島村／経営組織／民営／事業所数（事業所）,御蔵島村／経営組織／民営／従業者数（人）,八丈支庁／経営組織／民営／事業所数（事業所）,八丈支庁／経営組織／民営／従業者数（人）,八丈町／経営組織／民営／事業所数（事業所）,八丈町／経営組織／民営／従業者数（人）,青ヶ島村／経営組織／民営／事業所数（事業所）,青ヶ島村／経営組織／民営／従業者数（人）,小笠原支庁／経営組織／民営／事業所数（事業所）,小笠原支庁／経営組織／民営／従業者数（人）,小笠原村／経営組織／民営／事業所数（事業所）,小笠原村／経営組織／民営／従業者数（人）
3,E,21,219,その他の窯業・土石製品製造業,58,550,51,428,5,42,6,139,-,-,1,2,5,11,4,7,3,15,4,63,2,54,-,-,2,5,1,7,-,-,2,5,-,-,1,3,3,6,2,4,2,15,-,-,3,31,2,2,3,17,-,-,4,18,1,1,-,-,-,-,-,-,2,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,5,-,-,3,104,3,104,1,52,1,15,-,-,1,37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,E,22,000,鉄鋼業,538,9385,488,8703,14,3217,29,631,14,450,2,5,1,7,10,54,53,412,57,689,18,380,3,25,89,752,4,13,1,152,-,-,3,9,4,101,6,74,8,91,24,823,3,15,21,124,34,131,90,548,-,-,41,562,8,26,2,26,2,5,1,6,12,140,-,-,6,59,1,16,1,13,-,-,-,-,-,-,1,1,1,2,-,-,-,-,-,-,-,-,-,-,-,-,2,24,-,-,-,-,4,244,-,-,-,-,9,120,9,120,7,110,1,8,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,22,220,管理，補助的経済活動を行う事業所,43,3789,43,3789,6,2945,14,193,6,318,1,3,1,7,-,-,4,12,5,74,2,138,-,-,-,-,-,-,-,-,-,-,1,3,1,92,-,-,-,-,2,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,22,221,製鉄業,2,12,1,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,9,-,-,-,-,-,-,-,-,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,22,222,製鋼・製鋼圧延業,11,342,10,331,-,-,4,74,-,-,-,-,-,-,-,-,1,2,2,26,1,197,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,1,30,-,-,-,-,-,-,-,-,-,-,-,-,1,11,-,-,-,-,-,-,-,-,-,-,-,-,1,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,22,223,製鋼を行わない鋼材製造業（表面処理鋼材を除く）,48,1999,46,1777,5,230,2,312,3,2,-,-,-,-,1,6,4,182,3,60,3,21,-,-,9,129,-,-,1,152,-,-,1,4,-,-,-,-,1,4,6,636,-,-,1,5,2,10,4,24,-,-,2,222,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,221,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,22,224,表面処理鋼材製造業,7,53,7,53,-,-,-,-,-,-,-,-,-,-,-,-,1,9,2,6,1,5,1,19,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,22,225,鉄素形材製造業,92,915,83,839,1,30,5,18,2,124,-,-,-,-,-,-,7,50,7,32,-,-,-,-,30,363,2,8,-,-,-,-,1,2,-,-,1,13,-,-,5,18,-,-,2,8,8,40,12,133,-,-,7,60,2,9,-,-,1,3,-,-,3,22,-,-,1,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,16,2,16,1,14,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,22,229,その他の鉄鋼業,335,2275,298,1905,2,12,4,34,3,6,1,2,-,-,9,48,36,157,38,491,11,19,2,6,48,254,2,5,-,-,-,-,-,-,3,9,5,61,6,57,10,156,2,5,18,111,24,81,74,391,-,-,30,266,6,17,2,26,1,2,1,6,9,118,-,-,3,19,1,16,1,13,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,2,24,-,-,-,-,3,23,-,-,-,-,7,104,7,104,6,96,1,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,E,23,000,非鉄金属製造業,617,9182,521,7902,25,3486,5,116,11,680,10,76,4,6,14,69,47,166,15,233,31,632,11,77,91,558,10,103,4,32,2,77,4,35,7,34,20,125,26,146,35,213,11,304,53,322,51,210,34,202,-,-,88,1163,16,110,1,20,-,-,4,32,6,48,10,439,4,36,4,7,6,66,-,-,1,26,3,14,6,42,-,-,-,-,1,5,2,55,1,2,-,-,3,16,4,14,2,6,7,18,2,52,3,152,2,3,8,117,8,117,8,117,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,23,230,管理，補助的経済活動を行う事業所,51,2053,46,2034,7,816,1,98,4,648,1,1,-,-,2,22,2,3,1,25,5,262,1,2,3,19,-,-,1,10,-,-,1,10,3,13,1,5,2,34,1,2,2,21,3,21,-,-,5,22,-,-,5,19,1,2,-,-,-,-,-,-,-,-,2,11,-,-,1,1,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,23,231,非鉄金属第１次製錬・精製業,10,1075,9,1073,6,1061,-,-,-,-,-,-,-,-,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,1,6,-,-,1,2,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,23,232,非鉄金属第２次製錬・精製業（非鉄金属合金製造業を含む）,80,811,72,441,1,11,1,9,1,16,2,4,1,1,5,26,14,57,-,-,-,-,1,2,15,103,1,1,1,3,-,-,-,-,-,-,1,3,1,1,2,41,-,-,16,80,4,5,5,78,-,-,7,340,3,17,-,-,-,-,-,-,-,-,1,281,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,1,40,-,-,1,30,1,30,1,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,23,233,非鉄金属・同合金圧延業（抽伸，押出しを含む）,135,2330,122,2238,5,1348,-,-,1,1,2,43,-,-,2,3,11,23,5,134,5,15,2,7,16,106,1,2,-,-,-,-,2,23,1,3,3,33,9,61,7,20,5,212,12,66,24,102,9,36,-,-,11,85,3,29,-,-,-,-,1,3,1,9,-,-,3,21,-,-,1,2,-,-,-,-,-,-,1,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,2,7,2,7,2,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,23,234,電線・ケーブル製造業,95,1263,60,863,4,189,-,-,1,3,1,7,1,2,-,-,1,1,2,16,11,275,5,44,11,94,5,89,-,-,-,-,-,-,1,1,2,6,1,2,3,41,2,66,4,8,3,16,2,3,-,-,34,393,7,46,1,20,-,-,1,22,2,15,3,98,1,15,-,-,3,50,-,-,1,26,2,8,2,7,-,-,-,-,1,5,2,55,-,-,-,-,-,-,-,-,2,6,3,10,1,7,-,-,2,3,1,7,1,7,1,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,23,235,非鉄金属素形材製造業,179,1282,152,926,-,-,3,9,2,5,1,2,-,-,1,2,10,47,4,33,7,74,1,18,37,198,1,8,1,2,1,75,1,2,1,3,11,74,11,44,20,105,-,-,14,115,17,72,8,38,-,-,25,288,1,12,-,-,-,-,-,-,1,2,4,49,-,-,2,6,1,9,-,-,-,-,1,6,3,16,-,-,-,-,-,-,-,-,1,2,-,-,3,16,3,12,-,-,3,6,1,45,1,107,-,-,2,68,2,68,2,68,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,23,239,その他の非鉄金属製造業,67,368,60,327,2,61,-,-,2,7,3,19,2,3,3,12,9,35,3,25,3,6,1,4,9,38,2,3,1,17,1,2,-,-,1,14,1,2,2,4,2,4,2,5,4,32,3,15,4,19,-,-,5,36,1,4,-,-,-,-,2,7,1,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,5,-,-,2,5,2,5,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,E,24,000,金属製品製造業,6127,45955,5307,39044,55,2214,52,632,83,874,37,504,70,835,222,1052,599,2850,200,5006,247,2201,67,392,956,6618,69,358,31,298,30,195,26,125,58,724,111,638,289,1350,220,1624,63,351,554,3066,694,3600,574,3537,-,-,709,6155,158,1436,25,205,12,35,32,261,66,589,35,190,41,414,20,150,56,493,5,60,21,141,8,24,20,173,6,60,5,23,14,175,11,86,10,90,7,27,18,116,43,457,12,50,22,419,19,116,32,291,11,74,111,756,110,755,103,725,3,11,1,4,3,15,1,1,-,-,-,-,-,-,-,-,-,-,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-
3,E,24,240,管理，補助的経済活動を行う事業所,198,2489,186,2455,13,273,14,149,13,154,9,155,3,10,12,61,12,46,5,34,8,841,2,10,16,82,4,11,3,4,1,5,2,5,7,34,2,8,10,50,5,331,4,27,15,95,18,48,8,22,-,-,11,28,1,11,-,-,1,2,-,-,-,-,-,-,-,-,1,3,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,2,6,-,-,-,-,-,-,-,-,1,1,1,6,1,6,1,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,24,241,ブリキ缶・その他のめっき板等製品製造業,41,344,39,340,1,17,-,-,-,-,-,-,1,3,7,46,8,54,-,-,1,9,-,-,3,14,-,-,-,-,1,3,-,-,-,-,3,25,1,2,-,-,-,-,2,40,4,70,7,57,-,-,2,4,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,24,242,洋食器・刃物・手道具・金物類製造業,663,3755,620,3335,7,142,5,22,8,61,2,7,4,7,67,271,92,367,35,357,21,96,4,18,44,280,1,4,6,14,1,2,5,23,3,17,19,94,44,170,25,126,11,68,85,401,67,390,64,398,-,-,38,409,5,18,1,3,-,-,1,4,4,77,2,4,-,-,2,9,5,48,3,6,1,6,2,4,2,40,2,51,1,1,-,-,-,-,1,43,-,-,1,2,-,-,1,2,1,1,1,13,1,73,1,4,5,11,5,11,4,9,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,24,243,暖房・調理等装置，配管工事用附属品製造業,179,1695,160,1541,5,30,6,94,6,94,2,10,4,82,2,16,8,84,4,74,8,165,-,-,42,383,3,34,1,1,3,16,1,8,3,16,5,61,15,125,7,69,1,3,10,57,10,64,14,55,-,-,18,148,5,32,1,2,-,-,-,-,-,-,2,7,-,-,-,-,1,8,1,48,1,14,-,-,1,1,-,-,1,6,1,5,-,-,-,-,-,-,1,6,1,15,1,2,1,2,-,-,-,-,-,-,1,6,1,6,-,-,-,-,-,-,1,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,24,244,建設用・建築用金属製品製造業（製缶板金業を含む）,1662,15285,1338,13425,17,1628,13,125,24,372,10,279,45,617,38,267,107,438,75,3850,36,202,13,35,265,1567,24,124,9,213,10,68,9,33,19,376,23,130,63,270,51,252,22,118,132,749,110,482,223,1230,-,-,277,1623,69,423,10,60,5,11,12,75,27,207,23,115,13,61,8,22,16,113,-,-,10,59,3,12,7,29,2,5,2,9,4,55,4,38,2,3,4,14,8,23,11,41,5,11,8,56,6,32,16,131,2,18,47,237,46,236,44,232,1,3,-,-,1,1,1,1,-,-,-,-,-,-,-,-,-,-,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-
3,E,24,245,金属素形材製品製造業,973,5492,838,4188,2,8,1,2,6,34,3,11,2,75,23,100,116,545,17,82,59,256,11,32,149,852,11,50,1,2,2,5,2,27,2,6,14,44,55,289,34,208,7,44,78,365,180,755,63,396,-,-,112,1072,28,346,-,-,1,3,5,29,16,162,2,15,8,64,2,37,13,189,-,-,2,6,-,-,1,3,1,3,1,7,5,18,1,3,2,9,-,-,3,38,4,55,1,1,5,29,5,26,6,29,-,-,23,232,23,232,22,226,1,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,24,246,金属被覆・彫刻業，熱処理業（ほうろう鉄器を除く）,1177,9302,999,7053,6,88,5,147,8,46,8,30,4,16,61,216,105,666,19,191,45,307,18,174,204,1749,11,53,4,22,11,94,4,19,9,66,24,158,64,305,59,463,7,36,108,597,131,907,84,703,-,-,154,2029,29,430,9,113,-,-,10,141,8,37,2,19,14,137,6,66,11,54,1,6,3,21,3,8,6,87,1,1,-,-,2,92,3,34,3,33,-,-,3,44,22,325,3,8,5,309,4,18,3,15,3,31,24,220,24,220,24,220,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,24,247,金属線製品製造業（ねじ類を除く）,114,571,109,548,1,6,2,11,1,3,-,-,1,3,3,45,10,27,10,27,6,40,-,-,12,66,1,2,-,-,-,-,-,-,1,1,3,25,6,14,3,8,2,20,16,136,16,57,15,57,-,-,4,19,1,3,-,-,-,-,-,-,1,11,1,2,-,-,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,1,4,-,-,-,-,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,24,248,ボルト・ナット・リベット・小ねじ・木ねじ等製造業,505,2837,468,2562,3,22,1,2,8,16,-,-,3,8,2,6,74,300,10,47,29,67,13,90,92,698,7,39,3,30,-,-,1,1,4,13,5,52,16,85,6,28,5,16,51,352,91,340,44,350,-,-,34,258,6,35,-,-,3,14,2,3,4,68,1,8,1,53,-,-,3,6,-,-,2,4,-,-,2,8,-,-,-,-,1,4,1,3,1,1,1,9,-,-,1,2,-,-,-,-,2,3,3,37,-,-,3,17,3,17,2,9,-,-,-,-,1,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,24,249,その他の金属製品製造業,615,4185,550,3597,-,-,5,80,9,94,3,12,3,14,7,24,67,323,25,344,34,218,6,33,129,927,7,41,4,12,1,2,2,9,10,195,13,41,15,40,30,139,4,19,57,274,67,487,52,269,-,-,59,565,14,138,4,27,2,5,2,9,6,27,2,20,4,97,1,13,3,68,-,-,2,31,-,-,1,5,-,-,-,-,1,1,2,8,-,-,1,3,1,2,2,13,1,26,2,22,1,24,3,6,4,20,6,23,6,23,6,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,E,25,000,はん用機械器具製造業,1731,24185,1461,19258,32,3984,36,1265,48,1235,12,228,13,308,23,274,73,330,65,993,110,1619,24,193,472,5211,33,131,5,83,8,51,7,19,20,347,38,201,32,281,63,473,25,145,113,627,68,382,141,878,-,-,249,4740,65,773,10,120,-,-,4,25,31,147,13,548,9,257,12,162,18,141,3,196,9,187,5,1011,9,514,-,-,1,22,5,50,2,23,2,5,1,1,12,83,8,108,3,5,6,49,5,168,10,104,6,41,21,187,21,187,17,149,3,33,-,-,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,25,250,管理，補助的経済活動を行う事業所,65,1233,58,1052,4,494,5,78,1,70,3,24,3,159,2,6,1,2,1,7,7,36,-,-,13,88,2,6,-,-,-,-,-,-,1,1,3,5,1,8,4,23,-,-,3,31,3,7,1,7,-,-,7,181,-,-,-,-,-,-,-,-,-,-,1,76,-,-,1,81,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,4,-,-,-,-,1,15,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,25,251,ボイラ・原動機製造業,31,348,25,265,1,1,1,2,3,27,-,-,-,-,-,-,-,-,3,25,2,13,-,-,9,62,1,7,-,-,-,-,-,-,-,-,1,3,-,-,1,2,-,-,1,2,-,-,2,121,-,-,5,82,-,-,-,-,-,-,-,-,2,21,-,-,-,-,1,34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,5,-,-,-,-,1,22,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,25,252,ポンプ・圧縮機器製造業,284,5603,242,4578,7,195,5,50,6,178,1,9,3,36,3,13,13,68,9,339,14,126,5,45,75,2708,4,12,3,42,-,-,1,4,2,66,9,50,9,155,12,102,6,37,17,93,21,170,17,80,-,-,40,1010,10,91,3,13,-,-,-,-,4,24,1,72,2,25,1,10,1,6,1,187,1,7,-,-,5,475,-,-,-,-,-,-,1,20,-,-,-,-,5,28,1,44,2,3,-,-,-,-,1,3,1,2,2,15,2,15,1,11,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,25,253,一般産業用機械・装置製造業,501,9321,431,7999,13,3216,11,198,10,543,4,63,5,46,13,235,22,98,27,487,22,704,6,93,115,1017,8,40,-,-,4,27,3,8,10,184,10,41,5,9,15,103,10,86,39,227,19,135,60,439,-,-,63,1236,17,359,3,41,-,-,1,2,4,18,9,329,1,6,2,14,3,12,-,-,3,149,1,3,2,23,-,-,1,22,2,9,1,3,1,4,-,-,2,29,2,40,-,-,2,10,1,113,3,41,2,9,7,86,7,86,5,54,1,27,-,-,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
