"施策の体系","重点的取組","数値目標","計画番号","事業名","所管局","平成17年度実績","平成18年度実績","平成19年度実績","平成20年度実績","平成21年度実績","重点戦略通し番号"
"目標２仕事と家庭生活との両立支援／（1）仕事と子育てとが両立できる職場づくりの推進／(1)都民や企業等への普及啓発活動の推進","","","47","心の東京塾・出前講演会（企業版）","青少年・治安対策本部","○おやじ塾（開催回数：3回　受講者数：49人）／○出前講演会〈企業版〉（開催回数：1回　受講者数：100人）","事業休止","事業休止","事業休止","事業休止",""
"目標２仕事と家庭生活との両立支援／（1）仕事と子育てとが両立できる職場づくりの推進／(1)都民や企業等への普及啓発活動の推進","","","48","東京ウィメンズプラザ普及啓発事業","生活文化局","○公開講座　6回／○出前講座　3回／○男女平等参画リーダー講座　5回／○相談員養成講座　4回／○都内女性センター職員研修　2回／○職務関係者研修　5回","○公開講座　1回／○相談員養成講座　4回／○配偶者暴力防止講演会　1回／○都内女性センター職員研修　4回／○職務関係者研修　8回","○公開講座　1回／○相談員養成講座　6回／○配偶者暴力防止講演会　1回／○男女平等推進担当職員研修　3回／○職務関係者研修　７回／○オープンプラザ事業　4回","○公開講座　1回／○相談員養成講座　6回／○配偶者暴力防止講演会　1回／○男女平等推進担当職員研修　3回／○職務関係者研修　7回／○オープンプラザ事業　3回","○公開講座　1回／○相談員養成講座　6回／○配偶者暴力防止講演会　1回／○男女平等推進担当職員研修　3回／○職務関係者研修　7回／○オープンプラザ事業　2回",""
"目標２仕事と家庭生活との両立支援／（1）仕事と子育てとが両立できる職場づくりの推進／(1)都民や企業等への普及啓発活動の推進","","","49","事業者団体との連絡会","生活文化局","男女平等参画のための経営者懇談会　シンポジウム／「先進企業に学ぶ経営戦略としてのワークライフバランス」／（東京都・東京経営者協会）／日時：平成17年10月14日／会場：東京ウィメンズプラザ／参加者：80人","男女平等参画のための経営者懇談会　シンポジウム／「広めよう！進めよう！ワークライフバランス～深まる意識と広がる制度」（東京都・東京経営者協会）／日時：平成18年10月13日／会場：東京ウィメンズプラザ／参加者：88人","男女平等参画のための経営者懇談会　シンポジウム／「多様な働き方と再チャレンジ」（東京都・東京経営者協会）／日時：平成19年10月12日／会場：東京ウィメンズプラザ／参加者：170人","男女平等参画のための経営者懇談会　シンポジウム／「実践しよう！！ワーク・ライフ・バランス」／（東京都・東京経営者協会）日時：平成20年10月3日／会場：東京ウィメンズプラザ／参加者：211人","男女平等参画のための経営者懇談会　シンポジウム／「今こそ取り組め！ワーク･ライフ･バランス」／（東京都・東京経営者協会）日時：平成21年10月2日／会場：東京ウィメンズプラザ／参加者：162人",""
"目標２仕事と家庭生活との両立支援／（1）仕事と子育てとが両立できる職場づくりの推進／(1)都民や企業等への普及啓発活動の推進","","","50","男女平等参画を進める会","生活文化局","第１回総会（平成17年6月20日）／平成16年度取組実績及び17年度の取組予定内容について／第２回総会（平成18年2月24日）シンポジウムとして開催／「仕事を中断した女性が再び社会で活躍するために～女性の再チャレンジ支援を考える～」","第1回総会（平成18年6月26日）／平成17年度取組実績及び行動計画の改定について等／第２回総会（平成18年11月10日）／東京都男女平等参画審議会「中間のまとめ」を踏まえた各団体の取組み等","第1回総会（平成19年7月11日）／・「男女平等参画のための東京都行動計画」の報告及び19年度の男女平等参画審議会について／・ワーク・ライフ・バランスの定着に向けた意見交換","第1回総会(平成20年4月11日）／・男女平等参画審議会専門調査会報告について／・ワーク・ライフ・バランス実践プログラムの作成･普及について／第２回総会(平成21年1月19日）／・男女平等参画のための東京都行動計画取組状況について／・ワーク・ライフ・バランス実践プログラムについて／・東京都配偶者暴力対策基本計画について／","第1回総会(平成21年12月22日）／・男女平等参画のための東京都行動計画取組状況について",""
"目標２仕事と家庭生活との両立支援／（1）仕事と子育てとが両立できる職場づくりの推進／(1)都民や企業等への普及啓発活動の推進","","","51","次世代育成支援普及啓発","福祉保健局","＜東京都次世代育成支援シンポジウム＞／「仕事でも家庭でも輝きたい」を実行委員会正式で実施／日時：平成18年1月21日（土）13:00～16:50／場所：都民ホール／内容：基調講演／「21世紀の社会と個人～ワーク・ライフ・バランス」パネルディスカッション","＜東京都次世代育成支援フォーラム＞「仕事も家庭もどっちも大事」を実行委員会形式で実施／日時：平成19年3月16日（金）　13:30～17:00／場所：国立オリンピック記念青少年総合センターカルチャー棟小ホール／内容：（基調講演）／「人事戦略としてのワーク・ライフ・バランス」／（パネルディスカッション）／「ワーク・ライフ・バランスがひらく新たな可能性」","社会全体で子どもと子育て家庭を支援する気運を一層高めていくため、行政、企業、ＮＰＯ など幅広い分野の団体で構成する「子育て応援とうきょう会議」を設立／＜事業実績＞／○子育て応援とうきょう会議の開催（1回）及び実行委員会の開催（4回）／○イメージキャラクター（薬丸裕英氏）の起用／○フォーラム（「子育てってカッコいいかも？」）の開催／○マスコットキャラクター等の公募","「子育て応援とうきょう会議」の構成団体である、行政、企業、ＮＰＯ等が主体となって社会全体で子育てを支援する気運を高めるための事業を展開／＜事業実績＞／○子育て応援とうきょう会議の開催（2回）及び実行委員会の開催（6回）／○子育て応援サイト「とうきょう子育てスイッチ」の開設／○都民向けイベント「子育て応援とうきょう広場2008」の開催／○安全で安心な鉄道利用に関するベビーカーキャンペーンの実施　など","「子育て応援とうきょう会議」の構成団体である、行政、企業、ＮＰＯ等が主体となって社会全体で子育てを支援する気運を高めるための事業を展開／＜事業実績＞／○子育て応援とうきょう会議の開催（2回）及び実行委員会の開催（6回）／○都民向けイベント「子育て応援とうきょう広場２００９」の開催／○ＮＰＯ等のネットワーク形成事業、幼稚園・保育園職員合同研修の実施／○ベビーカーキャンペーン　第２弾／○協働会員の募集　など","51"
"目標２仕事と家庭生活との両立支援／（2）都市型保育サービスの充実／(1)区市町村への支援及び区市町村との連携","","●","52","通常保育事業","福祉保健局","保育サービスの利用児童数　176823人（平成18年3月1日現在）","保育サービスの利用児童数　178617人（平成19年3月1日現在）","保育サービスの利用児童数　181428人（平成20年3月1日現在）","保育サービスの利用児童数　185024人（平成21年3月1日現在）","保育サービスの利用児童数　190294人（平成22年3月1日現在）",""
"目標２仕事と家庭生活との両立支援／（2）都市型保育サービスの充実／(1)区市町村への支援及び区市町村との連携","","●","53","夜間保育事業","福祉保健局","2か所","2か所","3か所","3か所","２か所",""
"目標２仕事と家庭生活との両立支援／（2）都市型保育サービスの充実／(1)区市町村への支援及び区市町村との連携","★","●","54","延長保育事業","福祉保健局","都内全認可保育所実施率　71.4%（1167所）／（うち２時間以上延長は7.4%）（121所）／全認可保育所数　1639所（平成18年3月31日現在）","都内全認可保育所実施率　74.0%（1219所）／（うち２時間以上延長は13.9%）（170所）／全認可保育所数　1653所（平成19年3月31日現在）","都内全認可保育所実施率　76.6%（1282所）／（うち2時間以上延長は　16.4%）（210所）／全認可保育所数　1676所（平成20年3月31日現在）","都内全認可保育所実施率　79.2%（1338所）／（うち２時間以上延長は　17.7%）（237所）／全認可保育所数　1695所（平成21年3月31日現在）","都内全認可保育所実施率　80.5%（1373所）／（うち２時間以上延長は　19.2%）（264所）／全認可保育所数　1714所（平成22年3月31日現在）",""
"目標２仕事と家庭生活との両立支援／（2）都市型保育サービスの充実／(1)区市町村への支援及び区市町村との連携","★","●","55","休日保育事業","福祉保健局","14区市","21区市","23区市","23区市","23区市",""
"目標２仕事と家庭生活との両立支援／（2）都市型保育サービスの充実／(1)区市町村への支援及び区市町村との連携","★","●","56","病児・病後児保育事業","福祉保健局","37区市","41区市","43区市","44区市","44区市","19"
"目標２仕事と家庭生活との両立支援／（2）都市型保育サービスの充実／(1)区市町村への支援及び区市町村との連携","★","","再掲","東京都子育て支援基盤整備包括補助事業","福祉保健局","No.16参照","No.16参照","No.16参照","No.16参照","No.16参照",""
"目標２仕事と家庭生活との両立支援／（2）都市型保育サービスの充実／(1)区市町村への支援及び区市町村との連携","","●","57","学童クラブ運営費補助事業","福祉保健局","学童クラブ数　1394か所（平成17年度末）","学童クラブ数　1414か所（平成18年度末）","学童クラブ数　1453か所（平成19年度末）","学童クラブ数　1498箇所（平成20年度末）","学童クラブ数　1565か所（平成21年度末現在）","24"
"目標２仕事と家庭生活との両立支援／（2）都市型保育サービスの充実／(1)区市町村への支援及び区市町村との連携","","●","再掲","ファミリー・サポート・センター事業","福祉保健局","No.15参照","No.15参照","No.15参照","No.15参照","No.15参照",""
"目標２仕事と家庭生活との両立支援／（2）都市型保育サービスの充実／(1)区市町村への支援及び区市町村との連携","","","58","余裕教室等を活用した学童クラブ設置促進事業","福祉保健局","（余裕教室を活用した学童クラブの整備）１か所","（余裕教室を活用した学童クラブの整備）13か所","（余裕教室等を活用した学童クラブの整備）8か所","（余裕教室等を活用した学童クラブの整備）19か所","（余裕教室等を活用した学童クラブの整備）44か所",""
"目標３次代を担う子どもたちがたくましく成長し自立する基盤づくり／（1）子どもの生きる力を育成する教育環境の整備／ア　幼児教育の充実／(1)連携の推進と教育の充実","","","59","幼稚園・保育所・小学校の連携した就学前教育の推進","教育庁","○就学前教育から小学校教育への連続性を重視し、小１問題等の改善を図るため研究を進めるための「モデル地域事業」を実施する。／・1年次中間報告書の作成及びＱ＆Ａ活用編の作成／・都内公私立幼稚園・保育所・公立小学校への配布（4500部）／○「モデル地域事業」の委託を受けた２地域を対象にした「合同連絡会」を実施し、互いの取組の情報交換や課題解決に向けて協議を行う。／・接続カリキュラムの外部評価","モデル事業1年次中間報告書の作成・Ｑ＆Ａ活用編の作成都内公私立幼稚園・保育所・公立小学校への配布（4500部）","「モデル地域事業」の研究の取組を踏まえた指導資料「小１問題に対応するために(活用編・Q＆Ａ）」を作成／都内公立幼稚園・保育所、小学校等に配布し、普及・啓発を図る。","（１）就学前教育から小学校教育への円滑な接続を図るためのプログラムを開発するために、関係部局との連絡会を開催し、事業内容についての共通理解を図った。／（２）就学前教育開発委員会指導資料説明会を、幼稚園教諭、保育所保育士、小学校教諭を対象に実施し、相互に交流を図る機会を設定した","○就学前教育と小学校教育との円滑な接続のための保育所、幼稚園と小学校との連携の方策を明らかにした「全体計画」と、全体計画に示された取組内容の「実施計画」をまとめた就学前教育プログラムを開発して指導資料を作成し、配布するとともに説明会を実施した。／○文京区と北区をモデル地域として指定し、就学前教育プログラム及び就学前教育カリキュラムを活用した実践的な取組を進め、その成果についてリーフレットにまとめ配布した。／○就学前教育開発委員会において「就学前教育と小学校教育との円滑な接続を図るための指導の充実」を主題として研究開発を行い指導資料としてまとめ、配布するとともに説明会を実施した。",""
"目標３次代を担う子どもたちがたくましく成長し自立する基盤づくり／（1）子どもの生きる力を育成する教育環境の整備／ア　幼児教育の充実／(1)連携の推進と教育の充実","","","60","私立幼稚園に係る助成","生活文化局","○ 私立幼稚園経常費補助　446園／○ 私立幼稚園教育振興事業費補助　379園／○ 私立幼稚園預かり保育推進補助　447園／○ 私立幼稚園等園児保護者負担軽減事業費補助のべ1223143人／月","○ 私立幼稚園経常費補助　447園／○ 私立幼稚園教育振興事業費補助　376園／○ 私立幼稚園預かり保育推進補助　483園／○ 私立幼稚園等園児保護者負担軽減事業費補助のべ1211089人／月","○ 私立幼稚園経常費補助　455園／○ 私立幼稚園教育振興事業費補助　369園／○ 私立幼稚園預かり保育推進補助　513園／○ 私立幼稚園等園児保護者負担軽減事業費補助のべ1182501人／月","○ 私立幼稚園経常費補助　462園／○ 私立幼稚園教育振興事業費補助　359園／○ 私立幼稚園預かり保育推進補助　 526園／○ 私立幼稚園等園児保護者負担軽減事業費補助のべ1161031人／月","○ 私立幼稚園経常費補助　　475園／○ 私立幼稚園教育振興事業費補助　　　 341園／○ 私立幼稚園預かり保育推進補助　　　 545園／○ 私立幼稚園等園児保護者負担軽減事業費補助のべ1127586人／月",""
"目標３次代を担う子どもたちがたくましく成長し自立する基盤づくり／（1）子どもの生きる力を育成する教育環境の整備／イ　確かな学力の向上と信頼される学校づくり／(1)授業改善による生きる力の土台づくり","","","61","｢児童・生徒の学力向上を図るための調査」の実施とそれに基づく授業改善の実施","教育庁","（1）実施時期／平成18年1月に実施／（2）調査対象及び調査内容／○小学校第5学年（悉皆調査）　1331校　92701名…国語、社会、算数、理科、学習に関する意識調査／○中学校第2学年（悉皆調査）　645校　71911名…国語、社会、数が、理科、英語、学習に関する意識調査","（1）実施時期／平成15年度より中学校第2学年を対象に実施、平成16年度より小学校第5学年を対象に実施。／（2） 平成18年度調査対象（悉皆調査）／○小学校第5学年　1329校　89876名／○中学校第2学年　643校　72207名","（1）実施時期／平成20年1月に実施／（2） 調査対象及び調査内容／○小学校第5学年（悉皆調査）　1323校　89256名…問題解決能力等、学習に関する意識調査／○中学校第2学年（悉皆調査）　633校　67342名…問題解決能力等、学習に関する意識調査／○小学校第4学年（抽出調査）　359校　23960名…国語、算数の基礎的・基本的な事項、学習に関する意識調査／○中学校第1学年（抽出調査）　178校　20080名…国語、算数・数学の基礎的・基本的な事項、学習に関する意識調査","（1）実施時期／平成2１年1月に実施／（2） 調査対象及び調査内容／○小学校第5学年（悉皆調査）　　1323校　　89167名…問題解決能力等、学習に関する意識調査／○中学校第2学年（悉皆調査）　　633校　　70681名…問題解決能力等、学習に関する意識調査／○小学校第4学年（抽出調査）　　482校　　34629名…国語、算数の基礎的・基本的な事項、学習に関する意識調査／○中学校第1学年（抽出調査）　　256校　　27625名…国語、算数・数学の基礎的・基本的な事項、学習に関する意識調査","○実施時期／平成22年1月に実施／○ 調査対象及び調査内容／・小学校第4学年（抽出調査）　　558校　　37597名…国語、算数の基礎的・基本的な事項、学習に関する意識調査／・中学校第1学年（抽出調査）　　288校　　32788名…国語、算数・数学の基礎的・基本的な事項、学習に関する意識調査",""
"目標３次代を担う子どもたちがたくましく成長し自立する基盤づくり／（1）子どもの生きる力を育成する教育環境の整備／(2)多様なニーズへの対応","","","62","都立学校の経営計画や教育活動の都民への公開","教育庁","学校経営計画は、平成15年度から全都立学校で作成、ホーム ページや学校要覧により公開を行っている。また、年間授業計画は、平成14年度から全都立学校で提示・公開を行っている。","学校経営計画は、平成15年度から全都立学校で作成しており、ホームページや学校要覧による公開を行っている。また、年間授業計画は、平成14年度から全都立学校で提示・公開を行っている。","学校経営計画は、平成15年度から全都立学校で作成しており、ホームページや学校要覧による公開を行っている。また、年間授業計画は、平成14年度から全都立学校で提示・公開を行っている。","学校経営計画は、平成15年度から全都立学校で作成しており、ホームページや学校要覧による公開を行っている。また、年間授業計画は、平成14年度から全都立学校で提示・公開を行っている。また、平成19年度から必履修教科・科目の年間授業計画を各校のホームページで公開している。","学校経営計画は、平成15年度から全都立学校で作成しており、ホームページや学校要覧による公開を行っている。また、年間授業計画は、平成14年度から全都立学校で提示・公開を行っている。また、平成19年度から必履修教科・科目の年間授業計画を各校のホームページで公開している。",""
"目標３次代を担う子どもたちがたくましく成長し自立する基盤づくり／（1）子どもの生きる力を育成する教育環境の整備／(2)多様なニーズへの対応","","","63","都立高校における運営連絡協議会の開催と生徒による授業評価","教育庁","○平成13年度から、全都立学校で学校運営連絡協議会により学校評価を行っている。／○平成16年度から、全都立高等学校で生徒による授業評価を実施している。","○平成13年度から、全都立学校で学校運営連絡協議会により学校評価を行っている。／○平成16年度から、全都立高等学校で生徒による授業評価を実施している。","○平成13年度から、全都立学校で学校運営連絡協議会により学校評価を行っている。／○平成16年度から、全都立高等学校で生徒による授業評価を実施している。","○平成13年度から、全都立学校で学校運営連絡協議会により学校評価を行っている。／○平成16年度から、全都立高等学校で生徒による授業評価を実施している。","○平成13年度から、全都立学校で学校運営連絡協議会により学校評価を行っている。／○平成16年度から、全都立高等学校で生徒による授業評価を実施している。",""
"目標３次代を担う子どもたちがたくましく成長し自立する基盤づくり／（1）子どもの生きる力を育成する教育環境の整備／(2)多様なニーズへの対応","","","64","「都立高校改革推進計画」に定める新たなタイプの高校等の設置の着実な推進","教育庁","平成17年4月設置／○中高一貫６年制学校　1校／○チャレンジスクール　1校／○総合学科学校　1校／○新たなタイプの昼夜間定時制高校　1校／○単位制高校　3校／○単位制高校（昼夜間定時制）　1校","平成18年4月設置／○中高一貫6年制学校　3校／○総合学科学校　1校／○新たなタイプの昼夜間定時制高校　1校／○単位制高校　1校／○特色化を進める工業高校　1校","平成19年4月設置／○総合学科学校　2校／○チャレンジスクール　1校／○新たなタイプの昼夜間定時制高校　2校／○単位制高校　1校／○産業高校　2校","平成20年4月開校／○中高一貫6年制学校　2校／○総合学科高校　1校","平成21年4月設置／○進学型商業高校　１校",""
"目標３次代を担う子どもたちがたくましく成長し自立する基盤づくり／（1）子どもの生きる力を育成する教育環境の整備／(2)多様なニーズへの対応","","","65","私立学校助成","生活文化局","○私立高等学校経常費補助　238校／○私立中学校経常費補助　177校／○私立小学校経常費補助　52校／○私立幼稚園経常費補助　446園／○私立盲・ろう・養護学校等経常費補助　83校／○私立通信制高等学校経常費補助　7校／○私立高等学校等特別奨学金補助　27648人　等","○私立高等学校経常費補助　238校／○私立中学校経常費補助　178校／○私立小学校経常費補助　52校／○私立幼稚園経常費補助　447園／○私立盲・ろう・養護学校等経常費補助　89校／○私立通信制高等学校経常費補助　8校／○私立高等学校等特別奨学金補助　27108人　等","○私立高等学校経常費補助　238校／○私立中学校経常費補助　180校／○私立小学校経常費補助　53校／○私立幼稚園経常費補助　454園／○私立特別支援学校等経常費補助　102校／○私立通信制高等学校経常費補助　8校／○私立高等学校等特別奨学金補助　29035人　等","○私立高等学校経常費補助　237校／○私立中学校経常費補助　　 181校／○私立小学校経常費補助　　　 53校／○私立幼稚園経常費補助　　 462園／○私立特別支援学校等経常費補助　　101校／○私立通信制高等学校経常費補助　　8校／○私立高等学校等特別奨学金補助　29477人　等","○私立高等学校経常費補助　237校／○私立中学校経常費補助　181校／○私立小学校経常費補助　53校／○私立幼稚園経常費補助　475園／○私立特別支援学校等経常費補助　112校／○私立通信制高等学校経常費補助　9校／○私立高等学校等特別奨学金補助　33275人　等",""
"目標３次代を担う子どもたちがたくましく成長し自立する基盤づくり／（1）子どもの生きる力を育成する教育環境の整備／ウ　豊かな心と健やかな体の育成／(1)子どもたちに様々な体験を","","","66","自然と森林を守る「大自然塾」","建設局","○水元公園「大自然塾」　17講座　延べ　470名参加／○野山北・六道山公園「大自然塾」　10講座　延べ　1130名参加","○水元公園「大自然塾」　13講座　延べ　471名参加／○野山北・六道山公園「大自然塾」　7講座　延べ　884名参加","○水元公園「大自然塾」　15講座　延べ　305名参加／○野山北・六道山公園「大自然塾」　8講座　 延べ　499名参加","○水元公園「大自然塾」　　　　　　 15講座　延べ　　485名参加／○野山北・六道山公園「大自然塾」　　8講座　 延べ　　577名参加","○水元公園「大自然塾」　17講座　延べ　499名参加／○野山北・六道山公園「大自然塾」　7講座　 延べ　706名参加",""
"目標３次代を担う子どもたちがたくましく成長し自立する基盤づくり／（1）子どもの生きる力を育成する教育環境の整備／ウ　豊かな心と健やかな体の育成／(1)子どもたちに様々な体験を","","","67","道徳授業地区公開講座の実施","教育庁","1977校（全小・中学校）で実施","1994校（全小・中学校）","1982校（全小・中学校）","1973校（全小・中学校）実施","1966校（都内全ての公立小・中学校及び中等教育学校に、特別支援学校含む）実施",""
"目標３次代を担う子どもたちがたくましく成長し自立する基盤づくり／（1）子どもの生きる力を育成する教育環境の整備／ウ　豊かな心と健やかな体の育成／(1)子どもたちに様々な体験を","","","68","未来を拓く体験発表会","教育庁","平成17年11月12日実施。　参加者184名／【アトラクション】伝統文化活動「和太鼓」「氷川獅子」／【奉仕体験】「地域活動と山形県の方との稲作交流」「プルトップ回収と交流活動」／【勤労生産体験】「連続5日間の職場体験」「ゴミ・資源ステーション活動」／【読書活動】「読み聞かせ活動」／【講演】「豊かな体験が心をはぐくむ」／※","平成18年11月11日実施。参加者327名／【アトラクション】郷土芸能「葛西ばやし」葛飾区立半田小学校／「サイエンスライブショー」都立科学技術高等学校／【自然体験活動】「ホタルの保護活動」昭島市立多摩辺中学校／「兄島での自然体験活動を台東区立浅草中学校のアナウンス部生徒が番組に編集して発表」／都立小笠原高等学校・台東区立浅草中学校／【奉仕活動】「夏季休業中のボランティア活動」都立武蔵高等学校／【読書活動】「点字読書活動等」都立八王子盲学校／【環境保全活動】「運河清掃活動」大田区立中富小学校／【講演】「楽しくやろうボランティア」としまＮＰＯ推進協議会会長　柳田　好史　氏","平成19年11月10日実施。　参加者３７２名／【日本の伝統・文化を伝える活動】「日本の伝統・文化のすばらしさを伝える筝の演奏」武蔵村山市立第四小学校／【総合的体験活動】「ボランティア活動を充実、発展させるための取組」荒川区立原中学校／【環境保全活動】「三宅島緑化プロジェクトの展開」都立園芸高等学校／【読書活動】「武蔵村山市立雷塚小学校との交流を通した読書活動」都立村山養護学校／【アトラクション】「学校と地域をつなぐ吹奏楽の演奏」中野区立武蔵台小学校／【奉仕活動】「夏季休業中のボランティア活動」都立武蔵高等学校／【講演】「子供たちへのメッセージ」東京未来大学学長　千葉大学名誉教授　多湖　輝　氏／＊司会・運営補助　都立上水高等学校、武蔵村山市立第二中学校司会・運営補助　都立上水高等学校、武蔵村山市立第二中学校","平成20年11月8日実施。参加者360名／【発表校】／東京都立蒲田高等学校 「宿泊体験研修（青森県）」における豊かな体験活動／小平市立小平第五中学校 心に残る本との出会いを目指して豊島区立駒込小学校 日本の伝統・文化　－藍を探る－／東京都立田園調布特別支援学校 清掃活動や高齢者施設への訪問などによる地域交流／三鷹市立南浦小学校 学校と地域をつなぐ鼓笛隊の演奏北区立神谷学校 豊かな心を育てる農業体験活動／千代田区立九段中等教育学校 地域へ発信する「ＣＯ２削減」プロジェクト／東京都立広尾高等学校 Say so！活動　－安全・防災・救護・清掃－／【講演】　子供たちへのメッセージ／講　師　　心の東京革命推進協議会会長、(財)日本バレーボール協会名誉会長　　　 松平康隆　氏","平成２１年１０月１７日実施。参加者２５０名／【発表校】／港区立港陽小学校（環境保全活動）「海辺の環境学習」／立川市立若葉小学校（奉仕活動）「地域を結ぶゴミ出し奉仕活動～できることをコツコツと～」／昭島市立拝島第一小学校（伝統文化）「地域ではぐくむ伝統・文化～拝島の音、拝島の舞～」／杉並区立高円寺中学校（伝統文化）「高円寺の心と伝統を学ぶ阿波踊り」／東大和市立第三中学校（自然体験活動）「姉妹都市山都町（福島県）での農業・農家宿泊体験」／東京都立足立東高等学校（奉仕活動）「たくさんの○を広げよう～ボランティア部の実践～」／東京都立多摩工業高等学校（環境保全活動）「エコアクション２１に取り組んで」／東京都立中央ろう学校（手話による狂言）「じゃぱん～手話狂言～梟山伏と日本の歌」／・運営等による参加校　東京都立上水高等学校（司会）、東京都立工芸高等学校（ポスター製作）／【講演】子供たちへのメッセージ　ジャイアンツアカデミーヘッドコーチ　倉俣　徹　氏",""
"目標３次代を担う子どもたちがたくましく成長し自立する基盤づくり／（1）子どもの生きる力を育成する教育環境の整備／ウ　豊かな心と健やかな体の育成／(1)子どもたちに様々な体験を","","","69","親子ふれあい教室","教育庁","夏：155組申込み／268名参加／秋：152組申込み／280名参加","「親子ふれあい将棋教室」／夏：124組申込み／243名参加／秋：135組申込み／267名参加","「親子ふれあい将棋教室」／夏（平成19年７月21日開催）：152組申込み／257名参加／秋（平成19年11月３日開催）：153組申込み／278名参加","「親子ふれあい将棋教室」／夏（平成20年７月19日開催）：258組申込み／280名参加／秋（平成20年11月２日開催）：259組申込み／294名参加","夏（平成21年７月18日開催） ：312組申込み／265名参加／秋（平成21年10月31日開催）：409組申込み／234名参加",""
"目標３次代を担う子どもたちがたくましく成長し自立する基盤づくり／（1）子どもの生きる力を育成する教育環境の整備／ウ　豊かな心と健やかな体の育成／(1)子どもたちに様々な体験を","","","70","ボランティアの日の設定と取組の充実","教育庁","平成17年11月1日（火曜日）から8日（火曜日）までの期間に、全ての都立高校が「ボランティアの日」を設置し、ボランティア活動等を推進した。","平成18年11月1日（水曜日）から8日（水曜日）までの期間に、すべての都立高校が「ボランティアの日」を設置し、ボランティア活動等を推進した。","平成19年11月1日（土曜日）から8日（土曜日）までの期間に、すべての都立高校が「ボランティアの日」を設置し、ボランティア活動等を推進した。","平成20年11月1日（木曜日）から8日（木曜日）までの期間に、すべての都立高校が「ボランティアの日」を設置し、ボランティア活動等を推進した。","平成21年11月1日（日曜日）から8日（日曜日）までの間に、すべての都立高校が「ボランティアの日」を設定し、ボランティア活動等を推進した。",""
"目標３次代を担う子どもたちがたくましく成長し自立する基盤づくり／（1）子どもの生きる力を育成する教育環境の整備／ウ　豊かな心と健やかな体の育成／(1)子どもたちに様々な体験を","","","71","「日本の伝統・文化理解教育推進事業」の実施","教育庁","日本の伝統・文化理解教育推進会議（平成１７・１８年度）／都立学校の学校設定教科・科目「日本の伝統・文化」のカリキュラム開発／日本の伝統・文化理解教育推進事業日本の伝統・文化理解教育推進事業（平成１７・１８年度）／都内公立学校６０校を指定（うち小・中学校は計４５校）","日本の伝統・文化理解教育推進会議（平成１７・１８年度）／都立学校の学校設定教科・科目「日本の伝統・文化」のカリキュラム」（注）開発／日本の伝統・文化理解教育推進事業日本の伝統・文化理解教育推進事業（平成１７・１８年度）／都内公立学校６０校を指定（うち小・中学校は計４５校）","都立学校の学校設定教科・科目「日本の伝統・文化」の開設校の拡大。（２６校２８課程）／外部講師導入への支援／日本の伝統・文化理解教育推進モデル地域事業（平成19～21年度）／６モデル地域（区市）","都立学校の設定教科・科目「日本の伝統・文化」の開設校の拡大。（４０校４３課程）／外部講師導入への支援／日本の伝統・文化理解教育推進モデル地域事業（平成19～21年度）／6モデル地域（区市）／小・中学校向けのカリキュラムの作成及び配布","○都立学校の設定教科・科目「日本の伝統・文化」の開設校の拡大。（４６校４８課程）／○外部講師導入への支援／○日本の伝統・文化理解教育推進モデル地域事業（平成19～21年度）　６モデル地域（区市）／○各区市町村における小中学校の実践事例を収集し、小中学校の全教員を対象に事例集を配布する／○今年度で終了する推進モデル地域事業の研究成果を実践発表会等を通じて全都へ普及啓発する。／○東京オリンピック開催に向け、自国の伝統・文化の理解をもとに、他国の人々との文化交流を目指す新たな研究指定校事業の推進。",""
