"施設情報／No.","施設情報／事業所名","施設情報／法人名","施設情報／区市町村","施設情報／電話","施設情報／担当者名","施設情報／ホームページ","施設情報／Email","販売・受注可能な作業／製品・サービスの内容／内容","販売・受注可能な作業／分類","販売・受注可能な作業／提供可能総量／最小","販売・受注可能な作業／提供可能総量／最大","販売・受注可能な作業／納期","販売・受注可能な作業／販売・契約参考単価","販売・受注可能な作業／納品方法","受注実績／東京都","受注実績／官公庁(東京都以外)","受注実績／その他(民間企業等)","受注実績／（活用例等）"
"85","ひのき工房","社会福祉法人蕗の会","八王子市","042-667-2158","依田","https://www.hinokikobo.com/","hinoki2158@yahoo.co.jp","木工品の製作","生活用品","40","58","応相談","応相談","自力での納品可","有","有","有","赤ちゃんのおもちゃ、贈呈品、お土産などとして"
"86","めだか販売店","株式会社あやめ会","八王子市","042-649-4410","林","https://www.ayamekai.co.jp/","ayamekai@circus.ocn.ne.jp","革細工","生活用品","5個","20個","1ヵ月","500円～10000円","自力での納品可","無","無","有","各種イベントノベルティや入社・入学・卒業・退職祝いなどに。レザーピアスは他では無い人気商品。"
"87","めだか販売店","株式会社あやめ会","八王子市","042-649-4410","林","https://www.ayamekai.co.jp/","ayamekai@circus.ocn.ne.jp","編みぐるみ","生活用品","3個","10個","1ヵ月","500円～10000円","自力での納品可","無","無","有","商品によっては製作に時間が掛かる為、納期に少し余裕を持って頂けると助かります。"
"88","グループＧ","社会福祉法人もくば会","八王子市","042-650-5515","中川","https://mokubakai.or.jp","contact@group-g.gr.jp","手芸製品（編み物・ビーズ・刺子）","生活用品","","","製品及び数量による","製品による","自力での納品可","無","無","無",""
"89","Hachisu","株式会社Hachisu","立川市","042-507-4470","田口","http://hachisu.1205.co.jp","hachisu.1205@gmail.com","布小物の作成","生活用品","5個","50個","7日間","未定","自力での納品可","無","無","有","小豆カイロ、。アイピロー。ポーチやろうそくなどを手作業で制作しております。刺繍や手作りボタンなどもありプレゼントにもお使いいただけます。"
"90","未来工房にじ","社会福祉法人にじの会","三鷹市","0422-39-2411","佐藤","http://nijinokai.org/","nijimitaka@jcom.zaq.ne.jp","さをり織りランチョンマットコースター（各１枚）","生活用品","10セット","１００セット","2か月","1500円／１セット","自力での納品可","有","有","有","手織りの布（さをり織り）を使用しています。行事の記念品やキャンペーンの粗品にもお使いいただけます。"
"91","たましろの郷","社会福祉法人東京聴覚障害者福祉事業協会","青梅市","0428-20-0722","山口","https://www.tamasiro.net/access/","tamasiro@bg.wakwak.com","ハートポプリ","生活用品","1","30","10日","100","発注元による回収希望","無","無","有","バッグに入れて香りを楽しんだり、キーホルダーのように身に着けても可愛いです。"
"92","たましろの郷","社会福祉法人東京聴覚障害者福祉事業協会","青梅市","0428-20-0722","山口","https://www.tamasiro.net/access/","tamasiro@bg.wakwak.com","マグネット","生活用品","1","30","10日","100","発注元による回収希望","無","無","無","施設のキャラクターをマグネットにしました。使いやすいサイズで、好評です。"
"93","たましろの郷","社会福祉法人東京聴覚障害者福祉事業協会","青梅市","0428-20-0722","山口","https://www.tamasiro.net/access/","tamasiro@bg.wakwak.com","ヘアゴム","生活用品","1","30","30日","300","発注元による回収希望","無","無","無","大中小と様々なサイズがあります。１つ１つ丁寧に編み込んだオリジナルデザインです。"
"94","童里夢工房","社会福祉法人白梅会","府中市","042-334-4083","","http://shiraumekai.com","s-dream@wg8.so-net.ne.jp","オリジナル藍染手ぬぐい（名入れ、社名入れ等）","生活用品","10","50","2週間","1500円/毎","自力での納品可","無","無","有","イベント等のノベルティとして"
"95","童里夢工房","社会福祉法人白梅会","府中市","042-334-4083","","http://shiraumekai.com","s-dream@wg8.so-net.ne.jp","藍染、革製品などの、各種手作り雑貨","生活用品","10","応相談","応相談","500円～/個","自力での納品可","無","有","有","イベント等のノベルティとして"
"96","あきしま福祉作業所","社会福祉法人昭島市社会福祉協議会","昭島市","042-541-0742","上之園あゆみ","http://www.acsw.jp/","fuku-syocyou@acsw.or.jp","縫製作業","生活用品","受注する物により異なります","受注する物により異なります","受注する物により異なります","受注する物により異なります","発注元による回収希望","無","無","有","クッションカバー、手提げ袋等"
"97","ぷーやんあしながくらぶ2号館","特定非営利活動法人ぷーやんあしなが福祉会","昭島市","042-545-6640","加藤治男","","pooyan2gou1@gmail.com","お裁縫作品","生活用品","1作品","20作品/日","２～３日","800円～","自力での納品可","有","無","有","さまざまなお裁縫作品に加え洋服や着物のリフォーム・着物の生地などからの完全オーダーメイドの洋服づくりも対応"
"98","障害者就労プラザあいあい","社会福祉法人あすはの会","昭島市","042-546-6009","","","s-puraza-aiai@asuha.or.jp","藍染め商品","生活用品","1枚","60枚","10日間～60日間","1500円～","発注元による回収希望","無","有","有","藍染めのハンカチ、スカーフを中心にピアスなどのアクセサリー等の小物商品あります。商品によっては納期に変更あります。"
"99","かがやき","社会福祉法人まちだ育成会","町田市","042-794-4888","","http://machida-ikuseikai.net/","kagayaki@sunny.ocn.ne.jp","布巾（簡単な刺繍入り）作り","生活用品","10","応相談","応相談","350~400","自力での納品可","無","無","有","他施設よりお年賀として製作依頼や、コラボ商品の製作実績あり"
"100","しんわ町田事業所","一般社団法人福祉心話会","町田市","042-709-6066","瀬上信","http://www.fukushi-shinwakai.jp/index.html","machida@fukushi-shinwakai.or.jp","コットンパールリング","生活用品","1","20","2週間","550円/個","自力での納品可","有","無","無","ゴールドとシルバーの２色展開です。指のサイズに合わせて調節することができます。"
"101","しんわ町田事業所","一般社団法人福祉心話会","町田市","042-709-6066","瀬上信","http://www.fukushi-shinwakai.jp/index.html","machida@fukushi-shinwakai.or.jp","ニューティアドロップブレスレット","生活用品","1","10","2週間","700円/個","自力での納品可","有","無","無","ゴールドとシルバーの２色展開で、着脱が簡単です。エレガントにもカジュアルにもどんな装いにもお使いいただきやすいブレスレットです。"
"102","なないろ","社会福祉法人ウィズ町田","町田市","042-794-3252","","http://www.with-machida.or.jp/cn11/nanairo","y-abe@with-machida.or.jp","刺しゅうサービス","生活用品","50","200","応相談","200円～","発注元による回収希望","","有","有","ユニフォームエプロンに団体名を刺しゅう"
"103","なないろ","社会福祉法人ウィズ町田","町田市","042-794-3252","","http://www.with-machida.or.jp/cn11/nanairo","y-abe@with-machida.or.jp","刺しゅうふきん","生活用品","50","200","応相談","300円～","発注元による回収希望","","","有","ふきんに花柄や季節にちなんだ柄、団体名等を刺しゅうし、プレゼント等に活用していただいた"
"104","障害者支援施設町田荘","社会福祉法人東京援護協会","町田市","042-791-0905","趙","http://www.tokyoengokyokai.or.jp/","machidasou@nifty.com","ポット洗浄剤","生活用品","10個","50個","5日間","1個/100円","発注元による回収希望","無","無","無","納期については、ご相談ください。"
"105","障害者支援施設町田荘","社会福祉法人東京援護協会","町田市","042-791-0905","趙","http://www.tokyoengokyokai.or.jp/","machidasou@nifty.com","レジンマグネット","生活用品","10個","700個","3ヵ月","100円～","自力での納品可","無","無","無","デザインや納期については、ご相談ください。"
"106","湯舟共働学舎","社会福祉法人共働学舎","町田市","042-737-7676","高井","http://kyoudougakusya.esy.es","yufune-gakusya@jazz.odn.ne.jp","トイレットペーパー","生活用品","","50000個","翌日","60円/個（芯なし）30円/個（芯あり）","自力での納品可","有","有","有",""
"107","irutoco.","合同会社irutoco.","小金井市","042-316-1256","永末","http://irutoco.com","info@irutoco.com","革製品・アクセサリー製作補助","生活用品","応相談","","応相談","応相談","発注元による回収希望","無","無","無",""
"108","小金井生活実習所","雲柱社","小金井市","042-381-2423","","https://fukushi.unchusha.com/kagawa/seikatsu/index.html","sj2@group-kagawa.com","ポチ袋","生活用品","3枚1セット","100セット","30日間","100円/セット","発注元による回収希望","無","無","無","お気持ちを渡すときに最適です。無地で3色1セットにしています。"
"109","スペース楽・2","特定非営利活動法人らく福祉会","小金井市","042-388-7887","","https://rakufukushikai8.wixsite.com/koganeishi","1997raku.2@jcom.zaq.ne.jp","丸形鍋敷き","生活用品","1枚","200枚","在庫品の為即納品可","500円/枚","発注元による回収希望","無","無","無","パッチワーク風の鍋敷き、柄はすべて異なります。花瓶敷や飾りにも、プレゼントにお使いいただけます。"
"110","スペース楽・2","特定非営利活動法人らく福祉会","小金井市","042-388-7887","","https://rakufukushikai8.wixsite.com/koganeishi","1997raku.2@jcom.zaq.ne.jp","ミニバック","生活用品","1枚","３００枚","在庫品の為即納品可","200円/枚","発注元による回収希望","無","無","無","10cm角のもち手つきバックです。小物、壁にかけてカードや葉書を入れたり、小さなプレゼントの入れ物としてもお使いいただけます。"
"111","サングリーン","社会福祉法人ときわ会","小平市","042-345-1585","高見澤","http://www.asayake.or.jp/","asayake3@asayake.or.jp","米ぬか石鹸の製造","生活用品","80","1120","2週間","250","自力での納品可","無","無","有","自然にやさしく、肌にも優しい石鹸です。お手軽、時短が求められる世の中ですが、大切な人の肌を守ってみませんか？"
"112","サングリーン","社会福祉法人ときわ会","小平市","042-345-1585","高見澤","http://www.asayake.or.jp/","asayake3@asayake.or.jp","ふきんの製造","生活用品","50","800","2週間","230","自力での納品可","無","無","有","お世話になったあの人へのご挨拶などに、ぜひお利用ください。"
"113","サングリーン","社会福祉法人ときわ会","小平市","042-345-1585","高見澤","http://www.asayake.or.jp/","asayake3@asayake.or.jp","スポンジの製造","生活用品","150","750","1週間","180","自力での納品可","無","無","有","丈夫で長持ち。まずは食器洗い、お風呂場、玄関掃除にも、使えばわかる。"
"114","小平市立あおぞら福祉センター","社会福祉法人小平市社会福祉協議会","小平市","042-326-4980","","http://www.syakaifukushi.kodaira.tokyo.jp/","aozora-fukushicenter@poppy.ocn.ne.jp","ちぎり絵カレンダー","生活用品","1","20","1ヶ月（10月以降）","300","発注元による回収希望","無","無","無",""
"115","小平市立あおぞら福祉センター","社会福祉法人小平市社会福祉協議会","小平市","042-326-4980","","http://www.syakaifukushi.kodaira.tokyo.jp/","aozora-fukushicenter@poppy.ocn.ne.jp","牛乳パックリサイクルハガキ","生活用品","1","20","2ヶ月","100","発注元による回収希望","無","無","無",""
"116","くつろぎ","社会福祉法人日野市民たんぽぽの会","日野市","042-587-4868","青柳","http://www.hinoshi-tanpopo.jp/","kuturogi@hinoshi-tanpopo.jp","アメリカンたわし","生活用品","1","50","1か月","大210円/1個小120円/1個","自力での納品可","無","無","有",""
"117","さつき共同作業所","社会福祉法人はらからの家福祉会","国分寺市","042-326-3775","","http://harakaranoie.com","harakara.satsuki@gmail.com","ハンドメイド製品（陶芸、革細工）","生活用品","1","100","30日","100~1000","自力での納品可","有","有","有","陶芸：食器やディスプレイ用です。個性的な商品も多数ご用意しています。革細工：コースター、しおり、コードホルダー"
"118","SmileArche","ＮＰＯ法人高齢者在宅介護支援センター","清瀬市","042-497-1735","仙石","http://www.smile-arche.com/","smile_arche@yahoo.co.jp","竹細工商品製作","生活用品","3","15","2ヶ月","未定","自力での納品可","無","無","無","自然素材の竹を使用し、生活の中で役にたったり、ホっとしたりできる様な日用品（間接照明・アクセサリー・高齢者とお子様用の機能訓練を考慮した、組み立てキット商品）等を製作し、店舗、ネット、他施設イベント時に販売を行なっています。"
"119","SmileArche","ＮＰＯ法人高齢者在宅介護支援センター","清瀬市","042-497-1735","仙石","http://www.smile-arche.com/","smile_arche@yahoo.co.jp","ハンドメイドアクセサリー手芸用品","生活用品","5","20","2週間","未定","自力での納品可","無","無","無","地域の方達からご提供（使用しなくなった）いただいた布・小物雑貨等を再利用し、洋服、バッグ、アクセサリー、玩具等にリメイクし、当事業所以外の販売法として、各施設（ＪＡみらい・高齢者施設・就労支援センターなど）への設置も行なわせていただいています。"
"120","ぶどうの郷","特定非営利活動法人武蔵野の里","東久留米市","042-471-6388","","http://musashinonosato.com/","budo@aroma.ocn.ne.jp","布ぞうり製造","生活用品","5","10","30日間","1800円/足","自力での納品可","無","無","無",""
"121","あかつき授産所","社会福祉法人あかつきコロニー","武蔵村山市","042-560-7840","永井","http://akatuki.or.jp","nagai@akatuki.or.jp","革製品","生活用品","1個","100個","最大月産","300円～","自力での納品可","無","無","有","現在、ＫＵＲＵＭＩＲＵでも販売しております。キーホルダーや小ロットの鉛筆立てなど数種類の製品がありますのでお気軽にお問い合わせください。"
"122","ぐりーんぴーす工房","社会福祉法人時の会","多摩市","042-389-6339","山本和泉","http;//tokinokai.or.jp","greenpeas_kobo@tokinokia.or.jp","和紙製品(はがき・レターセット・ポチ袋）","生活用品","10","100","7日間","はがき30円レターセット240円～ポチ袋150円","自力での納品可","","","有","イベント販売"
"123","ぐりーんぴーす工房","社会福祉法人時の会","多摩市","042-389-6339","山本和泉","http;//tokinokai.or.jp","greenpeas_kobo@tokinokia.or.jp","水引アクセサリー","生活用品","10","50","21日間","ストラップ300円ブローチ・イヤリング等800円～","自力での納品可","","","有","イベント販売"
"124","若人塾","ＮＰＯ法人わこうど","多摩市","042-376-8431","桶田","http://www1.odn.ne.jp/wakoudo/","wakon@hkg.odn.ne.jp","アクリルモップの製作","生活用品","1本","応相談","","500円/1本","自力での納品可","","","","１本からでも注文可能です。納品場所・納期についてはご相談下さい。"
"125","若人塾","ＮＰＯ法人わこうど","多摩市","042-376-8434","桶田","http://www4.odn.ne.jp/wakoudo/","wakon@hkg.odn.ne.jp","皮キーホルダーの製作","生活用品","応相談","応相談","有","350円/１個","","","","有","イベント等の記念品などを名入れでお作りします。しおりやストラップ等も出来ますので、是非ご相談下さい。"
"126","こすもす福祉作業所","社会福祉法人あきる野市社会福祉協議会","あきる野市","042-558-2566","大原","http://www.akiruno-shakyo.or.jp","cosmos@akiruno-shakyo.or.jp","染物製品の製作","生活用品","在庫状況による","在庫状況による","在庫状況による","300円～","発注元による回収希望","無","有","有","ハンドタオル、フェイスタオル、ショール等を１つ１つ丁寧に染め上げています。日用品からプレゼントまで幅広く活用していただいております。"
"127","コミュニティルーム友訪","特定非営利活動法人友訪","西東京市","042-438-0091","渡辺","http://www.yuuhou.or.jp","c_room_yuuhou@yahoo.co.jp","デザイン封筒(１０枚セット)","生活用品","1","20","２週間","１００円/１セット","自力での納品可","無","有","有","イベント参加者への記念品配布など"
"128","コミュニティルーム友訪","特定非営利活動法人友訪","西東京市","042-438-0091","渡辺","http://www.yuuhou.or.jp","c_room_yuuhou@yahoo.co.jp","布ぞうりストラップ","生活用品","1","20","２週間","１５０円/１個","自力での納品可","無","有","有","イベント参加者への記念品配布など"
"129","就労日の出舎","社会福祉法人泉会","日の出町","042-597-1451","加藤","http://izumikai.jp/","hanbai@hinodesha.org","木製マグネット","生活用品","100","50000","10000個／月","150円","自力での納品可","有","有","有","木製ノベルティグッズとして、様々なイベント等で使用されています。"
"130","就労日の出舎","社会福祉法人泉会","日の出町","042-597-1451","加藤","http://izumikai.jp/","hanbai@hinodesha.org","木製コースター","生活用品","100","50000","10000個／月","130円","自力での納品可","有","有","有","木製ノベルティグッズとして、様々なイベント等で使用されています。"
"131","就労日の出舎","社会福祉法人泉会","日の出町","042-597-1451","加藤","http://izumikai.jp/","hanbai@hinodesha.org","木製感謝状・表彰状","生活用品","5","500","100個／月","4000円","自力での納品可","有","有","有","永年勤続表彰等、社員の表彰として使用して頂いています。また、協力会社への表彰等にもご活用いただいております。"
