"共同受注窓口情報／No.","共同受注窓口情報／区市町村","共同受注窓口情報／共同受注窓口名","共同受注窓口情報／電話","共同受注窓口情報／担当者名","共同受注窓口情報／ホームページ","共同受注窓口情報／Email","今後販売・受注可能な作業／製品・サービスの内容／内容","今後販売・受注可能な作業／分類","今後販売・受注可能な作業／提供可能総量／最小","今後販売・受注可能な作業／提供可能総量／最大","今後販売・受注可能な作業／納期","今後販売・受注可能な作業／販売・契約参考単価","今後販売・受注可能な作業／納品方法","受注実績／東京都","受注実績／官公庁(東京都以外)","受注実績／その他(民間企業等)","受注実績／（活用例等）"
"103","三鷹市","三鷹市障がい者施設等自主製品開発・販売ネットワーク事業（ぴゅあネット事業）","0422-44-2255","","http://www.hanano-kai.jp/hoshi-cafe/","hoshi-cafe@hanano-kai.jp","お弁当・パン","食品","応相談","応相談","応相談","お弁当550円パン150円～","自力での納品可","","","","集まりの際の食事として"
"104","多摩市","多摩市障害福祉ネットワークたまげんき","042-376-5044","","","egao@keikogakuen.or.jp","ポスティング","その他","30000","50000","20日","5.3円／枚","自力での納品可","無","有","有","ごみカレンダーの多摩市全戸配布＊配布場所と配付事業所のスケジュール調整に日数を要する。（突発で短期は不可）"
"105","多摩市","多摩市障害福祉ネットワークたまげんき","042-376-5044","","","egao@keikogakuen.or.jp","袋詰め、封入等","封入・封緘","30000","60000","5日","3円","発注元による回収希望","有","無","有","月間福祉、ノベリティ等"
"106","多摩市","多摩市障害福祉ネットワークたまげんき","042-376-5044","","","egao@keikogakuen.or.jp","シール・ラベル貼り","封入・封緘","10000","25000","10日","2.5円","発注元による回収希望","無","無","有","缶ジュースのキャンペーンシール貼り"
"107","多摩市","多摩市障害福祉ネットワークたまげんき","042-376-5044","","","egao@keikogakuen.or.jp","焼き菓子・パン","食品","5000","10000","15日","100円～／個","自力での納品可","無","無","無","イベントでの販売、景品、参加賞等"
"108","調布市","調布市福祉作業所等連絡会","042-481-3201","","http://chofufukurenraku.sakura.ne.jp/","fuku-renraku@tbz.t-com.ne.jp","ポスティング","その他","","70000部","１０日程度","１０円～","自力での納品可","無","有","有","調布市ごみカレンダーの配布作業"
"109","調布市","調布市福祉作業所等連絡会","042-481-3201","","http://chofufukurenraku.sakura.ne.jp/","fuku-renraku@tbz.t-com.ne.jp","ＤＭ封入封かん","封入封かん","","50000","1週間","１工程１円以上","自力での納品可","無","有","有","調布市各部署の印刷物、通知書等の封入封かん作業"
"110","調布市","調布市福祉作業所等連絡会","042-481-3201","","http://chofufukurenraku.sakura.ne.jp/","fuku-renraku@tbz.t-com.ne.jp","駐輪場清掃業務","屋外清掃","５カ所","週2回","週2回","１回3500円～","自力での納品可","無","有","有","市内駐輪場の夏期散水業務秋冬期間は落葉枯葉清掃作業"
"111","調布市","調布市福祉作業所等連絡会","042-481-3201","","http://chofufukurenraku.sakura.ne.jp/","fuku-renraku@tbz.t-com.ne.jp","自主製品販売","生活用品食品","製品による","","","100円～5000円","自力での納品可","無","有","有","市内病院、地域センター、市場など常設店舗dの委託販売や各種イベントでの販売"
"112","日野市","日野市授産事業地域連携システム「わーくわーく」","042-843-1008","坂口","http://nanaof.jp/noE_nicowork.html","work.work@nanaof.jp","ポスティング","その他","","3000枚","2週間","5円/枚","自力での納品可","無","無","有","日野市内でポスティングをしています。納期や地域についてはご相談ください。"
"113","日野市","日野市授産事業地域連携システム「わーくわーく」","042-843-1008","坂口","http://nanaof.jp/noE_nicowork.html","work.work@nanaof.jp","点字名刺","印刷","","100枚/日","1週間","100枚点字のみ1000円点字と墨字2500円","自力での納品可","無","無","有","点字データ作成に時間が必要です。"
"114","日野市","日野市授産事業地域連携システム「わーくわーく」","042-843-1008","坂口","http://nanaof.jp/noE_nicowork.html","work.work@nanaof.jp","大学での報告書等の","印刷","","月2件","応談","応談","自力での納品可","無","無","有",""
"115","日野市","日野市授産事業地域連携システム「わーくわーく」","042-843-1008","坂口","http://nanaof.jp/noE_nicowork.html","work.work@nanaof.jp","封筒の印刷","印刷","","１００００枚/月","枚数によります","6円～","自力での納品可","無","有","無","黒・青の単色印刷。封筒のサイズにより価格変更有。点字入れられます。封筒持ち込みな場合は印刷代のみ。"
"116","日野市","日野市授産事業地域連携システム「わーくわーく」","042-843-1008","坂口","http://nanaof.jp/noE_nicowork.html","work.work@nanaof.jp","チラシ・機関紙等の印刷","印刷","","20000/日","2日～数量によります","8円～","自力での納品可","無","無","有","リソグラフ、インクジェット型高速印刷機、カラーレーザー印刷での印刷。印刷機によって値段が変わります。"
"117","日野市","日野市授産事業地域連携システム「わーくわーく」","042-843-1008","坂口","http://nanaof.jp/noE_nicowork.html","work.work@nanaof.jp","データー印刷と製本","印刷","","300冊","数量によります","400円～","自力での納品可","無","無","有","データーのページ枚数により納期や単価は変動あり。くるみ綴じ製本、ホチキス綴じ製本等が可能。"
"118","日野市","日野市授産事業地域連携システム「わーくわーく」","042-843-1008","坂口","http://nanaof.jp/noE_nicowork.html","work.work@nanaof.jp","点字印刷","印刷","","８０００/日","数量によります","6円～","自力での納品可","無","無","有",""
"119","日野市","日野市授産事業地域連携システム「わーくわーく」","042-843-1008","坂口","http://nanaof.jp/noE_nicowork.html","work.work@nanaof.jp","紙製品（菓子箱、紙袋、帯）の箔押加工","箱・袋詰め","","１０００枚/月","数量によります","箔押のみ10円","自力での納品可","無","無","有",""
"120","日野市","日野市授産事業地域連携システム「わーくわーく」","042-843-1008","坂口","http://nanaof.jp/noE_nicowork.html","work.work@nanaof.jp","ネームカードの紐通し","箱・袋詰め","","40000/月","数量によります","2円","発注元による回収希望","無","無","有",""
"121","日野市","日野市授産事業地域連携システム「わーくわーく」","042-843-1008","坂口","http://nanaof.jp/noE_nicowork.html","work.work@nanaof.jp","缶バッチピン付け","箱・袋詰め","","月5万個","数量によります","1円～","発注元による回収希望","無","無","有",""
"122","日野市","日野市授産事業地域連携システム「わーくわーく」","042-843-1008","坂口","http://nanaof.jp/noE_nicowork.html","work.work@nanaof.jp","メモセット","事務用品","","300セット/月","15日～数量によります","1000円/セット希望金額によります","自力での納品可","無","無","有",""
"123","日野市","日野市授産事業地域連携システム「わーくわーく」","042-843-1008","坂口","http://nanaof.jp/noE_nicowork.html","work.work@nanaof.jp","メモ帳","事務用品","","100冊/日","数量によります","50円～180円","自力での納品可","無","無","有","スパイラルリング、天糊も可能。表紙のデザインから調整可能。但し別途費用がかかります。"
"124","日野市","日野市授産事業地域連携システム「わーくわーく」","042-843-1008","坂口","http://nanaof.jp/noE_nicowork.html","work.work@nanaof.jp","箱折、組立、飴の箱詰め","箱・袋詰め","","4000個/月","数量によります","3円～","発注元による回収希望","無","無","有","箱の組立の工程により対応可能枚数に変動あり。"
"125","日野市","日野市授産事業地域連携システム「わーくわーく」","042-843-1008","坂口","http://nanaof.jp/noE_nicowork.html","work.work@nanaof.jp","焼菓子の製造、納品","食品","","品物による","品物による","クッキー30円～/枚","自力での納品可","無","無","有",""
"126","日野市","日野市授産事業地域連携システム「わーくわーく」","042-843-1008","坂口","http://nanaof.jp/noE_nicowork.html","work.work@nanaof.jp","企業等贈答用菓子折りの製造","食品","","300セット/月","3週間","615円/1セット","自力での納品可","無","無","有",""
"127","日野市","日野市授産事業地域連携システム「わーくわーく」","042-843-1008","坂口","http://nanaof.jp/noE_nicowork.html","work.work@nanaof.jp","食品加工（ジャム・ピューレ）","食品","","50kg（材料重量）","4週間","1500円～1800円/kg","発注元による回収希望","無","無","有",""
"128","日野市","日野市授産事業地域連携システム「わーくわーく」","042-843-1008","坂口","http://nanaof.jp/noE_nicowork.html","work.work@nanaof.jp","パン。焼菓子の出張販売","その他","","1回50000円程度","2か月前までに依頼の上調整","70円～390円/個","自力での納品可","無","無","有",""
"129","日野市","日野市授産事業地域連携システム「わーくわーく」","042-843-1008","坂口","http://nanaof.jp/noE_nicowork.html","work.work@nanaof.jp","段ボールコンポストセット製造・販売","箱・袋詰め","","10個","7日","2570円/個","自力での納品可","無","有","無",""
"130","日野市","日野市授産事業地域連携システム「わーくわーく」","042-843-1008","坂口","http://nanaof.jp/noE_nicowork.html","work.work@nanaof.jp","マーブリング技術を応用した紙帯の染め及び印刷・裁断","その他","","2000枚","4週間","7円/枚","自力での納品可","無","無","有",""
"131","日野市","日野市授産事業地域連携システム「わーくわーく」","042-843-1008","坂口","http://nanaof.jp/noE_nicowork.html","work.work@nanaof.jp","手工芸（刺繍・布製品、ストラップなどの革製品）製造・販売","生活用品","","10個","1か月以上","100円～1000円","自力での納品可","無","有","無",""
"132","日野市","日野市授産事業地域連携システム「わーくわーく」","042-843-1008","坂口","http://nanaof.jp/noE_nicowork.html","work.work@nanaof.jp","オフィシャルグッズの開発と作成","生活用品","","納期による","契約数による    基本年間契約","150円～2000円","自力での納品可","無","無","有",""
"133","日野市","日野市授産事業地域連携システム「わーくわーく」","042-843-1008","坂口","http://nanaof.jp/noE_nicowork.html","work.work@nanaof.jp","企業等昼食の出張販売","食品","","1回20000円程度","年間契約","420円～800円","自力での納品可","無","無","有",""
"134","国分寺市","国分寺障害者施設お仕事ネットワーク","042-324-7071（ともしび工房）","八橋宏","","yatsuhashi@nanaenosato.or.jp","屋内清掃屋外清掃","清掃","応相談","応相談","応相談","応相談","","無","有","有","市役所庁舎及び外周・駐車場の清掃を年間通じて受託。また、今年度より新規に都共同受注窓口を通じて駐車場の定期清掃を受託（10月より）"
"135","国分寺市","国分寺障害者施設お仕事ネットワーク","042-324-7071（ともしび工房）","八橋宏","","yatsuhashi@nanaenosato.or.jp","DM等の封入・封緘","封入・封緘","応相談","30000通","応相談","5円～","自力での納品可","無","無","有","封入・封緘は封入物の内容や点数、封緘方法によって請負単価が変動します。"
"136","国分寺市","国分寺障害者施設お仕事ネットワーク","042-324-7071（ともしび工房）","八橋宏","","yatsuhashi@nanaenosato.or.jp","ポスティング","その他","応相談","応相談","応相談","応相談","","無","有","無","配布エリアとしては、国分寺市内を想定しております。過去に国分寺市内全戸配布の実績があります。"
