"施設情報／No.","施設情報／事業所名","施設情報／法人名","施設情報／区市町村","施設情報／電話","施設情報／担当者名","施設情報／ホームページ","施設情報／Email","販売・受注可能な作業／製品・サービスの内容／内容","販売・受注可能な作業／分類","販売・受注可能な作業／提供可能総量／最小","販売・受注可能な作業／提供可能総量／最大","販売・受注可能な作業／納期","販売・契約参考単価","販売・受注可能な作業／納品方法","受注実績／東京都","受注実績／官公庁(東京都以外)","受注実績／その他(民間企業等)","受注実績／（活用例等）"
"92","しごと場大好き","社会福祉法人調布を耕す会","調布市","042-486-1022","亀田","http://www.tagayasukai.com/","tagayasukaijp@yahoo.co.jp","組みひも・陶器製造販売","その他","１組・製品によって応相談","２０組","2週間","３００～１５００円","自力での納品可","有","有","有","ミサンガ、眼鏡ホルダー、リールホルダー、干支ホルダー、一輪挿し、小皿他各種製品がございます。何れも、色や長さ等お好みに合わせたオリジナル品の制作が出来ます。時間を頂ければ同じ物を多数作り記念品などにご利用いただく事も可能です。過去には市や、老人ホーム等への式典、開所式などでご利用を頂いています。"
"93","かがやき","社会福祉法人まちだ育成会","町田市","042-794-4888","","http://machida-ikuseikai.net/","kagayaki@sunny.ocn.ne.jp","花壇管理受託","その他","一区画","応相談","応相談","応相談","自力での納品可","無","有","有","町田市や高齢者住宅・団地等の花壇管理実績あり"
"94","かがやき","社会福祉法人まちだ育成会","町田市","042-794-4888","","http://machida-ikuseikai.net/","kagayaki@sunny.ocn.ne.jp","仕分けなどの軽作業","その他","応相談","応相談","応相談","応相談","自力での納品可","無","無","有","仕分け作業等、受注品の受け取りから納品まで対応可"
"95","障害者支援施設町田荘","社会福祉法人東京援護協会","町田市","042-791-0905","趙","http://www.tokyoengokyokai.or.jp/","machidasou@nifty.com","缶バッジ","その他","100個","10000個","3ヵ月","","自力での納品可","無","無","有","発注量により価格が変ります。デザインや納期については、ご相談ください。"
"96","町田市大賀藕絲館","社会福祉法人まちだ育成会","町田市","042-797-1616","","https://machida-ikuseikai.net/service/ohgagushikan.html","gusikan-ikuseikai@smile.ocn.ne.jp","まちだ名産品等販売","その他","要相談","要相談","7日間","1000～3000円/1セット","発注元による回収希望","無","有","無","町田市名産品をご用意します。名産品認定業者の都合により、ご用意できない場合もありますので、ご相談ください。"
"97","町田市美術工芸館","社会福祉法人まちだ育成会","町田市","042-793-2227","","https://machida-ikuseikai.net/service/kougeikan.html","kougaikan-ikuseukai@cup.ocn.ne.jp","キャンドル","その他","1","50","20日","200円～2000円","自力での納品可","無","","",""
"98","irutoco.","合同会社irutoco.","小金井市","042-316-1256","永末","http://irutoco.com","info@irutoco.com","紙袋折作業","その他","1００枚","応相談","30日間","２５円/枚～","自力での納品可","無","無","有","地元商工会のオリジナル紙袋の組立"
"99","irutoco.","合同会社irutoco.","小金井市","042-316-1256","永末","http://irutoco.com","info@irutoco.com","チラシ・DMの折作業","その他","1000枚","応相談","20日間応相談","2円～応相談","自力での納品可","無","無","有","近隣商店のチラシ折作業及び、不定期でポスティング作業を受注"
"100","木馬の会（ライブワークス）","特定非営利活動法人木馬の会","小金井市","042-316-5438","","http://npo-mokuba.org/","otoiawase@npo-mokuba.org","シュレッダー","その他","1箱","2箱","2週間","1400円/1箱","自力での納品可","","","有","ファイルのばらし、分別、ホチキス外し等の後、シュレッダー作業をしています。一箱は3辺合計90cm程の量です。"
"101","バウム","社会福祉法人未来","小平市","042-313-2798","大野","http://mirai.no.coocan.jp","baum.mirai@nifty.com","その他","その他","1000","","5日間程度","未定","自力での納品可","無","無","有","メール便仕分け、ポスティング。納期、総量は応相談。"
"102","コロニー東村山","東京コロニー","東村山市","042-394-1111","坂本崇","https://colony.gr.jp","sakamoto@tocolo.or.jp","ホームページの作成","その他","特に無し","一式","ＨＰ作成校正含め3カ月","100万","自力での納品可","有","有","有",""
"103","みどりの森","社会福祉法人山場都会","東村山市","042-395-3210","田中英史","","midorinomori@wing.ocn.ne.jp","箱折り","その他","100","5000","１週間","６円","発注元による回収希望","無","無","有","ケーキやクッキーの箱折りなど、さまざまな組み立てを行っています。"
"104","オハナ農園","認定特定非営利活動法人Ohana","国分寺市","042-207-7687","白瀬美弘","http://www.npo-ohanaa.com","npoohana@jcom.home.ne.jp","育苗・花壇管理受注","その他","1か所","3か所","１ケ月","２５m2１回５０００円～季節による","自力での納品可","有","有","有","市体育館花壇管理（指定管理）"
"105","オハナ農園","認定特定非営利活動法人Ohana","国分寺市","042-207-7687","白瀬美弘","http://www.npo-ohanaa.com","npoohana@jcom.home.ne.jp","下草販売","その他","100鉢","500鉢","１ケ月","１鉢８０円～１００円","発注元による回収希望","無","無","有","市内の造園会社"
"106","国分寺市地域活動支援センター虹","社会福祉法人けやきの杜","国分寺市","042-324-7475","","http://www.keyakinomori.or.jp/","niji@keyakinomori.or.jp","書類・雑貨の封入","その他","","3000セット","7日間","1～４円/セット","発注元による回収希望","無","無","有","宅配寿司の箸セットの作成・書類等の封入等"
"107","国分寺市地域活動支援センター虹","社会福祉法人けやきの杜","国分寺市","042-324-7475","","http://www.keyakinomori.or.jp/","niji@keyakinomori.or.jp","クリーニング取次","その他","","","翌日～14日間","Yシャツ132円～396円","発注元による回収希望","無","有","有","衣類のｸﾘｰﾆﾝｸﾞ"
"108","ともにードリーム","特定非営利活動法人東京自立支援センター","国立市","042-843-0145","伊東","http://www.tokyo-tomony.org/","ito@tokyo-tomony.org","援農","その他","1畑/１日","2畑/１日","1日","12000円/1日","自力での納品可","","","有","草むしりや収穫などその時に必要な作業のお手伝いをします。作業内容ご相談ください。"
"109","わーくあっぷ","株式会社友心","福生市","042-513-7132","久保","http://workupk2.com","info@workupk2.com","オリジナルTシャツ","その他","30枚","1000枚","14営業日","未定","自力での納品可","無","有","有","地域イベントなど。"
"110","第一みんなの家","社会福祉法人みんなの会","東大和市","042-564-1900","佐藤","http://minnanokai.jp/","daiichiminnanoie@taupe","有料ごみ袋減免対象者への配布","その他","","","","57000","自力での納品可","","有","",""
"111","第二みんなの家","社会福祉法人みんなの会","東大和市","042-567-0267","森田","http://minnanokai.jp/","dainiminnanoie@kjb.biglobe.ne.jp","家庭廃棄物指定収集袋交付業務委託","その他","","","期間 1か月","1件90円","","","有","","減免ごみ袋を対象の市民に事業所や公共の施設で交付し、その手数料を市からいただく"
"112","清瀬どんぐりの家","社会福祉法人椎の木会","清瀬市","042-493-0210","木村","http://www.donguri-k.com","workshop-donguri@pure.ocn.ne.jp","紙袋の製作","その他","","1000枚","一週間","4円/枚","自力での納品可","無","無","有","納期等、ご相談下さい"
"113","えいぶる","社会福祉法人すぎのこ","東久留米市","042-471-4883","中尾","","qq367839n@tulip.ocn.ne.jp","ポスティング","その他","30枚","5000枚","5日","5円/枚","自力での納品可","無","有","有","一戸建て、集合住宅のどちらでも対応します。"
"114","第二どんぐりの家","社会福祉法人椎の木会","東久留米市","042-479-1251","","","daini-donguri@coda.ocn.ne.jp","資源（リサイクル品）回収","その他","","3.5トン/日","相談","","","","","有","紙類（新聞、段ボール、書籍、雑誌、雑紙、牛乳パック）衣類（古着、古布、着物、タオル）アルミ缶等の回収"
"115","あかつき授産所","社会福祉法人あかつきコロニー","武蔵村山市","042-560-7840","永井","http://akatuki.or.jp","nagai@akatuki.or.jp","ウエス販売","その他","20kg","1500Kg","最大月産","別途価格表量により見積もり後応相談","自力での納品可","有","無","有","古着を仕入れシーツ・メリヤス等約13種類のウエスにして販売しおります。大手企業様から定期的に発注を頂いており、営業も配置しておりますので安心してご相談ください。"
"116","あかつき授産所","社会福祉法人あかつきコロニー","武蔵村山市","042-560-7840","永井","http://akatuki.or.jp","nagai@akatuki.or.jp","Ｔシャツ・ジャンバーユニフォーム等プリント","その他","１枚","１０００枚","最大月産","900円～","自力での納品可","無","無","有","印刷のデザイン力や技術を生かし、写真も高品質でプリントできます。営業も配置しており、衣類は専用カタログよりお選びいただけます。洗濯等級5級確保。"
"117","えのき園","ＮＰＯ法人えのき","武蔵村山市","042-565-6062","小尾","http://enoki-group.or.jp/","enoki-info@enoki-group.or.jp","メール便仕分け、ポスティング","その他","100","10000","即日","2～5円／仕分10～40円／通","自力での納品可","無","有","有","DMやチラシ等の配布、官公庁広報の配布、折込、クリーニング衣類のたたみを実施しています。"
"118","えのき園","ＮＰＯ法人えのき","武蔵村山市","042-565-6062","小尾","http://enoki-group.or.jp/","enoki-info@enoki-group.or.jp","メール便仕分け、ポスティング","その他","100","10000","即日","2～5円／仕分10～40円／通","自力での納品可","無","有","有","DMやチラシ等の配布、官公庁広報の配布、折込、クリーニング衣類のたたみを実施しています。"
"119","若人塾","ＮＰＯ法人わこうど","多摩市","042-376-8433","桶田","http://www3.odn.ne.jp/wakoudo/","wakon@hkg.odn.ne.jp","ポスティング","その他","1000枚～","応相談","有","応相談","自力での納品可","","有","有","お問い合わせ下さい。"
"120","こすもす福祉作業所","社会福祉法人あきる野市社会福祉協議会","あきる野市","042-558-2566","大原","http://www.akiruno-shakyo.or.jp","cosmos@akiruno-shakyo.or.jp","建築用材袋加工作業","その他","内容による","内容による","内容による","4円/枚～","発注元による回収希望","無","無","有","作業内容等を考慮して受注をしております。納期までには仕上げることは可能です。ご相談ください。"
"121","さくらの園","社会福祉法人さくらの園","西東京市","042-468-5665","江口","http://www.sakura-no-sono.org/","t2sakura@estate.ocn.ne.jp","紙袋作成","その他","1000","10000","7日～14日","1枚10円","発注元による回収希望","無","無","有","○デパート。展示場各種紙袋作成○取っ手はヒモ・タッグ"
"122","ワークスタディ日の出","社会福祉法人東京リハビリ協会","日の出町","042-597-4111","友野","http://www.trg.jp","mah2@trg.jp","観賞魚水槽リース","その他","１台","20台／月","1週間程度","5年間のメンテナンスサービス付で月額33000円～リース販売","自力での納品可","無","無","有",""
"123","ワークスタディ日の出","社会福祉法人東京リハビリ協会","日の出町","042-597-4111","友野","http://www.trg.jp","mah2@trg.jp","リサイクルウエスの販売","その他","1kg","","注文後１～２日程度","１キロ140円～550円","自力での納品可","無","無","有",""
"124","日の出リハビリ","社会福祉法人東京リハビリ協会","日の出町","042-597-4111","友野","http://www.trg.jp","mah2@trg.jp","観賞魚水槽リース","その他","１台","20台／月","1週間程度","5年間のメンテナンスサービス付で月額33000円～リース販売","自力での納品可","無","無","有",""
"125","日の出リハビリ","社会福祉法人東京リハビリ協会","日の出町","042-597-4111","友野","http://www.trg.jp","mah2@trg.jp","リサイクルウエスの販売","その他","1kg","","注文後１～２日程度","１キロ140円～550円","自力での納品可","無","無","有",""
