"施設情報／No.","施設情報／事業所名","施設情報／法人名","施設情報／区市町村","施設情報／電話","施設情報／担当者名","施設情報／ホームページ","施設情報／Email","販売・受注可能な作業／製品・サービスの内容／内容","販売・受注可能な作業／分類","販売・受注可能な作業／提供可能総量／最小","販売・受注可能な作業／提供可能総量／最大","販売・受注可能な作業／納期","販売・受注可能な作業／販売・契約参考単価","販売・受注可能な作業／納品方法","受注実績／東京都","受注実績／官公庁(東京都以外)","受注実績／その他(民間企業等)","受注実績／（活用例等）"
"92","ひゅーまにあ八王子","株式会社チャレンジドジャパン","八王子市","042-646-0536","長井","https://ch-j.jp/","humania_hachioji@ch-j.jp","封入・封緘","封入・封緘","応相談","応相談","応相談","応相談","発注元による回収希望","無","無","無",""
"93","ふーぷ","社会福祉法人みずき福祉会","八王子市","042-651-5727","中尾","http://hoop.shichihuku.com/","ju_an@s8.dion.ne.jp","ダイレクトメール封入","封入・封緘","応相談","2000","1～2週間","応相談","自力での納品可","","","",""
"94","プレワーク","特定非営利活動法人わかくさ福祉会","八王子市","042-686-0325","立川伸吾","https;//wakakusaf.or.jp","prework@wakakusaf.or.jp","ＤＭ・チラシ","封入・封緘","","","応相談","1工程1.5円","自力での納品可","","","有","封入、封緘、宛名作成。発送方法については、応相談となる。単価については請け負う作業量や重さによって変わってくる。"
"95","希望の里","社会福祉法人武蔵野会","八王子市","042-654-7311","中神","http://kibounosato.sakura.ne.jp","kibou@river.ocn.ne.jp","ダイレクトメール封入封緘","封入・封緘","応相談","応相談","封入点数、封緘方法により異なる","応相談（封入点数、工程数により異なる）","自力での納品可","無","有","有",""
"96","高尾青年の家","特定非営利活動法人サポート高尾","八王子市","042-662-7441","岡本","https://www.supporttakao.or.jp/","takao.1988.4.11@ae.wakwak.com","DMやチラシなどの封入・封緘","封入・封緘","100","1000","5日間","応相談","自力での納品可","無","無","有",""
"97","八王子福祉作業所","社会福祉法人武蔵野会","八王子市","042-626-0631","正岡","http://fukusaku.sakura.ne.jp","eight-prince@cup.ocn.ne.jp","DM･チラシの封入や宛名シール貼付発送等","封入・封緘","","30000通","５日間","１工程１円","自力での納品可","無","有","有","迅速丁寧がモットーです。急なご注文にも対応できます。３０点等、多点封入対応します。結束もできます。２トン車やフォークリフト、コレーターもございます。"
"98","夢来","認定特定非営利活動法人多摩草むらの会","八王子市","042-674-1403","細谷","http://kusamura.org/","muku@kusamura.org","DM","封入・封緘","500","1500","30","50","自力での納品可","","","有","3点封入での納期です。毎月、当法人の広報誌にて実践中。"
"99","オープンスペース本郷町","社会福祉法人マインドはちおうじ","八王子市","042-625-7317","","http://mindhachioji.org/offices/#hongou","hon-mind_c.a241o@kch.biglobe.ne.jp","ダイレクトメール等の丁合・封入・封かん・宛名ラベル貼","封入・封緘","１０００通","1～2点封入5000通/日3点以上3000通/日","営業日３日間","1円/1工程（応相談）","自力での納品可","","有","有","丁合機、計数機あり。丁合のみの発注も可能です。封入点数、形状応相談。納期についてもご相談ください。"
"100","ピアわかくさ","社会福祉法人マインドはちおうじ","八王子市","042-631-9404","","http://mindhachioji.org/","lei03416@nifty.ne.jp","ダイレクトメール等の丁合・封入・封緘・ラベル貼り","封入・封緘","1000","10000","1週間","重さや大きさによる1円程度/1工程","自力での納品可","無","無","有","丁合点数３点～４点で1万件可能です。ペラや2つ折り資材のみの場合は丁合機を使うことにより1万件以上でも可能、ご相談ください。"
"101","lykkeアカデミー","一般社団法人lykke","八王子市","042-649-8260","丸山","https://www.lykke-hachioji.com","info@lykke.or.jp","DM封入作業","封入・封緘","100枚","1000枚","3日","3.5円","自力での納品可","無","無","有","折り・封入・封かん（のり付け・糊は事業所で用意、糊代込みの単価）"
"102","立川市社会福祉協議会就労支援事業所","社会福祉法人立川市社会福祉協議会","立川市","042-536-0549","比留間","http://www.tachikawa-shakyo.jp/","sakae-work@tachikawa-shakyo.jp","袋詰め","封入・封緘","","4000枚","5日","１円/1工程","発注元による回収希望","","","有","ダイレクトメールの封筒入れ"
"103","Hachisu","株式会社Hachisu","立川市","042-507-4470","田口","http://hachisu.1205.co.jp","hachisu.1205@gmail.com","封入封緘","封入・封緘","1000枚","10000枚","4～5日","3円～/個","自力での納品可","無","無","有","チームワークで作業を正確に仕上げております。"
"104","チャレンジャー","社会福祉法人武蔵野千川福祉会","武蔵野市","0422-30-3010","新堂薫","http://www.musashino-senkawa.com/","kaoru@polka.plala.or.jp","メール便発送業務梱包作業","封入・封緘","","1～2点：5万通3点以上：3万通","1週間以内","5円～（内容による）","自力での納品可","","","",""
"105","ワークイン関前","社会福祉法人武蔵野千川福祉会","武蔵野市","0422-37-6266","亀村知恵美","http://www.musashino-senkawa.com/","ms-workin-s@fork.ocn.ne.jp","ダイレクトメール封入・封緘作業","封入・封緘","","1～2点封入：30000通3点封入以上：20000通～","3日間～（内容による）","基本単価5円～応相談","自力での納品可","","","",""
"106","ワークショップMEW","特定非営利活動法人ミュー","武蔵野市","0422-36-2089","","http://www.musashino-mew.com/","mewshop2@gmail.com","封入・封緘","封入・封緘","10","1000","10日営業日","1円/工程～","自力での納品可","無","無","有",""
"107","ワークセンターけやき","社会福祉法人武蔵野","武蔵野市","0422-54-50960422-54-5051","","http://fuku-musashino.or.jp/","keyaki@fuku-musashino.or.jp","官公庁の各種通知書や、ダイレクトメールの封入封かん作業","封入・封緘","1000件","30000件","3日～応相談（内容による）","お見積り","自力での納品可","有","有","有",""
"108","八幡作業所","社会福祉法人武蔵野千川福祉会","武蔵野市","0422-27-8390","安藤直子","http://www.musashino-senkawa.com/","yahata-s@herb.ocn.ne.jp","ダイレクトメール封入・封緘作業","封入・封緘","","応相談","10000通/1日","1点封入・封緘3～5円応相談/見積","自力での納品可","","","",""
"109","八幡作業所","社会福祉法人武蔵野千川福祉会","武蔵野市","0422-27-8390","安藤直子","http://www.musashino-senkawa.com/","yahata-s@herb.ocn.ne.jp","紙製品の折り作業","封入・封緘","","応相談","7000通/1日","手加工2円機械加工1円","自力での納品可","","","",""
"110","武蔵境ワーキングセンター","社会福祉法人武蔵野千川福祉会","武蔵野市","0422-33-1708","佐藤資子","http://www.musashino-senkawa.com/","ms-workingcenter@fork.ocn.ne.jp","ダイレクトメール封入・封緘作業","封入・封緘","","10万通以上可能","総数÷10000＝必要日数（内容・時期にもよる）","10円～（内容による・応相談）","自力での納品可","","","",""
"111","三鷹ひまわり第一共同作業所","社会福祉法人三鷹ひまわり会","三鷹市","0422-76-0388","関","http://m-himawari.net/","m-hmwr1@m-himawari.net","折り紙製品","封入・封緘","200セット","2000セット","20日間","15円/セット","発注元による回収希望","無","無","有","印刷物の検品から決められた枚数を数十種類丁合し、封入、封緘、シール貼り、茶紙包みの作業を行っています。3～4日程度の短期納期にも対応可能です。"
"112","三鷹ひまわり第二共同作業所","社会福祉法人三鷹ひまわり会","三鷹市","0422-48-5240","","http://m-himawari.net","m-hmwr2@m-himawari.net","封入・封緘","封入・封緘","500通","1000通","7日間","3円/枚","発注元による回収希望","無","無","有","納期や単価については、作業内容によりますのでご相談下さい。"
"113","童里夢工房","社会福祉法人白梅会","府中市","042-334-4083","","http://shiraumekai.com","s-dream@wg8.so-net.ne.jp","物流加工各種","封入・封緘","100","応相談","応相談","応相談","自力での納品可","無","有","有","ダイレクトメールの封入など"
"114","あきしま福祉作業所","社会福祉法人昭島市社会福祉協議会","昭島市","042-541-0742","上之園あゆみ","http://www.acsw.jp/","fuku-syocyou@acsw.or.jp","封入・封緘作業","封入・封緘","100","5000","２日","1円～/枚","発注元による回収希望","無","有","有","案内状等の封入"
"115","あんだんて","特定非営利活動法人このもかのも","昭島市","042-519-2816","石川","http://www17.plala.or.jp/konomokanomo/index.html","","ダイレクトメール封入・封緘","封入・封緘","1000","10000","5日間","1.2円／枚","自力での納品可","無","無","有","2～3日程度の短納期にも対応可能です。納期について是非ご相談ください。"
"116","ゆいのもり田中町","社会福祉法人ゆいのもり福祉協会","昭島市","042-542-6776","田中","http://yuinomori.or.jp/","the_3rd_minnano_harmony@yahoo.co.jp","DMの封入・封緘","封入・封緘","500部","5000部","３日","1工程0.6円","自力での納品可","有","有","有","数と内容に応じて応相談可能です。各工程として資材1部につき0.6円、封緘・宛名シール貼り各0.6円が目安です。"
"117","障害者就労プラザあいあい","社会福祉法人あすはの会","昭島市","042-546-6009","","","s-puraza-aiai@asuha.or.jp","DM","封入・封緘","1000枚","10000枚","3日間～15日間","0.8円／1工程","自力での納品可","無","無","有","封入、風乾、宛名ラベル貼りまで行います。封入点数、資材の大きさにより納期に変更あります。"
"118","しごと場大好き","社会福祉法人調布を耕す会","調布市","042-486-1022","亀田","http://www.tagayasukai.com/","tagayasukaijp@yahoo.co.jp","封入、封緘、ラベル貼り","封入・封緘","500部","1000部","3日","１行程１～２円その他応相談","自力での納品可","有","有","有","定期的な封入封緘、ポスティングの他、期間限定、臨時などにも対応しています。17点物の封入も請け負っています。"
"119","調布市希望の家","社会福祉法人調布市社会福祉協議会","調布市","042-481-7700","高橋","http://www.ccsw.or.jp","kibou@ccsw.or.jp","封入、宛名シール貼り","封入・封緘","300","1000","1か月","応相談","発注元による回収希望","無","有","無","チラシ等は折も含めて対応できます。"
"120","調布市知的障害者援護施設すまいる","社会福祉法人調布市社会福祉事業団","調布市","042-481-7723","安藤","http://www.jigyodan-chofu.com/sumairu/","sumairu@jigyodan-chofu.com","チラシの封入や発送宛名シール貼り","封入・封緘","応相談","500","1か月","応相談","自力での納品可","無","無","有",""
"121","なないろ","社会福祉法人ウィズ町田","町田市","042-794-3252","","http://www.with-machida.or.jp/cn11/nanairo","y-abe@with-machida.or.jp","ダイレクトメールの封入","封入・封緘","1000","5000","5日","1点1円","自力での納品可","","有","有",""
"122","黎音","一般社団法人あんべるどかねる","町田市","042-860-7104","村田","","reon_info@uvd-cannelle.com","封入・封緘","封入・封緘","100部","10000部","2週間","7円/部","自力での納品可","無","有","有","３～５日程度の短納期にも対応可能です。納期について是非ご相談ください。"
"123","黎音","一般社団法人あんべるどかねる","町田市","042-860-7104","村田","","reon_info@uvd-cannelle.com","ポスティング","封入・封緘","100部","5000部","一か月","7円/部","自力での納品可","無","無","有","３～５日程度の短納期にも対応可能です。納期について是非ご相談ください。"
"124","小金井聖ヨハネワ－クセンタ－","社会福祉法人聖ヨハネ会","小金井市","042-315-2238","渡部","http://www.seiyohanekai.or.jp/","work_koganei@seiyohanekai.or.jp","受注作業","封入・封緘","100枚","10000枚","14日","2円/枚","自力での納品可","無","有","有","封入、宛名貼り等の作業を受注しております。"
"125","バウム","社会福祉法人未来","小平市","042-313-2798","大野","http://mirai.no.coocan.jp","baum.mirai@nifty.com","封入・封緘","封入・封緘","1000","5000","３～４日程度","未定","自力での納品可","無","無","有","丁合機、折り機あり。封入点数によっては5000部以上も可能。納期、総量は応相談。"
"126","コロニー東村山","東京コロニー","東村山市","042-394-1111","坂本崇","https://colony.gr.jp","sakamoto@tocolo.or.jp","封入・封緘","封入・封緘","特に無し","8000セット","2日間","5円/1セット","自力での納品可","有","有","有",""
"127","平成の里","社会福祉法人東村山けやき会","東村山市","042-397-5966","浅川","http://www.hmkk.or.jp/","heiseinosato@hmkk.or.jp","DM発送","封入・封緘","","50000","7日間","","自力での納品可","無","有","有","丁合機、折り機、封緘機、計数機あります。単価、納期等ご相談下さい。"
"128","みどりの森","社会福祉法人山場都会","東村山市","042-395-3210","田中英史","","midorinomori@wing.ocn.ne.jp","封緘・宛名貼り","封入・封緘","100","10000","１週間","封入点数により変動","発注元による回収希望","無","無","有","大きさ、点数など、さまざまな封入を行っています。"
"129","さつき共同作業所","社会福祉法人はらからの家福祉会","国分寺市","042-326-3775","","http://harakaranoie.com","harakara.satsuki@gmail.com","ダイレクトメール封入封緘","封入・封緘","応相談","応相談","応相談","応相談","自力での納品可","無","無","有","市内の障害者ネットワークと共同受注も可能です。"
"130","希望園","社会福祉法人けやきの杜","国分寺市","042-321-2200","","https://www.keyakinomori.or.jp/","nozomienjimu@keyakinomori.or.jp","ポスティング","封入・封緘","","","","","","無","有","有",""
"131","ワークひなた","一般社団法人陽向会","狛江市","03-5761-8408","青木","http://www.hinatakai.biz","qqpb3bf9k@leaf.ocn.ne.jp","DMのチラシ封入","封入・封緘","100部","20000部","2日～10日間","3円/部","自力での納品可","無","無","有","Canon等の実績あり。（12000部）少ない量でも対応いたします。"
"132","ワークひなた","一般社団法人陽向会","狛江市","03-5761-8408","青木","http://www.hinatakai.biz","qqpb3bf9k@leaf.ocn.ne.jp","宛名シール貼り","封入・封緘","100枚","60000枚","2日～14日間","2円/マイ","自力での納品可","無","有","無","品川区の健康保険に関するハガキの宛名シールの実績あり。少ない量でも対応いたします。"
"133","ワークひなた","一般社団法人陽向会","狛江市","03-5761-8408","青木","http://www.hinatakai.biz","qqpb3bf9k@leaf.ocn.ne.jp","ＤＭのチラシ封入","封入・封緘","100部","20000部","2日～10日間","3円/部","自力での納品可","無","無","有","Ｃａｎｏｎ等の実績あり。（12000部）少ない量でも対応いたします。"
"134","ワークひなた","一般社団法人陽向会","狛江市","03-5761-8408","青木","http://www.hinatakai.biz","qqpb3bf9k@leaf.ocn.ne.jp","宛名シール貼り","封入・封緘","100枚","60000枚","2日～14日間","2円/マイ","自力での納品可","無","有","無","品川区の健康保険に関するハガキの宛名シールの実績あり。少ない量でも対応いたします。"
"135","第一みんなの家","社会福祉法人みんなの会","東大和市","042-564-1900","佐藤","http://minnanokai.jp/","daiichiminnanoie@taupe","ヘルプカードの折り、封入","封入・封緘","","8800","","19000","自力での納品可","","無","",""
"136","第二みんなの家","社会福祉法人みんなの会","東大和市","042-567-0267","森田","http://minnanokai.jp/","dainiminnanoie@kjb.biglobe.ne.jp","ヘルプカードの折り","封入・封緘","300枚","1000枚","5日間","6・5円/枚","自力での納品可","","有","","A4のヘルプカードを三つ折りし、チラシを1枚はさみ込む作業、間違えのないよう、丁寧に行います"
"137","えいぶる","社会福祉法人すぎのこ","東久留米市","042-471-4883","中尾","","qq367839n@tulip.ocn.ne.jp","チラシ封入","封入・封緘","1000セット","3000セット","10日","2円/袋","発注元による回収希望","無","無","有","数量により納期の対応はできます"
"138","くるめパソコン作業所","特定非営利活動法人武蔵野の里","東久留米市","042-471-4995","","http://musashinonosato.com/","mpc@cello.ocn.ne.jp","チラシ封入・宛名貼り","封入・封緘","","１日１０００部","3日","","自力での納品可","","","有",""
"139","えのき園","ＮＰＯ法人えのき","武蔵村山市","042-565-6062","小尾","http://enoki-group.or.jp/","enoki-info@enoki-group.or.jp","ＤＭ・チラシの封入や発送、宛名シール貼り","封入・封緘","100","10000","即日～2週間程度","2500円／1000枚","自力での納品可","無","無","有","封入、宛名シール貼りは少量から受注可能です。"
"140","スペース・まどか","社会福祉法人あかつきコロニー","武蔵村山市","042-560-7900","熊谷","http://akatuki.or.jp","kumagai@akatuki.or.jp","ＤＭ封入","封入・封緘","","20000件（封入点数による）","５日（封入点数による）","５円～/件（封入点数による）","自力での納品可","無","無","有",""
"141","えのき園","ＮＰＯ法人えのき","武蔵村山市","042-565-6062","小尾","http://enoki-group.or.jp/","enoki-info@enoki-group.or.jp","ＤＭ・チラシの封入や発送、宛名シール貼り","封入・封緘","100","10000","即日～2週間程度","2500円／1000枚","自力での納品可","無","無","有","封入、宛名シール貼りは少量から受注可能です。"
"142","ワークスタジオかがわ","社会福祉法人雲柱社","あきる野市","042(550)5245","成田","http://fukushi.unchusha.com/","ws1@group-kagawa.com","封入・封緘","封入・封緘","3000","10000","10日間","未定","発注元による回収希望","無","有","有","決められた手順通りに仕事に取組み、迅速かつ確実に作業を進めます。"
"143","コミュニティルーム友訪","特定非営利活動法人友訪","西東京市","042-438-0091","渡辺","http://www.yuuhou.or.jp","c_room_yuuhou@yahoo.co.jp","封入・封緘作業","封入・封緘","1","1000","１週間","３円/１部","発注元による回収希望","無","無","有",""
"144","さくらの園","社会福祉法人さくらの園","西東京市","042-468-5665","江口","http://www.sakura-no-sono.org/","t2sakura@estate.ocn.ne.jp","ダイレクトメール","封入・封緘","1000","10000","5日","1行程5円","発注元による回収希望","無","無","有","○丁合機械を使用し、封入・封緘・シール貼り・発送までの全工程が可能"
"145","サンワーク田無","特定非営利活動法人燦燦会","西東京市","042-452-7401","小野","http://sun-work.org/","sun-work@r6.dion.ne.jp","DMの封入・封緘","封入・封緘","2000通","4000通","中2日","１円/1点封入1円/1点封緘","発注元による回収希望","無","有","有",""
"146","就労日の出舎","社会福祉法人泉会","日の出町","042-597-1451","加藤","http://izumikai.jp/","hanbai@hinodesha.org","ダイレクトメール封入","封入・封緘","1000","20000","1000セット／日","5～10円","発注元による回収希望","有","有","有","紙折り機、結束機、フォークリフトを備えているため、大量受注も可能です。"
