"番号","自治体名","住宅名","住宅の所在地","お問い合わせ先","電話番号","開設状況（開設予定時期）"
"240","調布市","やすらぎの街アルメリア成城北","調布市入間町","株式会社渋谷不動産エージェント","042-444-5940","(R1.11.1)"
"241","町田市","ココファンまちだ鶴川","町田市鶴川","株式会社学研ココファン","03-6431-1860","開設済"
"242","町田市","ココファン鶴川駅前","町田市能ヶ谷","株式会社学研ココファン","03-6431-1860","(R1.11.1)"
"243","町田市","メディケアコート町田根岸","町田市根岸","株式会社AT","044-322-9288","開設済"
"244","町田市","ピースガーデン町田","町田市野津田町","株式会社グローライフ","042-350-3791","開設済"
"245","町田市","リリィパワーズレジデンス町田","町田市原町田","株式会社パワーズアンリミテッド","0120-182-082","開設済"
"246","町田市","清風ヒルズ金井","町田市金井","社会福祉法人賛育会","03-3622-7614","開設済"
"247","町田市","ひだまりガーデン南町田","町田市鶴間","医療法人社団はなまる会ひだまりガーデン南町田","042-799-5870","開設済"
"248","町田市","へーベルVillageやまだい中町","町田市中町","旭化成ホームズ株式会社","03-3344-7097","開設済"
"249","町田市","サンスマイル町田駅前","町田市原町田","株式会社サンスマイル","042-860-3661","開設済"
"250","町田市","清住の杜町田","町田市下小山田町","社会福祉法人嘉祥会","042-798-1386","開設済"
"251","町田市","ホームステーションらいふ町田","町田市鶴間","株式会社らいふ","03-5769-7268","開設済"
"252","町田市","リリィパワーズレジデンスまちだ森野","町田市森野","株式会社パワーズアンリミテッド","03-5362-0880","開設済"
"253","町田市","桜美林ガーデンヒルズ（Ｃ棟）","町田市小山ヶ丘","株式会社ナルド","042-798-2412","開設済"
"254","町田市","桜美林ガーデンヒルズ（Ｄ棟）","町田市小山ヶ丘","株式会社ナルド","042-798-2412","開設済"
"255","町田市","住まいるClass本町田","町田市本町田","株式会社スマイル","045-312-0600","開設済"
"256","町田市","ウエリスオリーブ町田中町","町田市中町","エヌ・ティ・ティ都市開発株式会社","03-6811-6465","開設済"
"257","町田市","なごやかレジデンス町田","町田市原町田","株式会社やまねメディカル","03-5201-3995","開設済"
"258","町田市","生活クラブ・サービス付き高齢者向け住宅センテナル町田","町田市旭町","生活クラブ生活協同組合・東京たすけあいネットワーク事業部事業開発課","03-5426-5207","開設済"
"259","町田市","ファミリー・ホスピス成瀬ハウス","町田市金森東","カイロス・アンド・カンパニー株式会社","0465-43-6644","開設済"
"260","町田市","エルダーガーデン南つくし野","町田市南つくし野","大東建託パートナーズ株式会社","03-6718-9102","(R2.5.1)"
"261","小金井市","せらび小金井","小金井市貫井北町","株式会社日本ケアリンク","03-3292-5255","開設済"
"262","小金井市","ピースガーデン小金井","小金井市緑町","株式会社グローライフ","042-350-3791","開設済"
"263","小平市","ベリーハイムあやとり","小平市天神町","ベリーハイムあやとり","042-312-3331","開設済"
"264","小平市","ベリーハイムあやとりＡＮＮＥＸ","小平市天神町","株式会社ニュースラボ","042-313-3621","開設済"
"265","小平市","なごやかレジデンス小平上水","小平市上水南町","なごやかレジデンス小平上水","042-329-6112","開設済"
"266","小平市","ホームステーションらいふ小平","小平市小川町","株式会社らいふ","03-5769-7268","開設済"
"267","小平市","なごやかレジデンス小平小川","小平市小川町","なごやかレジデンス小平小川","042-348-5561","開設済"
"268","小平市","ディーフェスタ小平","小平市小川町","大和リビングケア株式会社","03-5500-6511","(R2.11.1)"
"269","小平市","ＩＴフォレストこだいらサービス付き高齢者向け住宅","小平市小川東町","株式会社いたれりつくせり","0422-38-6077","(R2.8.1)"
"270","小平市","リアンレーヴ小平弐番館","小平市美園町","株式会社木下の介護","03-5908-1310","開設済"
"271","小平市","なごやかレジデンス花小金井","小平市花小金井","なごやかレジデンス花小金井","03-5201-3995","(R3.3.1)"
"272","日野市","風のガーデンひの","日野市程久保","風のガーデンひの","042-594-9621","開設済"
"273","日野市","サービス付き高齢者向け住宅あすなろ","日野市百草","あすなろ株式会社","042-599-1476","開設済"
"274","日野市","高齢者専用賃貸住宅豊かな里","日野市豊田","高齢者専用賃貸住宅豊かな里","042-589-2366","開設済"
"275","日野市","ゆいま～る多摩平の森弐番館","日野市多摩平","株式会社コミュニティネット","03-6256-0574","開設済"
"276","日野市","ディーフェスタ日野","日野市南平","大和リビング株式会社","03-5500-6511","開設済"
"277","日野市","ホームステーションらいふ日野","日野市大字日野","株式会社らいふ","03-5769-7268","(H30.10.1)"
"278","東村山市","そんぽの家Ｓ久米川","東村山市美住町","そんぽの家Ｓ久米川","042-390-2371","開設済"
"279","東村山市","サービス付高齢者住宅敬愛の森","東村山市富士見町","社会福祉法人敬愛会南台シニアセンター敬愛の森","042-306-3199","開設済"
"280","東村山市","公益財団法人結核予防会グリューネスハイム新山手","東村山市諏訪町","公益財団法人結核予防会グリューネスハイム新山手","042-391-6310","開設済"
"281","東村山市","ウエリスオリーブ東村山富士見町","東村山市富士見町","エヌ・ティ・ティ都市開発株式会社","03-6811-6465","開設済"
"282","東村山市","メゾンあやとり","東村山市栄町","株式会社ニュースラボ","042-313-3621","開設済"
"283","東村山市","サービス付き高齢者向け住宅愛の泉恩多レジデンス","東村山市恩多町","医療法人社団愛結会","042-394-4836","開設済"
"284","東村山市","グリーンドーム東村山","東村山市恩多町","株式会社ミライエ","042-505-9304","(R2.4.13)"
"285","東村山市","マザーズハウス東村山","東村山市野口町","株式会社マザーズハウス","042-519-3871","開設済"
"286","国分寺市","ういず・国分寺","国分寺市東戸倉","株式会社ウイズネット","048-631-3690","開設済"
"287","国分寺市","高齢者フラット楽","国分寺市並木町","社会福祉法人至誠学舎立川至誠ホームミンナ","042-300-3700","開設済"
"288","国分寺市","サコージュ国分寺","国分寺市西町","サコージュ国分寺","042-806-0070","開設済"
"289","国分寺市","なごやかレジデンス国立","国分寺市戸倉","なごやかレジデンス国立","042-501-0132","開設済"
"290","国分寺市","イリーゼ西国分寺","国分寺市泉町","ＨＩＴＯＷＡケアサービス株式会社","03-6632-7702","開設済"
"291","国立市","リーフエスコート国立富士見台","国立市富士見台","株式会社荒井商店","03-5466-8700","(H30.4.1)"
"292","福生市","ゆいま～る拝島","福生市熊川","株式会社コミュニティネット","0800-800-6071","開設済"
"293","福生市","高齢者マンションサンシャインビラ","福生市熊川","社会福祉法人福陽会高齢者マンションサンシャインビラ","042-539-0307","開設済"
"294","福生市","パステルライフ福生","福生市福生二宮","扶桑管理サービス株式会社","042-545-0617","開設済"
"295","福生市","あじさい北田園","福生市北田園","特定非営利活動法人ヒューマンケア","042-553-3012","開設済"
"296","福生市","福生紀水苑","福生市本町","大和リビングケア株式会社","0120-676-262","開設済"
"297","狛江市","ホームステーションらいふ成城西","狛江市岩戸北","株式会社らいふ","03-5769-7268","開設済"
"298","狛江市","狛江共生の家・多麻","狛江市駒井町","特定非営利活動法人狛江共生の家","03-3430-5020","(R1.10.1)"
"299","狛江市","こまえ正吉苑サービス付き高齢者向け住宅","狛江市西野川","社会福祉法人正吉福祉会","042-331-2001","開設済"
"300","東大和市","プラチナ・シニアホーム東大和","東大和市清水","株式会社レイクス21","03-3564-1620","開設済"
"301","東大和市","メディカルケアセンチュリーハウス玉川上水","東大和市桜が丘","株式会社センチュリーライフ","03-3456-4055","開設済"
"302","清瀬市","ホームステーションらいふ清瀬","清瀬市松山","株式会社らいふ","03-5769-7268","開設済"
"303","清瀬市","しんあい清戸の里","清瀬市下清戸","社会福祉法人信愛報恩会しんあい清戸の里","042-493-5623","開設済"
"304","清瀬市","みどりの樹清瀬","清瀬市下清戸","医療法人財団緑秀会","042-461-2682","開設済"
"305","清瀬市","なごやかレジデンス清瀬","清瀬市竹丘","株式会社やまねメディカル","03-5201-3995","開設済"
"306","清瀬市","エクラシア清瀬","清瀬市清戸","株式会社ウェルオフ","050-6861-5201","開設済"
"307","東久留米市","レイ・ストーリア滝山","東久留米市滝山","日建リース工業株式会社","03-3296-1711","開設済"
"308","東久留米市","なごやかレジデンス東久留米","東久留米市新川町","なごやかレジデンス東久留米","042-479-1292","開設済"
"309","東久留米市","エクラシア東久留米","東久留米市前沢","株式会社ウェルオフ","050-6861-5201","開設済"
"310","武蔵村山市","マザーズハウス武蔵村山","武蔵村山市中原","株式会社マザーズハウス","042-519-3871","開設済"
"311","武蔵村山市","プラチナ・シニアホーム武蔵村山","武蔵村山市伊奈平","株式会社レイクス21","03-3564-1620","開設済"
"312","武蔵村山市","プラチナ・シニアホーム武蔵村山弐番館","武蔵村山市残堀","プラチナ・シニアホーム武蔵村山弐番館","042-569-6210","開設済"
"313","多摩市","ゆいま～る中沢","多摩市中沢","ゆいま～る中沢","0800-800-7037","開設済"
"314","多摩市","カーサさくらが丘","多摩市連光寺","社会福祉法人桜ヶ丘社会事業協会","042-375-1511","開設済"
"315","多摩市","なごやかレジデンス多摩","多摩市百草","なごやかレジデンス多摩","042-389-7087","開設済"
"316","多摩市","スマイラス聖蹟桜ヶ丘","多摩市関戸","京王ウェルシィステージ株式会社","042-337-3351","開設済"
"317","稲城市","そんぽの家Ｓ稲城長沼","稲城市東長沼","そんぽの家Ｓ稲城長沼","042-370-0651","開設済"
"318","稲城市","そんぽの家Ｓ稲城","稲城市東長沼","そんぽの家Ｓ稲城","042-370-3161","開設済"
"319","稲城市","コーシャハイム平尾サービス付き高齢者向け住宅","稲城市平尾","東京建物シニアライフサポート株式会社","03-3274-0451","開設済"
"320","羽村市","サービス付き高齢者向け住宅「南聖園」","羽村市五ノ神","社会福祉法人誠愛会","042-596-5211","開設済"
"321","あきる野市","シニアハウスくさばな","あきる野市草花","医療法人社団豊信会","042-558-7710","開設済"
"322","あきる野市","サービス付き高齢者向け住宅サンライズ小川","あきる野市小川","社会福祉法人芳洋会","042-597-2021","開設済"
"323","西東京市","そんぽの家Ｓ保谷北町","西東京市北町","そんぽの家Ｓ保谷北町","042-439-0320","開設済"
"324","西東京市","西東京ケアコミュニティそよ風","西東京市東町","株式会社ユニマットリタイアメント・コミュニティ","03-5413-8228","開設済"
"325","西東京市","そんぽの家Ｓ武蔵野","西東京市新町","そんぽの家Ｓ武蔵野","0422-50-8515","開設済"
"326","西東京市","（仮称）西東京市新町プロジェクト","西東京市新町","株式会社パワーズアンリミテッド","03-5362-0880","(R2.10.1)"
"327","西東京市","そんぽの家Ｓ西東京泉町","西東京市泉町","そんぽの家Ｓ西東京泉町","042-438-6130","開設済"
"328","西東京市","そんぽの家Ｓ東伏見","西東京市東伏見","株式会社ナミキ賃貸営業部","03-5383-9333","開設済"
"329","西東京市","そんぽの家Ｓ保谷駅前","西東京市東町","そんぽの家Ｓ保谷駅前","042-438-5520","開設済"
"330","西東京市","日生オアシスひばりが丘","西東京市ひばりが丘","株式会社日本生科学研究所","03-3341-2421","開設済"
"331","西東京市","なごやかレジデンスひばりヶ丘","西東京市住吉町","なごやかレジデンスひばりヶ丘","042-438-3831","開設済"
"332","西東京市","プラチナ・シニアホーム西東京ひばりヶ丘","西東京市北町","プラチナ・シニアホーム西東京ひばりヶ丘","042-439-8735","開設済"
"333","西東京市","グランドマストひばりが丘南","西東京市ひばりが丘","積和グランドマスト株式会社","03-5350-3900","開設済"
"334","西東京市","グランドマスト柳沢","西東京市保谷町","積和グランドマスト株式会社","03-5350-3900","開設済"
"335","西東京市","リリィパワーズレジデンス保谷","西東京市保谷町","株式会社パワーズアンリミテッド","03-5362-0880","開設済"
"336","青梅市","エクラシア青梅","青梅市友田町","株式会社ウェルオフ","050-6861-5201","開設済"
"337","瑞穂町","マザーズハウス瑞穂","瑞穂町大字武蔵","株式会社マザーズハウス","042-519-3871","開設済"
"338","日の出町","フォレスト・イン・エステート谷戸沢","日の出町大字平井","有限会社橋本商事","042-649-7328","開設済"
"339","八丈島八丈町","ヒルサイドガーデン夕陽ヶ丘","八丈島八丈町大賀郷","株式会社ＰｅａｃｅＳｍｉｌｅ","04996-9-5830","(H30.4.1)"
