"施設情報／No.","施設情報／事業所名","施設情報／法人名","施設情報／区市町村","施設情報／電話","施設情報／担当者名","施設情報／ホームページ","施設情報／Email","販売・受注可能な作業／製品・サービスの内容／内容","販売・受注可能な作業／分類","販売・受注可能な作業／提供可能総量／最小","販売・受注可能な作業／提供可能総量／最大","販売・受注可能な作業／納期","販売・受注可能な作業／販売・契約参考単価","販売・受注可能な作業／納品方法","受注実績／東京都","受注実績／官公庁(東京都以外)","受注実績／その他(民間企業等)","受注実績／（活用例等）"
"86","HACHIOJIFARMER'SKITCHENふぁむ","(株)グッドホーム","八王子市","042-659-1133","登坂","https://www.kcfam.com/","info@kcfam.com","仕出し（パーティー料理）","食品","50","50","1","応相談","自力での納品可","無","無","無",""
"87","HACHIOJIFARMER'SKITCHENふぁむ","(株)グッドホーム","八王子市","042-659-1133","登坂","https://www.kcfam.com/","info@kcfam.com","クッキー・パウンドケーキ","食品","50","50","7","応相談","自力での納品可","無","無","無",""
"88","アース","株式会社ピーライフ","八王子市","042-683-1206","青木","https://www.peaceful-life.jp/","info@peaceful-life.jp","配食サービス(弁当盛り付け～配達)","食品","","300","最短翌日","","自力での納品可","無","無","無","2020年3月よりスタート予定。八王子・相模原エリアを想定。個人の高齢者や、老人ホーム・グループホームなど向けの弁当配食サービス。"
"89","ココテラス","一般社団法人メンタルさぽーと協会","八王子市","042-683-3435","尾崎","https://mensapo.or.jp/employment-support/","k.ozaki@mensapo.or.jp","弁当","食品","5","100","５日","５００円～","自力での納品可","無","無","有","フットサル大会の昼食用に唐揚げ弁当５００円"
"90","ココテラス","一般社団法人メンタルさぽーと協会","八王子市","042-683-3435","尾崎","https://mensapo.or.jp/employment-support/","k.ozaki@mensapo.or.jp","シフォンケーキ","食品","１ホール","１０ホール","５日","１２００円～","自力での納品可","無","無","無",""
"91","ふーぷ","社会福祉法人みずき福祉会","八王子市","042-651-5727","中尾","http://hoop.shichihuku.com/","ju_an@s8.dion.ne.jp","焼き菓子（クッキー・パウンド）製造","食品","応相談","","2週間","100円～","自力での納品可","","","",""
"92","ゆいまーる生活館","認定NPOCES","八王子市","042-626-2296","井上","http://npoces.jp/","shop@yuimaru.net","天然酵母パン","食品","1","100","酵母仕込み含めて7～10日位","120~660","自力での納品可","無","無","有","パンのギフト・社内販売会・自然食品店へ卸販売"
"93","ゆいまーる生活館","認定NPOCES","八王子市","042-626-2296","井上","http://npoces.jp/","shop@yuimaru.net","クッキー","食品","1","300","2～4週間","200~330","自力での納品可","有","無","有","会社・保育園・幼稚園・町会などのギフト、販売会赤い羽根共同募金会"
"94","ゆいまーる生活館","認定NPOCES","八王子市","042-626-2296","井上","http://npoces.jp/","shop@yuimaru.net","パウンドケーキ","食品","1","20","3～4日","200.700.1400","自力での納品可","無","無","有","ギフト・販売会等"
"95","らいふ結","特定非営利活動法人結の会","八王子市","042-667-0039","宮崎","http://npoyui.com","npoyui@ybb.ne.jp","ブルーベリージャム","食品","5本","100本","30日","594円／本","自力での納品可","無","無","有","会員・ボランティアさんへのお礼の品としてご利用いただきました。年130本×2回＝260本"
"96","レストランあさかわ","特定非営利活動法人あさかわ","八王子市","042-667-1771","","","","弁当・おにぎり","食品","10","100","14","800円以上から予算に応じて","発注元による回収希望","無","無","有","会合や会議等に"
"97","クレヨンハウス","特定非営利活動法人くるみ会","八王子市","042-621-1344","酒本","","npo-kureyon@sound.ocn.ne.jp","クッキー","食品","5","100","7日","300円","発注元による回収希望","無","無","有","賞味期限は10日から21日間になります"
"98","森のぱんやさん","特定非営利活動法人みんなのひろば","八王子市","042-673-7827","石井","https://npohiroba.com","minnanohiroba@world.ocn.ne.jp","パン","食品","20","70","2週間","150円","自力での納品可","","","有","納品方法は提供量と配達距離によって回収をお願いする場合があります"
"99","森のぱんやさん","特定非営利活動法人みんなのひろば","八王子市","042-673-7827","石井","https://npohiroba.com","minnanohiroba@world.ocn.ne.jp","焼き菓子","食品","30","100","2週間","100円","自力での納品可","","","","納品方法は提供量と配達距離によって回収をお願いする場合があります"
"100","パン＆カフェこすもす","特定非営利活動法人こすもす","八王子市","042-686-2622","佐久間","","cafe.cosmos802@gmail.com","食パン","食品","","20斤","14日～1ヵ月","受注350円","自力での納品可","有","有","有","100％国産小麦粉を使用、天然酵母、真塩、洗双糖（但し天候不順により有機外麦を使用の時がある）"
"101","パン＆カフェこすもす","特定非営利活動法人こすもす","八王子市","042-686-2622","佐久間","","cafe.cosmos802@gmail.com","胚芽パン","食品","","13本","14日～1ヵ月","受注450円","自力での納品可","有","有","有","100％国産小麦粉、天然酵母、真塩、洗双糖を使用（但し天候不順により有機外麦を使用の時がある）"
"102","パン＆カフェこすもす","特定非営利活動法人こすもす","八王子市","042-686-2622","佐久間","","cafe.cosmos802@gmail.com","ソフトカンパーニュ","食品","","10個","14日～1ヵ月","受注400円","自力での納品可","有","有","有","100％国産小麦粉、天然酵母、真塩、洗双糖を使用（但し天候不順により有機外麦を使用の時がある）、オーガニックのくるみ、レーズン。"
"103","パン＆カフェこすもす","特定非営利活動法人こすもす","八王子市","042-686-2622","佐久間","","cafe.cosmos802@gmail.com","シュガーラスク","食品","","40袋","14日～1ヵ月","受注170円","自力での納品可","有","有","有","100％国産小麦粉、天然酵母、、真塩、洗双糖国産バター、国産甜菜糖を使用（但し天候不順により有機外麦を使用がある）"
"104","ひのき工房","社会福祉法人蕗の会","八王子市","042-667-2158","依田","https://www.hinokikobo.com/","hinoki2158@yahoo.co.jp","クッキー・パウンドケーキ製造","食品","40","58","応相談","応相談","自力での納品可","無","無","有","お土産や贈呈品などとして"
"105","めだか販売店","株式会社あやめ会","八王子市","042-649-4410","林","https://www.ayamekai.co.jp/","ayamekai@circus.ocn.ne.jp","カフェバッグ製作","食品","10個","３00個","1ヵ月","300円～400円","自力での納品可","無","無","有","お年賀、お中元・お歳暮などの贈答品に最適。オフィスでも簡単に本格的なトリップコーヒーが手軽に楽しめます。お湯もこぼれない安全設計。"
"106","ビーイングスペース萌","社会福祉法人マインドはちおうじ","八王子市","042-668-7226","","http://mindhachioji.org/","bcb04233@nifty.com","パン","食品","","300","３日","約100円","自力での納品可","有","無","有","・学童・保育園の給食やおやつパンとして・会社やイベント等での外部販売"
"107","すまいる工房","一般社団法人大樹","八王子市","042-649-3373","伊東?","","smilekobo115@gmai.com","焼き菓子サブレアマンド・フルーツクッキー・ココアクッキー・紅茶クッキー","食品","20個","300個","1週間～2週間","１袋/38ｇ150円","自力での納品可","有","無","有","菓子折り1500円～ご用意させていただきます。参考：特別支援学校ご用命品（1500円）添加物不使用の為、賞味期限は30日間"
"108","ワークショップMEW","特定非営利活動法人ミュー","武蔵野市","0422-36-2089","","http://www.musashino-mew.com/","mewshop2@gmail.com","食品","食品","10","100","2週間前までにご予約願います","100円/個程度～","自力での納品可","無","無","有","1度の製造で3種類（パウンドケーキ、クッキー2種）の提供が可能です。応相談で出張販売も対応致します。"
"109","ワークショップMEW","特定非営利活動法人ミュー","武蔵野市","0422-36-2089","","http://www.musashino-mew.com/","mewshop2@gmail.com","食品","食品","10","30","2週間前までにご予約願います","150円/個程度～","自力での納品可","無","無","有","1度の製造で3種類の提供が可能です。応相談で出張販売も対応致します。"
"110","ワークショップハーモニー","社会福祉法人にじの会","三鷹市","0422-26-8620","清水","http://nijinokai.org/","workshop_harmony8620@tiara.ocn.ne.jp","パン製造","食品","2０個／回","１００個／回","１週間","菓子パン１6０円～無添加食パン３００円","自力での納品可","無","無","有","地域の保育園や施設等の給食でご利用頂いています。また公共施設や高等学校等への定期的な出張販売、地域のイベント販売でも好評頂いています。"
"111","ワークショップハーモニー","社会福祉法人にじの会","三鷹市","0422-26-8620","清水","http://nijinokai.org/","workshop_harmony8620@tiara.ocn.ne.jp","豆富製造","食品","2０丁／回","７００丁／回","１週間","きぬ豆富150円もめん豆富170円油揚げ１枚100円","自力での納品可","無","無","有","市内・外の小・中学校の学校給食や地域の保育園等でご利用頂いています。"
"112","ワークショップハーモニー","社会福祉法人にじの会","三鷹市","0422-26-8620","清水","http://nijinokai.org/","workshop_harmony8620@tiara.ocn.ne.jp","スモーク品製造","食品","１０Ｐ／回","１００Ｐ／回","１週間","ソーセージ100g360円～ベーコン100g450円～他","自力での納品可","無","無","有","スモーク品の詰め合わせギフトセットをカタログにて販売しており、三鷹市のおみやげ部門TAKAー1認定商品「三鷹スモーク｣４種入り1,000円も好評です。"
"113","ワークショップハーモニー","社会福祉法人にじの会","三鷹市","0422-26-8620","清水","http://nijinokai.org/","workshop_harmony8620@tiara.ocn.ne.jp","弁当･オードブル製造","食品","１０個／回","１００個／回","１週間","お弁当５８０円～","自力での納品可","無","無","有","地域のネットワーク団体様や学校へのお弁当、企業の会議でのオードブルセットのご利用で好評頂いています。"
"114","未来工房にじ","社会福祉法人にじの会","三鷹市","0422-39-2411","佐藤","http://nijinokai.org/","nijimitaka@jcom.zaq.ne.jp","おからパウダー","食品","10袋","１００袋","1か月","150円／100g","自力での納品可","有","有","有","国産大豆を使用しています。レシピ集も付けられます。"
"115","未来工房にじ","社会福祉法人にじの会","三鷹市","0422-39-2411","佐藤","http://nijinokai.org/","nijimitaka@jcom.zaq.ne.jp","おからパウダー（あらびき）","食品","10袋","１００袋","１か月","150円／120g","自力での納品可","有","有","有","国産大豆を使用しています。レシピ集も付けられます。"
"116","未来工房にじ","社会福祉法人にじの会","三鷹市","0422-39-2411","佐藤","http://nijinokai.org/","nijimitaka@jcom.zaq.ne.jp","おから茶","食品","10袋","５０袋","１か月","100円／５ｇ×５P","自力での納品可","有","有","有","国産大豆を使用しています。ノンカフェイン・無着色"
"117","未来工房にじ","社会福祉法人にじの会","三鷹市","0422-39-2411","佐藤","http://nijinokai.org/","nijimitaka@jcom.zaq.ne.jp","おからクッキー","食品","10袋","１００袋","1か月","200円／1袋","自力での納品可","有","有","有","国産大豆を使用しています。行事の記念品やイベント用菓子としてもお使いいただけます。"
"118","ギャロップ","若松福祉会","府中市","042-365-7363","高橋","https://www.wakafuku.org","wakafuku-gallop@wakamatsu-fukushikai.or.jp","プレーンラスク","食品","１０個","３０個","７日","１３０/個","発注元による回収希望","無","無","無","お茶菓子"
"119","童里夢工房","社会福祉法人白梅会","府中市","042-334-4083","","http://shiraumekai.com","s-dream@wg8.so-net.ne.jp","乾燥糸こんにゃく","食品","30","200","2週間","500円/パック","自力での納品可","無","有","有","イベント等のノベルティとして"
"120","食工房ゆいのもり","社会福祉法人ゆいのもり福祉協会","昭島市","042-542-5160","日向弘樹","http://yuinomori.or.jp/","yuinomori@technowave.ne.jp","自家製天然酵母パン","食品","","","1週間程度","ホール（直径20cm位）520～580円","発注元による回収希望","","","有","スライス済みを冷凍した状態で、ご納品。ガーデンテラス等の軽食のお供としてご提供いただいています。納期や仕様については、ご相談ください。"
"121","食工房ゆいのもり","社会福祉法人ゆいのもり福祉協会","昭島市","042-542-5160","日向弘樹","http://yuinomori.or.jp/","yuinomori@technowave.ne.jp","焼き菓子（クッキー、マフィン、スノーボール等）","食品","","","1週間程度","50～70円/枚","発注元による回収希望","","","有","焼き菓子のギフトセットをご挨拶まわりや祝典などでご利用いただいています。"
"122","しごと場大好き","社会福祉法人調布を耕す会","調布市","042-486-1022","亀田","http://www.tagayasukai.com/","tagayasukaijp@yahoo.co.jp","ケータリングカージェラート製造販売","食品","60ｇディッシャー100人分","60ｇディッシャー560人分","8日","１ディッシュ２００円＆２５０円","自力での納品可","無","有","有","添加物を使わない自然素材で作られたジェラート（２１種）を、自家製のコーンで食べていただくキッチンカーです。大小問わず様々なイベントに呼ばれています。お子さんや女性に大人気です。日程が合えばどこへでも伺います。"
"123","しごと場大好き","社会福祉法人調布を耕す会","調布市","042-486-1022","亀田","http://www.tagayasukai.com/","tagayasukaijp@yahoo.co.jp","チョコチップココナッツクッキー他焼き菓子各種製造販売","食品","50袋","２００袋","8日","１袋100～200円その他応相談","自力での納品可","有","有","有","自動車販売店で来店者へのお茶菓子として、また、お寺からお彼岸のお供物としてもご用命いただいています。病院やコンビニ等でも販売中。分量、値段などご希望に応じて各種製作可能です。"
"124","調布市知的障害者援護施設すまいる","社会福祉法人調布市社会福祉事業団","調布市","042-481-7723","安藤","http://www.jigyodan-chofu.com/sumairu/","sumairu@jigyodan-chofu.com","パン","食品","応相談","300","2週間","種類によって変動","自力での納品可","無","有","有","市内の保育園（市立,民間）・学童クラブ・高齢者施設等の受注"
"125","調布市知的障害者援護施設すまいる","社会福祉法人調布市社会福祉事業団","調布市","042-481-7723","安藤","http://www.jigyodan-chofu.com/sumairu/","sumairu@jigyodan-chofu.com","焼き菓子","食品","応相談","200","3週間","種類によって変動","自力での納品可","無","有","有","単品のほか詰め合わせなどの注文にも対応"
"126","しんわ町田事業所","一般社団法人福祉心話会","町田市","042-709-6066","瀬上信","http://www.fukushi-shinwakai.jp/index.html","machida@fukushi-shinwakai.or.jp","粗挽きウインナ－の製造・販売","食品","1","30","2週間","700円/パック(240g)","自力での納品可","無","無","有","自社工場で製造しているDLG（ドイツ農業協会コンテスト）金賞受賞実績のある商品です。行事の記念品やキャンペーンの贈答用にもお使いいただけます。"
"127","しんわ町田事業所","一般社団法人福祉心話会","町田市","042-709-6066","瀬上信","http://www.fukushi-shinwakai.jp/index.html","machida@fukushi-shinwakai.or.jp","ベ－コンの製造・販売","食品","1","15","2週間","1575円/パック(350g)","自力での納品可","無","無","有","自社工場で製造しているDLG（ドイツ農業協会コンテスト）金賞受賞実績のある商品です。行事の記念品やキャンペーンの贈答用にもお使いいただけます。"
"128","プラスアルファ","特定非営利活動法人あ・うん","町田市","042-727-4723","富岡","http://www2.gol.com/users/a-un/","a-un@gol.com","食品","食品","100","100","1週間","1つ110円","発注元による回収希望","無","有","無","「パン工房ほろほろ」として、町田市の共同ネットワーク販売に参加"
"129","黎音","一般社団法人あんべるどかねる","町田市","042-860-7104","村田","","reon_info@uvd-cannelle.com","清涼飲料水の製造・充填","食品","100本","5000本","一か月","未定","自力での納品可","無","無","有","少数ロットでの生産が可能です。新商品の試作等にご活用ください。"
"130","町田市大賀藕絲館","社会福祉法人まちだ育成会","町田市","042-797-1616","","https://machida-ikuseikai.net/service/ohgagushikan.html","gusikan-ikuseikai@smile.ocn.ne.jp","お菓子詰合せ","食品","要相談","要相談","14日間","1000～3000円/1セット","発注元による回収希望","無","無","無","当施設で作っている蓮の実ケーキ、クッキーの詰め合わせをご用意します。別途箱代、1箱200～250円（税別）がかかります。"
"131","木馬の会（ライブワークス）","特定非営利活動法人木馬の会","小金井市","042-316-5438","","http://npo-mokuba.org/","otoiawase@npo-mokuba.org","製菓の製造","食品","１個","３００個","１週間","180～220円/1個","自力での納品可","","","有","店舗への納品・販売の他、お祭り・イベント等への出張販売、謝恩会や結婚式の引き菓子にもご利用いただいております。"
"132","みくま","社会福祉法人未来","小平市","042-312-3739","前川","http://mirai.no.coocan.jp","mikuma-mirai@nifty.com","食品","食品","1","230","1","450円／個","自力での納品可","無","有","有","日替わり弁当のほか金額に応じて特別注文も承っております。ぜひご相談ください"
"133","小平第二みどり作業所","社会福祉法人未来","小平市","042-313-4461","本橋","http://mirai.no.coocan.jp/","dai2midori-verde@nifty.com","クッキー","食品","250袋","1250袋","5日間","150円～/袋","自力での納品可","無","無","有","イベント来客用の手土産、お中元やお歳暮、イベント出張販売も対応可能です。お気軽にご相談ください。"
"134","小平第二みどり作業所","社会福祉法人未来","小平市","042-313-4461","本橋","http://mirai.no.coocan.jp/","dai2midori-verde@nifty.com","パン","食品","250個","1250個","5日間","100円～/個","自力での納品可","無","無","有","高校等の昼食用、保育園等の給食、防災訓練等の非常食、イベント出張販売も対応可能です。お気軽にご相談ください。"
"135","あおいとり日野","社会福祉法人日野青い鳥福祉会","日野市","042-584-2560","宮本","http://www.aoitori-hino.com","aoitorihino2drive.ocn.ne.jp","パン","食品","10","20","20日間","70円～","発注元による回収希望","無","有","有","国産小麦・国産バターなど良質な素材で丁寧に焼き上げたパンです。季節や曜日限定のメニューもありますのでお気軽にお問い合わせください。"
"136","あおいとり日野","社会福祉法人日野青い鳥福祉会","日野市","042-584-2560","宮本","http://www.aoitori-hino.com","aoitorihino2drive.ocn.ne.jp","焼き菓子","食品","10","20","20日間","100円～","自力での納品可","無","有","有","クッキー、アーモンドサブレ、ラスク、パウンドケーキなどいろいろ取り揃えております。ギフトの対応も致しますのでご相談ください。"
"137","みどりの森","社会福祉法人山場都会","東村山市","042-395-3210","田中英史","","midorinomori@wing.ocn.ne.jp","焼き菓子","食品","10","150","１週間","１５０円／袋","自力での納品可","無","有","有","マフィン、クッキー、フィナンシェ、豆乳プリン、酒粕チーズケーキ、カリカリキャラメルなど、ちょっとしたお遣い物にご利用ください。"
"138","オハナ農園","認定特定非営利活動法人Ohana","国分寺市","042-207-7687","白瀬美弘","http://www.npo-ohanaa.com","npoohana@jcom.home.ne.jp","パウンドケーキ販売","食品","10個","100個","２週間","２００円","自力での納品可","無","無","有","イベントでの特注"
"139","地域活動支援センターほんだ・こだま","特定非営利活動法人国障連喫茶","国分寺市","042-326-2246","渡辺由利子","","npokissa-tbz.t-com.ne.jp","喫茶店事業","食品","","","","","","","","","市立本多公民館、市ひかりプラザ内１階で喫茶店を運営しているので、建物内の部屋にお弁当（日替わり定食）等の飲食物を配達も行っている。"
"140","ともにードリーム","特定非営利活動法人東京自立支援センター","国立市","042-843-0145","伊東","http://www.tokyo-tomony.org/","ito@tokyo-tomony.org","乾燥野菜・粉末加工","食品","100g/1日（乾燥したもの）","1kg/1日（乾燥したもの）","2日","7円/1ｇ","自力での納品可","","","有","種類によって単価が変わるのでご相談ください。粉末にしたものを調味料に加工するところまでできます。"
"141","ワークひなた","一般社団法人陽向会","狛江市","03-5761-8408","青木","http://www.hinatakai.biz","qqpb3bf9k@leaf.ocn.ne.jp","クッキー製作","食品","1袋","100袋","7日間","200円/袋","自力での納品可","無","有","有","クリスマスや敬老会、誕生日会などのイベントでまとめて購入できます。"
"142","就労支援事業所メイ","特定非営利活動法人ＮＰＯ狛江さつき会","狛江市","03-3480-8187","?橋","http://www.satsukikai.org","may@satsukikai.org","パウンドケーキ","食品","1","190","2週間","120円/個","自力での納品可","有","有","有","イベント、市の職員向け販売、お歳暮などに活用してもらっています。ふるさと納税にも提供しています。"
"143","就労支援事業所メイ","特定非営利活動法人ＮＰＯ狛江さつき会","狛江市","03-3480-8187","?橋","http://www.satsukikai.org","may@satsukikai.org","カレーライス","食品","1","60","1週間","500円/個","自力での納品可","無","有","有","市職員向け販売、企業の昼食に配達をしています。"
"144","ワークひなた","一般社団法人陽向会","狛江市","03-5761-8408","青木","http://www.hinatakai.biz","qqpb3bf9k@leaf.ocn.ne.jp","クッキー製作","食品","1袋","100袋","７日間","200円/袋","自力での納品可","無","有","有","クリスマスや敬老会、誕生日会などのイベントでまとめて購入できます。"
"145","SmileArche","ＮＰＯ法人高齢者在宅介護支援センター","清瀬市","042-497-1735","仙石","http://www.smile-arche.com/","smile_arche@yahoo.co.jp","パン製作","食品","10","40","1日","未定","自力での納品可","無","無","有","手作りパンを冷凍しておき、移動販売（高齢者施設、就労支援施設、行政機関、医療機関）と、各関係者機関のイベント・お祭りの際に販売しています。"
"146","清瀬どんぐりの家","社会福祉法人椎の木会","清瀬市","042-493-0210","木村","http://www.donguri-k.com","workshop-donguri@pure.ocn.ne.jp","お弁当","食品","","100食","当日","500円","自力での納品可","無","有","有","市内でしたら月～土で1食からお昼のお弁当を配達します。"
"147","ベーカリーショップどんぐり","社会福祉私法人椎の木会","清瀬市","042-492-8009","熊谷","http://donguri-k.com/group/b-donguri.html","donguri-msrkuma@ymail.plala.or.jp","菓子パン","食品","200","2000","１０ｄａｙ","130~250","自力での納品可","","","有","祭事"
"148","ベーカリーショップどんぐり","社会福祉私法人椎の木会","清瀬市","042-492-8009","熊谷","http://donguri-k.com/group/b-donguri.html","donguri-msrkuma@ymail.plala.or.jp","総菜パン","食品","200","2000","１０ｄａｙ","150~250","自力での納品可","","","有","祭事"
"149","ベーカリーショップどんぐり","社会福祉私法人椎の木会","清瀬市","042-492-8009","熊谷","http://donguri-k.com/group/b-donguri.html","donguri-msrkuma@ymail.plala.or.jp","サンドイッチ・セット","食品","30","300","１０ｄａｙ","500~1000","自力での納品可","","","有","旅行・祭事・学校父母会"
"150","ベーカリーショップどんぐり","社会福祉私法人椎の木会","清瀬市","042-492-8009","熊谷","http://donguri-k.com/group/b-donguri.html","donguri-msrkuma@ymail.plala.or.jp","サンドイッチオードブル","食品","10","100","１０ｄａｙ","2500~3500","自力での納品可","","","有","祝賀会。送別会など"
"151","えいぶる","社会福祉法人すぎのこ","東久留米市","042-471-4883","中尾","","qq367839n@tulip.ocn.ne.jp","お弁当の販売","食品","3食","15食","当日","500円/食","自力での納品可","無","無","有","事業所から配達が可能な場所、毎日違うメニューで提供しています。"
"152","ぶどうの郷","特定非営利活動法人武蔵野の里","東久留米市","042-471-6388","","http://musashinonosato.com/","budo@aroma.ocn.ne.jp","クッキー製造","食品","50","200","30日間","200円/冊","自力での納品可","無","無","有","種類や個数は調整できます"
"153","どんぐりの家","社会福祉法人椎の木会","東久留米市","042-475-9559","熊谷大","http://donguri-k.com/group/h-donguri.html","donguri-msrkuma@ymail.plala.or.jp","サンドイッチ・セット","食品","50","300","１０ｄａｙ","160~500","自力での納品可","","","有","旅行・祭事・学校父母会"
"154","どんぐりの家","社会福祉法人椎の木会","東久留米市","042-475-9559","熊谷大","http://donguri-k.com/group/h-donguri.html","donguri-msrkuma@ymail.plala.or.jp","サンドイッチオードブル","食品","10","100","１０ｄａｙ","2000~3000","自力での納品可","","","有","祝賀会。送別会など"
"155","どんぐりの家","社会福祉法人椎の木会","東久留米市","042-475-9559","熊谷大","http://donguri-k.com/group/h-donguri.html","donguri-msrkuma@ymail.plala.or.jp","お弁当","食品","50","200","１4ｄａｙ","500~1500","自力での納品可","","","有","祝賀会。送別会など"
"156","どんぐりの家","社会福祉法人椎の木会","東久留米市","042-475-9559","熊谷大","http://donguri-k.com/group/h-donguri.html","donguri-msrkuma@ymail.plala.or.jp","オードブル","食品","20","200","１２ｄａｙ","1500~4000","自力での納品可","","","有","祝賀会。送別会など"
"157","ぐりーんぴーす工房","社会福祉法人時の会","多摩市","042-389-6339","山本和泉","http;//tokinokai.or.jp","greenpeas_kobo@tokinokia.or.jp","焼き菓子","食品","20","500","7日間","130円～/袋","自力での納品可","","","有","イベント等のお土産・記念品"
"158","コラボいなぎいなぎワークセンター","社会福祉法人正夢の会","稲城市","042-313-5001","","http://www.inagi-masayume.com/","collabo-inagi@inagi-masayume.com","焼き菓子","食品","応相談","応相談","受注量による","100円～","自力での納品可","","","有","発注元のイベント参加者に配布したいとのこと。数種類の焼き菓子をラッピングして納品。"
"159","さくらの園","社会福祉法人さくらの園","西東京市","042-468-5665","江口","http://www.sakura-no-sono.org/","t2sakura@estate.ocn.ne.jp","弁当ケータリング","食品","10食","200食","要相談","1食1000円～","自力での納品可","無","無","有","○弁当配達（10食～100食）○パーティーでのケータリング（10食～200食）"
"160","ワークスタディ日の出","社会福祉法人東京リハビリ協会","日の出町","042-597-4111","友野","http://www.trg.jp","mah2@trg.jp","養殖あわびの販売","食品","1個","常時数千個の養殖あわび有","注文後１～２日程度","１キロ4800円～１個320円～","自力での納品可","無","無","有",""
"161","日の出リハビリ","社会福祉法人東京リハビリ協会","日の出町","042-597-4111","友野","http://www.trg.jp","mah2@trg.jp","養殖あわびの販売","食品","1個","常時数千個の養殖あわび有","注文後１～２日程度","１キロ4800円～１個320円～","自力での納品可","無","無","有",""
