"施設情報／No.","施設情報／事業所名","施設情報／法人名","施設情報／区市町村","施設情報／電話","施設情報／担当者名","施設情報／ホームページ","施設情報／Email","販売・受注可能な作業／製品・サービスの内容／内容","販売・受注可能な作業／分類","販売・受注可能な作業／提供可能総量／最小","販売・受注可能な作業／提供可能総量／最大","販売・受注可能な作業／納期","販売・受注可能な作業／販売・契約参考単価","販売・受注可能な作業／納品方法","受注実績／東京都","受注実績／官公庁(東京都以外)","受注実績／その他(民間企業等)","受注実績／（活用例等）"
"209","下目黒福祉工房","目黒区社会福祉事業団","目黒区","03-3793-2590","齋藤","","shimomeguro@clock.ocn.ne.jp","受注作業","箱・袋詰め","","","内容により応相談","内容により応相談","自力での納品可","無","無","有",""
"210","目黒区立目黒本町福祉工房","社会福祉法人いたるセンター","目黒区","03-3714-0514","五木田","http://itarucenter.com/meguro/index.html","meguro@itarucenter.com","シルクスクリーン印刷エコバッグ","印刷","10","500","１か月","５００円","自力での納品可","無","有","有","社名やロゴを印刷し、広報活動やユニフォームなどにご活用されています。"
"211","目黒区立目黒本町福祉工房","社会福祉法人いたるセンター","目黒区","03-3714-0514","五木田","http://itarucenter.com/meguro/index.html","meguro@itarucenter.com","干支土鈴","その他","1","100","6か月","８５０円","自力での納品可","有","有","有","年始の日本伝統の十二干支の土鈴を制作しています。贈答品としてご注文いただいております。"
"212","目黒区立目黒本町福祉工房","社会福祉法人いたるセンター","目黒区","03-3714-0514","五木田","http://itarucenter.com/meguro/index.html","meguro@itarucenter.com","菓子","食品","1","50","４週間","５８０円","自力での納品可","有","有","有","人気のチョコレート菓子はクリスマスやバレンタインデーなどのギフトとして好まれています。"
"213","フードコミュニティ目黒","特定非営利活動法人フードコミュニティ目黒","目黒区","03-5768-0707","","http://fc-meguro.jp/","okowa@fc-meguro.com","弁当（白米、赤飯、山菜おこわ）","食品","","180食/日","１～４日個数が多い場合は相談","610円～810円","自力での納品可","無","有","有","商品の数量、単価、納期についてはご相談ください。ご飯は白米、赤飯、山菜おこわの中からお選びいただけます。"
"214","フードコミュニティ目黒","特定非営利活動法人フードコミュニティ目黒","目黒区","03-5768-0707","","http://fc-meguro.jp/","okowa@fc-meguro.com","お萩（５個入り/2個入り）","食品","","３０パック/日","２～４日","４50円/170円","自力での納品可","無","有","有","夏季（７・８月）は製造、販売をお休みさせていただいてます。"
"215","フードコミュニティ目黒","特定非営利活動法人フードコミュニティ目黒","目黒区","03-5768-0707","","http://fc-meguro.jp/","okowa@fc-meguro.com","赤飯/山菜おこわ","食品","","50パック/日","２～4日","４００円","自力での納品可","無","有","有",""
"216","ENTAS","社会福祉法人ヒューマン･ネットワーク結","大田区","03-3751-7650","小柳","http://entas.or.jp/","yui.entas@nifty.com","印刷物の封入・封緘・梱包","封入・封緘","","要相談","要相談","1工程/1円","自力での納品可","無","無","有","短納期にも対応できます。"
"217","ENTAS","社会福祉法人ヒューマン･ネットワーク結","大田区","03-3751-7650","小柳","http://entas.or.jp/","yui.entas@nifty.com","箱等組み立て、部品梱包","箱・袋詰め","","要相談","要相談","１工程/１円","自力での納品可","無","無","有","納期については、相談可。"
"218","ENTAS","社会福祉法人ヒューマン･ネットワーク結","大田区","03-3751-7650","小柳","http://entas.or.jp/","yui.entas@nifty.com","プラスチック製品等の組込、検品、バリ取りほか","その他","","要相談","要相談","１工程/１円","自力での納品可","無","無","有","納期については、相談可。"
"219","ENTAS","社会福祉法人ヒューマン･ネットワーク結","大田区","03-3751-7650","小柳","http://entas.or.jp/","yui.entas@nifty.com","Ｗｏｒｄ・Ｅｘｃｅｌデータ入力","データ入力","","要相談","要相談","要相談","自力での納品可","無","有","有",""
"220","クッキングワーク街の駅","社会福祉法人プシケおおた","大田区","03-6410-6400","","http://www.koujiya-center.com","machinoeki@mx3.alpha-web.ne.jp","配食サービス","食品","1食","60食","1日","400～550円／食","自力での納品可","無","有","有","野菜中心でバランスの良い手作り弁当を日替わりメニューでご自宅・職場までお届けしています。1食からのご注文も承ります。"
"221","さわやかワークセンター","社会福祉法人大田幸陽会","大田区","03-5747-5670","","http://www.ota-koyokai.or.jp","sawayakaws@image.ocn.ne.jp","公園清掃","清掃","792m2","3540m2","1年間","10.24円/m2","自力での納品可","無","有","無","公園清掃では２６年の実績。現在、５台の作業車で出張して多様な仕事に伺います。"
"222","さわやかワークセンター","社会福祉法人大田幸陽会","大田区","03-5747-5670","","http://www.ota-koyokai.or.jp","sawayakaws@image.ocn.ne.jp","使用済コピー紙の仕分","その他","１枚","5000枚","1年間","8000円/回","自力での納品可","無","有","無","庁舎内の使用済コピー紙を回収しホチキス取り用紙の向きを揃える。丁寧に作業をします。"
"223","のぞみ園","社会福祉法人大田幸陽会","大田区","03-5737-0777","赤羽","http://www.ota-koyokai.or.jp/nozomien/","nozomien@ma.point.ne.jp","アクセサリー（自主生産品）の製作・販売","生活用品","10個","1000個","10日～30日","300円～3000円","発注元による回収希望","無","無","有","スワロフスキー社製クリスタルを使用したアクセサリー製作（ピンブローチ、ブローチ、ネックレス、クリップ式ｷｰﾎﾙﾀﾞｰ等）"
"224","のぞみ園","社会福祉法人大田幸陽会","大田区","03-5737-0777","赤羽","http://www.ota-koyokai.or.jp/nozomien/","nozomien@ma.point.ne.jp","館内・公園・斎場清掃作業","清掃","300m2","1000m2","１年間","15000/m2","自力での納品可","無","有","無","現在、館内清掃2か所、公園清掃区内12か所、臨海斎場の清掃作業で実績あり"
"225","のぞみ園","社会福祉法人大田幸陽会","大田区","03-5737-0777","赤羽","http://www.ota-koyokai.or.jp/nozomien/","nozomien@ma.point.ne.jp","雑誌付録封入・コンサートちらし封入","封入・封緘","1000部","6000部","3週間","18円/部","発注元による回収希望","無","有","有","子供向け雑誌の付録封入、コンサートのプログラム封入、地域向け情報誌のポスティング"
"226","のぞみ園","社会福祉法人大田幸陽会","大田区","03-5737-0777","赤羽","http://www.ota-koyokai.or.jp/nozomien/","nozomien@ma.point.ne.jp","ケーキ用箱組み立て、電子部品袋詰め","箱・袋詰め","2000箱","4000箱","2か月","8円/箱6円/袋","発注元による回収希望","無","無","有","ケーキ用箱の組み立て、電子部品の計量・袋詰めで実績あり"
"227","樹林館","特定非営利活動法人樹林館","大田区","03-3752-5959","小平","http://kirinkan.world.coocan.jp/","kirinkan@nifty.com","エプロンの製作","生活用品","1","30","１ヶ月","1500~","自力での納品可","無","無","有","福祉・保育施設のスタッフ用にいかがですか。名入れ・ロゴなどの刺しゅうも承ります。オリジナルデザインのオーダーも可能です。"
"228","樹林館","特定非営利活動法人樹林館","大田区","03-3752-5959","小平","http://kirinkan.world.coocan.jp/","kirinkan@nifty.com","巾着・バッグの製作","生活用品","1","300","１ヶ月","350~","自力での納品可","無","有","有","ご要望に合わせた大きさや素材でお作りします。販促物品やノベルティにご活用ください。"
"229","樹林館","特定非営利活動法人樹林館","大田区","03-3752-5959","小平","http://kirinkan.world.coocan.jp/","kirinkan@nifty.com","プリントクッキーの製造","食品","10枚","1000枚","1.5ヶ月","80・120・150/枚","自力での納品可","無","有","有","世界でただ一つのオーダーメイドクッキーはいかがですか。ﾉﾍﾞﾙﾃｨやプレゼント、周年記念などに"
"230","樹林館","特定非営利活動法人樹林館","大田区","03-3752-5959","小平","http://kirinkan.world.coocan.jp/","kirinkan@nifty.com","クッキー（各種）の製造","食品","10袋","1500袋","２ヶ月","100・230・350/袋","自力での納品可","無","有","有","ｲﾍﾞﾝﾄのお土産、贈り物用に箱入りのご用意もあります"
"231","明日楽","アスラ株式会社","大田区","03-6428-7042","大森","http://asura.info","query@asura.info","DM・チラシ等の封入","封入・封緘","10000枚","300000枚","1～2週間程度","3円/枚（要相談）","発注元による回収希望","無","無","有","プライバシーマーク取得により宛名が印字されているラベル貼りも可能。納入方法：大型トラックでの搬入搬出可能（発注元で手配お願いします）"
"232","明日楽","アスラ株式会社","大田区","03-6428-7042","大森","http://asura.info","query@asura.info","チラシ折り作業","封入・封緘","10000枚","300000枚","1～2週間程度","1円/枚（要相談）","発注元による回収希望","無","無","有","折った後の丁合や封入も可能です。納入方法：大型トラックでの搬入搬出可能（発注元で手配お願いします）"
"233","明日楽","アスラ株式会社","大田区","03-6428-7042","大森","http://asura.info","query@asura.info","ハガキ・ポチ袋セット作業","事務用品","1000セット","100000セット","1～2週間程度","3円/1セット（要相談）","発注元による回収希望","無","無","有","丁合や封入封緘、ラベル貼りといった作業も相談可能。納入方法：大型トラックでの搬入搬出可能（発注元で手配お願いします）"
"234","明日楽","アスラ株式会社","大田区","03-6428-7042","大森","http://asura.info","query@asura.info","箱の組み立て","その他","1000個","10000個","1～2週間程度","要相談","発注元による回収希望","無","無","有","化粧品箱等の組立実績あり。出来上がり後の検品も重視しています。納入方法：大型トラックでの搬入搬出可能（発注元で手配お願いします）"
"235","東京都大田福祉工場","社会福祉法人東京コロニー","大田区","03-3762-7611","湯浅","https://ootafukushikojo.org/","yuasa@tocolo.or.jp","書籍","印刷","1","１０万","４～20日","活用事例２００円／冊","自力での納品可","有","有","有","Ａ５５００頁２８,２５０冊"
"236","東京都大田福祉工場","社会福祉法人東京コロニー","大田区","03-3762-7611","湯浅","https://ootafukushikojo.org/","yuasa@tocolo.or.jp","パンフレット","印刷","1","150万","３～30日","活用事例4.65円／部","自力での納品可","有","有","有","ミニパンフレット２８頁1,091,000部"
"237","東京都大田福祉工場","社会福祉法人東京コロニー","大田区","03-3762-7611","湯浅","https://ootafukushikojo.org/","yuasa@tocolo.or.jp","分梱・封入・封緘・丁合セット","封入・封緘","1","50000","14日","活用事例13円／部","自力での納品可","有","有","有","７点封入封緘３０,０００セット正味10日"
"238","東京都大田福祉工場","社会福祉法人東京コロニー","大田区","03-3762-7611","湯浅","https://ootafukushikojo.org/","yuasa@tocolo.or.jp","公園清掃","清掃","1","1","月７～８回","活用事例60000円／月","自力での納品可","無","有","無","大田区立公園委託"
"239","Navioけやき","社会福祉法人櫂","世田谷区","03-3421-8701","","http://www.swc-kai.com/","navio.keyaki@swc-kai.com","封入・封緘","封入・封緘","100部","1000部","3日","1点封入3円","発注元による回収希望","有","有","有",""
"240","Navioけやき","社会福祉法人櫂","世田谷区","03-3421-8701","","http://www.swc-kai.com/","navio.keyaki@swc-kai.com","公園清掃","清掃","500m2","1000m2","1年間","1000円/時","自力での納品可","無","有","無",""
"241","Navioけやき","社会福祉法人櫂","世田谷区","03-3421-8701","","http://www.swc-kai.com/","navio.keyaki@swc-kai.com","名刺印刷","印刷","20枚","1000枚","10日","およそ10円/枚（モノクロ）・20円/枚（カラー）","発注元による回収希望","無","有","有",""
"242","Navioけやき","社会福祉法人櫂","世田谷区","03-3421-8701","","http://www.swc-kai.com/","navio.keyaki@swc-kai.com","メール便・ポスティング","その他","10通（メール便）","1000部（ポスティング）","10日","メール便18円/通・ポスティング4円/部","発注元による回収希望","無","無","有",""
"243","Scopo","特定非営利活動法人ウィーキャン世田谷","世田谷区","03-6413-0098","鈴木","https://www.scopo.or.jp","order@scopo.or.jp","封入・封緘・発送（封入物の印刷含む）","封入・封緘","１件","1000件","1ヶ月","要相談","自力での納品可","無","有","無","封入物や封筒の差出人・宛名印刷を含め封入封かん発送業務を承ります。"
"244","Scopo","特定非営利活動法人ウィーキャン世田谷","世田谷区","03-6413-0098","鈴木","https://www.scopo.or.jp","order@scopo.or.jp","DTP・デザイン制作（冊子・チラシ・パンフレット）","印刷","冊子1冊","冊子1000冊","1ヶ月","480円/冊・税別（A4、200P、無線綴じ、スミ刷り）","自力での納品可","無","有","有","冊子、名刺、チラシ、リーフレットなどのデザイン制作から印刷・製本まで承ります。"
"245","Scopo","特定非営利活動法人ウィーキャン世田谷","世田谷区","03-6413-0098","鈴木","https://www.scopo.or.jp","order@scopo.or.jp","Webデザイン（ホームページ制作）","データ入力","1ページ","20ページ","3ヶ月","約20000円/頁（税別）","自力での納品可","無","無","有","オリジナリティ溢れる魅力的なWebサイトをご提供。（ご参考：自法人施設ホームページ制作）https://www.scopo.or.jp/"
"246","Scopo","特定非営利活動法人ウィーキャン世田谷","世田谷区","03-6413-0098","鈴木","https://www.scopo.or.jp","order@scopo.or.jp","封筒印刷（封筒・名刺・案内状・年賀状等）","印刷","封筒10部","封筒10000部","10日","7円/枚・税別（長３封筒・スミ刷り）","自力での納品可","無","有","有","音声コード等、お客様のご要望に沿った封筒や名刺の印刷を行います。また、案内状や年賀状のデザインから宛名印刷も承ります。"
"247","コイノニアかみきた","社会福祉法人泉会","世田谷区","03-5316-2251","越川","https://izumikai.jp/","koinonia@izumikai.jp","野菜","食品","10","50","1ヶ月","150","自力での納品可","無","無","無","水耕栽培で育てた新鮮で洗わないで食べられる野菜。社名入りラベルも対応可能なのでノベルティにも使えます。"
"248","コイノニアかみきた","社会福祉法人泉会","世田谷区","03-5316-2251","越川","https://izumikai.jp/","koinonia@izumikai.jp","チラシ等の封入・封緘作業","封入・封緘","500","2000","1ヶ月","10","自力での納品可","無","無","無","1回だけの単発の発注も承ります"
"249","にこにこみやさか","非営利活動法人ワーカーズコープ","世田谷区","03-6413-7585","","http://nikonikomiya.roukyou.gr.jp","nikonikomiya@roukyou.gr.jp","水引","その他","1","10","7日間","未定","発注元による回収希望","無","無","有","アクセサリーとして、又ポチ袋として制作をしているので贈答用としても使えます。"
"250","にこにこみやさか","非営利活動法人ワーカーズコープ","世田谷区","03-6413-7585","","http://nikonikomiya.roukyou.gr.jp","nikonikomiya@roukyou.gr.jp","ハワイアンリボン","その他","1","2","14日間","700～800円","発注元による回収希望","無","無","有","ネームホルダーやストラップとして制作しています。"
"251","にこにこみやさか","非営利活動法人ワーカーズコープ","世田谷区","03-6413-7585","","http://nikonikomiya.roukyou.gr.jp","nikonikomiya@roukyou.gr.jp","お菓子","食品","5","30","5日間","100～600円","発注元による回収希望","無","無","有","焼き菓子、ジャム(季節限定)です。ジャムの原材料は世田谷区内で採れたものに限定しているので、世田谷のおみやげともしてお使いいただけます。"
"252","にゃんこの館","特定非営利活動法人響心会","世田谷区","03-3482-5052","","https://www.nyankonoyakata.com","nyanko@khe.biglobe.ne.jp","公園・ビル清掃","清掃","週2回","週3回","1年間","1カ所年間20～100万","","無","有","無","官公庁2カ所より受託実績あり。"
"253","にゃんこの館","特定非営利活動法人響心会","世田谷区","03-3482-5052","","https://www.nyankonoyakata.com","nyanko@khe.biglobe.ne.jp","封入・封緘・発送","封入・封緘","500","10000","1～2週間","5～10円","発注元による回収希望","無","有","有","短納期にも対応可能です。"
"254","にゃんこの館","特定非営利活動法人響心会","世田谷区","03-3482-5052","","https://www.nyankonoyakata.com","nyanko@khe.biglobe.ne.jp","シール貼り","封入・封緘","500","10000","1～２週間","1～3円","発注元による回収希望","無","無","有","短納期にも対応可能です。"
"255","にゃんこの館","特定非営利活動法人響心会","世田谷区","03-3482-5052","","https://www.nyankonoyakata.com","nyanko@khe.biglobe.ne.jp","缶バッチ・キーホルダー作成","その他","500","2000","1～2週間","8～15円","発注元による回収希望","無","無","有","缶バッチ用プレス機あり"
"256","まごの手便","社会福祉法人めぐはうす","世田谷区","03-3324-2391","","http://www.meghouse.or.jp/mago.html","magonotebin@meghouse.or.jp","名刺の印刷","印刷","10枚","1000枚","10日間","1000円（片面黒１色）1700円（両面黒１色）","自力での納品可","有","有","有",""
"257","まごの手便","社会福祉法人めぐはうす","世田谷区","03-3324-2391","","http://www.meghouse.or.jp/mago.html","magonotebin@meghouse.or.jp","資料の印刷","印刷","10枚","3000枚","2週間","５円（片面黒１色）","自力での納品可","無","有","有",""
"258","まごの手便","社会福祉法人めぐはうす","世田谷区","03-3324-2391","","http://www.meghouse.or.jp/mago.html","magonotebin@meghouse.or.jp","ＤＭ・チラシの封入や発送、宛名シール貼り","印刷","10件","1000件","2週間","３０円（１通）","自力での納品可","無","無","有",""
"259","まごの手便","社会福祉法人めぐはうす","世田谷区","03-3324-2391","","http://www.meghouse.or.jp/mago.html","magonotebin@meghouse.or.jp","封筒印刷","印刷","10枚","5000枚","10日間","１５円（１通）","自力での納品可","有","無","有",""
"260","リバティ世田谷","特定非営利活動法人リンク・オブりばてぃ","世田谷区","03-6450-9970","田端","http://www.liberty-setagaya.jp/","liberty-setagaya@liberty-setagaya.jp","受注作業","封入・封緘","3000","5000","10～１４日","封入￥1/1枚封緘￥1.5/1枚","発注元による回収希望","有","有","有",""
"261","ワークランド・フレンドパーク","特定非営利活動法人S.U総合企画","世田谷区","03-5374-3895","成田","http://fc00020220170201.web3.blks.jp/","friendpark@za.wakwak.com","封入・封緘","封入・封緘","5000","10000","1日～2日","1円/枚","自力での納品可","無","無","無","作業工程や納品の方法は要相談でお願い致します。"
"262","喜多見夢工房","社会福祉法人せたがや樫の木会","世田谷区","03-3430-5400","甲斐","https://www.kashinokikai.net/","kitamifukusaku@drive.ocn.ne.jp","DM・チラシの封入、封緘","封入・封緘","","50000","4週間","2円/1点","発注元による回収希望","","","",""
"263","上町工房","社会福祉法人せたがや樫の木会","世田谷区","03-3706-0645","斉藤","https://www.kashinokikai.net/事業所紹介/上町工房/","kamimachikobo@aurora.ocn.ne.jp","季節のジャム","食品","1","300要相談","1か月程要相談","400～450円","自力での納品可","無","有","無",""
"264","上町工房","社会福祉法人せたがや樫の木会","世田谷区","03-3706-0645","斉藤","https://www.kashinokikai.net/事業所紹介/上町工房/","kamimachikobo@aurora.ocn.ne.jp","切干大根ドライ野菜・フルーツ","食品","1","300要相談","2週間程","200円350～400円","自力での納品可","無","無","無",""
"265","上町工房","社会福祉法人せたがや樫の木会","世田谷区","03-3706-0645","斉藤","https://www.kashinokikai.net/事業所紹介/上町工房/","kamimachikobo@aurora.ocn.ne.jp","封入・丁合・封緘ラベル貼り","封入・封緘","1","10000","2日～5日間","1工程1円～","発注元による回収希望","無","有","有",""
"266","上町工房","社会福祉法人せたがや樫の木会","世田谷区","03-3706-0645","斉藤","https://www.kashinokikai.net/事業所紹介/上町工房/","kamimachikobo@aurora.ocn.ne.jp","箱折り","箱・袋詰め","1","1000","1～3日","8円～","発注元による回収希望","無","無","有",""
"267","多機能型事業所さわやかはーとあーす世田谷","社会福祉法人さわやか会","世田谷区","03-6413-0610","高橋","http://www.shinsetsu.net/sawayakakai.html","he-satagaya@shinsetsu.net","パン","食品","1０個","300個","1０日間","110円～／個","発注元による回収希望","無","無","有","３０個程度であれば、２日前発注も可能です。注文数、納品希望時間帯によっては自力納品を行います。（応相談）"
"268","世田谷区立岡本福祉作業ホーム","泉会","世田谷区","03-3415-3366","石黒","https://izumikai.jp/","okamoto@izumikai.jp","青森ヒバ巾着セット","生活用品","1個","25個","14日","500円","発注元による回収希望","無","無","無","100%青森ヒバのかんなくずと、かんなくずを入れてサシュとしても使用できる巾着袋２つのセットです。10個以上のご注文は納品いたします。"
"269","世田谷区立岡本福祉作業ホーム","泉会","世田谷区","03-3415-3366","石黒","https://izumikai.jp/","okamoto@izumikai.jp","ポプリ","生活用品","1個","100個","14日","100円","発注元による回収希望","無","無","有","ローズやラベンダー等のポプリを小さな袋に詰めました。香をお楽しみください。50個以上のご注文は納品いたします。"
"270","世田谷区立岡本福祉作業ホーム","泉会","世田谷区","03-3415-3366","石黒","https://izumikai.jp/","okamoto@izumikai.jp","アートせっけん","生活用品","1個","100個","50日","300円","発注元による回収希望","無","無","無","片面に絵柄の付いた石鹸です。キャンディタイプのラッピングが目を引きます。用途に応じて絵柄オーダーも可能。20個以上のご注文は納品致します。"
"271","世田谷区立岡本福祉作業ホーム","泉会","世田谷区","03-3415-3366","石黒","https://izumikai.jp/","okamoto@izumikai.jp","袋詰め","封入・封緘","500セット","3000セット","10日","1円～／1工程","発注元による回収希望","無","有","有","受注量・作業単価・引き取り・納品につきましてはご相談ください。少量でも可能な限りお引き受けします。"
"272","世田谷区立下馬福祉工房","社会福祉法人せたがや樫の木会","世田谷区","03-5712-5103","長見","https://www.kashinokikai.net/","shimouma-f.k@vesta.ocn.ne.jp","焼き菓子","食品","100袋","1000袋","30日","1袋150円","発注元による回収希望","無","有","有",""
"273","世田谷区立下馬福祉工房","社会福祉法人せたがや樫の木会","世田谷区","03-5712-5103","長見","https://www.kashinokikai.net/","shimouma-f.k@vesta.ocn.ne.jp","封入作業","封入・封緘","3000","10000","30日","","発注元による回収希望","無","無","有",""
"274","世田谷区立下馬福祉工房","社会福祉法人せたがや樫の木会","世田谷区","03-5712-5103","長見","https://www.kashinokikai.net/","shimouma-f.k@vesta.ocn.ne.jp","箱組み立て","箱・袋詰め","100","1000","30日","","発注元による回収希望","無","無","無",""
"275","世田谷区立砧工房","社会福祉法人東京都手をつなぐ育成会","世田谷区","03-3417-4604","田中","http://ns2.ikuseikai-tky.or.jp/~iku-kinuta/","kinuta@ikuseikai-tky.or.jp","新聞丁合い（チラシ7点）","封入・封緘","","1200部","2日間","0.5円（チラシ1点）","発注元による回収希望","","","有","丁合い点数等ご相談に応じます。"
"276","世田谷区立砧工房","社会福祉法人東京都手をつなぐ育成会","世田谷区","03-3417-4604","田中","http://ns2.ikuseikai-tky.or.jp/~iku-kinuta/","kinuta@ikuseikai-tky.or.jp","クーポン等ホチキス留め","その他","","3000セット","5日間","1円（1セット）","発注元による回収希望","","","有","点数等ご相談に応じます。"
"277","世田谷区立砧工房分場キタミ・クリーンファーム","社会福祉法人東京都手をつなぐ育成会","世田谷区","03-3749-3880","小林","http://www.ikuseikai-tky.or.jp/~iku-kinuta/","kinuta_bun@ikuseikai-tky.or.jp","水耕栽培サラダ菜","食品","","30","5日","100円","自力での納品可","無","無","有","生育状況により、出荷できない場合もあります。納品に関しましては、受注先の所在地、発注個数により、ご相談させていただく場合があります。"
"278","世田谷区立砧工房分場キタミ・クリーンファーム","社会福祉法人東京都手をつなぐ育成会","世田谷区","03-3749-3880","小林","http://www.ikuseikai-tky.or.jp/~iku-kinuta/","kinuta_bun@ikuseikai-tky.or.jp","水耕栽培リーフレタス","食品","","15","5日","100円","自力での納品可","無","無","有","生育状況により、出荷できない場合もあります。納品に関しましては、受注先の所在地、発注個数により、ご相談させていただく場合があります。"
"279","世田谷区立砧工房分場キタミ・クリーンファーム","社会福祉法人東京都手をつなぐ育成会","世田谷区","03-3749-3880","小林","http://www.ikuseikai-tky.or.jp/~iku-kinuta/","kinuta_bun@ikuseikai-tky.or.jp","水耕栽培ブーケレタス","食品","","15","5日","100円","自力での納品可","無","無","有","生育状況により、出荷できない場合もあります。納品に関しましては、受注先の所在地、発注個数により、ご相談させていただく場合があります。"
"280","世田谷区立玉川福祉作業所","社会福祉法人大三島育徳会","世田谷区","03-3707-0498","石野","http://www.oomishima.jp","honen@tamahuku.jp","チラシの封入・封緘","事務用品","500部","5000部","１０日間","１円/1工程","自力での納品可","無","無","有","チラシ織りこみから対応します"
"281","世田谷区立玉川福祉作業所","社会福祉法人大三島育徳会","世田谷区","03-3707-0498","石野","http://www.oomishima.jp","honen@tamahuku.jp","箱等組み立て","事務用品","５００個","３０００個","週","１円/1工程","発注元による回収希望","無","無","有","贈答用お菓子箱の組み立ての納品実績があります帽子・手袋を着用衛生面に配慮しています"
"282","世田谷区立玉川福祉作業所","社会福祉法人大三島育徳会","世田谷区","03-3707-0498","石野","http://www.oomishima.jp","honen@tamahuku.jp","袋詰め・箱入れ","生活用品","200個","5000個","週","１円/1工程","自力での納品可","無","無","有","イベント用、缶バッチ・キーホルダーの袋詰め、納品実績があります"
"283","世田谷区立玉川福祉作業所","社会福祉法人大三島育徳会","世田谷区","03-3707-0498","石野","http://www.oomishima.jp","honen@tamahuku.jp","たまピカクロス","生活用品","１０個","２００個","週","２００円／１０枚","自力での納品可","無","有","有","コットン１００％の使用済みお手拭をお掃除クロスにリサイクルし太≫製品です。"
"284","世田谷区立世田谷福祉作業所","社会福祉法人武蔵野会","世田谷区","03-3414-0141","","http://www.setagaya2939.jp/","m.setafuku@flute.ocn.ne.jp","名刺","生活用品","50枚","300枚","14日間","50枚￥1800～","自力での納品可","無","有","有","紙パックなどを再利用した手すき紙の名刺です。印刷データはご入稿ください。"
"285","世田谷区立世田谷福祉作業所","社会福祉法人武蔵野会","世田谷区","03-3414-0141","","http://www.setagaya2939.jp/","m.setafuku@flute.ocn.ne.jp","箱の組み立て","箱・袋詰め","100個","1000個","14日間","5円～/個","発注元による回収希望","無","無","有","大形結束機を所有しておりますので、結束・梱包作業も承ります。"
"286","世田谷区立世田谷福祉作業所","社会福祉法人武蔵野会","世田谷区","03-3414-0141","","http://www.setagaya2939.jp/","m.setafuku@flute.ocn.ne.jp","焼き菓子","生活用品","1個～","200個","7日間","150円～/個","自力での納品可","無","有","有","個包装からギフトセット、ちょっとしたプレゼント向けのアソートなど、ご相談に応じた形で販売します。"
"287","世田谷区立世田谷福祉作業所","社会福祉法人武蔵野会","世田谷区","03-3414-0141","","http://www.setagaya2939.jp/","m.setafuku@flute.ocn.ne.jp","DM・チラシの封入、発送","封入・封緘","500枚","3000枚","7日間","10円/枚","発注元による回収希望","無","有","有","手作業ですが、OPP袋・封筒など、種別は問いません。"
"288","地域活動支援センター陽だまりの庭","特定非営利活動法人陽だまりの庭","世田谷区","03-3416-4669","尊田","http://www.hidamarinoniwa.com","info@hidamarinoniwa.com","公園清掃","清掃","","1457m2","1年間","457円/m2","自力での納品可","無","有","無",""
"289","みどり工房","NPO法人よりどりみどり","渋谷区","03-3356-9517","熊沢","https://npoyoridori.wixsite.com/npoyoridori","info@midori-kobo.org","昼食弁当","食品","10食","40食","14日前までに注文","1000円～/1食","発注元による回収希望","","","有","雑穀米に主菜、副菜２品＋お漬物が付いています。１つ1000円で配達可能です。会議弁当（1500円～）もご用意できます。"
"290","みどり工房","NPO法人よりどりみどり","渋谷区","03-3356-9517","熊沢","https://npoyoridori.wixsite.com/npoyoridori","info@midori-kobo.org","ケーキ・クッキー","食品","10袋","50袋","14日前までに注文","300円～/1袋","発注元による回収希望","","","有","マーガリンを使わず、バターやグレープシードオイルを使用。３００円は個包装タイプの価格です。お歳暮等の季節の贈答品として、焼き菓子とハーブティーの詰め合わせセット（\2150～＋送料）もご用意できます。"
"291","みどり工房","NPO法人よりどりみどり","渋谷区","03-3356-9517","熊沢","https://npoyoridori.wixsite.com/npoyoridori","info@midori-kobo.org","パーティー料理","食品","10食","20食","14日前までに注文","2000円～／1人分","自力での納品可","","","有","イベント用のパーティー料理を配達し、会場での盛り付けも承れます。メニューや品数、提供様式はご相談に応じます。"
"292","みどり工房","NPO法人よりどりみどり","渋谷区","03-3356-9517","熊沢","https://npoyoridori.wixsite.com/npoyoridori","info@midori-kobo.org","革のカードケース・小銭入れ・ブックカバー","生活用品","1個～","10個","1ヶ月","1000円～2800円","発注元による回収希望","","有","","某省にて海外へのお土産になりました。"
"293","みどり工房","NPO法人よりどりみどり","渋谷区","03-3356-9517","熊沢","https://npoyoridori.wixsite.com/npoyoridori","info@midori-kobo.org","七宝ブローチ","生活用品","1個～","100個","1ヶ月","600円～","自力での納品可","","","有","手描きの猫のブローチが人気です。民間の動物愛護団体や、動物病院、雑貨店などに卸しています。"
"294","みどり工房","NPO法人よりどりみどり","渋谷区","03-3356-9517","熊沢","https://npoyoridori.wixsite.com/npoyoridori","info@midori-kobo.org","アロマキャンドル","生活用品","1個～","100個","1ヶ月","300円～","発注元による回収希望","","有","","某省にて海外へのお土産になりました。"
"295","みどり工房","NPO法人よりどりみどり","渋谷区","03-3356-9517","熊沢","https://npoyoridori.wixsite.com/npoyoridori","info@midori-kobo.org","名刺の印刷","事務用品","1名分100枚1セット","５名様分","2週間","新規：2000円リピーター：1000円","発注元による回収希望","","","有","優先受注で区からも承っています。カラー印刷の場合は、1000円の追加料金がかかります。"
