産業分類階層,産業コード,産業細分類,事業所数,従業者数（送出者を除く）／総数（人）,従業者数（送出者を除く）／うち男（人）,常用労働者／総数（人）,常用労働者／うち男（人）,個人業主及び無給家族従業者（人）,現金給与総額（万円）,原材料使用額等（万円）,製造品出荷額等／総額（万円）,製造品出荷額／製造品出荷額（万円）,製造品出荷額／加工賃収入額（万円）,製造品出荷額／修理料収入額（万円）,製造品出荷額／くず・廃物出荷額（万円）,製造品出荷額／その他の収入額（万円）,付加価値額（29人以下は粗付加価値額）（万円）,粗付加価値額（万円）,有形固定資産額（30人以上）／年初現在高（万円）,有形固定資産額（30人以上）／取得額（万円）,有形固定資産額（30人以上）／除却額（万円）,有形固定資産額（30人以上）／減価償却額（万円）
3,1647,ろうそく製造業,2,35,13,35,13,-,x,x,x,x,-,-,-,x,x,x,-,-,-,-
2,1650,医薬品製造業,35,2931,1620,2931,1620,-,1558524,3570194,9737515,8950632,339089,-,-,447794,5398243,5760591,6190230,386299,77456,409131
3,1651,医薬品原薬製造業,1,49,34,49,34,-,x,x,x,x,-,-,-,x,x,x,x,x,x,x
3,1652,医薬品製剤製造業,27,2149,1201,2149,1201,-,1132849,2685069,5335592,4733875,339089,-,-,262628,2246231,2486949,1815551,261263,5745,249740
3,1653,生物学的製剤製造業,3,593,299,593,299,-,335505,484140,3486346,3416167,-,-,-,70179,2670374,2795495,4038439,112797,54448,138257
3,1654,生薬・漢方製剤製造業,1,12,9,12,9,-,x,x,x,x,-,-,-,x,x,x,-,-,-,-
3,1655,動物用医薬品製造業,3,128,77,128,77,-,x,x,x,x,-,-,-,x,x,x,x,x,x,x
2,1660,化粧品・歯磨・その他の化粧用調整品製造業,45,4096,2209,4122,2233,1,2286514,5635522,13609467,12751697,47618,-,-,810152,7295983,7440577,2701012,169712,16190,173369
3,1661,仕上用・皮膚用化粧品製造業（香水、オーデコロンを含む）,26,3661,1968,3671,1976,-,2110568,5001732,12440507,11669369,10152,-,-,760986,6828658,6938197,2286334,122540,4734,144083
3,1662,頭髪用化粧品製造業,16,322,189,338,205,1,150122,508550,964582,919037,8,-,-,45537,397062,429107,390850,47172,11456,28405
3,1669,その他の化粧品・歯磨・化粧用調整品製造業,3,113,52,113,52,-,25824,125240,204378,163291,37458,-,-,3629,70263,73273,23828,-,-,881
2,1690,その他の化学工業,39,1435,1045,1439,1048,-,854936,4102684,6390901,6103310,47220,-,-,240371,1902216,2214798,5093108,162906,56096,308266
3,1693,香料製造業,5,236,159,237,159,-,138753,765813,1132995,1074450,3825,-,-,54720,280487,361236,498283,12577,1473,57652
3,1694,ゼラチン・接着剤製造業,8,211,140,211,140,-,135763,576562,1150017,1011908,726,-,-,137383,413125,548444,3893035,30481,34319,142920
3,1695,写真感光材料製造業,2,20,16,20,16,-,x,x,x,x,x,-,-,x,x,x,-,-,-,-
3,1697,試薬製造業,5,125,70,125,70,-,x,x,x,x,x,-,-,x,x,x,x,x,-,x
3,1699,他に分類されない化学工業製品製造業,19,843,660,846,663,-,514310,2642771,3845834,3772374,42554,-,-,30906,1074639,1170735,679517,117444,20304,104187
1,1700,石油製品・石炭製品製造業,17,342,281,342,281,-,190179,2032766,3376643,3013984,29349,-,-,333310,1242875,1245663,x,x,x,x
2,1720,潤滑油・グリース製造業（石油精製業によらないもの）,4,125,108,125,108,-,67097,595965,732017,678462,29349,-,-,24206,124288,127076,x,x,x,x
3,1721,潤滑油・グリース製造業（石油精製業によらないもの）,4,125,108,125,108,-,67097,595965,732017,678462,29349,-,-,24206,124288,127076,x,x,x,x
2,1740,舗装材料製造業,13,217,173,217,173,-,123082,1436801,2644626,2335522,-,-,-,309104,1118587,1118587,-,-,-,-
3,1741,舗装材料製造業,13,217,173,217,173,-,123082,1436801,2644626,2335522,-,-,-,309104,1118587,1118587,-,-,-,-
1,1800,プラスチック製品製造業（別掲を除く）,600,8077,4871,8097,4889,18,3032128,5883313,12438906,9906331,1621851,4321,1179,905224,5956466,6102120,1462774,156982,69219,116771
2,1810,プラスチック板・棒・管・継手・異形押出製品製造業,83,1123,731,1126,734,1,437639,711431,1651322,1382817,172100,486,39,95880,848010,872552,173120,10927,5500,17223
3,1811,プラスチック板・棒製造業,9,125,94,125,94,-,66306,113883,274200,222851,45452,-,-,5897,142101,149709,92529,3306,424,9097
3,1812,プラスチック管製造業,4,61,39,61,39,-,x,x,x,x,x,-,-,x,x,x,-,-,-,-
3,1813,プラスチック継手製造業,1,6,4,6,4,-,x,x,x,x,-,-,-,x,x,x,-,-,-,-
3,1814,プラスチック異形押出製品製造業,17,354,221,358,225,-,141069,240155,531387,448553,14057,-,-,68777,255455,270221,57308,4942,5041,5831
3,1815,プラスチック板・棒・管・継手・異形押出製品加工業,52,577,373,576,372,1,204327,294957,715280,621649,86189,486,39,6917,387472,389640,23283,2679,35,2295
2,1820,プラスチックフィルム・シート・床材・合成皮革製造業,74,871,514,864,509,7,325945,724341,1381103,917790,334268,3351,-,125694,584192,620101,251012,21742,5895,14533
3,1821,プラスチックフィルム製造業,19,201,137,201,137,-,87153,265445,389797,284621,73171,-,-,32005,115142,115142,-,-,-,-
3,1822,プラスチックシート製造業,9,77,47,75,46,2,30963,19208,83498,32114,49948,-,-,1436,59529,59529,-,-,-,-
3,1825,プラスチックフィルム・シート・床材・合成皮革加工業,46,593,330,588,326,5,207829,439688,907808,601055,211149,3351,-,92253,409521,445430,251012,21742,5895,14533
2,1830,工業用プラスチック製品製造業,222,3055,1879,3085,1904,4,1170251,2110673,4588277,3545649,681768,484,146,360230,2281974,2305384,408972,77088,1165,32311
3,1831,電気機械器具用プラスチック製品製造業（加工業を除く）,37,462,259,462,259,-,172911,316918,729612,684698,14414,-,16,30484,381404,385118,153420,6063,377,7304
3,1832,輸送機械器具用プラスチック製品製造業（加工業を除く）,31,361,213,370,223,1,112445,214891,471459,423573,17711,-,-,30175,239943,238423,15110,874,526,1896
3,1833,その他の工業用プラスチック製品製造業（加工業を除く）,85,1177,697,1199,713,2,458848,946670,1863586,1437477,223867,484,-,201758,846361,852964,31478,5468,82,8201
3,1834,工業用プラスチック製品加工業,69,1055,710,1054,709,1,426047,632194,1523620,999901,425776,-,130,97813,814266,828879,208964,64683,180,14910
2,1840,発泡・強化プラスチック製品製造業,41,542,342,541,341,1,199999,321645,754781,622443,32085,-,-,100253,374485,402042,52450,7160,10649,11019
3,1841,軟質プラスチック発泡製品製造業（半硬質性を含む）,20,176,102,175,101,1,48875,106777,192264,168963,23301,-,-,-,79155,79155,-,-,-,-
3,1842,硬質プラスチック発泡製品製造業,6,150,94,150,94,-,x,x,x,x,x,-,-,x,x,x,x,x,x,x
3,1843,強化プラスチック製板・棒・管・継手製造業,2,19,7,19,7,-,x,x,x,x,x,-,-,-,x,x,-,-,-,-
3,1844,強化プラスチック製容器・浴槽等製造業,6,128,96,128,96,-,66838,116945,250398,220143,174,-,-,30081,101900,123802,12676,4926,-,5508
3,1845,発泡・強化プラスチック製品加工業,7,69,43,69,43,-,21910,16586,54005,47995,6010,-,-,-,34648,34648,-,-,-,-
2,1850,プラスチック成形材料製造業（廃プラスチックを含む）,14,157,120,157,120,-,72879,350590,574542,433323,18664,-,-,122555,205872,209634,98664,3317,518,5382
3,1851,プラスチック成形材料製造業,14,157,120,157,120,-,72879,350590,574542,433323,18664,-,-,122555,205872,209634,98664,3317,518,5382
2,1890,その他のプラスチック製品製造業,166,2329,1285,2324,1281,5,825415,1664633,3488881,3004309,382966,-,994,100612,1661933,1692407,478556,36748,45492,36303
3,1891,プラスチック製日用雑貨・食卓用品製造業,21,306,150,305,149,1,89632,242697,443946,366622,76370,-,954,-,182459,186675,43075,6440,-,4504
3,1892,プラスチック製容器製造業,43,646,393,646,393,-,236099,526044,1133820,1059666,44785,-,-,29369,552936,564223,199470,17520,19,15805
3,1897,他に分類されないプラスチック製品製造業,47,720,317,719,316,1,261126,418340,967781,847403,90597,-,40,29741,496749,509838,161104,8254,36220,11821
3,1898,他に分類されないプラスチック製品加工業,55,657,425,654,423,3,238558,477552,943334,730618,171214,-,-,41502,429789,431671,74907,4534,9253,4173
1,1900,ゴム製品製造業,194,2456,1653,2439,1640,17,924856,1859318,3455210,3106153,205259,416,1647,141735,1486925,1518690,939934,234558,15978,120435
2,1910,タイヤ・チューブ製造業,2,230,222,230,222,-,x,x,x,x,-,-,-,x,x,x,x,x,x,x
3,1911,自動車タイヤ・チューブ製造業,1,219,212,219,212,-,x,x,x,x,-,-,-,-,x,x,x,x,x,x
3,1919,その他のタイヤ・チューブ製造業,1,11,10,11,10,-,x,x,x,x,-,-,-,x,x,x,-,-,-,-
2,1920,ゴム製・プラスチック製履物・同附属品製造業,11,138,79,137,78,1,42060,96230,171782,167144,2422,-,-,2216,74527,70010,135561,-,-,1569
3,1921,ゴム製履物・同附属品製造業,7,94,55,93,54,1,28498,42844,87260,83587,2102,-,-,1571,41126,41126,-,-,-,-
3,1922,プラスチック製履物・同附属品製造業,4,44,24,44,24,-,13562,53386,84522,83557,320,-,-,645,33401,28884,135561,-,-,1569
2,1930,ゴムベルト・ゴムホース・工業用ゴム製品製造業,150,1737,1136,1721,1124,16,631044,1223553,2479265,2218263,176101,416,1647,82838,1150731,1165340,437811,29220,9618,19215
3,1931,ゴムベルト製造業,1,15,13,15,13,-,x,x,x,x,x,-,-,x,x,x,-,-,-,-
3,1932,ゴムホース製造業,1,25,22,25,22,-,x,x,x,x,x,-,-,-,x,x,-,-,-,-
3,1933,工業用ゴム製品製造業,148,1697,1101,1681,1089,16,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2,1990,その他のゴム製品製造業,31,351,216,351,216,-,x,x,x,x,x,-,-,x,x,x,x,x,x,x
3,1991,ゴム引布・同製品製造業,1,15,11,15,11,-,x,x,x,-,x,-,-,x,x,x,-,-,-,-
3,1992,医療・衛生用ゴム製品製造業,5,55,30,55,30,-,20888,24893,67935,67007,x,-,-,x,39853,39853,-,-,-,-
3,1993,ゴム練生地製造業,6,38,26,38,26,-,13734,37200,64565,61205,3250,-,-,110,25338,25338,-,-,-,-
3,1994,更生タイヤ製造業,1,6,6,6,6,-,x,x,x,x,-,-,-,-,x,x,x,x,x,x
3,1995,再生ゴム製造業,1,9,5,9,5,-,x,x,x,x,-,-,-,-,x,x,-,-,-,-
3,1999,他に分類されないゴム製品製造業,17,228,138,228,138,-,69595,148568,307124,244793,8372,-,-,53959,155520,147688,39444,5344,-,2746
1,2000,なめし革・同製品・毛皮製造業,236,3663,2061,3647,2055,32,1212781,4249885,7531077,6603766,280510,3652,1733,641416,3001079,3048673,781336,143901,31001,33873
2,2010,なめし革製造業,26,273,196,272,197,4,94718,175035,357648,261327,87450,-,1733,7138,169193,169193,-,-,-,-
3,2011,なめし革製造業,26,273,196,272,197,4,94718,175035,357648,261327,87450,-,1733,7138,169193,169193,-,-,-,-
2,2020,工業用革製品製造業（手袋を除く）,2,47,25,47,25,-,x,x,x,x,x,-,-,-,x,x,-,-,-,-
3,2021,工業用革製品製造業（手袋を除く）,2,47,25,47,25,-,x,x,x,x,x,-,-,-,x,x,-,-,-,-
2,2030,革製履物用材料・同附属品製造業,22,213,116,212,115,1,60867,209282,316249,296955,19032,-,-,262,99043,99043,-,-,-,-
3,2031,革製履物用材料・同附属品製造業,22,213,116,212,115,1,60867,209282,316249,296955,19032,-,-,262,99043,99043,-,-,-,-
2,2040,革製履物製造業,63,1167,809,1168,810,2,404844,1670356,2735984,2211519,42354,2662,-,479449,986950,989125,336313,34098,8655,10207
3,2041,革製履物製造業,63,1167,809,1168,810,2,404844,1670356,2735984,2211519,42354,2662,-,479449,986950,989125,336313,34098,8655,10207
2,2060,かばん製造業,40,886,352,889,356,6,x,x,x,x,x,69,-,6503,x,x,150793,18359,7493,12758
3,2061,かばん製造業,40,886,352,889,356,6,x,x,x,x,x,x,-,x,x,x,x,x,x,x
2,2070,袋物製造業,70,845,451,827,440,19,297379,1123606,1836247,1633467,53795,921,-,148064,653130,663965,250011,88610,14834,6925
3,2071,袋物製造業（ハンドバッグを除く）,42,582,313,573,308,10,220282,758218,1317782,1175789,17981,4,-,124008,511391,522226,250011,88610,14834,6925
3,2072,ハンドバッグ製造業,28,263,138,254,132,9,77097,365388,518465,457678,35814,917,-,24056,141739,141739,-,-,-,-
2,2090,その他のなめし革製品製造業,13,232,112,232,112,-,78937,122358,267043,229079,37964,-,-,-,125336,132989,44219,2834,19,3983
3,2099,その他のなめし革製品製造業,13,232,112,232,112,-,78937,122358,267043,229079,37964,-,-,-,125336,132989,44219,2834,19,3983
1,2100,窯業・土石製品製造業,182,3720,2972,3723,2978,10,1878375,10157732,17374697,15912813,399716,2093,83,1059992,6516060,6813300,3443326,212468,21478,216886
2,2110,ガラス・同製品製造業,58,1584,1167,1575,1161,9,786385,2026395,4790625,3898571,347631,639,-,543784,2554046,2684286,2072416,179914,16401,147222
3,2112,板ガラス加工業,10,233,187,229,185,4,107352,203467,470414,237833,228908,533,-,3140,223816,248382,427173,35934,548,23283
3,2113,ガラス製加工素材製造業,4,268,215,268,215,-,x,x,x,x,x,-,-,x,x,x,x,x,x,x
3,2114,ガラス容器製造業,8,475,385,475,385,-,220071,531607,1099703,989455,30078,-,-,80170,501787,537055,462933,124231,5167,42547
3,2115,理化学用・医療用ガラス器具製造業,12,288,174,287,173,1,128306,269544,469693,310487,5269,100,-,153837,170764,186301,120135,5462,11,11272
3,2116,卓上用・ちゅう房用ガラス器具製造業,10,178,127,178,127,-,80553,133403,287966,270246,17647,6,-,67,139223,143301,29969,-,-,1135
3,2117,ガラス繊維・同製品製造業,1,20,15,20,15,-,x,x,x,x,-,-,-,-,x,x,-,-,-,-
3,2119,その他のガラス・同製品製造業,13,122,64,118,61,4,49196,77496,164016,136925,23509,-,-,3582,80486,80486,-,-,-,-
2,2120,セメント・同製品製造業,86,1532,1318,1544,1330,-,791997,7189214,10721337,x,x,-,-,242527,3242284,3272906,766651,21867,997,41752
3,2121,セメント製造業,2,27,21,27,21,-,x,x,x,x,-,-,-,-,x,x,-,-,-,-
3,2122,生コンクリート製造業,73,1236,1067,1248,1079,-,655232,6595344,9594506,9509314,-,-,-,85192,2761045,2778303,214884,11993,997,17258
3,2123,コンクリート製品製造業,9,243,206,243,206,-,115855,542921,989553,832218,-,-,-,157335,401304,414668,551767,9874,-,24494
3,2129,その他のセメント製品製造業,2,26,24,26,24,-,x,x,x,x,x,-,-,-,x,x,-,-,-,-
2,2140,陶磁器・同関連製品製造業,2,39,33,39,33,-,x,x,x,x,x,-,-,-,x,x,-,-,-,-
3,2145,理化学用・工業用陶磁器製造業,2,39,33,39,33,-,x,x,x,x,x,-,-,-,x,x,-,-,-,-
2,2150,耐火物製造業,1,6,5,6,5,-,x,x,x,x,-,-,-,-,x,x,-,-,-,-
3,2151,耐火れんが製造業,1,6,5,6,5,-,x,x,x,x,-,-,-,-,x,x,-,-,-,-
2,2160,炭素・黒鉛製品製造業,2,11,6,11,6,-,x,x,x,x,-,-,-,-,x,x,-,-,-,-
3,2169,その他の炭素・黒鉛製品製造業,2,11,6,11,6,-,x,x,x,x,-,-,-,-,x,x,-,-,-,-
2,2170,研磨材・同製品製造業,8,99,72,100,73,-,42616,129060,228568,125810,2969,1454,-,98335,94355,94355,-,-,-,-
3,2172,研削と石製造業,7,76,55,77,56,-,x,x,x,x,x,x,-,x,x,x,-,-,-,-
3,2179,その他の研磨材・同製品製造業,1,23,17,23,17,-,x,x,x,x,-,x,-,x,x,x,-,-,-,-
2,2180,骨材・石工品等製造業,19,215,188,215,188,-,103982,211729,535557,426978,23471,-,-,85108,299839,299839,-,-,-,-
3,2181,砕石製造業,9,126,114,126,114,-,59408,196217,458114,376692,-,-,-,81422,242497,242497,-,-,-,-
3,2182,再生骨材製造業,2,30,25,30,25,-,x,x,x,x,-,-,-,-,x,x,-,-,-,-
3,2184,石工品製造業,8,59,49,59,49,-,x,x,x,x,x,-,-,x,x,x,-,-,-,-
2,2190,その他の窯業・土石製品製造業,6,234,183,233,182,1,131898,573242,1015528,x,x,-,83,90238,274620,410998,604259,10687,4080,27912
3,2191,ロックウール・同製品製造業,1,23,21,23,21,-,x,x,x,x,-,-,-,-,x,x,x,x,x,x
3,2192,石こう（膏）製品製造業,1,102,79,102,79,-,x,x,x,x,x,-,-,x,x,x,x,x,x,x
3,2193,石灰製造業,1,58,54,58,54,-,x,x,x,x,-,-,-,-,x,x,x,x,x,x
3,2199,他に分類されない窯業・土石製品製造業,3,51,29,50,28,1,16263,7928,76897,x,9891,-,83,x,61394,64247,100222,2114,2887,2995
1,2200,鉄鋼業,108,2757,2406,2758,2406,4,1464491,12066489,16652241,15619895,821998,-,6566,203782,4025767,4357219,4478916,266988,50749,356277
2,2220,製鋼・製鋼圧延業,1,136,125,136,125,-,x,x,x,x,-,-,-,-,x,x,x,x,x,x
3,2221,製鋼・製鋼圧延業,1,136,125,136,125,-,x,x,x,x,-,-,-,-,x,x,x,x,x,x
2,2230,製鋼を行わない鋼材製造業（表面処理鋼材を除く）,7,1182,1093,1187,1096,-,x,x,x,x,x,-,-,x,x,x,x,x,x,x
3,2232,冷間圧延業（鋼管、伸鉄を除く）,2,514,485,514,485,-,x,x,x,x,x,-,-,-,x,x,x,x,x,x
3,2234,鋼管製造業,3,238,224,238,224,-,109499,797383,1182315,1116678,52766,-,-,12871,327928,365315,769040,9065,1897,31274
3,2236,磨棒鋼製造業,1,236,208,236,208,-,x,x,x,x,x,-,-,-,x,x,x,x,x,x
3,2238,伸線業,1,194,176,199,179,-,x,x,x,x,x,-,-,-,x,x,x,x,x,x
2,2250,鉄素形材製造業,9,195,170,195,170,-,107220,325095,561337,530891,29856,-,-,590,211239,219105,164925,3180,-,7473
3,2251,銑鉄鋳物製造業（鋳鉄管、可鍛鋳鉄を除く）,3,60,55,60,55,-,31684,58029,153430,129396,23444,-,-,590,86343,88441,79944,1242,-,2522
3,2254,鍛工品製造業,6,135,115,135,115,-,75536,267066,407907,401495,6412,-,-,-,124896,130664,84981,1938,-,4951
2,2290,その他の鉄鋼業,91,1244,1018,1240,1015,4,590338,4225532,5633628,4769228,667513,-,6566,190321,1284492,1308870,350371,14548,800,16207
3,2291,鉄鋼シャースリット業,46,697,574,694,572,3,347078,2493536,3136455,2648726,418665,-,-,69064,590628,597130,299309,8136,800,11533
3,2292,鉄スクラップ加工処理業,19,302,257,302,257,-,146051,1237024,1703804,1603024,10937,-,6566,83277,415628,432423,49753,2802,-,3593
3,2299,他に分類されない鉄鋼業,26,245,187,244,186,1,97209,494972,793369,517478,237911,-,-,37980,278236,279317,1309,3610,-,1081
1,2300,非鉄金属製造業,121,2503,1808,2501,1806,3,1099584,6527275,9073109,8170843,403664,-,-,498602,2323310,2393433,1200526,346352,57627,85963
2,2320,非鉄金属第２次製錬・精製業（非鉄金属合金製造業を含む）,14,619,506,619,506,-,327762,3252819,3965692,3848846,33719,-,-,83127,657126,671425,375821,5333,625,12375
3,2321,鉛第２次製錬・精製業（鉛合金製造業を含む),2,63,57,63,57,-,x,x,x,x,x,-,-,-,x,x,x,x,-,x
3,2322,アルミニウム第２次製錬・精製業（アルミニウム合金製造業を含む）,1,7,5,7,5,-,x,x,x,x,x,-,-,-,x,x,x,x,-,x
3,2329,その他の非鉄金属第２次製錬・精製業（非鉄金属合金製造業を含む）,11,549,444,549,444,-,288695,3108561,3708403,3602957,22319,-,-,83127,545430,558302,334449,5169,625,10693
2,2330,非鉄金属・同合金圧延業（抽伸、押出しを含む）,24,466,356,467,357,-,225910,1547713,2249645,1939265,151114,-,-,159266,651624,664744,556697,258797,54885,28092
3,2331,伸銅品製造業,10,149,109,150,110,-,61799,232920,360064,233417,126380,-,-,267,121760,121956,37279,55897,25,3048
3,2332,アルミニウム・同合金圧延業（抽伸、押出しを含む）,5,195,152,195,152,-,86598,345333,649639,485536,9756,-,-,154347,267702,285364,484426,13187,54860,18235
3,2339,その他の非鉄金属・同合金圧延業（抽伸、押出しを含む）,9,122,95,122,95,-,77513,969460,1239942,1220312,14978,-,-,4652,262162,257424,34992,189713,-,6809
2,2340,電線・ケーブル製造業,17,405,158,404,157,1,118228,451679,697700,662367,31333,-,-,4000,225366,228063,75278,2717,246,3633
3,2341,電線・ケーブル製造業（光ファイバケーブルを除く）,15,383,148,382,147,1,x,x,x,x,x,-,-,x,x,x,x,x,x,x
3,2342,光ファイバケーブル製造業（通信複合ケーブルを含む）,2,22,10,22,10,-,x,x,x,x,x,-,-,-,x,x,-,-,-,-
2,2350,非鉄金属素形材製造業,52,818,636,816,634,2,332850,819309,1502844,1395637,77752,-,-,29455,601652,641659,192730,79505,1871,41863
3,2351,銅・同合金鋳物製造業（ダイカストを除く）,11,171,148,170,147,1,79126,139852,277375,274167,3208,-,-,-,122344,127846,39415,8201,38,7623
3,2352,非鉄金属鋳物製造業（銅・同合金鋳物及びダイカストを除く）,13,283,241,283,241,-,111701,265462,470222,441778,22815,-,-,5629,181849,193216,119755,11570,80,11424
3,2353,アルミニウム・同合金ダイカスト製造業,14,153,109,152,108,1,53228,176276,312627,253761,48516,-,-,10350,126251,126251,-,-,-,-
3,2354,非鉄金属ダイカスト製造業（アルミニウム・同合金ダイカストを除く）,9,139,82,139,82,-,51348,165805,246980,233617,-,-,-,13363,73750,75299,11839,1846,41,1864
3,2355,非鉄金属鍛造品製造業,5,72,56,72,56,-,37447,71914,195640,192314,3213,-,-,113,97458,119047,21721,57888,1712,20952
2,2390,その他の非鉄金属製造業,14,195,152,195,152,-,94834,455755,657228,324728,109746,-,-,222754,187542,187542,-,-,-,-
3,2399,他に分類されない非鉄金属製造業,14,195,152,195,152,-,94834,455755,657228,324728,109746,-,-,222754,187542,187542,-,-,-,-
1,2400,金属製品製造業,1424,18148,13212,18153,13226,55,7354917,12567230,27548962,18492874,8108524,15044,8615,923905,13577710,13915019,5131317,486258,141488,310630
2,2410,ブリキ缶・その他のめっき板等製品製造業,9,145,102,145,102,-,41980,263799,356640,171962,1350,-,-,183328,83292,86153,32865,1222,87,2092
3,2411,ブリキ缶・その他のめっき板等製品製造業,9,145,102,145,102,-,41980,263799,356640,171962,1350,-,-,183328,83292,86153,32865,1222,87,2092
2,2420,洋食器・刃物・手道具・金物類製造業,129,1544,1054,1535,1047,9,606443,1197191,2415253,2258545,115906,1385,970,38447,1100141,1130531,828891,10263,8029,35204
3,2422,機械刃物製造業,39,382,298,380,296,2,165555,141827,453820,411765,30476,468,-,11111,284800,289199,116358,2785,4305,6751
3,2423,利器工匠具・手道具製造業（やすり、のこぎり、食卓用刃物を除く）,6,42,26,41,25,1,12317,15198,32706,31273,-,917,-,516,16211,16211,-,-,-,-
3,2424,作業工具製造業,3,58,34,58,34,-,x,x,x,x,x,-,-,x,x,x,x,x,-,x
3,2426,農業用器具製造業（農業用機械を除く）,2,13,4,13,4,-,x,x,x,x,x,-,-,x,x,x,-,-,-,-
3,2429,その他の金物類製造業,79,1049,692,1043,688,6,401975,1021861,1870310,1770084,73628,-,970,25628,759843,787182,710412,6666,3724,28008
2,2430,暖房・調理等装置、配管工事用附属品製造業,42,632,454,632,454,-,248240,594843,1206205,1085504,56232,1425,1296,61748,554961,568258,178425,25152,954,14439
3,2431,配管工事用附属品製造業（バルブ、コックを除く）,28,468,350,468,350,-,195629,500110,1006006,896555,53986,-,1296,54169,459601,470222,163684,25152,954,14439
3,2432,ガス機器・石油機器製造業,12,146,96,146,96,-,x,x,x,x,x,x,-,x,x,x,x,-,-,-
3,2433,温風・温水暖房装置製造業,1,14,6,14,6,-,x,x,x,x,-,-,-,x,x,x,-,-,-,-
3,2439,その他の暖房・調理装置製造業（電気機械器具、ガス機器、石油機器を除く）,1,4,2,4,2,-,x,x,x,x,-,x,-,-,x,x,-,-,-,-
2,2440,建設用・建築用金属製品製造業（製缶板金業を含む),376,3818,2984,3813,2981,18,1585902,3371747,6475797,5215297,1027848,9672,868,222112,2864772,2875393,414614,55230,8208,7389
3,2441,鉄骨製造業,31,256,204,254,203,2,120138,363336,582003,528025,47905,-,-,6073,202466,202466,-,-,-,-
3,2442,建設用金属製品製造業（鉄骨を除く）,82,806,648,805,647,3,335757,836423,1466432,1198902,181318,7265,-,78947,581422,583529,153016,997,2349,2033
3,2443,金属製サッシ・ドア製造業,34,378,278,378,278,-,150851,355499,628150,501366,50526,-,-,76258,252453,252453,-,-,-,-
3,2445,建築用金属製品製造業（サッシ、ドア、建築用金物を除く）,75,833,624,837,628,4,355371,763453,1622538,1429474,156205,237,359,36263,788605,795847,235424,53586,5859,4403
3,2446,製缶板金業,154,1545,1230,1539,1225,9,623785,1053036,2176674,1557530,591894,2170,509,24571,1039826,1041098,26174,647,-,953
2,2450,金属素形材製品製造業,227,2819,1977,2821,1980,10,1079609,2268637,4402659,3889921,451205,1296,5451,54786,1955688,1977157,529192,11213,7448,36152
3,2451,アルミニウム・同合金プレス製品製造業,42,535,363,543,371,2,222833,626865,1039063,918707,117341,-,593,2422,385466,381640,103585,-,-,4649
3,2452,金属プレス製品製造業（アルミニウム・同合金を除く）,180,2226,1571,2221,1567,7,835861,1618870,3299502,2917489,324424,1296,4858,51435,1532269,1557332,412061,10471,7384,30805
3,2453,粉末や金製品製造業,5,58,43,57,42,1,20915,22902,64094,53725,9440,-,-,929,37953,38185,13546,742,64,698
2,2460,金属被覆・彫刻業、熱処理業（ほうろう鉄器を除く）,381,5951,4316,5968,4335,6,2513538,2351153,7288032,1343660,5889513,1199,-,53660,4400755,4590204,2320776,260473,39424,156508
3,2461,金属製品塗装業,87,919,690,920,693,3,362418,186112,851414,22980,827663,-,-,771,610123,616347,132653,3777,351,6225
3,2462,溶融めっき業（表面処理鋼材製造業を除く）,5,116,102,116,102,-,52127,46538,131891,2585,129306,-,-,-,77952,79132,19640,1379,5,1180
3,2463,金属彫刻業,19,144,110,144,110,1,56589,48880,151937,56177,69475,921,-,25364,95424,95424,-,-,-,-
3,2464,電気めっき業（表面処理鋼材製造業を除く）,162,2998,2117,3003,2122,1,1213927,1140674,3596871,7503,3574828,-,-,14540,2194781,2286014,1224014,154902,30679,83968
3,2465,金属熱処理業,24,398,321,402,325,-,187523,215380,620657,228741,390317,-,-,1599,365628,375500,216608,5788,949,10071
3,2469,その他の金属表面処理業,84,1376,976,1383,983,1,640954,713569,1935262,1025674,897924,278,-,11386,1056847,1137787,727861,94627,7440,55064
2,2470,金属線製品製造業（ねじ類を除く),29,287,187,285,186,2,101286,284678,518367,436020,74962,-,-,7385,201611,216387,90030,-,-,13505
3,2479,その他の金属線製品製造業,29,287,187,285,186,2,101286,284678,518367,436020,74962,-,-,7385,201611,216387,90030,-,-,13505
2,2480,ボルト・ナット・リベット・小ねじ・木ねじ等製造業,108,1384,1022,1382,1021,5,527040,1262499,2625665,2163190,233302,-,30,229143,1249941,1274577,453785,84830,74601,21610
3,2481,ボルト・ナット・リベット・小ねじ・木ねじ等製造業,108,1384,1022,1382,1021,5,527040,1262499,2625665,2163190,233302,-,30,229143,1249941,1274577,453785,84830,74601,21610
2,2490,その他の金属製品製造業,123,1568,1116,1572,1120,5,650879,972683,2260344,1928775,258206,67,-,73296,1166549,1196359,282739,37875,2737,23731
3,2491,金庫製造業,1,9,7,9,7,-,x,x,x,x,-,-,-,x,x,x,-,-,-,-
3,2492,金属製スプリング製造業,54,646,462,648,463,2,x,x,x,x,x,-,-,x,x,x,x,x,-,x
3,2499,他に分類されない金属製品製造業,68,913,647,915,650,3,392343,705137,1546504,1242284,243821,67,-,60332,757713,782366,201510,37262,2737,18215
1,2500,はん用機械器具製造業,335,7531,6004,7532,6006,9,3689503,8939787,17302011,14971037,980683,877663,1999,470629,8003799,7894901,3765142,504730,20109,178875
