"ゴミの分類
番号","データ
提出組織",地区名,ゴミの品目,分別区分1,分別区分2,分別区分3,分別区分4,"粗大ごみ
回収料金",備考
209,あきる野市,全域,拡声器（不燃ごみ専用袋に入り、口がしばれるもの）,不燃ごみ,,,,,
210,あきる野市,全域,拡声器（不燃ごみ専用袋に入らないもの）,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
211,あきる野市,全域,額縁（木製、プラスチック製）（可燃ごみ専用袋に入り、口がしばれるもの）（ガラス部分は取り外すこと。※板ガラスを参照）,可燃ごみ,,,,,
212,あきる野市,全域,額縁（木製、プラスチック製）（可燃ごみ専用袋に入らないもの）（ガラス部分は取り外すこと。※板ガラスを参照）,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
213,あきる野市,全域,額縁（金属製）（全ての辺が50ｃｍ以下、厚さ5cm以下のもの）（ガラス部分は取り外すこと。※板ガラスを参照）,缶・金属類,,,,,金属類は、汚れをできるだけ落としてください。水を切ってから出してください。
214,あきる野市,全域,額縁（金属製）（いずれかの辺が50ｃｍ超える、又は厚さ5cmを超えるもの。）（ガラス部分は取り外し、新聞紙等で包み「割れものあり」と表示）,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
215,あきる野市,全域,かご（金属製以外）（可燃ごみ専用袋に入り、口がしばれるもの）,可燃ごみ,,,,,
216,あきる野市,全域,かご（金属製以外）（可燃ごみ専用袋に入らないもの）,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
217,あきる野市,全域,かご（金属製）（直径50cm以下のもの）,缶・金属類,,,,,金属類は、汚れをできるだけ落としてください。水を切ってから出してください。
218,あきる野市,全域,かご（金属製）（直径50cmを超えるもの）,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
219,あきる野市,全域,傘（不燃ごみ専用袋に半分以上入る傘)（1収集日あたり4本まで）,不燃ごみ,,,,,
220,あきる野市,全域,傘（不燃ごみ専用袋に半分以上入らない傘）（1収集日あたり5本以上出す場合）,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
221,あきる野市,全域,傘立て,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
222,あきる野市,全域,火災報知器（電池は有害ごみに）,不燃ごみ,,,,,
223,あきる野市,全域,加湿器（不燃ごみ専用袋に入り、口がしばれるもの）（50cm四方以下、重さ5㎏以下）,不燃ごみ,,,,,
224,あきる野市,全域,加湿器（50cmを超える又は5㎏を超えるもの、不燃ごみ専用袋に入らないもの）,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
225,あきる野市,全域,菓子袋（紙製、ビニール製）,可燃ごみ,,,,,
226,あきる野市,全域,ガスオーブンレンジ,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
227,あきる野市,全域,ガスストーブ,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
228,あきる野市,全域,ガステーブル（ガス台）,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
229,あきる野市,全域,ガスホース（プロパン用）50㎝以下に切る,可燃ごみ,,,,,
230,あきる野市,全域,ガスホース（都市ガス用）50㎝以下に切る,不燃ごみ,,,,,
231,あきる野市,全域,ガスボンベ,処理不能,,,,,市では処理ができないため、ご購入の店舗に処理を依頼してください。
232,あきる野市,全域,カセットコンロ,缶・金属類,,,,,金属類は、汚れをできるだけ落としてください。水を切ってから出してください。
233,あきる野市,全域,カセットテープ（１収集日あたり１０本まで）,可燃ごみ,,,,,
234,あきる野市,全域,カセットデッキ,使用済み電子機器,,,,,品物に「あきる野市」と表示し、バケツやダンボール箱などに入れてください。大きさ、重さの制限はありません。
235,あきる野市,全域,カセットボンベ,有害ごみ,,,,,可燃性ガス、爆発の危険のあるもののみを一つの袋に入れ、他の有害ごみと混交しないでください。（有害ごみの種類ごとに袋を分ける。）
236,あきる野市,全域,固めた食用油,可燃ごみ,,,,,
237,あきる野市,全域,カタログ類,紙類・布類,,,,,雑誌類扱い。ひもで十字に縛ってください。（ひもの素材は問いません）※粘着テープなどで束ねたものは回収できません。
238,あきる野市,全域,活性炭,可燃ごみ,,,,,
239,あきる野市,全域,カッターナイフ,不燃ごみ,,,,,
240,あきる野市,全域,カップ酒のびん,びん類,,,,,ラベル類はそのままでも大丈夫です。中を良く洗ってください。
241,あきる野市,全域,カップ麺の容器,可燃ごみ,,,,,
242,あきる野市,全域,かつら,可燃ごみ,,,,,
243,あきる野市,全域,金網（長さ50cm以下、重さ5ｋｇまで）,缶・金属類,,,,,金属類は、汚れをできるだけ落としてください。水を切ってから出してください。
244,あきる野市,全域,金網（長さ50cmまたは、重さ5ｋｇを超えるもの）,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
245,あきる野市,全域,金たわし,不燃ごみ,,,,,
246,あきる野市,全域,かばん（可燃ごみ専用袋に入り、口がしばれるもの）,可燃ごみ,,,,,
247,あきる野市,全域,かばん（可燃ごみ専用袋に入らないもの）,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
248,あきる野市,全域,画鋲（押しピン）,可燃ごみ,,,,,
249,あきる野市,全域,花瓶(ガラス製、陶器製）（新聞紙等で包み「割れものあり」と袋に表示）,不燃ごみ,,,,,
250,あきる野市,全域,花瓶（金属製）,缶・金属類,,,,,金属類は、汚れをできるだけ落としてください。水を切ってから出してください。
251,あきる野市,全域,壁材（プラスチック製）（全ての辺が50cm以下、厚さ5cm以下のもので可燃ごみ専用袋に入り、口がしばれるもの）,可燃ごみ,,,,,
252,あきる野市,全域,壁材（プラスチック製）（いずれかの辺が50ｃｍを超え、又は厚さ5cmを超え、縦182cm×横91cm×厚さ5cmまでのもの）,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
253,あきる野市,全域,壁材（プラスチック製）（縦182cm×横91cm×厚さ5cmを超えるもの）,処理不能,,,,,市では処理ができないため、ご購入の店舗に処理を依頼してください。
254,あきる野市,全域,釜（カマ）,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
255,あきる野市,全域,鎌（カマ）（不燃ごみ専用袋に入り、口がしばれるもの）,不燃ごみ,,,,,
256,あきる野市,全域,鎌（カマ）（不燃ごみ専用袋に入らないもの）,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
257,あきる野市,全域,紙おむつ（汚物を取り除いたもの）,可燃ごみ,,,,,使用済みのものは可燃ごみ扱い。紙おむつは中身の見える透明な袋に入れて頂ければ、有料袋を使わなくても可燃ごみの日に回収します。
258,あきる野市,全域,紙くず,可燃ごみ,,,,,
259,あきる野市,全域,紙コップ,可燃ごみ,,,,,
260,あきる野市,全域,カミソリ（紙で包む）,不燃ごみ,,,,,
261,あきる野市,全域,神棚,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
262,あきる野市,全域,髪の毛,可燃ごみ,,,,,
263,あきる野市,全域,紙箱,紙類・布類,,,,,雑誌類扱い。ひもで十字に縛ってください。（ひもの素材は問いません）※粘着テープなどで束ねたものは回収できません。
264,あきる野市,全域,紙パック（内側が白いもので、キャップ部分がある場合は切ったもの）,紙類・布類,,,,,紙パック扱い。ひもで十字に縛ってください。（ひもの素材は問いません）※粘着テープなどで束ねたものは回収できません。
265,あきる野市,全域,紙パック（内側がアルミ箔のもの）,可燃ごみ,,,,,
266,あきる野市,全域,紙袋,紙類・布類,,,,,雑誌類扱い。ひもで十字に縛ってください。（ひもの素材は問いません）※粘着テープなどで束ねたものは回収できません。
267,あきる野市,全域,ガムテープ（クラフト製・布製）,可燃ごみ,,,,,
268,あきる野市,全域,カメラ（フィルムカメラ）,使用済み電子機器,,,,,品物に「あきる野市」と表示し、バケツやダンボール箱などに入れてください。大きさ、重さの制限はありません。
269,あきる野市,全域,カメラ機能付き双眼鏡,使用済み電子機器,,,,,品物に「あきる野市」と表示し、バケツやダンボール箱などに入れてください。大きさ、重さの制限はありません。
270,あきる野市,全域,蚊帳（カヤ）（全ての辺が50cm以下で、可燃ごみの専用袋に入るもの）,可燃ごみ,,,,,
271,あきる野市,全域,蚊帳（カヤ）（いずれかの辺が50cmを超え、１ｍ以下のもの）,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
272,あきる野市,全域,カラーボックス,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
273,あきる野市,全域,カラオケ機器（家庭用）,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
274,あきる野市,全域,ガラスくず（破片）（ガラスは、新聞紙等で包み不燃ごみ専用袋にガラスと表示）,不燃ごみ,,,,,
275,あきる野市,全域,ガラスケース（不燃ごみ専用袋に入り、口がしばれるもの）,不燃ごみ,,,,,ガラスは、新聞紙等で包み不燃ごみ専用袋にガラスと表示
276,あきる野市,全域,ガラスケース（不燃ごみ専用袋に入らないもの）,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
277,あきる野市,全域,ガラス食器類（ガラスは、新聞紙等で包み不燃ごみ専用袋にガラスと表示）,不燃ごみ,,,,,
278,あきる野市,全域,ガラス戸,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
279,あきる野市,全域,空箱（紙製・ダンボール製）,紙類・布類,,,,,雑誌類扱い。ひもで十字に縛ってください。（ひもの素材は問いません）※粘着テープなどで束ねたものは回収できません。
280,あきる野市,全域,空箱（金属製）（全ての辺が50㎝以下かつ、5㎏以下のもの）,缶・金属類,,,,,
281,あきる野市,全域,空箱（金属製・木製・プラ製）（いずれかの辺が50cmを超える、又は５㎏を超えるもの）,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
282,あきる野市,全域,空箱（木製、プラスチック製）（すべての辺が50cm以下、可燃ごみ専用袋に入り、口がしばれるもの）,可燃ごみ,,,,,
283,あきる野市,全域,蚊帳（かや）（全ての辺が50cm以下で、可燃ごみの専用袋に入るもの）,缶・金属類,,,,,金属類は、汚れをできるだけ落としてください。水を切ってから出してください。
284,あきる野市,全域,蚊帳（かや）（いずれかの辺が50cmを超え、１ｍ以下のもの）,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
285,あきる野市,全域,画用紙,紙類・布類,,,,,
286,あきる野市,全域,空箱（木製、プラスチック製）（可燃ごみ専用袋に入らないもの）,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
287,あきる野市,全域,カレンダー（紙以外の部分は除く）,紙類・布類,,,,,雑誌類扱い。ひもで十字に縛ってください。（ひもの素材は問いません）※粘着テープなどで束ねたものは回収できません。
288,あきる野市,全域,革衣類（皮革衣類）（汚れていないもの）,紙類・布類,,,,,布類扱い。ひもで十字に縛ってください。（ひもの素材は問いません）※粘着テープなどで束ねたものは回収できません。下着、靴下は可燃ごみになります。
289,あきる野市,全域,革衣類（皮革衣類）（汚れているもの）,可燃ごみ,,,,,
290,あきる野市,全域,革靴,可燃ごみ,,,,,
291,あきる野市,全域,革手袋,可燃ごみ,,,,,
292,あきる野市,全域,革バッグ,可燃ごみ,,,,,
293,あきる野市,全域,瓦（かわら）,処理不能,,,,,市では処理ができないため、ご購入の店舗に処理を依頼してください。
294,あきる野市,全域,簡易トイレ（災害時に使用したもの）（袋を二重にしたうえで、可燃ごみ専用袋に入れ、内容物が漏れないようにすること。）※「簡易トイレ」と紙に記載し、袋に直接貼ること。,可燃ごみ,,,,,
295,あきる野市,全域,換気扇（不燃ごみ専用袋に入り、口がしばれるもの）,不燃ごみ,,,,,
296,あきる野市,全域,換気扇（不燃ごみ専用袋に入らないもの）,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
297,あきる野市,全域,缶切り器,不燃ごみ,,,,,
298,あきる野市,全域,玩具（可燃ごみ専用袋に入り、口がしばれるもの）,可燃ごみ,,,,,
299,あきる野市,全域,玩具（可燃ごみ専用袋に入らないもの）,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
300,あきる野市,全域,監視カメラ,使用済み電子機器,,,,,品物に「あきる野市」と表示し、バケツやダンボール箱などに入れてください。大きさ、重さの制限はありません。
301,あきる野市,全域,乾燥機（衣類）,処理不能,,,,,家電リサイクル法で定められた製品です。郵便局でリサイクル料金をお支払い頂き、搬入先に自己搬入するか、収集運搬業者にご連絡ください。あきる野市資源とごみの出し方カレンダー「収集不可能なものについて」をご参照ください。
302,あきる野市,全域,乾燥機（食器　・　布団）,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
303,あきる野市,全域,乾燥剤,可燃ごみ,,,,,
304,あきる野市,全域,乾電池,有害ごみ,,,,,水銀、鉛等の有害な金属を含むものだけを一つの袋に入れ、他の有害ごみと混交しないでください。（有害ごみの種類ごとに袋を分ける。）
305,あきる野市,全域,鉋（カンナ）,不燃ごみ,,,,,
306,あきる野市,全域,感熱紙,可燃ごみ,,,,,
307,あきる野市,全域,キーボード（楽器）（不燃ごみ専用袋に入り、口がしばれるもの）,不燃ごみ,,,,,
308,あきる野市,全域,キーボード（楽器）（不燃ごみ専用袋に入らないもの）,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
309,あきる野市,全域,キーボード（パソコン用）,可燃ごみ,,,,,
310,あきる野市,全域,キーボード（パソコン用）（充電式）,有害ごみ,,,,,「充電池が取り外せない製品群」扱い。充電池が取り外せない家電類だけを一つの袋に入れ、他の有害ごみと混交しないでください。（有害ごみの種類ごとに袋を分ける。）
311,あきる野市,全域,キーホルダー,可燃ごみ,,,,,
312,あきる野市,全域,木くず,可燃ごみ,,,,,
313,あきる野市,全域,ギター（エレキギターを含む）,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
314,あきる野市,全域,ギターケース（可燃ごみ専用袋に入り、口がしばれるもの）,可燃ごみ,,,,,
315,あきる野市,全域,ギターケース（可燃ごみ専用袋に入らないもの）,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
316,あきる野市,全域,キックボード,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
317,あきる野市,全域,木づち,可燃ごみ,,,,,
318,あきる野市,全域,キッチンタイマー（電池は有害ごみ）,不燃ごみ,,,,,
319,あきる野市,全域,キッチンぺ-パー,可燃ごみ,,,,,
320,あきる野市,全域,杵（きね）,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
321,あきる野市,全域,着物,紙類・布類,,,,,布類扱い。ひもで十字に縛ってください。（ひもの素材は問いません）※粘着テープなどで束ねたものは回収できません。下着、靴下は可燃ごみになります。
322,あきる野市,全域,脚立（長さ3m以下のもの）,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
323,あきる野市,全域,脚立（長さ3mを超えるもの）,処理不能,,,,,市では処理ができないため、ご購入の店舗に処理を依頼してください。
324,あきる野市,全域,キャットタワー（50cm四方サイズ以下かつ5㎏以下のもので、可燃ごみ専用袋に入り、口がしばれるもの）,可燃ごみ,,,,,
325,あきる野市,全域,キャットタワー（いずれかの辺が50ｃｍを超える、又は５㎏を超えるもの）,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
326,あきる野市,全域,キャップ（ペットボトル）,可燃ごみ,,,,,
327,あきる野市,全域,キャリア（車用）,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
328,あきる野市,全域,急須（きゅうす） （プラスチック製）,可燃ごみ,,,,,
329,あきる野市,全域,急須（きゅうす） （陶器・ガラス製）,不燃ごみ,,,,,
330,あきる野市,全域,急須（きゅうす） （金属製）,缶・金属類,,,,,金属類は、汚れをできるだけ落としてください。水を切ってから出してください。
331,あきる野市,全域,給油ポンプ（可燃ごみ専用袋に入り、口がしばれるもの）,可燃ごみ,,,,,
332,あきる野市,全域,給油ポンプ（可燃ごみ専用袋に入らないもの）,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
333,あきる野市,全域,牛乳パック,紙類・布類,,,,,布類扱い。ひもで十字に縛ってください。（ひもの素材は問いません）※粘着テープなどで束ねたものは回収できません。下着、靴下は可燃ごみになります。
334,あきる野市,全域,教科書,紙類・布類,,,,,雑誌類扱い。ひもで十字に縛ってください。（ひもの素材は問いません）※粘着テープなどで束ねたものは回収できません。
335,あきる野市,全域,鏡台（ドレッサー）,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
336,あきる野市,全域,業務用冷蔵庫（個人が使用）,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
337,あきる野市,全域,キルティングシーツ（50cm四方以内に切り、可燃ごみ専門袋に入るもの）,可燃ごみ,,,,,
338,あきる野市,全域,キルティングシーツ（50cm四方以内に切らないもの）,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
339,あきる野市,全域,金庫（手さげ）,缶・金属類,,,,,金属類は、汚れをできるだけ落としてください。水を切ってから出してください。
340,あきる野市,全域,金庫（大型・大人２人で持てる重さまで）,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
341,あきる野市,全域,空気入れ（鉄製）,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
342,あきる野市,全域,空気入れ（アルミ製、プラスチック製で不燃ごみ専用袋に入り、口が縛れるもの）,不燃ごみ,,,,,
343,あきる野市,全域,空気入れ（アルミ製、プラスチック製で不燃ごみ専用袋に入らないもの）,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
344,あきる野市,全域,空気入れ（電動のもの）,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
345,あきる野市,全域,空気清浄器（不燃ごみ専用袋に入り、口がしばれるもの）（大きさ50cm以下、重さ5ｋｇまで）,不燃ごみ,,,,,
346,あきる野市,全域,空気清浄器（不燃ごみ専用袋に入らないもの）,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
347,あきる野市,全域,クーハン（ベビーバスケット）,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
348,あきる野市,全域,クーラー（室内機・室外機）,処理不能,,,,,家電リサイクル法で定められた製品です。郵便局でリサイクル料金をお支払い頂き、搬入先に自己搬入するか、収集運搬業者にご連絡ください。あきる野市資源とごみの出し方カレンダー「収集不可能なものについて」をご参照ください。
349,あきる野市,全域,クーラーボックス（プラスチック製で、可燃ごみ専用袋に入り、口がしばれるもの）,可燃ごみ,,,,,
350,あきる野市,全域,クーラーボックス（プラスチック製で、可燃ごみ専用袋に入らないもの）,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
351,あきる野市,全域,クーラーボックス（金属製で、不燃ごみ専用袋に入り、口がしばれるもの）,不燃ごみ,,,,,
352,あきる野市,全域,クーラーボックス（金属製で、不燃ごみ専用袋に入らないもの）,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
353,あきる野市,全域,釘,不燃ごみ,,,,,
354,あきる野市,全域,草刈りカマ（不燃ごみ専用袋に入り、口がしばれるもの）,不燃ごみ,,,,,
355,あきる野市,全域,草刈りカマ（不燃ごみ専用袋に入らないもの）,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
356,あきる野市,全域,草刈り機（燃料等を空にすること）,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
357,あきる野市,全域,草刈り機の刃,不燃ごみ,,,,,
358,あきる野市,全域,草花,可燃ごみ,,,,,
359,あきる野市,全域,鎖（くさり）（プラスチック製）,可燃ごみ,,,,,
360,あきる野市,全域,鎖（くさり）（金属製）,缶・金属類,,,,,金属類は、汚れをできるだけ落としてください。水を切ってから出してください。
361,あきる野市,全域,櫛（くし）（木製・竹製・プラスチック製））,可燃ごみ,,,,,
362,あきる野市,全域,櫛（くし）（金属製）,缶・金属類,,,,,金属類は、汚れをできるだけ落としてください。水を切ってから出してください。
363,あきる野市,全域,串（竹製）,可燃ごみ,,,,,
364,あきる野市,全域,串（金属製）,不燃ごみ,,,,,
365,あきる野市,全域,薬,可燃ごみ,,,,,
366,あきる野市,全域,薬びん,びん類,,,,,ラベル類はそのままでも大丈夫です。中を良く洗ってください。
367,あきる野市,全域,果物の皮,可燃ごみ,,,,,
368,あきる野市,全域,果物の保護材,可燃ごみ,,,,,
369,あきる野市,全域,靴（シューズ）,可燃ごみ,,,,,
370,あきる野市,全域,靴下,可燃ごみ,,,,,
371,あきる野市,全域,クッション（可燃ごみ専用袋に入り、口がしばれるもの）,可燃ごみ,,,,,
372,あきる野市,全域,クッション（可燃ごみ専用袋に入らないもの）,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
373,あきる野市,全域,クッションカバー（汚れている物は可燃ごみ）,紙類・布類,,,,,布類扱い。ひもで十字に縛ってください。（ひもの素材は問いません）※粘着テープなどで束ねたものは回収できません。下着、靴下は可燃ごみになります。
374,あきる野市,全域,グラス,不燃ごみ,,,,,
375,あきる野市,全域,クリアーファイル,可燃ごみ,,,,,
376,あきる野市,全域,クリスマスツリー（可燃ごみ専用袋に入り、口がしばれるもの）,可燃ごみ,,,,,
377,あきる野市,全域,クリスマスツリー（可燃ごみ専用袋に入らないもの）,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
378,あきる野市,全域,車いす（大人2人で持てる重さまで）,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
379,あきる野市,全域,クリップ（ゼムクリップを含む）,不燃ごみ,,,,,
380,あきる野市,全域,クレヨン,可燃ごみ,,,,,
381,あきる野市,全域,グロー球,不燃ごみ,,,,,
382,あきる野市,全域,グローブ類,可燃ごみ,,,,,
383,あきる野市,全域,軍手,可燃ごみ,,,,,
384,あきる野市,全域,蛍光管（電球型を含む）,有害ごみ,,,,,蛍光管類のみを一つの袋に入れ、他の有害ごみと混交しないでください。（有害ごみの種類ごとに袋を分ける。）
385,あきる野市,全域,珪藻土バスマット,不燃ごみ,,,,,
386,あきる野市,全域,携帯電話端末（ＰＨＳ端末も含む）,使用済み電子機器,,,,,品物に「あきる野市」と表示し、バケツやダンボール箱などに入れてください。大きさ、重さの制限はありません。
387,あきる野市,全域,毛糸,紙類・布類,,,,,布類扱い。ひもで十字に縛ってください。（ひもの素材は問いません）※粘着テープなどで束ねたものは回収できません。下着、靴下は可燃ごみになります。
388,あきる野市,全域,計量ばかり(不燃ごみ専用袋に入り、口がしばれるもの),不燃ごみ,,,,,
