No,事業所名,業種,住所,説明,交通,電話,営業開始時間,営業終了時間,定休日,修学旅行受入,見学,体験,事前予約の目安,URL,緯度,経度,備考
44,UAMOU,オリジナルキャラクター制作,東京都台東区上野5-9 2k540 N-5,UAMOU とBoo のソフビフィギュアを中心に、グッズやアート作品などのコレクションも展示・販売。,JR御徒町駅　徒歩4分,ー,11:00,19:00,水曜日,不可,予約不要,ー,―,http://www.uamou.com,35.705189,139.775314,
45,アトリエ リモ,アートフラワー販売、レッスン,東京都台東区上野5-9　2k540　E-2,"アトリエリモでは、アーティフィシャルフラワー(高級造花)、ドライフラワー、プリザーブドフラワーを使用した、アートフラワーの作品販売、オーダー品制作と販売、各種レッスンを行っています。
レッスンでは、花、ハーバリウム、アロマストーン、固まるオイルなどの体験レッスンから資格取得のお手伝いまで致します。経験の無い方でも大歓迎！皆さまのご来店をお待ちしています。","JR御徒町駅　徒歩4分、JR秋葉原駅　徒歩8分、
東京メトロ銀座線末広町駅　から徒歩4分、東京メトロ日比谷線仲御徒町駅　徒歩5分",080-4854-1187,11:00,19:00,水曜日,可,"予約不要
１回に４名、１日に10組まで","要予約
１回に3名、１日に3組まで体験可能
開店時間内であればいつでも可能
アーティフィシャルフラワーアレンジ、ドライフラワーアレンジ、ハーバリウム、アロマストーン、固まるオイルを使用した体験レッスンなど",ー,https://www.atelier-rimo.shop/,35.705189,139.775314,
46,真多呂人形会館,木目込人形,東京都台東区上野5-15-13,木目込人形の正式伝承者として認定を受けた日本人形の製造･販売を行っています。ひな人形や五月人形をはじめ、お祝いや海外へのお土産に人気のあるお人形を取扱っています。平安時代の雅な世界から能や歌舞伎、創作人形まで豊富な商品でご来店をお待ちしています。人形作りを学べる教室も併設しています。,"東京メトロ日比谷線仲御徒町駅　徒歩1 分
JR 御徒町駅　徒歩5 分
都営地下鉄大江戸線上野御徒町駅　徒歩5 分",03-3833-9661,9:00,17:00,土曜日・日曜日・祝日,可,ー,"要予約　一度に20 名まで　（1 日5 組まで）
マグネット、ストラップﾟ、人形を選んで、木目込みの体験
 30 分～120 分程度
 ￥1,500～￥7,000",2日位前まで,http://www.mataro.co.jp,35.705616,139.775818,
47,平本工房,金細工,東京都台東区台東4-7-8,彫金教室には、初心者からプロの方まで多くの方が職人の技術を学びに来ています。また、ジュエリーのオーダーメイドや修理など、伝統的な技法で行っています。体験では、銀を溶かすことから始まり、指輪の形を作り、ヤスリで形を整えるなど仕上げまでの一連の作業を行います。なお、修学旅行生の体験学習も実施しております。お問合せ下さい。,JR御徒町駅　徒歩5分,03-3837-3889,10:00,21:00,年中無休,可,"要予約
人数は応相談","要予約　人数は応相談
指輪作り
　　120 分程度
　学生 ￥2,500
　一般 ￥3,000",通常体験　随時・修学旅行、中学生体験2 ヶ月前まで,http://www.hiramotokoubou.com/,35.7061,139.77739,日曜日・祝日は18:00まで
48,篠原まるよし風鈴,江戸風鈴,東京都台東区台東4-25-10,江戸風鈴のガラス吹きから絵付けを行っています。こちらで商品の販売もしています。また、製作体験もできます。ガラス作りからする体験と、ガラス風鈴の内側から絵を描く体験です。世界にひとつしかないオリジナルの“江戸風鈴”を作ってみませんか！江戸時代からの技法で作るガラスの風鈴は、心をわくわくさせてくれます。,"都営大江戸線新御徒町駅　徒歩1 分
TX 新御徒町駅　徒歩3 分",03-3832-0227,10:30,18:00,月曜日,可,ー,"要予約　約45名まで
①江戸風鈴の絵付け体験（1年中体験可）
　60分程度
②ガラス吹き体験（1月末～8月末9月中旬～12月中旬）
　75分程度",個人、前日まで,http://www.edo-fuurin.com,35.706676,139.781235,日曜日は11:00～17:00
49,テン・フォレスト,宝飾品・アクセサリー,東京都台東区台東3-16-9 シルバービル2F,オリジナルジュエリーのデザイン製作、卸とシルバーを中心とした手作りアクセ、ジュエリーの教室をしております。多種なものづくり講座がございます。,"JR 御徒町駅南口　徒歩5分
東京メトロ日比谷線仲御徒町駅　徒歩1分",03-3831-2307,10:00,18:00,日曜日・祝日,可,ー,"要予約　5名まで
①銀粘土（プレートペンダント）
　120 分程度
　学生\2,750（税込）一般\3,850（税込）
②シルバーラインワーク（クリップチャーム）
　90 分程度
学生\2,200（税込）一般\4,400（税込）",2週間前まで,http://www.tenforest.com/,35.705009,139.776688,団体様(最大12名) は内容･日時･価格･時間(9:00～)・相談可
50,スタジオ　サカミ,ベネチアンガラスフュージング、七宝、彫金、とんぼ玉,東京都台東区台東3-16-9 シルバービル1F,ベネチアンガラスのフュージング、七宝、彫金、とんぼ玉の体験が人気です。じっくり学びたい方は教室へ！,"JR 御徒町駅南口　徒歩5分
東京メトロ日比谷線仲御徒町駅　徒歩1分",03-3837-3721,9:00,17:30,土曜日・日曜日・祝日,可,事前にお問合せ下さい,"要予約　1～8 名まで　※とんぼ玉彫金は5 名まで
ガラスフュージング、七宝焼、彫金のアクセサリー、とんぼ玉制作
　　120 分程度（持ち帰りOK）
　月～金曜　10:00～12:00、13:00～15:00
　修学旅行体験学習プラン ￥2,000～（税込）
　一般 ￥2,160～（税込）
※作業しやすい服装でお越し下さい。",2ヶ月前まで,http://www.s-sakami.com/,35.705009,139.776688,教室、講座の日は開催しています
51,日本宝飾クラフト学院,ジュエリー･アクセサリー･宝石スクール,東京都台東区台東3-13-10,宝石の街･御徒町のジュエリー･アクセサリー・宝石スクールです。,"JR 御徒町駅　徒歩7 分
東京メトロ日比谷線仲御徒町駅　徒歩4 分
都営大江戸線上野御徒町駅　徒歩6 分",03-3835-3388,10:00,20:45,日曜日・祝日,可,"要相談　10 名まで
（1日2 組まで）
シルバーアクセサリー制作、デザイン
月～土曜
（ご相談ください）","要予約　10 名まで
シルバーアクセサリーの制作
　金土曜
（ご相談ください）
　￥1,800",2日前まで,http://www.jj-craft.com,35.704491,139.777252,
52,アトリエN&S,ジュエリー製作,東京都台東区台東3-14-5 瀧澤ビル1F,彫金教室では、オリジナル作品を製作できるように、1人1人のペースに合わせて基礎からお教え致します。ベネチアンガラスとのコラボアクセサリー等も作成できます。,東京メトロ日比谷線仲御徒町駅　徒歩3分,03-3832-2686,12:00,20:00,第2日曜日・第4日曜日・祝日,可,ー,"要予約　体験人数については要相談
シルバーノリングﾞ、ペンダントの作成、ベネチアンガラス
フュージングによるアクセサリー作成
　12:00～17:00
　　120 分～180 分程度（持ち帰りOK）
　学生￥2,000～一般￥2,700～
※エプロン等、汚れても良い服装でお越し下さい。",1週間前まで,http://www.atelier-n-s.com,35.7047,139.776474,
53,RINPLA with A.C.T.Y. plains,ジュエリー工房･緋銅,東京都台東区台東4-20-2 大仙第二ビル 3A,緋銅は、江戸時代の頃に発明されたと云われる銅の着色技法です。結婚7周年･銅婚式を中心に緋銅作品の販売、オーダーメイド制作、体験を行っています。また、打刻体験では、モノづくりのプロセスや、コトに対する楽しさや考え方を伝えながら、創造性や価値観を育める取組みを積極的に行っています。詳しくはWebをご覧下さい。,都営大江戸線･TX 新御徒町駅　徒歩4分,090-6475-5536,9:00,19:00,不定休,可,"要予約
日本伝統技法
緋銅作品の見学","要予約　6 名まで
「世界に一つの緋銅ネームプレートを作ろう」
「打刻体験」 ①体験のみ　　　60 分　
②体験＆見学　　90 分　
③体験＆見学　　120 分
学生 ￥2,300（税込）一般 ￥3,300（税込）
※自分用プレゼントドッグプレートにも好評",1週間前まで,http://www.rinpla.jp/,35.70657,139.779602,時短営業中
54,Blooming,木製玩具・家具,東京都台東区台東2-10-13 ブルーミング1F,弊社の取扱い製品、作家のオリジナル作品もご覧になれます。,JR 秋葉原駅・御徒町駅　徒歩10分,03-6661-0122,11:00,17:00,不定休,可,ー,"要予約　5 名まで（1 日4 組）
カワイイ木のクマのペンダントづくり！
30 分程度 ￥1,200～
土日曜
※日程などについてはご相談下さい。",1週間前まで,http://www.blooming2007.com,35.703129,139.77713,
55,Playacolores　プライアカラレス,アクセサリー製造販売,東京都台東区台東1-33-12-201,海の色彩という意味をもつPlayacoloresでは、自然が創り出した不思議な魅力をもつシーグラスや貝殻に、アクセサリーとして命を吹き込んでいます。元は人工物であるガラスの破片を丸く素敵なシーグラスに変える自然の強さ、素晴らしさを作品を通してお伝えできたらと思います。また、身につけることで、自然のパワーがお届けできますように！,JR秋葉原駅　徒歩10分,080-5195-4911,11:00,17:00,ホームページでご確認ください,可,ー,要予約　2名まで（1日3組）体験内容は季節によって変わるのでホームページでご確認ください,1週間前まで,http://playacolores.ocnk.net/,35.702122,139.778427,
56,DELIFE Factory Store,皮革製品の企画、製造,東京都台東区台東1ー14ー14東光ビル403,"当店はファクトリーにストアを併設した財布やカバンなどを販売するレザーショップです。
店内では『オーダースタンド』と銘打ちその場で革の色や金具の色、名入れをしたり
自分だけのレザーグッズにカスタムすることが出来ます。",JR秋葉原駅　徒歩5分,03-4361-5296,13:00,18:00,月曜日,不可,"要予約
製造工程を見学できます
火曜
1回に2人、1日2組まで",ー,ー,https://www.delife.tokyo/,35.701382,139.777969,
57,タマ美容化学,化粧品製造,東京都台東区小島2-18-14,職人の作った手作りシャンプーに、オリジナルの香りを精油で国際アロマセラピストと一緒にカウンセリングしながらつけていきます。シャンプーやアロマの知識を楽しく学べます。作ったシャンプーはお持ち帰り頂けます。,都営大江戸線･TX 新御徒町駅　徒歩1分,03-3851-8707,11:00,19:00,土曜日・日曜日・祝日,可,ー,"要予約　4 名まで
シャンプーの香り付け
　30 分～45 分程度
　￥1,000",7日位前(団体のみ要予約),http://www.tamabiyoukagaku.com,35.706707,139.784088,第1土曜日は12:00～17:00 まで営業
58,木本硝子,硝子食器,東京都台東区小島2-18-17,創業80年の硝子食器専門のお店です。江戸時代から続く東京の伝統的工芸品の江戸切子や新鋭のデザイナーとコラボした、素敵なグラス等をたくさん陳列してありますので、是非お立ち寄り下さい。,都営大江戸線･TX 新御徒町駅A4 出口　徒歩1分,03-3851-9668,10:00,17:00,水曜日・土曜日・日曜日・祝日,不可,"要予約　5 名まで　
硝子江戸切子の製造工程パネル、サンプル
　30 分程度",ー,10日前まで,http://kimotoglass.tokyo,35.706657,139.784561,
59,木札職人芳雲の店　フダヤドットコム,木札,東京都台東区鳥越1-31-4,和風で粋な贈り物！節目のお祝いや記念品・海外へのお土産にとても喜ばれております。「ネックレス・ストラップ・ゴルフバッグ・鞄・キーケース」へ、専門店ならではの素材、オリジナル粋品木札をご覧ください。〔ご出産・開店・移転・周年・各御礼・長寿のお祝い・仲間でお揃い〕など、ご提案もいたします。,都営大江戸線･TX 新御徒町駅A2 出口　徒歩5分,03-3851-5628,11:00,17:30,定休日はHPにて随時更新,不可,"要予約　5 名まで　
『極』手仕上げ磨き等、制作過程の木札の由来等をご説明いたします　「工房マップを見て」と予約の上、見学の方には粗品を進呈。
60 分程度",ー,2～3週間前まで,"http://www.fudaya.com
http://www.fudaya.jp",35.70343,139.78212,土曜日・日曜日・祝日は10:00～15:00
60,藤井袋物,袋物,東京都台東区鳥越1-17-5,江戸の文化を袋物製作にて守るべく、精進しております。伝統技法の木型を用いた煙草入れの製作やお名入れもできる巾着袋、手ぬぐいで造る提げ袋などをお誂えにてお造り致しております。,"JR 総武線浅草橋駅　徒歩12 分
都営大江戸線･TX 新御徒町駅　徒歩8 分",03-5820-3987,9:00,19:00,年中無休,不可,"要予約　4 名まで（1 日2 組）
袋物製作の作業をご覧頂けます
土日曜",ー,3日前まで,http://www.saifuya.com,35.702877,139.783463,出張仕事のときは休業
61,くるみボタン工房　MiSuZuYa,くるみボタン,東京都台東区鳥越1-6-6,生地や革を金具に包んで作るボタン「くるみボタン」を製造、販売しております。くるみボタンを身近に感じて頂けるように、使い方や楽しみ方を提案していきます。作品作りやオリジナルボタンなど作り手の方の相談もお気軽にお問合せ下さい。,"JR 総武線浅草橋駅　徒歩10分
都営大江戸線･TX 新御徒町駅　徒歩10分",03-3864-1293,13:00,18:00,日曜日・月曜日,不可,ー,くるみボタンの製作体験 10 分程度　￥500,ー,http://www.facebook.com//kurumimisuzuya,35.70256,139.782089,
62,かくいわ芝田　吾希,袋物・鞄,東京都台東区鳥越1-10-6,創業明治30年の流れを受け継ぐ職人が、心を込めて江戸袋物を製作しております。江戸風情たっぷりの商品をお手にとって確かめて下さい。お手持ちの手拭いや生地での製作もしております。,都営大江戸新御徒町A4出口　徒歩８分,03-5830-7529,10:30,19:00,水曜日・土曜日・祝日,不可,"要予約 4 名まで (1 日 3 組) 
袋物製造作業(一部公開できないところがあります、予めご了承願います)
ワークショップ可
営業時間内(営業時間外でも対応可","要予約
　4名まで（1日3組）",2週間前まで,https://www.kakuiwa-shibata.com,35.702881,139.781815,
63,協進エル,革手工芸,東京都台東区鳥越2-10-8,革とレザークラフト材料の販売、及び教室を開催しています。実用を兼ねた趣味として手軽に始められます。店頭のワークショップスペースでは、キットや端革を使った小物作りを体験できます。,"都営浅草線蔵前駅　徒歩8 分
JR 総武線浅草橋駅　徒歩10 分",03-3866-3221,9:00,17:30,土曜日・日曜日・祝日,可,ー,"要予約　3名まで
革小物
　30分～120 分
　実費（約1,000円～）",３日前まで,http://www.kyoshin-elle.co.jp,35.702957,139.785477,
64,Obelisk,革服・アパレル,東京都台東区三筋1-6-3,有名アーティストも多数着用実績有り。貴方サイズでJUSTに作ったら、レザーほどカッコよく魅せる素材は在りません。そんな理想の服が作れるカスタムオーダーが自慢　GET YOUR ONLY1！,JR 総武線浅草橋駅･都営大江戸線新御徒町駅　徒歩8 分,03-5833-0737,10:00,19:00,不定休,不可,"要予約　10 名まで
（1日2 組）
shop 内に展示されている作品とその製作工程の説明
　平日14:00～16:00
　30 分以内","要予約　4 名まで　
（1日1組）
レーザーペンケース製作
　土曜
　　30 分～40 分程度
　￥5,000
オベリスク
※道具はこちらで用意します。服装はご自由に。
　オシャレしてきてくれると嬉しいです。",3日前まで,http://www.obelisk.jp,35.703224,139.785492,休日は14:00～19:00
65,日伸貴金属,東京銀器,東京都台東区三筋1-3-13 伊藤ビル1階,当工房では、現代の名工である上川宗照と伝統工芸一家が懇切丁寧にご対応をする体験教室を行っております。個人・グループ問わず、お気軽にお問合せ下さい。,都営浅草線蔵前駅　徒歩7分,03-5687-5585,9:30,18:00,不定休,可,"要予約
約５名まで","要予約　約５名まで
内容は3 種類の中から選択
（詳細は予約時にお問合せ下さい）
※作業しやすい服装でお越し下さい。",1年前より,http://www.nisshin-kikinzoku.com,35.703999,139.78714,
66,MAITO／真糸,草木染め　ニット･小物・生活雑貨,東京都台東区蔵前4-20-12クラマエビル1F,オリジナルの草木染め商品をお買い求め頂けます。染色アトリエもすぐそばにあり、毎月草木染めのワークショップも開催しております。,都営浅草線蔵前駅A0 出口 徒歩1 分,03-3863-1128,11:30,18:30,月曜日,不可,"要予約　5 名まで
オリジナル商品の企画風景や草木染め、縫製
※確実に見学したい方はお尋ねください",HP より要確認,HPにて予約,https://maitokomuro.com,35.70409,139.790054,蔵前本店
67,茂上工芸,江戸指物,東京都台東区蔵前4-37-10,金釘を1本も使わず、板と棒を組むだけで仕上げ、それでいて繊細かつ堅牢、そして江戸の美意識がうかがえる和家具、江戸指物。古くからの伝統的製法を受け継ぎながらも、形態を時代の生活用式に合わせる柔軟性を持ち、和室はもちろん洋間に置いても違和感を覚えない作品を製作しています。,都営大江戸線蔵前駅　徒歩５分,03-3851-6540,9:00,17:00,日曜日・祝日,可,"要予約
6 名まで","要予約　6 名まで
箸作り等
　　90 分～120 分程度
￥2,000 位～
※作業できる服装でお越し下さい。5 名より受付けます。",1週間前まで,http://sasimono.ciao.jp/,35.706192,139.788498,
68,焙煎処　縁の木,コーヒー豆焙煎,東京都台東区蔵前2-3-1,店内には、焙煎前の緑色の豆を並べています。作業スペースとして小上がりもありますので、おかけになって焙煎工程をお楽しみ下さい。,都営浅草線蔵前駅A1出口　徒歩１分,050-3701-1178,12:00,17:00,日曜日・月曜日･祝日,可,"予約不要
豆の選択から焙煎、パッキングまで","予約不要　一度に3 名まで
　（1 日10 組まで）
豆の選択から焙煎、パッキングまで
　20 分程度
　手がけた豆をお買い求め下さい",当日可,https://en-no-ki.com/,35.702099,139.790054,
69,dakota工房,陶芸工房,東京都台東区寿4-6-11,「日々の暮らしに遊び心のあるものを」をコンセプトに、どこかお茶目でいたずら心のある作品を作っています。お気軽に陶芸が楽しめるワークショップや体験クラスもあります。毎週第3土曜は、陶芸をしたい人がワイワイ集まるサタデー陶芸ナイトもやっています。（状況によって開催しない事があります。）,"東京メトロ銀座線田原町駅　徒歩３分
都営大江戸線蔵前駅　徒歩６分",03-6318-9920,10:00,17:00,土曜日,可,ー,"要予約　17 名まで　（1 日3 組）
器製作、絵付け
　90 分～120 分程度
　陶芸 ￥3,500絵付け ￥3,000
※汚れてもよい服装でお越しください。",4日前まで,http://www.dakota-kobo.com,35.708485,139.792404,日曜日は不定休
70,（閉店のため欠番）,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,
71,はし藤本店,箸の販売,東京都台東区西浅草2-6-2,"創業100 年を超えるお箸の専門店、お箸を通じて和食文化やおもてなしを世界に発信する会社を目指しております。
※人数11 名以上のグループの場合は要相談（担当:海宝まで）。",東京メトロ銀座線田原町駅　徒歩5分,03-3844-0723,9:00,17:00,日曜日・祝日,可,ー,"要予約　約10 名まで
国産材を使用した箸作り
　　120 分程度
　￥1,000～￥1,500（税込）",実施日の1 ヶ月前まで,http://www.hashitou.co.jp,35.712654,139.788757,
72,浅草たい焼き体験工房　求楽,たい焼き、かき氷,東京都台東区西浅草2-3-2,"・求楽でしか体験できないたい焼きづくり！
業務用のたい焼き機を使った本格的な体験ができます。
・具材のバリエーションが豊富！
粒あん・クリームはもちろん、キムチチーズやホットドッグ風などお食事系も。
・火や包丁を使わないのでお子様や料理初心者でも安心！
お子様から年配の方まで幅広い世代で楽しめます。",東京メトロ銀座線田原町駅・つくばエクスプレス浅草駅　徒歩4分,03-6338-1809,11:00,18:00,不定休,可,ー,"要予約※公式サイト又は電話で予約
大人3,850円、小中高生2,750円（税込、未就学児無料）
１回に16名、１日に５組まで体験可能
毎日9:00～22:00まで体験可能
①たい焼きのできた歴史、作り方の勉強②実際の調理（一人6匹作ります）③実食",ー,https://guraku.jp,35.71209,139.789917,体験は9:00～22:00
73,元祖食品サンプル屋　合羽橋店,食品サンプル,東京都台東区西浅草3-7-6,食品サンプルの技術から生まれる、ユニークで楽しい商品がいろいろ。昔ながらのロウを使った食品サンプル製作体験も実施しています。,"東京メトロ日比谷線入谷駅８分
TX浅草駅　徒歩４分",0120-17-1839,10:00,17:30,無休,可,ー,"昔ながらの蝋（ろう）を使った食品サンプルを製作
　（天ぷら2個/レタス1個）
小学校１年生以上※小学校1２年生は大人の保護者の方の同時参加
　（有料）が必要。（大人１名につき子供２名まで）
１枠６名まで（７名～１０名は２枠分をご予約）
　①11:00 ②11:30 ③14:00 ④14:30 ⑤15:00 ⑥15:30 ⑦16:00 ⑧16:30
　　　約40分（１枠/ご来店から終了までの所要時間）
　￥２，５００（お一人様/税込）
",6 ヶ月前より(空きがあれば当日可),http://www.ganso-sample.com,35.714817,139.789062,年末年始は休み
74,有限会社 花藤,江戸手描き提灯,東京都台東区浅草 2-25-6,明治26年創業の提灯専門店。祭禮用や店舗看板、各種お祝い用の提灯をすべて手描きで承ります。1本から受注致します。当店オリジナルの提灯もございます。お客様のニーズに沿った提灯を手がけておりますので、お気軽にご相談下さい。,東京メトロ銀座線浅草駅・田原町駅 徒歩 10 分 ,03-03-3841-6411,10:00,19:30,火曜日・第2水曜日・第4水曜日,不可,"要予約 1 日 5～6 名(1 組まで) 
見学内容は、その時により異なります 
 16:00?
※コロナ禍においては要相談",ー,―,http://www2.plala.or.jp/Asakusa-Hanatoh/,35.71656,139.794037,時短営業中は10:00～18:00
75,銀泉いづみけん,銀器・彫金,東京都台東区浅草2-26-5 SDSビル201,"オリジナル製品を創作する鍛金･彫金･貴金属工芸の工房･店舗･教室です。修学旅行生の体験学習のご相談にも応じます。
☆団体は見学･体験とも要予約。","TX浅草駅　徒歩４分
銀座線田原町駅・浅草駅　徒歩12分",03-3841-7361,10:00,18:00,月曜日・火曜日,可,"予約不要
10 名まで","要予約　8 名まで
銀の平打ちリングの金槌模様打ちから仕上げまで
銀のバングル（ブレスレット）のヤスリ模様打ち仕上げまで
A. リング又はペンダント　　60分程度
学生￥3,000一般￥5,000（税材料費込）
B. ブレスレット　　90 分程度
学生￥5,000一般￥8,000～（税材料費込）",―,http://www.izumiken.com,35.716736,139.794098,
76,雷5656会館,菓子,東京都台東区浅草3-6-1 雷5656 会館(体験受付･会場),修学旅行生の体験学習についてご相談に応じます。お問合せください。,"東京メトロ銀座線･都営浅草線･東武スカイツリーライン
浅草駅　徒歩10分
TX浅草駅　徒歩5分",03-3876-5656,10:00,17:30,月曜日,可,ー,"要予約　
雷おこしの製造体験
　11：00～16：00
（別時間は要相談）
　30 分～60 分程度（人数により異なります）
\2,420（税込）　お土産付",―,https://tokiwado.tokyo,35.716549,139.796082,
77,浅草　飴細工　アメシン　花川戸店,飴細工,東京都台東区花川戸2-9-1 堀ビル1F,"飴細工とは、熱してやわらかくした飴が冷えて固まるまでの間に、握りハサミを使い造形する日本の伝統工芸です。花川戸店では飴細工の体験教室(要予約)を開催、作品展示や一部商品の販売もしております。
※ソラマチ店では飴細工の製作実演がご覧頂けるほか、飴細工やオリジナル商品を多数ご用意しています。","各線浅草駅　徒歩5 分 
TX 浅草駅　徒歩10 分",080-9373-0644（予約専用),10:30,18:00,木曜日,可,"予約不要
飴細工展示作品の見学
　営業時間中","要予約　40 名まで
飴細工の造形、着色
　　90 分程度
　高校生以下　￥2,500
　一般　￥3,000
※汚れてもよい服装でお越しください。",個人 : 2週間前から可能　団体 :一度お問い合わせください,http://www.ame-shin.com,35.71452,139.799438,臨時休業あり
78,辻屋本店,和装履物,東京都台東区浅草1-36-8,大正元年創業の和装履物専門店。熟練の職人がお客様の目の前で下駄、雪駄の鼻緒を足に合わせてぴったりに挿げるので、歩きやすい和装履物がその場で出来上がります。,東京メトロ銀座線浅草駅　徒歩3分,03-3841-8171,10:00,18:00,不定休,可,"要予約　6 名まで
鼻緒を台に付ける「すげ」
12:00～18:00",ー,1ヶ月前まで,https://getaya.jp,35.712738,139.796936,
79,金箔屋卯兵衛,本金箔・箔商品販売、体験,東京都台東区浅草1-31-8　池田ビル1階,金箔屋卯兵衛は、「本金箔」「箔」「キラキラ」にこだわった商品やスイーツなどを取り扱っているアンテナショップです。昔から開運の象徴として扱われた金の輝きを身近なものとして感じて頂くため、本金箔をふんだんに使ったスイーツやドリンクもご用意しています。また都内でも珍しい「本金箔貼り」の体験をして頂くことが出来ます。招き猫の可愛いデザインをベースに金箔貼りをお楽しみいただけるので、浅草での思い出づくりにぜひいらしてください。,東京メトロ銀座線浅草駅　徒歩3分,080-3387-3325,11:00,17:00,不定休,不可,ー,"要予約
11:00～16:00　
1 回に2名まで
招き猫型のカードに本金箔貼りをします
30分程度
1,045円(税込)～(カードの大きさによります）",ー,http://www.kimpakuya-uhei.jp/,35.712425,139.79567,詳しくはHPをご覧ください
80,ベッ甲イソガイ,江戸べっ甲,東京都台東区浅草1-21-3 (浅草オレンジ通り店),べっ甲職人のなかでも「こま物」とよばれる、かんざし、帯留の和ものからペンダント、イヤリングなどの洋もの、又、メガネなど幅広い製品を作れるのが特徴の工房です。師匠と後継者3人の兄弟職人の作品を直販してます。なお、修学旅行生の体験学習についても相談に応じます。お問合せ下さい。,都営浅草線浅草駅・東京メトロ銀座線浅草駅　徒歩５分,03-3845-1211,10:00,19:00,水曜日,可,ー,"要予約　4～6 名位まで
べっ甲の仕上げの作業を行い、ペンダント根付等を仕上げます。
60 分程度（午前中）
￥3,000～
※多少ほこりの出る作業を行うので、汚れても良い服装でお越し下さい。",1週間前まで,http://www.bekko-isogai.jp,35.711693,139.795074,
81,浅草 茶禅,日本文化体験,東京都台東区浅草1-4-7 勉強堂ビル5F,"店内は広い和の空間と、「つくばい」と「にじりぐち」を備えた本格的なお茶室があります。カップルやお友達と、親子で楽しめる日本文化体験です。
■茶道体験
「つくばい」と「にじりぐち」を備えた本格的なお茶室で気軽に茶道を体験できます。ご自分で抹茶を点てる体験もできます。
■体験型 和カフェ
季節の和菓子を作って抹茶を点てる体験型の和カフェです。お好きなお皿と茶碗を選んで、撮影スポットでSNS映えするお写真を撮影できます",東京メトロ銀座線浅草駅　徒歩3分,03-6264-0690,10:00,18:00,年中無休,可,ー,"要予約
茶道体験3,500円（税込）（毎日 10時間から1時間ごとに開催）
レクチャー抹茶作り所作のデモ和菓子と抹茶ご自分で抹茶を点てる
体験型 和カフェ 1,500円～（税込）（毎週土日と祝日 ※要確認）
和菓子作りと抹茶を点てる体験
※団体様の場合広間あり。要相談。",ー,https://www.chazen-co.jp/,35.711418,139.794861,年末年始は休み
82,箱長,桐工芸,東京都台東区浅草1-4-5 (浅草オレンジ通り店),江戸趣味・京好みを問わず、装飾品・調度品として永く人気を集めています。正絹の裂地や佐賀錦などを使用した桐木目込みは、桐材と布地のぬくもりが調和した華麗な装飾技法です。これはオリジナル性に富んだ桐工芸の箱長ならではの技術です。あなたのお部屋に江戸の粋と情緒をお届けします。,東京メトロ銀座線浅草駅　徒歩３分,03-3843-8731(本社),9:00,18:00,土曜日・日曜日・祝日,可,ー,"要予約　10 名～30 名まで
①一般用（木曜　月1 回）
ご希望により図柄をご自分で選び彫刻刀で彫る方、木目込みだけの体験をなさる方。
　120 分程度　￥3,000～
②学生用
　教材を使った、木目込み体験
　90 分程度　　￥2,200
※詳細はHP をご覧下さい。",2週間前まで,http://www.hakocho.com,35.711288,139.794739,店舗は年中無休
83,浅草文庫,革小物,東京都台東区浅草1-10-2 YNビル1階,浅草の職人技が作り出す、緻密な絵画のような美しい革小物。浅草文庫に触れてみませんか？浅草文庫本店では定期的に手描き友禅の体験も行っております。是非いらっしゃって下さい。,都営浅草線浅草駅　徒歩４分,03-5246-4093,10:00,19:00,年中無休,可,"予約不要
手描き友禅
　不定期","要予約　6 名まで
手描き友禅の体験
不定期（土日曜、祝）
　60 分程度
　\4,950（税込）
※汚れても良い服装でお越し下さい。
（アームカバー、エプロンは用意いたします。)",1週間前まで,http://www.asakusabunko.jp/,35.711521,139.792358,
84,創吉,グラス専門店,東京都台東区雷門2-1-14,硝子の楽しみを知って頂けるよう、切子体験教室をご用意しています。また、グラスの使い方や機能・グラス選びのポイントなどお気軽におたずね下さい。,東京メトロ銀座線浅草駅4番出口　徒歩1分,03-6802-8948,11:00,19:00,年中無休,可,ー,"要予約　約36 名まで
江戸切子　　90 分程度
　平日 10:15～、13:00～、15:00～
　休日 8:15～、10:15～、13:00～、
　　　 15:00～、16:45～
高校生以下\2,750（税込）
一般\3,300（税込）
※休日16:45の回は\3,850（税込）になります。",前日まで,http://www.sokichi.co.jp,35.70966,139.797516,土曜日・日曜日・祝日は10:30～18:00、年末年始は休み
85,アトリエナカジマ,ハンドバッグ製造,東京都台東区駒形2-7-3,"フォーマルからdaily bag まで革や布、いろいろな素材を選びオンリーワンバッグを作っています。ショップでワークショップも開催中です。（要予約）修理やオーダーも承ります。
※はさみ・エプロンをご持参ください。
※修学旅行生　受入不可",都営浅草線浅草駅　徒歩3 分,03-3843-8215,9:30,18:30,土曜日・日曜日・祝日,不可,"要予約　6 名まで
ハンドバックの製造工程
（裁断等）
　13:00～16:00","要予約　1 日4 組まで　
簡単なチャーム、袋物の製作
　60 分～120 分程度
　￥1,500～",2週間前まで,―,35.708076,139.795792,
