認定番号,事業者名称,所在地,,電話番号,認定年月日,乗務員数,認定車両台数,その他
268,介護タクシー・国立,国立市,北三丁目３８番１６号　リーベスト国立１０８号室,042-526-2152,2013/12/20,3,1,
4,つくば観光交通株式会社,小金井市,東町四丁目33番19号,042-381-5004,2008/3/28,,0,
161,介護タクシー　しらゆり,小金井市,貫井南町2－6－10セイワレジデンスⅢ－104,042-381-5387,2010/2/9,4,2,
389,介護タクシー　あづさ,小金井市,緑町五丁目１２番４号,070-3896-1106,2019/5/29,2,1,
454,株式会社BTH,国分寺市,東恋ヶ窪六丁目２２番１０号,070-8448-5604,2021/10/21,4,3,
245,多摩トランスケア・サポート,小平市,回田町３２６番１１１号,090-8776-4732,2013/6/7,2,1,
312,ライフケアタクシー　ＨＡＮＡ,小平市,大沼町三丁目２２番６号,042-341-8064,2020/11/5,3,1,
377,アイファースト,小平市,美園町一丁目７－５　５０６,090-4542-8965,2018/10/17,1,1,
1,株式会社　セレモア,立川市,柏町一丁目２６番地の４,042-535-1199,2007/9/28,,0,
1,株式会社　セレモア　患者搬送事業部 東京民間救急サービス 立川営業所,立川市,柏町二丁目４０番地の１,042-535-1199,2007/9/28,3,3,
164,ケアサポートたま川,立川市,幸町四丁目52番1号　幸町団地26号棟602号室,042-535-5164,2010/4/22,2,1,
187,介護タクシーいずみ,立川市,錦町五丁目１番６号,042-527-8186,2011/6/17,1,1,
53,多摩興運株式会社,多摩市,乞田1426,042-374-2415,2007/9/28,,0,
53,多摩興運株式会社　新東京救急センター,多摩市,貝取1450,042-389-6611,2007/9/28,2,2,
346,エース・ケア移送サービス,多摩市,永山四丁目４番９号ー５１０,042-316-9930,2016/12/8,5,1,
375,ケアタクシー　つるまき,多摩市,鶴牧三丁目２番　ブリリア多摩センター１６１２号室,080-4657-4110,2018/10/17,2,1,
404,スマイル・サポート,多摩市,和田１５４８番　モナーク聖蹟桜ヶ丘１０１号室,080-6846-2525,2020/4/28,2,1,
426,ａｉ介護福祉タクシー中島,多摩市,愛宕四丁目４０番１号６０４号室,090-3806-0119,2020/12/11,2,1,
479,有限会社モンドスピード,多摩市,桜ケ丘三丁目２０番５号,070-8415-9119,2022/5/2,3,1,
79,有限会社　フジタグリーンシティ,調布市,深大寺元町五丁目39番地10,042-486-1925,2007/10/24,2,2,
152,民間救急東京,調布市,西つつじヶ丘一丁目4番31号トミーハイツ102号室,042-440-1139,2009/11/5,2,1,
176,介護タクシー優楽　西東京,西東京市,南町一丁目５番１０号７０１号室,090-2722-2453,2010/12/22,1,1,
246,介護タクシー　ライフアシスト,西東京市,芝久保町二丁目１３番８号　３１２号室,042-463-9161,2018/7/11,2,1,
270,まるしん　ケア,西東京市,南町三丁目７番６号,042-465-5593,2014/1/21,2,1,
285,介護タクシー　北斗,西東京市,芝久保町二丁目１７番２３１号,090-2156-0065,2014/4/30,2,1,
431,ケア　キャッツ　西東京,西東京市,谷戸町三丁目２８番１６号　１２１３,080-1037-5504,2021/4/8,2,1,
1,株式会社　セレモア　患者搬送事業部 東京民間救急サービス 八王子営業所,八王子市,大横町１３番地の２０,042-623-1199,2007/9/28,2,1,
190,フェニックス・サポート,八王子市,上柚木三丁目１６番３号１１０５号室,080-4137-4970,2011/9/27,2,1,
207,株式会社　ユーシン,八王子市,下柚木30番1号　101号室,042-670-9581,2012/6/26,4,2,
229,株式会社　あられ介護,八王子市,横山町３番１３号　矢島ビル２階,042-649-1066,2012/11/2,10,5,
262,あぐり移送サービス,八王子市,大和田町一丁目３３番４号,080-8891-5811,2013/10/31,3,1,
281,民間救急　ライフ移送,八王子市,加住町二丁目７１番１号,042-691-2898,2014/3/25,2,2,
297,合同会社　ユーアイ・サポート　本社,八王子市,子安町一丁目３１番１１号３０５号室,080-5412-0716,2014/9/24,,0,
297,合同会社　ユーアイ・サポート　子安営業所,八王子市,子安町二丁目３４番４号１０１号室,080-5412-0716,2014/9/24,1,1,
301,介護タクシーつざき,八王子市,初沢町１２２７番４号高尾ﾊﾟｰｸﾊｲﾂＡ棟１１１４号室,042-661-8001,2014/11/19,2,1,
324,渡辺福祉株式会社,八王子市,清川町１３番１０号,042-649-2946,2016/2/17,2,2,
349,介護タクシー輝,八王子市,上柚木３０９番９号ハピネスⅢ２０３号室,070-2689-1000,2017/2/7,2,1,
356,合同会社ＣＲＵＺＡＲ（民間救急・介護タクシーかえで）,八王子市,椚田町５３３番１４号２０１号室,042-697-7025,2017/7/19,3,1,
385,有限会社　村田石油,八王子市,大楽寺町１９５番地１,042-651-4250,2019/3/29,0,0,
385,ユニバーサルタクシー　スマイルファンファーレ,八王子市,楢原町１１３７番地１,042-655-2625,2019/3/29,4,1,
394,陽だまり介護タクシー,八王子市,叶谷町１６６８番５号,042-657-8321,2019/8/1,2,1,
399,ウィルライフ介護タクシー,八王子市,大谷町８８５番１７号,042-657-6859,2019/12/13,2,1,
405,全日本通産株式会社,八王子市,宮下町５７０番地２　ウッドルミエール１０２号,042-659-3361,2020/5/14,1,1,
413,北野介護タクシー,八王子市,長沼町１２０２番地４２号,090-169-1039,2020/9/14,1,1,
439,ライフエナジー,八王子市,下柚木１６２４番８８号,042-698-5077,2021/7/7,2,1,
441,シロクマケアタクシー,八王子市,元本郷町一丁目８番１７号,042-634-9598,2021/7/1,2,1,
448,株式会社　Littlegen　民間救急レスキュー,八王子市,楢原町３１９番１号,070-3663-0119,2021/9/29,3,1,
469,株式会社AMBC　ライブエスコート介護タクシー,八王子市,元本郷町三丁目１６番９号　３F,042-657-8899,2022/2/3,2,1,
473,翔走,八王子市,久保山町一丁目２５番５号,080-7040-0558,2022/3/16,2,2,
186,介護タクシー　レント,羽村市,富士見平一丁目１８番地　羽村団地２－２０６,042-579-5160,2011/5/9,3,3,
194,介護タクシー　さとう,羽村市,羽西一丁目１番９号,042-555-8069,2011/11/21,1,1,
205,バンビ介護タクシー,羽村市,緑ヶ丘二丁目３番１２号,090-4812-1988,2012/6/11,1,1,
221,サポートキャブパール,羽村市,羽加美一丁目１６番６号,042-579-1853,2012/9/14,1,1,
347,株式会社　友愛　ひまわり介護タクシー,羽村市,神明台三丁目１３番７号,042-555-5297,2016/12/8,3,2,
203,株式会社　HISCO,東久留米市,下里七丁目８番,042-455-1991,2012/6/11,3,3,
239,ハートフルケア株式会社,東久留米市,前沢五丁目２７番６号,042-477-5373,2013/2/26,2,1,
88,むさしのケアキャブ,東村山市,青葉町一丁目10番55号,042-394-1920,2010/12/28,2,1,
275,介護タクシー青い鳥,東村山市,諏訪町一丁目６番地４２,070-5461-7485,2014/2/17,1,1,
327,ボランチ介護タクシー,東村山市,美住町一丁目２０番２号２１５号室,080-5406-3864,2014/3/9,2,2,
368,ケアキャブ　まいど,東村山市,青葉町二丁目２０番地３１,090-6706-3325,2018/7/2,2,1,
383,介護タクシーココロ,東村山市,青葉町一丁目１０番地５９,080-3362-0858,2018/12/27,2,1,
485,民間救急介護タクシー　さくら,東村山市,栄町二丁目２３番７号　１０１号室,080-1362-7290,2022/7/25,2,1,
141,介護タクシーこじま,東大和市,立野一丁目30番地の10,042-564-2543,2009/4/9,1,1,
263,はあと介護タクシー,東大和市,湖畔一丁目９１１番地の１２３,080-3347-0810,2013/11/11,2,1,
169,民間救急フィール,日野市,新町一丁目13番11号302号室,0120-194-399,2010/8/19,9,4,
257,介護タクシー　ほどくぼ,日野市,程久保二丁目１２番８号,042-592-6023,2013/8/6,3,1,
391,福祉タクシー　あいる,日野市,日野１１１１番１号 ニューロシティＣ－１０１,080-7050-0111,2019/7/2,1,1,
4,つくば観光交通株式会社　つくば移動ケアサポート,府中市,多磨町二丁目4番2号,042-360-2266,2008/3/28,4,1,
254,アークケア介護タクシー,府中市,新町二丁目11番地の5,042-306-7523,2013/7/30,3,3,
344,介護タクシーかるがも,府中市,緑町三丁目１番７号シティーテラス府中緑町313号,042-405ー8110,2016/11/17,1,1,
430,株式会社テミスメディカル,府中市,府中町二丁目２２番９号　共進会ビル２階,0120-091-911,2021/3/22,3,1,
471,ケアタクシーＴＡＫＥ-ＯＮ（竹山工業?）,府中市,寿町一丁目７番２０号パークハイム府中５０２号,042-368-6757,2022/3/16,2,1,
227,株式会社　Ｋ・Ｉカンパニー,福生市,加美平三丁目１８番３号,042-513-3839,2012/10/10,4,4,
466,東福生介護タクシー,福生市,福生２２５０番地８７号,090-8565-0656,2022/1/20,2,1,
64,有限会社　成章堂（ケアタクシーみすず台）,町田市,玉川学園四丁目4番14号,042-720-9357,2007/9/10,4,1,
210,福祉介護タクシー　オオクラ,町田市,大蔵町５００番地１,042-735-3505,2012/6/26,4,1,
235,介護タクシー　みなと,町田市,小山ヶ丘三丁目28番アパガーデンパレス多摩境421,080-4445-4120,2012/11/30,1,1,
286,アスクＣ・Ｓ株式会社,町田市,西成瀬一丁目２９番３号,090-1463-2629,2014/5/16,4,2,
366,福祉タクシー福,町田市,小野路町１７４７番地１号,090-4619-7540,2018/6/6,2,1,
410,杉山介護タクシー,町田市,森野五丁目３番４８号,090-3065-8249,2020/7/30,3,1,
446,民間救急搬送サービスさがみはら　東京営業所,町田市,相原町２８０７番地１,042-785-3336,2021/9/13,7,1,
447,株式会社M＆C　まちだ民間救急,町田市,大蔵町５５２番地１　２０１号室,042-708-9861,2021/9/13,4,2,
496,uhmi travel and more 株式会社　Trip Care.(トリップケア,町田市,原町田六丁目９番８号　AETAビル４階,042-860-7119,2023/3/3,1,1,
500,介護タクシー煌き,町田市,上小山田町五丁目２０番地,070-2365-1000,2023/3/24,2,1,
340,株式会社虹巴　介護タクシーいろは,瑞穂町,むさし野二丁目４５番５号,042-511-6628,2016/9/15,2,2,
480,介護タクシー　アクア,瑞穂町,殿ヶ谷１１４６番地３,042-800-1382,2022/5/10,2,1,
11,株式会社　ＡＺＵＭＡ,三鷹市,上連雀二丁目5番15号,0422-42-9931,2007/9/28,,0,
11,株式会社　ＡＺＵＭＡ　民間救急サービス部,三鷹市,中原三丁目1番65号,0422-42-9931,2007/9/28,6,3,
128,介護タクシー優楽,三鷹市,牟礼六丁目23番1号103号室,0422-48-7024,2008/7/31,2,1,
140,株式会社　歩,三鷹市,下連雀五丁目8番1号シティコート下連雀Ｅ,0422-26-9117,2009/3/16,4,1,
183,介護タクシー大地,三鷹市,新川六丁目２７番１１号,0422-47-5308,2011/4/18,1,1,
185,介護タクシーＫサポート,三鷹市,牟礼五丁目５番１０号,0422-43-9495,2011/5/9,2,1,
219,株式会社　そら,三鷹市,井口一丁目１１番１６号,0422-26-1038,2012/9/14,3,3,
294,ケアタクシー　優春,三鷹市,上連雀一丁目9番16号　内田ハイツ,080-5481-1033,2014/8/27,2,1,
348,有限会社橋本電機　介護タクシーナイス・ワン搬送サービス,三鷹市,北野三丁目１３番５号,0422-48-9311,2017/1/19,2,1,
387,まるたけ急便株式会社（民間救急まるたけ救急）,三鷹市,井の頭五丁目２０番１８号,0422-29-8117,2019/4/9,2,2,
411,株式会社　アスモ介護サービス（三鷹営業所）,三鷹市,中原三丁目４番７号,03-3349-1076,2020/8/14,6,1,
491,寿交通株式会社,三鷹市,野崎二丁目１１番１２号,0422-32-5188,2023/2/10,2,1,
165,シマノ介護タクシー,武蔵野市,境南町四丁目16番19号 テラスサカエ102,0422-26-1055,2010/6/21,3,1,
333,テンツーケア,武蔵野市,吉祥寺南町二丁目33番4号,090-2934-9842,2016/6/23,2,1,
388,らくケア,武蔵野市,中町二丁目２４番８号,0422-56-1737,2019/5/23,2,1,
464,株式会社　えんぢ,武蔵野市,関前二丁目１０番２１号パステルコート１０１号室,0422-56-8081,2022/1/4,2,2,
397,株式会社ホークデュオ,武蔵村山市,大南二丁目８２番１２号,090-6026-8658,2019/10/23,1,1,
445,介護タクシーアロハ,武蔵村山市,神明一丁目２５番地の１メゾンむさし野１０２号室,042-511-8744,2021/9/7,1,1,
