地域階層,地域コード,国・地域(人),総数,男,女,アジア,アフガニスタン,アラブ首長国連邦,ミャンマー,バハレーン,ブータン,バングラデシュ,ブルネイ,カンボディア,スリ・ランカ,中国,サイプラス,インド,インドネシア,イラン,イラク,イスラエル,ジョルダン,韓国・朝鮮,クウェイト,ラオス,レバノン,マレイシア,モンゴル,オマーン,モルディヴ,ネパール,パキスタン,フィリピン,カタル,サウディ・アラビア,シリア,シンガポール,タイ,トルコ,ヴィエトナム,イエメン,ビルマ,ヨーロッパ,アルバニア,オーストリア,ベルギー,ブルガリア,ベラルーシ,クロアチア,チェッコ,デンマーク,エストニア,フィンランド,フランス,ドイツ,ギリシャ,ハンガリー,アイスランド,アイルランド,イタリア,キルギス,カザフスタン,リヒテンシュタイン,ルクセンブルグ,ラトヴィア,リトアニア,マルタ,モルドヴァ,マケドニア,オランダ,ノールウェー,ポーランド,ポルトガル,ルーマニア,ロシア,サン・マリノ,スペイン,スウェーデン,スイス,トルクメニスタン,タジキスタン,英国,ウクライナ,ウズベキスタン,ユーゴスラヴィア,アルメニア,アゼルバイジャン,アンドラ,グルジア,スロヴェニア,スロヴァキア,ボスニア・ヘルツェゴヴィナ,ユーゴースラヴィア連邦共和国,チェッコ・スロヴァキア,モナコ,ソヴィエト連邦,アフリカ,アルジェリア,ブルンディ,ボツワナ,カメルーン,中央アフリカ,チャード,コンゴー,コンゴー民主共和国,ベナン,ジブティ,エティオピア,エリトリア,ガボン,ガーナ,ギニア,ガンビア,象牙海岸共和国,ケニア,リベリア,リビア,レソト,マダガスカル,マリ,モーリタニア,モロッコ,マラウイ,モーリシァス,モザンビーク,ニジェール,ナイジェリア,ナミビア,ルワンダ,セネガル,シエラ・レオーネ,ソマリア,スーダン,スワジランド,サントメ・プリンシペ,セイシェル,タンザニア,トーゴー,テュニジア,ウガンダ,南アフリカ共和国,エジプト,ブルキナ・ファソ,ザンビア,ジンバブエ,アンゴラ,ザイール,北米,バルバドス,バハマ,ベリーズ,カナダ,コスタ・リカ,キューバ,ドミニカ共和国,ドミニカ,エル・サルヴァドル,グｱテマラ,ハイティ,ホンデュラス,ジャマイカ,メキシコ,ニカラグｱ,パナマ,セント・ルシア,セント・ヴィンセント,セント・クリストファー・ネイヴィース,トリニダッド・トバゴ,米国,グレナダ,南米,アルゼンティン,ボリヴィア,ブラジル,チリ,コロンビア,エクアドル,ガイアナ,パラグｱイ,ペルー,スリナム,ウルグｱイ,ヴェネズエラ,オセアニア,オーストラリア,フィジー,キリバス,マーシャル,ミクロネシア,ニュー・ジーランド,ナウル,パプア・ニューギニア,パラオ,ソロモン,トンガ,トゥヴァル,サモア,無国籍
2,13202,立川市,2784,1247,1537,2379,-,-,-,-,-,15,-,3,23,889,-,19,19,10,-,-,1,946,-,-,-,14,5,-,-,15,6,358,-,-,1,1,29,15,10,-,-,41,-,-,-,-,-,-,-,-,-,1,3,1,1,2,-,1,1,-,2,-,-,-,-,-,-,-,-,-,2,-,1,6,-,-,2,1,-,-,15,-,2,-,-,-,-,-,-,-,-,-,-,-,-,20,-,-,-,-,-,-,-,3,-,-,-,-,-,14,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,146,-,-,-,14,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,128,-,183,2,-,141,-,3,1,-,6,30,-,-,-,14,8,-,-,-,-,4,-,-,1,-,1,-,-,1
2,13203,武蔵野市,2237,1197,1040,1673,1,-,15,-,-,6,-,2,4,841,-,36,9,10,-,-,1,533,-,2,1,23,5,-,-,14,10,103,-,2,4,5,35,3,8,-,-,154,-,3,-,-,-,-,1,1,-,-,25,13,-,-,-,5,7,-,-,-,-,-,-,-,-,-,-,-,3,1,3,9,-,2,2,1,-,-,75,2,1,-,-,-,-,-,-,-,-,-,-,-,-,24,-,-,-,-,-,-,-,1,-,-,-,-,-,7,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,1,-,-,-,-,-,-,6,-,-,-,1,4,-,-,-,-,-,279,-,-,-,52,-,1,-,-,-,-,-,-,-,5,-,-,-,-,-,-,221,-,54,-,6,35,1,5,1,-,-,6,-,-,-,51,38,-,-,1,-,11,-,-,-,-,1,-,-,2
2,13204,三鷹市,3003,1528,1475,2106,-,-,14,-,-,13,-,3,7,896,-,20,36,26,-,4,-,752,-,1,-,31,7,-,-,7,5,176,-,-,-,17,58,3,30,-,-,238,-,13,3,5,-,1,-,5,-,5,23,28,-,4,-,7,6,1,-,-,-,-,3,-,-,1,2,-,2,1,3,6,-,3,2,2,-,-,105,1,-,2,-,-,-,-,-,-,-,-,-,-,4,29,1,-,-,-,-,-,1,-,1,-,-,-,-,6,-,-,1,2,-,-,-,-,-,-,1,-,-,-,-,7,-,-,4,-,-,-,-,-,-,-,-,-,-,2,3,-,-,-,-,-,479,-,-,-,69,-,-,-,-,1,-,-,-,-,2,-,-,-,-,-,1,406,-,55,10,4,24,3,1,-,-,1,12,-,-,-,89,66,1,1,-,-,16,-,-,-,-,5,-,-,7
2,13205,青梅市,1159,478,681,804,-,-,1,-,-,12,-,-,2,178,-,6,10,13,-,-,-,252,-,1,-,6,2,-,-,1,1,258,-,-,-,1,50,1,9,-,-,16,-,-,-,-,-,-,1,-,-,-,-,4,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,63,-,-,-,5,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,56,-,249,2,-,109,-,2,-,-,-,135,-,-,1,21,9,8,-,-,-,3,-,-,-,-,-,-,1,1
2,13206,府中市,3403,1558,1845,2639,1,-,6,1,-,15,-,4,17,960,-,9,62,17,-,1,-,911,-,3,2,35,5,-,-,8,15,468,-,-,1,18,48,7,25,-,-,144,-,1,3,5,-,1,3,2,-,2,12,12,1,7,-,1,5,1,-,-,-,-,-,-,-,-,2,1,3,3,7,11,-,3,2,3,-,-,47,-,3,-,-,-,-,-,-,2,-,-,-,-,1,40,1,-,-,-,-,-,-,-,-,-,1,-,1,7,1,-,-,-,-,-,-,-,-,-,5,-,-,-,-,10,-,-,-,1,-,1,-,-,-,2,-,1,1,3,5,-,-,-,-,-,313,-,-,-,32,-,-,1,1,-,-,-,-,-,2,-,-,-,-,-,-,277,-,198,3,-,157,2,12,-,-,-,24,-,-,-,66,34,5,-,-,-,22,-,4,-,1,-,-,-,3
2,13207,昭島市,1972,965,1007,1692,-,-,2,-,-,21,-,-,2,467,-,5,14,26,-,-,-,861,-,10,-,6,-,-,-,18,5,206,-,-,1,5,23,-,20,-,-,24,-,-,-,1,-,-,-,-,-,-,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,3,-,2,-,1,-,-,5,4,-,-,-,-,-,-,-,-,-,-,-,-,-,12,-,-,-,-,-,-,-,-,-,-,-,-,-,6,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,54,-,-,-,2,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,50,-,183,3,-,83,1,3,-,-,4,89,-,-,-,7,6,-,-,-,-,-,-,-,-,-,-,-,1,-
2,13208,調布市,3249,1624,1625,2783,1,-,12,-,-,26,-,3,34,967,-,24,31,20,-,4,4,1265,-,4,-,34,2,1,-,11,10,238,-,-,1,12,47,-,32,-,-,148,-,4,-,3,-,-,1,-,-,1,25,12,1,1,-,3,11,-,-,-,-,-,-,-,-,-,4,1,-,2,4,29,-,2,2,-,-,-,33,6,-,1,1,1,-,-,-,-,-,-,-,-,-,31,5,-,-,-,-,-,-,-,-,-,-,-,-,7,1,1,-,1,-,-,-,-,-,-,2,-,-,-,-,4,-,-,-,2,-,-,-,-,-,-,-,5,2,-,1,-,-,-,-,-,189,-,-,-,33,-,5,-,-,-,-,-,-,-,8,1,-,-,-,-,-,142,-,64,1,1,53,3,1,-,-,3,1,-,-,1,33,22,-,-,-,-,11,-,-,-,-,-,-,-,1
2,13209,町田市,3242,1514,1728,2683,-,2,13,-,1,23,-,4,28,967,-,17,26,24,-,1,-,1101,-,2,-,16,3,-,-,5,18,340,-,1,-,8,55,1,27,-,-,148,-,4,2,2,-,-,-,3,-,2,6,17,1,5,-,-,3,-,-,-,-,-,-,-,-,-,10,2,5,3,2,13,-,4,3,2,-,-,53,6,-,-,-,-,-,-,-,-,-,-,-,-,-,62,-,-,-,-,-,-,-,2,-,-,4,-,-,18,3,-,-,2,-,-,-,-,2,-,3,-,-,-,-,15,-,-,1,-,-,-,-,-,-,-,-,-,-,-,11,-,-,1,-,-,198,-,-,-,26,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,171,-,105,3,5,45,2,11,1,-,-,37,-,-,1,45,38,1,-,-,-,6,-,-,-,-,-,-,-,1
2,13210,小金井市,1773,852,921,1343,-,-,2,-,-,7,-,1,4,609,-,46,26,3,-,2,1,453,-,3,-,30,13,-,-,4,7,79,-,-,-,3,35,-,14,1,-,134,-,-,1,-,1,-,2,1,-,-,14,15,-,6,-,1,5,-,-,-,-,-,-,-,-,-,2,1,5,3,8,17,-,8,3,1,-,-,38,2,-,-,-,-,-,-,-,-,-,-,-,-,-,18,1,-,-,-,-,-,-,1,-,-,1,-,1,3,1,-,1,-,-,1,-,-,1,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,198,-,-,-,38,-,-,1,-,-,-,-,-,-,6,-,-,-,-,-,-,153,-,31,5,2,13,-,4,-,-,-,4,-,-,3,45,37,-,-,-,-,8,-,-,-,-,-,-,-,4
2,13211,小平市,3300,1763,1537,2882,2,-,6,-,-,5,-,2,4,618,-,10,14,8,-,-,-,1998,-,-,-,16,1,-,-,4,9,136,-,-,-,2,33,5,9,-,-,76,-,2,-,-,-,-,-,2,1,6,7,7,-,11,-,2,1,-,-,-,-,-,-,1,-,-,1,-,3,1,-,5,-,2,1,2,-,-,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30,-,-,-,-,-,-,-,-,-,-,-,-,-,13,1,-,-,-,-,-,-,-,-,-,3,-,1,-,-,5,-,-,-,-,-,-,-,-,-,2,-,3,-,-,2,-,-,-,-,-,83,-,-,-,12,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,68,-,208,1,-,191,1,5,1,-,-,8,-,-,1,20,15,-,-,-,-,5,-,-,-,-,-,-,-,1
2,13212,日野市,1494,696,798,1265,5,-,4,-,-,8,-,-,9,504,-,11,23,6,-,5,-,462,-,1,-,13,1,-,1,5,2,153,-,-,-,2,34,2,14,-,-,39,-,-,-,-,-,-,-,1,-,-,5,7,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,3,-,-,-,-,-,-,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,-,-,-,-,-,-,-,2,-,-,1,-,-,-,1,-,-,-,-,-,-,4,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,59,-,-,-,6,-,1,-,-,1,-,-,-,-,2,-,-,-,-,-,-,49,-,109,-,1,37,-,3,-,-,-,68,-,-,-,8,3,2,-,-,-,3,-,-,-,-,-,-,-,3
2,13213,東村山市,1234,565,669,1081,-,-,2,-,-,5,-,-,16,327,-,1,15,12,-,-,-,471,-,-,-,8,3,-,-,1,11,171,-,-,-,-,30,1,7,-,-,41,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,8,-,-,-,2,-,-,21,-,6,1,-,-,-,-,-,-,-,-,-,-,-,18,1,-,-,1,-,-,-,-,-,-,-,-,-,4,1,-,-,-,-,-,-,1,-,-,-,1,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,65,-,-,-,4,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,58,-,15,-,-,10,-,3,-,-,-,2,-,-,-,14,8,1,-,-,-,5,-,-,-,-,-,-,-,-
2,13214,国分寺市,1298,601,697,1020,-,-,4,-,-,6,-,-,9,392,-,15,2,5,-,-,-,465,-,-,1,7,-,-,-,1,8,76,-,-,-,3,17,2,7,-,-,106,-,1,-,-,-,-,1,-,-,-,14,14,-,4,-,1,3,-,-,-,-,-,-,-,-,-,2,-,1,-,3,15,-,2,3,4,-,-,35,-,1,1,-,-,-,-,-,1,-,-,-,-,-,17,-,-,-,-,-,-,-,-,-,-,1,-,-,10,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,96,-,-,-,18,1,-,-,-,-,-,-,1,-,1,-,-,-,-,-,1,74,-,36,6,-,24,-,-,-,-,-,5,-,-,1,23,20,-,-,1,-,2,-,-,-,-,-,-,-,-
2,13215,国立市,1265,619,646,1021,-,-,1,-,-,9,-,2,21,486,1,14,14,5,-,2,-,348,-,1,-,6,5,-,-,7,2,53,-,-,-,3,23,2,16,-,-,116,-,1,-,4,-,-,-,-,-,-,8,12,1,5,1,-,6,-,-,-,1,-,-,-,1,-,2,-,-,-,3,24,-,2,4,-,-,-,21,2,18,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,2,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,71,-,-,-,7,-,1,-,-,-,-,-,2,-,2,-,-,-,-,-,-,59,-,36,2,-,18,1,1,-,-,-,14,-,-,-,14,10,-,-,-,-,4,-,-,-,-,-,-,-,-
2,13216,田無市,894,374,520,733,-,-,1,-,-,6,-,-,2,277,-,1,6,7,-,-,-,303,-,-,-,1,-,-,-,1,1,108,-,-,-,1,14,-,4,-,-,53,-,-,-,-,-,-,1,-,-,2,6,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,4,-,-,-,-,-,-,36,2,-,-,-,-,-,-,-,-,-,-,-,-,-,30,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,1,-,-,-,-,-,-,-,1,-,-,-,-,9,-,-,1,10,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,49,-,-,-,16,-,-,3,-,-,-,-,-,-,1,-,-,-,-,-,-,29,-,14,2,-,5,-,4,-,-,-,3,-,-,-,14,10,-,-,-,-,4,-,-,-,-,-,-,-,1
2,13217,保谷市,1209,568,641,973,1,-,5,-,-,3,-,1,12,367,-,11,3,2,-,-,-,414,-,1,-,7,2,-,-,1,5,103,-,-,-,2,27,2,4,-,-,60,-,1,-,-,-,-,-,-,-,1,8,4,-,-,-,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,2,1,1,-,-,34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22,1,-,-,-,-,-,-,1,-,-,-,-,-,5,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-,4,-,-,-,1,-,-,-,-,-,-,71,2,-,-,8,-,-,-,-,-,-,-,-,1,3,1,-,-,-,-,-,56,-,74,2,-,60,1,3,-,-,1,7,-,-,-,9,8,-,-,-,-,1,-,-,-,-,-,-,-,-
2,13218,福生市,1950,999,951,1344,1,-,-,-,-,5,-,-,5,292,-,2,15,14,-,-,-,488,-,6,-,16,-,-,-,18,22,285,-,-,-,1,171,1,2,-,-,14,-,-,-,-,-,-,-,1,-,-,1,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,6,-,-,-,-,-,-,-,-,1,-,-,-,-,-,37,-,-,-,-,-,-,-,-,-,-,-,-,-,12,4,-,1,-,-,-,-,-,-,-,1,-,-,-,-,14,-,-,1,3,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,175,-,-,-,3,-,-,1,-,-,-,-,-,-,-,1,-,-,1,-,-,169,-,373,4,1,79,-,12,-,-,-,275,-,1,1,4,4,-,-,-,-,-,-,-,-,-,-,-,-,3
2,13219,狛江市,673,308,365,550,-,-,1,-,-,1,-,-,7,194,-,6,11,2,-,-,-,175,-,-,-,8,-,-,-,5,1,116,-,-,1,2,18,2,-,-,-,36,-,2,1,-,1,-,1,-,-,-,7,2,-,-,-,-,2,-,-,-,-,-,-,-,-,-,1,-,-,-,1,2,-,2,-,-,-,-,13,-,1,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,65,-,-,-,13,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,49,-,10,-,2,5,-,1,-,-,-,2,-,-,-,6,5,-,-,-,-,1,-,-,-,-,-,-,-,2
2,13220,東大和市,724,312,412,641,-,-,1,-,-,2,-,-,4,104,-,8,21,1,-,-,-,316,-,-,-,3,2,-,-,-,3,168,-,-,2,-,6,-,-,-,-,15,-,-,-,-,-,-,-,-,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,3,-,-,-,1,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,-,-,-,3,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,22,-,34,-,-,22,-,3,-,-,-,9,-,-,-,5,3,2,-,-,-,-,-,-,-,-,-,-,-,-
2,13221,清瀬市,688,286,402,602,-,-,3,-,-,12,-,1,2,232,-,2,7,10,-,1,-,140,-,-,-,4,2,-,-,3,17,131,-,-,-,-,15,1,19,-,-,27,-,-,-,1,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,1,3,-,3,1,5,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,35,-,-,-,2,1,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,29,-,13,-,-,7,1,1,-,-,-,4,-,-,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-
2,13222,東久留米市,1088,481,607,737,1,-,-,-,1,8,-,-,8,223,-,29,13,16,-,-,-,277,-,-,-,7,1,-,-,1,11,106,-,1,1,6,22,2,3,-,-,67,-,-,1,2,1,-,-,-,-,3,4,7,2,1,-,-,-,-,-,-,-,1,-,-,-,-,2,1,2,-,2,2,-,1,2,-,-,-,28,3,-,-,-,1,-,-,-,-,-,-,1,-,-,14,-,-,-,1,-,-,-,-,-,-,-,-,-,6,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,237,-,2,-,29,1,-,-,-,-,1,-,-,-,2,-,-,-,-,-,-,202,-,21,1,-,11,2,2,-,-,-,3,-,-,2,4,2,-,-,-,-,2,-,-,-,-,-,-,-,8
2,13223,武蔵村山市,902,396,506,644,-,-,2,-,-,5,-,-,-,176,-,1,19,7,-,-,-,230,-,1,-,4,-,-,-,8,2,168,-,-,-,-,20,-,1,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31,-,214,1,-,191,-,1,-,-,2,19,-,-,-,2,1,-,-,-,-,1,-,-,-,-,-,-,-,-
2,13224,多摩市,1584,695,889,1347,-,-,1,-,-,5,-,-,9,520,-,9,12,5,6,-,1,501,-,-,-,3,1,-,-,3,4,242,-,-,-,3,12,1,9,-,-,83,-,2,-,-,-,1,-,-,-,1,13,3,-,1,-,2,5,-,-,-,-,-,-,-,-,1,4,-,15,-,8,7,-,1,2,1,-,-,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,-,-,-,-,1,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,1,-,-,-,76,-,-,-,13,-,-,-,-,-,-,-,-,-,2,-,1,-,-,-,-,60,-,52,1,2,28,2,16,-,-,-,2,-,-,1,14,12,-,-,-,-,2,-,-,-,-,-,-,-,1
2,13225,稲城市,758,364,394,648,-,-,1,-,-,4,-,-,2,241,-,4,8,13,-,-,-,280,-,5,-,4,-,-,-,1,1,61,-,-,1,-,16,-,6,-,-,22,-,-,-,-,-,-,-,-,-,-,-,2,-,1,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,12,-,-,1,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39,-,-,-,8,-,-,-,-,1,-,-,-,-,2,-,-,-,-,-,-,28,-,37,-,-,33,-,-,-,-,-,4,-,-,-,5,4,-,-,-,-,-,-,-,-,-,-,-,1,1
2,13227,羽村市,1349,610,739,617,-,-,4,-,-,2,-,-,-,157,-,7,1,10,-,-,-,194,-,-,-,3,-,-,-,2,5,195,-,-,-,2,29,1,5,-,-,12,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,1,-,-,-,4,1,-,-,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,69,-,-,-,1,4,-,1,-,-,-,-,-,-,1,1,-,-,-,-,-,61,-,641,1,5,278,-,10,-,-,2,345,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-
2,13228,あきる野市,511,233,278,422,4,-,-,-,-,1,-,-,-,85,-,-,2,7,-,-,-,171,-,35,-,1,1,-,-,1,3,64,-,-,-,-,19,-,28,-,-,6,-,2,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30,-,51,-,-,27,-,-,-,-,3,21,-,-,-,2,-,-,-,-,-,1,-,-,-,-,-,-,1,-
1,13550,町村部,733,282,451,543,-,-,1,-,-,43,-,-,-,75,-,5,17,4,-,1,-,162,-,-,-,3,-,-,-,-,4,196,-,-,-,1,20,-,11,-,-,16,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,2,-,-,-,-,-,-,10,-,-,-,-,-,-,-,-,1,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,65,-,-,-,4,-,-,2,-,-,-,-,1,-,-,-,-,-,-,-,-,58,-,97,2,-,64,-,-,-,-,-,31,-,-,-,4,2,-,-,-,-,2,-,-,-,-,-,-,-,3
2,13303,瑞穂町,375,186,189,264,-,-,1,-,-,43,-,-,-,33,-,5,11,2,-,-,-,54,-,-,-,3,-,-,-,-,4,81,-,-,-,1,15,-,11,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,1,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,26,-,75,1,-,45,-,-,-,-,-,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
2,13305,日の出町,83,44,39,59,-,-,-,-,-,-,-,-,-,24,-,-,1,2,-,-,-,22,-,-,-,-,-,-,-,-,-,9,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,-,14,-,-,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,13307,檜原村,14,3,11,7,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,13308,奥多摩町,19,8,11,13,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
